d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.971187,0.971187,0.975109,145.669968,144.694859
1,1,16,16,4.000000,0.977695,0.977695,0.981625,138.519972,137.538347
1,1,18,18,4.169925,0.980867,0.980867,0.984586,134.749978,133.765392
1,1,25,25,4.643856,0.980492,0.980492,0.984859,147.910032,146.925173
1,1,40,40,5.321928,0.972109,0.972109,0.975859,144.639984,143.664124
1,1,61,61,5.930737,0.983195,0.983195,0.987430,143.780024,142.792594
1,1,87,87,6.442943,0.984406,0.984406,0.988617,145.340047,144.351430
1,1,102,102,6.672425,0.971539,0.971539,0.975203,146.929990,145.954786
1,1,120,120,6.906891,0.972086,0.972086,0.975359,138.579984,137.604625
1,1,157,157,7.294621,0.996469,0.996469,1.000477,135.040027,134.039550
1,1,354,354,8.467606,1.017086,1.017086,1.021492,136.489980,135.468488
1,1,1138,1138,10.152285,1.178805,1.178805,1.182508,137.249997,136.067490
1,1,1470,1470,10.521600,1.186008,1.186008,1.189586,127.430016,126.240430
1,1,1753,1753,10.775610,1.280305,1.280305,1.284563,138.710020,137.425458
1,1,1915,1915,10.903129,1.282492,1.282492,1.286078,134.060043,132.773965
1,1,2151,2151,11.070792,1.324648,1.324648,1.328313,132.929999,131.601687
1,1,2887,2887,11.495355,1.385531,1.385531,1.389367,145.779981,144.390614
1,1,3457,3457,11.755305,1.478273,1.478273,1.481961,145.160011,143.678050
1,1,5671,5671,12.469387,1.758383,1.758383,1.762180,139.000011,137.237831
1,1,27859,27859,14.765856,4.441984,4.441984,4.445484,140.150019,135.704535
1,1,58917,58917,15.846396,8.133625,8.133625,8.136523,174.269953,166.133430
1,1,60577,60577,15.886483,8.309148,8.309148,8.312852,149.419997,141.107145
1,1,109348,109348,16.738567,14.036242,14.036242,14.039758,148.889958,134.850200
1,1,159502,159502,17.283215,19.735391,19.735391,19.739344,150.969950,131.230607
1,2,7734,15468,13.916999,2.011961,2.011961,2.015883,141.659984,139.644102
1,8,10,80,6.321928,1.043187,1.043187,1.047023,137.209950,136.162927
1,8,18,144,7.169925,1.050250,1.050250,1.054477,138.360017,137.305541
1,8,44,352,8.459432,1.036586,1.036586,1.040711,137.360010,136.319299
1,8,48,384,8.584963,1.055617,1.055617,1.058977,136.290037,135.231060
1,8,53,424,8.727920,1.063844,1.063844,1.067492,137.449009,136.381517
1,8,116,928,9.857981,1.088586,1.088586,1.092000,140.079996,138.987996
1,8,124,992,9.954196,1.053250,1.053250,1.056289,141.740020,140.683731
1,8,218,1744,10.768184,1.065641,1.065641,1.069375,139.749958,138.680583
1,8,281,2248,11.134426,1.038898,1.038898,1.042398,138.800009,137.757611
1,8,395,3160,11.625709,1.142273,1.142273,1.146203,134.599977,133.453774
1,8,425,3400,11.731319,1.164945,1.164945,1.169125,159.440038,158.270913
1,8,487,3896,11.927778,1.106578,1.106578,1.110469,141.569995,140.459527
1,8,553,4424,12.111136,1.124227,1.124227,1.127508,140.600023,139.472515
1,8,848,6784,12.727920,1.181781,1.181781,1.185961,146.150007,144.964046
1,8,921,7368,12.847057,1.267711,1.267711,1.271211,135.440030,134.168819
1,8,1572,12576,13.618386,1.343602,1.343602,1.347328,131.930050,130.582722
1,8,5534,44272,15.434107,1.880336,1.880336,1.884570,141.260040,139.375469
1,8,7159,57272,15.805542,2.081570,2.081570,2.085625,140.819990,138.734365
1,8,8659,69272,16.079985,2.343742,2.343742,2.347250,141.269993,138.922743
1,8,18677,149416,17.188975,3.695687,3.695687,3.700094,150.509994,146.809900
1,8,19347,154776,17.239822,3.780914,3.780914,3.784711,144.929974,141.145263
1,8,23842,190736,17.541218,4.373797,4.373797,4.377727,138.179981,133.802255
1,8,27070,216560,17.724407,4.803672,4.803672,4.806977,147.769984,142.963008
1,8,89778,718224,19.454074,13.139664,13.139664,13.143266,151.240034,138.096768
1,8,143046,1144368,20.126120,18.175937,18.175937,18.179711,150.590029,132.410318
1,14,94,1316,10.361944,1.075148,1.075148,1.078750,138.090050,137.011300
1,15,5,75,6.228819,1.062109,1.062109,1.065367,134.970003,133.904636
1,16,8,128,7.000000,1.040195,1.040195,1.043984,137.850002,136.806018
1,16,10,160,7.321928,1.095375,1.095375,1.099195,134.609989,133.510793
1,16,15,240,7.906891,1.087930,1.087930,1.091961,133.359979,132.268018
1,16,25,400,8.643856,1.077719,1.077719,1.082063,132.669986,131.587923
1,16,63,1008,9.977280,1.116922,1.116922,1.120734,148.349965,147.229231
1,16,160,2560,11.321928,1.135492,1.135492,1.139844,136.889983,135.750139
1,16,182,2912,11.507795,1.120914,1.120914,1.124242,134.999980,133.875738
1,16,185,2960,11.531381,1.120086,1.120086,1.124336,135.620008,134.495672
1,16,237,3792,11.888743,1.111094,1.111094,1.114828,138.019968,136.905140
1,16,277,4432,12.113742,1.170680,1.170680,1.174711,136.079965,134.905254
1,16,293,4688,12.194757,1.157797,1.157797,1.161734,139.710028,138.548293
1,16,341,5456,12.413628,1.180812,1.180812,1.185211,144.470017,143.284806
1,16,436,6976,12.768184,1.235258,1.235258,1.238742,151.020009,149.781267
1,16,438,7008,12.774787,1.253719,1.253719,1.257352,136.829971,135.572619
1,16,483,7728,12.915879,1.248180,1.248180,1.252086,135.330018,134.077932
1,16,544,8704,13.087463,1.276516,1.276516,1.280500,151.590037,150.309537
1,16,659,10544,13.364135,1.266570,1.266570,1.270469,151.520013,150.249544
1,16,1255,20080,14.293472,1.451922,1.451922,1.455375,138.000003,136.544628
1,16,1535,24560,14.584023,1.457187,1.457187,1.461336,140.289951,138.828615
1,16,1887,30192,14.881879,1.612312,1.612312,1.616367,148.500025,146.883658
1,16,2232,35712,15.124121,1.758961,1.758961,1.762961,146.629987,144.867026
1,16,2665,42640,15.379920,1.831922,1.831922,1.835836,152.590044,150.754208
1,16,3083,49328,15.590119,1.967148,1.967148,1.970891,141.680008,139.709117
1,16,8979,143664,17.132339,3.637844,3.637844,3.641102,140.730001,137.088899
1,16,9371,149936,17.193987,3.698875,3.698875,3.702883,148.699968,144.997085
1,16,11455,183280,17.483690,4.249351,4.249351,4.253508,138.749951,134.496443
1,16,12530,200480,17.613099,4.508898,4.508898,4.512594,145.869970,141.357376
1,16,15615,249840,17.930645,5.329102,5.329102,5.332836,139.619980,134.287144
1,16,17811,284976,18.120481,5.977266,5.977266,5.980672,150.549982,144.569310
1,16,18962,303392,18.210824,6.341000,6.341000,6.344633,166.570011,160.225378
1,16,23057,368912,18.492917,7.417648,7.417648,7.421242,148.350024,140.928781
1,16,47251,756016,19.528057,13.767109,13.767109,13.770828,170.650019,156.879191
1,16,74917,1198672,20.193006,21.258883,21.258883,21.262375,155.119982,133.857607
1,16,80231,1283696,20.291872,22.625859,22.625859,22.630086,166.509999,143.879913
1,16,107984,1727744,20.720458,29.941828,29.941828,29.945703,172.059983,142.114280
1,16,133762,2140192,21.029309,32.774562,32.774562,32.778367,163.530000,130.751632
1,16,140423,2246768,21.099420,34.384539,34.384539,34.388250,170.220039,135.831789
1,17,39,663,9.372865,1.036492,1.036492,1.040117,135.959999,134.919882
1,23,32710,752330,19.521006,14.228312,14.228312,14.232023,151.189975,136.957952
1,38,693,26334,14.684639,1.615117,1.615117,1.618594,143.800047,142.181453
1,64,12,768,9.584963,1.073476,1.073476,1.077273,145.610014,144.532741
1,64,16,1024,10.000000,1.055219,1.055219,1.058836,136.769959,135.711123
1,64,41,2624,11.357552,1.157781,1.157781,1.161750,142.149976,140.988226
1,64,76,4864,12.247928,1.240797,1.240797,1.244719,146.850012,145.605293
1,64,78,4992,12.285402,1.241742,1.241742,1.245383,135.229959,133.984576
1,64,137,8768,13.098032,1.331101,1.331101,1.335156,146.119972,144.784816
1,64,138,8832,13.108524,1.329906,1.329906,1.333844,138.030038,136.696194
1,64,645,41280,15.333155,1.949109,1.949109,1.952508,139.510026,137.557518
1,64,1002,64128,15.968667,2.225336,2.225336,2.228977,141.109980,138.881004
1,64,1025,65600,16.001408,2.355258,2.355258,2.358883,142.409990,140.051107
1,64,1130,72320,16.142107,2.360852,2.360852,2.364594,130.680040,128.315447
1,64,1961,125504,16.937374,3.331969,3.331969,3.335344,147.650018,144.314675
1,64,3389,216896,17.726644,4.872703,4.872703,4.876609,142.330013,137.453403
1,64,3494,223616,17.770664,5.009484,5.009484,5.013523,140.129996,135.116473
