d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.431766,1.431766,1.436570,162.049953,160.613383
1,1,16,16,4.000000,1.457008,1.457008,1.462234,167.760008,166.297774
1,1,18,18,4.169925,1.463195,1.463195,1.467891,160.429976,158.962085
1,1,25,25,4.643856,1.446352,1.446352,1.451609,185.259967,183.808358
1,1,40,40,5.321928,1.453805,1.453805,1.459102,156.580005,155.120903
1,1,61,61,5.930737,1.423328,1.423328,1.428336,157.999981,156.571645
1,1,87,87,6.442943,1.431648,1.431648,1.438047,158.720009,157.281962
1,1,102,102,6.672425,1.455125,1.455125,1.459984,177.250011,175.790026
1,1,120,120,6.906891,1.423742,1.423742,1.429453,156.490016,155.060563
1,1,157,157,7.294621,0.971516,0.971516,0.975961,160.869968,159.894007
1,1,354,354,8.467606,1.019727,1.019727,1.023531,152.320019,151.296488
1,1,1138,1138,10.152285,1.042859,1.042859,1.046758,159.770017,158.723260
1,1,1470,1470,10.521600,1.094375,1.094375,1.098398,157.480012,156.381613
1,1,1753,1753,10.775610,1.107328,1.107328,1.110891,157.609989,156.499099
1,1,1915,1915,10.903129,1.044508,1.044508,1.048531,156.980008,155.931477
1,1,2151,2151,11.070792,1.086227,1.086227,1.089680,158.709998,157.620318
1,1,2887,2887,11.495355,1.109398,1.109398,1.113750,159.839983,158.726233
1,1,3457,3457,11.755305,1.117992,1.117992,1.121984,157.139963,156.017978
1,1,5671,5671,12.469387,1.195281,1.195281,1.199047,159.499992,158.300945
1,1,27859,27859,14.765856,1.536016,1.536016,1.540469,157.159986,155.619517
1,1,58917,58917,15.846396,2.036172,2.036172,2.039883,171.830005,169.790122
1,1,60577,60577,15.886483,2.032289,2.032289,2.036516,172.669999,170.633484
1,1,109348,109348,16.738567,2.763102,2.763102,2.766758,168.450002,165.683244
1,1,159502,159502,17.283215,5.562523,5.562523,5.566305,169.209961,163.643657
1,2,7734,15468,13.916999,1.230492,1.230492,1.234617,158.029958,156.795340
1,8,10,80,6.321928,1.024156,1.024156,1.028633,155.640009,154.611377
1,8,18,144,7.169925,1.048070,1.048070,1.051773,156.740018,155.688244
1,8,44,352,8.459432,1.006524,1.006524,1.010148,154.279987,153.269839
1,8,48,384,8.584963,1.020383,1.020383,1.024484,157.990027,156.965543
1,8,53,424,8.727920,1.053906,1.053906,1.057992,154.100009,153.042017
1,8,116,928,9.857981,1.016000,1.016000,1.020008,150.289969,149.269961
1,8,124,992,9.954196,1.002914,1.002914,1.006492,164.689962,163.683470
1,8,218,1744,10.768184,1.008648,1.008648,1.012922,155.509973,154.497052
1,8,281,2248,11.134426,1.108070,1.108070,1.112117,154.029985,152.917868
1,8,395,3160,11.625709,1.074102,1.074102,1.077672,156.580005,155.502333
1,8,425,3400,11.731319,1.094867,1.094867,1.099023,154.720037,153.621014
1,8,487,3896,11.927778,1.070133,1.070133,1.074281,155.880000,154.805718
1,8,553,4424,12.111136,1.071859,1.071859,1.075773,156.910042,155.834269
1,8,848,6784,12.727920,1.073648,1.073648,1.077867,150.370004,149.292137
1,8,921,7368,12.847057,1.127461,1.127461,1.131398,165.299978,164.168580
1,8,1572,12576,13.618386,1.150133,1.150133,1.154250,162.360026,161.205776
1,8,5534,44272,15.434107,1.317102,1.317102,1.320992,154.279987,152.958995
1,8,7159,57272,15.805542,1.414031,1.414031,1.418141,151.700049,150.281909
1,8,8659,69272,16.079985,1.468289,1.468289,1.471891,157.559989,156.088098
1,8,18677,149416,17.188975,1.888266,1.888266,1.892266,158.380019,156.487753
1,8,19347,154776,17.239822,1.895727,1.895727,1.899547,151.949993,150.050446
1,8,23842,190736,17.541218,2.026906,2.026906,2.031016,154.510024,152.479008
1,8,27070,216560,17.724407,2.236344,2.236344,2.239828,166.610000,164.370172
1,8,89778,718224,19.454074,4.500398,4.500398,4.504383,161.969976,157.465593
1,8,143046,1144368,20.126120,8.339430,8.339430,8.342695,162.690005,154.347310
1,14,94,1316,10.361944,0.993187,0.993187,0.997297,151.810003,150.812707
1,15,5,75,6.228819,1.008664,1.008664,1.012648,151.689979,150.677331
1,16,8,128,7.000000,1.022352,1.022352,1.026570,162.799959,161.773389
1,16,10,160,7.321928,0.986539,0.986539,0.990781,159.210002,158.219220
1,16,15,240,7.906891,1.003297,1.003297,1.007758,159.179966,158.172209
1,16,25,400,8.643856,1.010227,1.010227,1.013789,150.899985,149.886196
1,16,63,1008,9.977280,1.016102,1.016102,1.019773,152.910012,151.890238
1,16,160,2560,11.321928,1.075109,1.075109,1.079062,154.980051,153.900988
1,16,182,2912,11.507795,1.067313,1.067313,1.071250,166.549988,165.478738
1,16,185,2960,11.531381,1.057031,1.057031,1.061156,156.520051,155.458895
1,16,237,3792,11.888743,1.106922,1.106922,1.111109,173.800043,172.688933
1,16,277,4432,12.113742,1.151227,1.151227,1.155164,162.279990,161.124826
1,16,293,4688,12.194757,1.128422,1.128422,1.132641,154.430047,153.297406
1,16,341,5456,12.413628,1.123711,1.123711,1.127289,161.490054,160.362765
1,16,436,6976,12.768184,1.125891,1.125891,1.129437,149.630010,148.500573
1,16,438,7008,12.774787,1.145969,1.145969,1.149891,151.849992,150.700102
1,16,483,7728,12.915879,1.125109,1.125109,1.129039,153.220026,152.090987
1,16,544,8704,13.087463,1.137445,1.137445,1.141133,157.659990,156.518857
1,16,659,10544,13.364135,1.168383,1.168383,1.172297,148.850027,147.677731
1,16,1255,20080,14.293472,1.173289,1.173289,1.177875,163.739955,162.562080
1,16,1535,24560,14.584023,1.211461,1.211461,1.215047,154.409965,153.194918
1,16,1887,30192,14.881879,1.298875,1.298875,1.302875,153.250003,151.947128
1,16,2232,35712,15.124121,1.296859,1.296859,1.300875,154.159963,152.859088
1,16,2665,42640,15.379920,1.315719,1.315719,1.319750,152.320019,151.000269
1,16,3083,49328,15.590119,1.346672,1.346672,1.351141,174.270011,172.918871
1,16,8979,143664,17.132339,1.860109,1.860109,1.863914,161.250005,159.386091
1,16,9371,149936,17.193987,1.901734,1.901734,1.905617,173.450040,171.544423
1,16,11455,183280,17.483690,2.036641,2.036641,2.040656,157.520000,155.479344
1,16,12530,200480,17.613099,2.095922,2.095922,2.100313,161.939999,159.839686
1,16,15615,249840,17.930645,2.276336,2.276336,2.280125,152.189983,149.909858
1,16,17811,284976,18.120481,2.473422,2.473422,2.476898,167.179969,164.703071
1,16,18962,303392,18.210824,2.517133,2.517133,2.521227,162.300013,159.778787
1,16,23057,368912,18.492917,2.882742,2.882742,2.886984,162.900018,160.013034
1,16,47251,756016,19.528057,4.627602,4.627602,4.631875,155.019981,150.388106
1,16,74917,1198672,20.193006,6.642703,6.642703,6.646430,170.109968,163.463539
1,16,80231,1283696,20.291872,6.999320,6.999320,7.003703,164.140016,157.136313
1,16,107984,1727744,20.720458,9.097711,9.097711,9.101273,167.969964,158.868690
1,16,133762,2140192,21.029309,9.954336,9.954336,9.958648,164.349971,154.391322
1,16,140423,2246768,21.099420,10.476523,10.476523,10.480336,175.060006,164.579670
1,17,39,663,9.372865,1.060461,1.060461,1.064727,156.199967,155.135240
1,23,32710,752330,19.521006,4.804617,4.804617,4.808867,175.850000,171.041133
1,38,693,26334,14.684639,1.259492,1.259492,1.263406,159.330026,158.066620
1,64,12,768,9.584963,1.022781,1.022781,1.026906,209.200021,208.173115
1,64,16,1024,10.000000,1.040508,1.040508,1.044289,152.699999,151.655710
1,64,41,2624,11.357552,1.123516,1.123516,1.127977,153.850007,152.722031
1,64,76,4864,12.247928,1.119789,1.119789,1.124031,150.030013,148.905982
1,64,78,4992,12.285402,1.119062,1.119062,1.123492,158.649986,157.526493
1,64,137,8768,13.098032,1.200859,1.200859,1.204570,151.150045,149.945475
1,64,138,8832,13.108524,1.201266,1.201266,1.205477,153.660018,152.454541
1,64,645,41280,15.333155,1.385844,1.385844,1.389523,150.299980,148.910457
1,64,1002,64128,15.968667,1.505008,1.505008,1.509031,158.359995,156.850964
