d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.934320,0.934320,0.938469,144.249992,143.311524
1,1,16,16,4.000000,0.934617,0.934617,0.937852,141.409982,140.472131
1,1,18,18,4.169925,0.933828,0.933828,0.937844,128.630025,127.692181
1,1,25,25,4.643856,0.947078,0.947078,0.951219,136.240036,135.288817
1,1,40,40,5.321928,0.935055,0.935055,0.938984,129.199994,128.261010
1,1,61,61,5.930737,0.933781,0.933781,0.937594,139.779993,138.842400
1,1,87,87,6.442943,0.935148,0.935148,0.938734,136.129966,135.191231
1,1,102,102,6.672425,0.973617,0.973617,0.977750,135.970011,134.992261
1,1,120,120,6.906891,0.933961,0.933961,0.938102,136.960007,136.021905
1,1,157,157,7.294621,0.940414,0.940414,0.944000,134.999980,134.055980
1,1,354,354,8.467606,0.982609,0.982609,0.985883,138.360017,137.374135
1,1,1138,1138,10.152285,1.039945,1.039945,1.043891,145.360013,144.316122
1,1,1470,1470,10.521600,1.014789,1.014789,1.018273,136.789982,135.771709
1,1,1753,1753,10.775610,1.099031,1.099031,1.102727,146.150007,145.047280
1,1,1915,1915,10.903129,1.058516,1.058516,1.062125,131.950015,130.887890
1,1,2151,2151,11.070792,1.097469,1.097469,1.101844,136.210001,135.108157
1,1,2887,2887,11.495355,1.053289,1.053289,1.057102,136.390037,135.332936
1,1,3457,3457,11.755305,1.075047,1.075047,1.078648,137.299998,136.221349
1,1,5671,5671,12.469387,1.098789,1.098789,1.102234,142.970006,141.867772
1,1,27859,27859,14.765856,1.378633,1.378633,1.382570,131.129986,129.747415
1,1,58917,58917,15.846396,1.834226,1.834226,1.838375,139.400014,137.561639
1,1,60577,60577,15.886483,1.817883,1.817883,1.821352,141.410041,139.588689
1,1,109348,109348,16.738567,2.385312,2.385312,2.389359,149.679952,147.290593
1,1,159502,159502,17.283215,5.073266,5.073266,5.076750,127.590029,122.513279
1,2,7734,15468,13.916999,1.170805,1.170805,1.174719,140.029995,138.855276
1,8,10,80,6.321928,0.992727,0.992727,0.996211,135.640032,134.643821
1,8,18,144,7.169925,0.990578,0.990578,0.993953,137.060008,136.066054
1,8,44,352,8.459432,1.006758,1.006758,1.010023,139.269978,138.259954
1,8,48,384,8.584963,0.989141,0.989141,0.992398,136.699993,135.707595
1,8,53,424,8.727920,0.994414,0.994414,0.998203,136.289978,135.291775
1,8,116,928,9.857981,0.989953,0.989953,0.993609,129.019958,128.026349
1,8,124,992,9.954196,1.001523,1.001523,1.005359,136.039976,135.034617
1,8,218,1744,10.768184,1.020703,1.020703,1.024742,135.209993,134.185251
1,8,281,2248,11.134426,0.997899,0.997899,1.000664,134.000031,132.999367
1,8,395,3160,11.625709,1.076508,1.076508,1.079586,146.940001,145.860415
1,8,425,3400,11.731319,1.043281,1.043281,1.047711,135.859998,134.812287
1,8,487,3896,11.927778,1.085477,1.085477,1.089313,135.170005,134.080692
1,8,553,4424,12.111136,1.029351,1.029351,1.033211,139.109965,138.076754
1,8,848,6784,12.727920,1.083883,1.083883,1.087609,134.890026,133.802417
1,8,921,7368,12.847057,1.083602,1.083602,1.087297,129.239983,128.152686
1,8,1572,12576,13.618386,1.146976,1.146976,1.151117,135.459995,134.308878
1,8,5534,44272,15.434107,1.257664,1.257664,1.261508,138.769974,137.508466
1,8,7159,57272,15.805542,1.334242,1.334242,1.338094,138.019968,136.681874
1,8,8659,69272,16.079985,1.389258,1.389258,1.393336,128.780026,127.386690
1,8,18677,149416,17.188975,1.639719,1.639719,1.643852,134.739967,133.096115
1,8,19347,154776,17.239822,1.645430,1.645430,1.649117,147.479994,145.830877
1,8,23842,190736,17.541218,1.773430,1.773430,1.776711,135.640032,133.863321
1,8,27070,216560,17.724407,1.857922,1.857922,1.861734,148.040010,146.178275
1,8,89778,718224,19.454074,3.484102,3.484102,3.487484,140.379998,136.892514
1,8,143046,1144368,20.126120,7.039695,7.039695,7.043500,138.089992,131.046492
1,14,94,1316,10.361944,1.023141,1.023141,1.027008,135.499984,134.472976
1,15,5,75,6.228819,1.000680,1.000680,1.004281,132.280053,131.275771
1,16,8,128,7.000000,1.014562,1.014562,1.018352,131.010020,129.991668
1,16,10,160,7.321928,1.037922,1.037922,1.041875,138.860021,137.818146
1,16,15,240,7.906891,1.032156,1.032156,1.035891,130.450004,129.414113
1,16,25,400,8.643856,1.032586,1.032586,1.035961,137.960014,136.924053
1,16,63,1008,9.977280,1.044727,1.044727,1.048578,149.669999,148.621421
1,16,160,2560,11.321928,1.043937,1.043937,1.047734,127.959996,126.912262
1,16,182,2912,11.507795,1.026484,1.026484,1.030742,129.440043,128.409300
1,16,185,2960,11.531381,1.033898,1.033898,1.037727,135.609997,134.572270
1,16,237,3792,11.888743,1.032156,1.032156,1.036016,135.819952,134.783936
1,16,277,4432,12.113742,1.096422,1.096422,1.100703,138.719974,137.619270
1,16,293,4688,12.194757,1.068117,1.068117,1.071570,137.049996,135.978425
1,16,341,5456,12.413628,1.068812,1.068812,1.072750,135.090027,134.017277
1,16,436,6976,12.768184,1.137258,1.137258,1.140984,134.799979,133.658994
1,16,438,7008,12.774787,1.111148,1.111148,1.114633,138.710020,137.595387
1,16,483,7728,12.915879,1.124687,1.124687,1.128758,149.040017,147.911259
1,16,544,8704,13.087463,1.123125,1.123125,1.126875,138.140051,137.013176
1,16,659,10544,13.364135,1.135977,1.135977,1.139477,146.510021,145.370545
1,16,1255,20080,14.293472,1.125516,1.125516,1.129477,136.899995,135.770518
1,16,1535,24560,14.584023,1.161516,1.161516,1.165219,134.350033,133.184815
1,16,1887,30192,14.881879,1.181664,1.181664,1.185344,139.049953,137.864609
1,16,2232,35712,15.124121,1.229766,1.229766,1.233234,134.309987,133.076752
1,16,2665,42640,15.379920,1.239570,1.239570,1.243867,137.910014,136.666147
1,16,3083,49328,15.590119,1.283008,1.283008,1.286992,153.960020,152.673028
1,16,8979,143664,17.132339,1.595305,1.595305,1.599219,136.799994,135.200775
1,16,9371,149936,17.193987,1.633766,1.633766,1.637367,147.900020,146.262653
1,16,11455,183280,17.483690,1.709195,1.709195,1.712883,135.429960,133.717077
1,16,12530,200480,17.613099,1.795297,1.795297,1.799359,143.730023,141.930664
1,16,15615,249840,17.930645,1.976312,1.976312,1.980352,134.909991,132.929640
1,16,17811,284976,18.120481,2.093195,2.093195,2.097234,144.119957,142.022722
1,16,18962,303392,18.210824,2.165430,2.165430,2.168875,147.350016,145.181141
1,16,23057,368912,18.492917,2.377930,2.377930,2.381836,134.770002,132.388166
1,16,47251,756016,19.528057,3.590562,3.590562,3.594695,140.669988,137.075293
1,16,74917,1198672,20.193006,4.947211,4.947211,4.951477,140.650023,135.698547
1,16,80231,1283696,20.291872,5.234969,5.234969,5.239086,142.280012,137.040926
1,16,107984,1727744,20.720458,6.669312,6.669312,6.673273,145.049999,138.376725
1,16,133762,2140192,21.029309,7.724125,7.724125,7.727594,145.550002,137.822409
1,16,140423,2246768,21.099420,8.057906,8.057906,8.061742,146.510021,138.448279
1,17,39,663,9.372865,0.980578,0.980578,0.984867,136.549992,135.565125
1,23,32710,752330,19.521006,3.656789,3.656789,3.660273,136.699993,133.039720
1,38,693,26334,14.684639,1.227961,1.227961,1.232008,138.150004,136.917996
1,64,12,768,9.584963,1.036922,1.036922,1.040859,137.030031,135.989171
1,64,16,1024,10.000000,1.053516,1.053516,1.057250,143.199984,142.142734
1,64,41,2624,11.357552,1.038430,1.038430,1.042281,136.060000,135.017719
1,64,76,4864,12.247928,1.147383,1.147383,1.151125,130.939996,129.788871
1,64,78,4992,12.285402,1.089539,1.089539,1.093742,138.259958,137.166216
1,64,137,8768,13.098032,1.128187,1.128187,1.132180,131.169974,130.037795
1,64,138,8832,13.108524,1.134258,1.134258,1.137875,134.439964,133.302089
1,64,645,41280,15.333155,1.234508,1.234508,1.237992,147.500017,146.262025
1,64,1002,64128,15.968667,1.349812,1.349812,1.353727,134.870003,133.516276
1,64,1025,65600,16.001408,1.443781,1.443781,1.447359,137.989991,136.542632
1,64,1130,72320,16.142107,1.368555,1.368555,1.372250,137.579977,136.207727
