d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.945539,0.945539,0.949586,135.350041,134.400455
1,1,16,16,4.000000,0.952398,0.952398,0.956344,139.250013,138.293669
1,1,18,18,4.169925,0.952656,0.952656,0.956352,135.389972,134.433620
1,1,25,25,4.643856,0.974984,0.974984,0.978383,134.419999,133.441616
1,1,40,40,5.321928,0.942914,0.942914,0.946852,148.029998,147.083146
1,1,61,61,5.930737,0.969789,0.969789,0.973594,144.860009,143.886415
1,1,87,87,6.442943,0.976945,0.976945,0.981188,138.010015,137.028827
1,1,102,102,6.672425,0.958781,0.958781,0.962625,135.210052,134.247427
1,1,120,120,6.906891,0.943633,0.943633,0.947461,140.529999,139.582538
1,1,157,157,7.294621,0.978414,0.978414,0.981812,150.649983,149.668171
1,1,354,354,8.467606,0.958406,0.958406,0.962852,134.849979,133.887127
1,1,1138,1138,10.152285,1.047375,1.047375,1.051102,137.800002,136.748900
1,1,1470,1470,10.521600,1.004984,1.004984,1.008258,139.290001,138.281743
1,1,1753,1753,10.775610,1.086945,1.086945,1.091203,137.439987,136.348784
1,1,1915,1915,10.903129,1.046797,1.046797,1.050602,136.060000,135.009398
1,1,2151,2151,11.070792,1.098875,1.098875,1.102586,137.920026,136.817440
1,1,2887,2887,11.495355,1.095406,1.095406,1.099000,136.460003,135.361003
1,1,3457,3457,11.755305,1.081758,1.081758,1.085703,134.350033,133.264330
1,1,5671,5671,12.469387,1.173789,1.173789,1.177742,135.730021,134.552279
1,1,27859,27859,14.765856,1.477031,1.477031,1.480859,148.060033,146.579174
1,1,58917,58917,15.846396,1.988055,1.988055,1.991633,146.469974,144.478342
1,1,60577,60577,15.886483,1.993164,1.993164,1.997094,140.749966,138.752872
1,1,109348,109348,16.738567,2.745555,2.745555,2.749586,140.290009,137.540423
1,1,159502,159502,17.283215,3.284141,3.284141,3.287500,152.680033,149.392533
1,2,7734,15468,13.916999,1.212070,1.212070,1.216352,144.630030,143.413679
1,8,10,80,6.321928,1.008523,1.008523,1.012203,139.819982,138.807779
1,8,18,144,7.169925,1.006383,1.006383,1.010352,137.770025,136.759673
1,8,44,352,8.459432,1.013867,1.013867,1.017586,136.680028,135.662442
1,8,48,384,8.584963,1.032023,1.032023,1.035852,151.149987,150.114135
1,8,53,424,8.727920,1.010258,1.010258,1.014117,136.790040,135.775923
1,8,116,928,9.857981,1.011563,1.011563,1.014844,135.280017,134.265173
1,8,124,992,9.954196,1.033508,1.033508,1.037250,149.459986,148.422736
1,8,218,1744,10.768184,1.031203,1.031203,1.034609,145.829981,144.795372
1,8,281,2248,11.134426,0.972672,0.972672,0.976297,149.669999,148.693702
1,8,395,3160,11.625709,1.053422,1.053422,1.057352,135.709997,134.652646
1,8,425,3400,11.731319,1.068812,1.068812,1.072727,138.939999,137.867272
1,8,487,3896,11.927778,1.055148,1.055148,1.058992,136.880029,135.821037
1,8,553,4424,12.111136,1.040070,1.040070,1.043648,138.429983,137.386335
1,8,848,6784,12.727920,1.106476,1.106476,1.110758,136.220013,135.109255
1,8,921,7368,12.847057,1.102164,1.102164,1.106242,136.700051,135.593809
1,8,1572,12576,13.618386,1.147234,1.147234,1.150852,138.650008,137.499156
