d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.414445,1.414445,1.420086,146.210019,144.789933
1,1,16,16,4.000000,1.415609,1.415609,1.421211,154.199952,152.778741
1,1,18,18,4.169925,1.417976,1.417976,1.424266,166.220008,164.795743
1,1,25,25,4.643856,1.408680,1.408680,1.414125,152.779976,151.365851
1,1,40,40,5.321928,1.435672,1.435672,1.440523,153.219968,151.779444
1,1,61,61,5.930737,1.413000,1.413000,1.418484,150.450040,149.031555
1,1,87,87,6.442943,1.414070,1.414070,1.419703,151.989982,150.570278
1,1,102,102,6.672425,1.416828,1.416828,1.422367,154.920039,153.497672
1,1,120,120,6.906891,1.421102,1.421102,1.426461,164.710043,163.283582
1,1,157,157,7.294621,0.936727,0.936727,0.940625,152.610010,151.669385
1,1,354,354,8.467606,0.987523,0.987523,0.991687,150.870008,149.878321
1,1,1138,1138,10.152285,1.091180,1.091180,1.094758,159.760006,158.665248
1,1,1470,1470,10.521600,1.045273,1.045273,1.049469,164.230005,163.180536
1,1,1753,1753,10.775610,1.057797,1.057797,1.062125,145.069964,144.007839
1,1,1915,1915,10.903129,1.076250,1.076250,1.080164,151.910004,150.829840
1,1,2151,2151,11.070792,1.132836,1.132836,1.136086,153.229979,152.093894
1,1,2887,2887,11.495355,1.091664,1.091664,1.095859,150.299980,149.204121
1,1,3457,3457,11.755305,1.142313,1.142313,1.145883,155.400019,154.254136
1,1,5671,5671,12.469387,1.171086,1.171086,1.174641,153.910019,152.735379
1,1,27859,27859,14.765856,1.568672,1.568672,1.573063,165.059988,163.486925
1,1,58917,58917,15.846396,2.020250,2.020250,2.023805,149.680011,147.656206
1,1,60577,60577,15.886483,2.062758,2.062758,2.066891,160.280033,158.213142
1,1,109348,109348,16.738567,2.753508,2.753508,2.757523,161.510019,158.752496
1,1,159502,159502,17.283215,5.516836,5.516836,5.520516,163.269986,157.749470
1,2,7734,15468,13.916999,1.182180,1.182180,1.185891,154.690002,153.504111
1,8,10,80,6.321928,1.039711,1.039711,1.043211,154.239999,153.196788
1,8,18,144,7.169925,1.039859,1.039859,1.043797,150.630018,149.586221
1,8,44,352,8.459432,1.032258,1.032258,1.036391,153.440051,152.403660
1,8,48,384,8.584963,1.035664,1.035664,1.039680,153.189991,152.150311
1,8,53,424,8.727920,1.023539,1.023539,1.027648,152.660010,151.632362
1,8,116,928,9.857981,1.042977,1.042977,1.046906,167.370017,166.323111
1,8,124,992,9.954196,1.011844,1.011844,1.015633,160.979980,159.964347
1,8,218,1744,10.768184,1.037109,1.037109,1.041125,155.500020,154.458895
1,8,281,2248,11.134426,1.038414,1.038414,1.042766,155.889953,154.847187
1,8,395,3160,11.625709,1.054773,1.054773,1.058914,169.229985,168.171071
1,8,425,3400,11.731319,1.089594,1.089594,1.093055,152.739987,151.646933
1,8,487,3896,11.927778,1.058867,1.058867,1.062758,152.759952,151.697195
1,8,553,4424,12.111136,1.068070,1.068070,1.071992,155.210029,154.138037
1,8,848,6784,12.727920,1.141211,1.141211,1.145250,151.849992,150.704742
1,8,921,7368,12.847057,1.167039,1.167039,1.170742,152.280030,151.109288
1,8,1572,12576,13.618386,1.196250,1.196250,1.200180,155.859976,154.659796
1,8,5534,44272,15.434107,1.315266,1.315266,1.319758,161.400007,160.080249
1,8,7159,57272,15.805542,1.420297,1.420297,1.424633,156.469992,155.045360
1,8,8659,69272,16.079985,1.460984,1.460984,1.464750,167.060003,165.595253
1,8,18677,149416,17.188975,1.851492,1.851492,1.855523,162.219978,160.364455
1,8,19347,154776,17.239822,1.891922,1.891922,1.896352,166.920014,165.023662
1,8,23842,190736,17.541218,2.029227,2.029227,2.033258,161.389995,159.356737
1,8,27070,216560,17.724407,2.164742,2.164742,2.168789,154.370035,152.201246
1,8,89778,718224,19.454074,4.334008,4.334008,4.338250,158.559997,154.221747
1,8,143046,1144368,20.126120,8.227172,8.227172,8.231250,165.520003,157.288753
1,14,94,1316,10.361944,1.095938,1.095938,1.099547,166.429963,165.330417
1,15,5,75,6.228819,1.033148,1.033148,1.037742,150.840031,149.802289
1,16,8,128,7.000000,1.017094,1.017094,1.020883,152.900000,151.879117
1,16,10,160,7.321928,1.051133,1.051133,1.055156,152.869034,151.813877
1,16,15,240,7.906891,1.074516,1.074516,1.078742,150.330015,149.251273
1,16,25,400,8.643856,1.073148,1.073148,1.077477,154.359965,153.282488
1,16,63,1008,9.977280,1.044930,1.044930,1.048906,152.220018,151.171112
1,16,160,2560,11.321928,1.060148,1.060148,1.064266,156.730006,155.665740
1,16,182,2912,11.507795,1.047750,1.047750,1.052008,156.539958,155.487950
1,16,185,2960,11.531381,1.065633,1.065633,1.069742,142.490026,141.420283
1,16,237,3792,11.888743,1.108219,1.108219,1.112242,154.560024,153.447782
1,16,277,4432,12.113742,1.100664,1.100664,1.104977,152.180030,151.075053
1,16,293,4688,12.194757,1.115727,1.115727,1.119508,152.369961,151.250453
1,16,341,5456,12.413628,1.081492,1.081492,1.085289,152.169960,151.084671
1,16,436,6976,12.768184,1.121578,1.121578,1.125367,146.180042,145.054675
1,16,438,7008,12.774787,1.158023,1.158023,1.162039,159.060000,157.897961
1,16,483,7728,12.915879,1.088703,1.088703,1.093125,152.900000,151.806875
1,16,544,8704,13.087463,1.135211,1.135211,1.139000,207.969977,206.830977
1,16,659,10544,13.364135,1.133961,1.133961,1.138117,156.489958,155.351840
1,16,1255,20080,14.293472,1.168211,1.168211,1.171773,154.670037,153.498263
1,16,1535,24560,14.584023,1.211383,1.211383,1.215492,152.139983,150.924490
1,16,1887,30192,14.881879,1.257586,1.257586,1.261180,156.599970,155.338790
1,16,2232,35712,15.124121,1.281117,1.281117,1.284922,154.610025,153.325103
1,16,2665,42640,15.379920,1.340086,1.340086,1.344133,157.190021,155.845888
1,16,3083,49328,15.590119,1.374055,1.374055,1.377508,153.380039,152.002531
1,16,8979,143664,17.132339,1.875906,1.875906,1.879727,155.779999,153.900272
1,16,9371,149936,17.193987,1.901852,1.901852,1.905625,152.669963,150.764338
1,16,11455,183280,17.483690,2.011953,2.011953,2.015633,151.310000,149.294367
1,16,12530,200480,17.613099,2.053086,2.053086,2.057508,151.810003,149.752496
1,16,15615,249840,17.930645,2.266008,2.266008,2.269867,157.340022,155.070155
1,16,17811,284976,18.120481,2.517484,2.517484,2.521156,148.120045,145.598889
1,16,18962,303392,18.210824,2.519875,2.519875,2.523859,151.770015,149.246155
1,16,23057,368912,18.492917,2.816203,2.816203,2.820586,149.639964,146.819378
1,16,47251,756016,19.528057,4.491836,4.491836,4.495742,172.920001,168.424259
1,16,74917,1198672,20.193006,6.475430,6.475430,6.480102,156.959984,150.479883
1,16,80231,1283696,20.291872,6.869750,6.869750,6.873891,155.900023,149.026132
1,16,107984,1727744,20.720458,8.832187,8.832187,8.836508,157.609989,148.773482
1,16,133762,2140192,21.029309,10.152766,10.152766,10.157008,164.150028,153.993020
1,16,140423,2246768,21.099420,10.466180,10.466180,10.470703,178.189948,167.719245
1,17,39,663,9.372865,1.063031,1.063031,1.066805,152.710010,151.643206
1,23,32710,752330,19.521006,4.627531,4.627531,4.631422,161.100004,156.468583
1,38,693,26334,14.684639,1.282172,1.282172,1.286523,147.300016,146.013492
1,64,12,768,9.584963,1.050227,1.050227,1.054039,151.020009,149.965970
1,64,16,1024,10.000000,1.083930,1.083930,1.087641,158.009992,156.922352
1,64,41,2624,11.357552,1.087477,1.087477,1.091367,144.569960,143.478593
1,64,76,4864,12.247928,1.112727,1.112727,1.116875,153.520028,152.403153
1,64,78,4992,12.285402,1.164008,1.164008,1.168492,169.160019,167.991527
1,64,137,8768,13.098032,1.195141,1.195141,1.199500,151.089975,149.890475
1,64,138,8832,13.108524,1.138445,1.138445,1.142773,156.800030,155.657256
1,64,645,41280,15.333155,1.354242,1.354242,1.358703,153.220026,151.861323
1,64,1002,64128,15.968667,1.458656,1.458656,1.462437,153.539993,152.077556
1,64,1025,65600,16.001408,1.458250,1.458250,1.462375,152.610010,151.147635
