d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.418226,1.418226,1.423961,151.820015,150.396054
1,1,16,16,4.000000,1.426672,1.426672,1.432484,156.059978,154.627493
1,1,18,18,4.169925,1.421672,1.421672,1.427023,153.880042,152.453019
1,1,25,25,4.643856,1.429508,1.429508,1.434781,155.099959,153.665177
1,1,40,40,5.321928,1.407226,1.407226,1.413000,154.419977,153.006977
1,1,61,61,5.930737,1.428211,1.428211,1.433867,153.079978,151.646111
1,1,87,87,6.442943,1.429609,1.429609,1.434742,144.579972,143.145229
1,1,102,102,6.672425,1.422930,1.422930,1.427992,149.839965,148.411973
1,1,120,120,6.906891,1.439586,1.439586,1.445344,147.929997,146.484653
1,1,157,157,7.294621,0.946695,0.946695,0.950375,146.039994,145.089619
1,1,354,354,8.467606,0.995430,0.995430,1.000203,154.750014,153.749811
1,1,1138,1138,10.152285,1.031102,1.031102,1.035367,147.890009,146.854641
1,1,1470,1470,10.521600,1.061961,1.061961,1.066469,151.699991,150.633522
1,1,1753,1753,10.775610,1.076234,1.076234,1.080031,147.690007,146.609976
1,1,1915,1915,10.903129,1.088172,1.088172,1.092773,149.280007,148.187234
1,1,2151,2151,11.070792,1.164984,1.164984,1.168687,152.520020,151.351333
1,1,2887,2887,11.495355,1.067883,1.067883,1.072016,152.289984,151.217968
1,1,3457,3457,11.755305,1.139344,1.139344,1.143141,157.259987,156.116846
1,1,5671,5671,12.469387,1.150133,1.150133,1.154242,145.650003,144.495761
1,1,27859,27859,14.765856,1.558914,1.558914,1.563125,148.980005,147.416880
1,1,58917,58917,15.846396,2.008008,2.008008,2.012367,152.179971,150.167604
1,1,60577,60577,15.886483,2.073102,2.073102,2.076781,158.069946,155.993165
1,1,109348,109348,16.738567,2.762586,2.762586,2.766742,181.790034,179.023292
1,1,159502,159502,17.283215,5.394133,5.394133,5.398258,152.189983,146.791725
1,2,7734,15468,13.916999,1.239641,1.239641,1.244117,153.739995,152.495878
1,8,10,80,6.321928,1.021484,1.021484,1.025172,150.370004,149.344832
1,8,18,144,7.169925,1.025852,1.025852,1.029648,153.589994,152.560345
1,8,44,352,8.459432,1.020953,1.020953,1.025000,152.360008,151.335008
1,8,48,384,8.584963,1.014383,1.014383,1.018391,158.209994,157.191603
