d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.407695,1.407695,1.412703,154.269976,152.857272
1,1,16,16,4.000000,1.440219,1.440219,1.445836,149.140018,147.694182
1,1,18,18,4.169925,1.429219,1.429219,1.434508,152.640045,151.205537
1,1,25,25,4.643856,1.425383,1.425383,1.430500,151.209999,149.779499
1,1,40,40,5.321928,1.441188,1.441188,1.446133,147.989951,146.543818
1,1,61,61,5.930737,1.409375,1.409375,1.414758,154.479989,153.065231
1,1,87,87,6.442943,1.421750,1.421750,1.427758,155.350019,153.922261
1,1,102,102,6.672425,1.423008,1.423008,1.429063,151.490036,150.060973
1,1,120,120,6.906891,1.434883,1.434883,1.440141,152.029970,150.589830
1,1,157,157,7.294621,0.944039,0.944039,0.948367,154.779991,153.831624
1,1,354,354,8.467606,1.007016,1.007016,1.011094,151.159998,150.148905
1,1,1138,1138,10.152285,1.024891,1.024891,1.029148,151.360000,150.330852
1,1,1470,1470,10.521600,1.049859,1.049859,1.053906,151.580025,150.526119
1,1,1753,1753,10.775610,1.067516,1.067516,1.071484,153.120025,152.048541
1,1,1915,1915,10.903129,1.075727,1.075727,1.079617,151.270011,150.190394
1,1,2151,2151,11.070792,1.079727,1.079727,1.083906,149.369997,148.286090
1,1,2887,2887,11.495355,1.099711,1.099711,1.103719,152.460008,151.356290
1,1,3457,3457,11.755305,1.102594,1.102594,1.106617,152.850000,151.743383
1,1,5671,5671,12.469387,1.169211,1.169211,1.173023,151.310000,150.136976
1,1,27859,27859,14.765856,1.603352,1.603352,1.606781,157.780014,156.173233
1,1,58917,58917,15.846396,2.016414,2.016414,2.020734,157.770002,155.749268
1,1,60577,60577,15.886483,2.055672,2.055672,2.059016,155.119982,153.060966
1,1,109348,109348,16.738567,2.783883,2.783883,2.788016,150.979962,148.191947
1,1,159502,159502,17.283215,5.516344,5.516344,5.520867,151.669956,146.149089
1,2,7734,15468,13.916999,1.200102,1.200102,1.204258,157.380011,156.175753
1,8,10,80,6.321928,1.047086,1.047086,1.051219,154.729991,153.678772
1,8,18,144,7.169925,1.009539,1.009539,1.013391,163.369987,162.356596
1,8,44,352,8.459432,1.044063,1.044063,1.047969,155.219983,154.172014
1,8,48,384,8.584963,1.047875,1.047875,1.052125,150.259992,149.207867
1,8,53,424,8.727920,1.045094,1.045094,1.048750,150.540029,149.491279
1,8,116,928,9.857981,1.034391,1.034391,1.038641,151.399989,150.361348
1,8,124,992,9.954196,1.034727,1.034727,1.038609,157.100032,156.061423
1,8,218,1744,10.768184,1.062023,1.062023,1.066047,153.789995,152.723948
1,8,281,2248,11.134426,1.032508,1.032508,1.036375,155.789952,154.753577
1,8,395,3160,11.625709,1.057266,1.057266,1.061477,152.469962,151.408485
1,8,425,3400,11.731319,1.104719,1.104719,1.108547,149.180007,148.071460
1,8,487,3896,11.927778,1.057852,1.057852,1.062000,152.539986,151.477986
1,8,553,4424,12.111136,1.085023,1.085023,1.089133,150.799984,149.710851
1,8,848,6784,12.727920,1.071734,1.071734,1.075680,163.459976,162.384296
1,8,921,7368,12.847057,1.088984,1.088984,1.092797,151.190034,150.097237
1,8,1572,12576,13.618386,1.215094,1.215094,1.218891,150.899985,149.681094
1,8,5534,44272,15.434107,1.329516,1.329516,1.333781,154.510024,153.176243
1,8,7159,57272,15.805542,1.425742,1.425742,1.430000,154.130044,152.700044
1,8,8659,69272,16.079985,1.415508,1.415508,1.419750,152.480032,151.060282
1,8,18677,149416,17.188975,1.890547,1.890547,1.894898,149.930012,148.035114
1,8,19347,154776,17.239822,1.889328,1.889328,1.893219,152.029970,150.136751
1,8,23842,190736,17.541218,2.009031,2.009031,2.013273,160.279975,158.266701
1,8,27070,216560,17.724407,2.128891,2.128891,2.133359,164.230005,162.096645
1,8,89778,718224,19.454074,4.306883,4.306883,4.311047,154.219975,149.908928
1,8,143046,1144368,20.126120,8.264578,8.264578,8.268250,159.939984,151.671734
1,14,94,1316,10.361944,1.086539,1.086539,1.090234,152.270019,151.179784
1,15,5,75,6.228819,1.004703,1.004703,1.009352,168.200000,167.190649
1,16,8,128,7.000000,1.024844,1.024844,1.028648,159.030023,158.001375
1,16,10,160,7.321928,1.040086,1.040086,1.044000,152.609951,151.565951
1,16,15,240,7.906891,1.045969,1.045969,1.049547,151.720014,150.670468
1,16,25,400,8.643856,1.022133,1.022133,1.026273,155.359972,154.333699
1,16,63,1008,9.977280,1.041352,1.041352,1.045266,147.410028,146.364763
1,16,160,2560,11.321928,1.048289,1.048289,1.052656,156.919996,155.867340
1,16,182,2912,11.507795,1.053383,1.053383,1.057414,148.069987,147.012573
1,16,185,2960,11.531381,1.099805,1.099805,1.104398,153.460016,152.355618
1,16,237,3792,11.888743,1.083211,1.083211,1.087742,148.680003,147.592261
1,16,277,4432,12.113742,1.101586,1.101586,1.105172,163.980003,162.874831
1,16,293,4688,12.194757,1.074680,1.074680,1.079133,153.670029,152.590896
1,16,341,5456,12.413628,1.086852,1.086852,1.090648,152.649998,151.559350
1,16,436,6976,12.768184,1.106984,1.106984,1.110906,149.190018,148.079112
1,16,438,7008,12.774787,1.122891,1.122891,1.126555,154.719979,153.593424
1,16,483,7728,12.915879,1.120125,1.120125,1.124258,166.089972,164.965715
1,16,544,8704,13.087463,1.128531,1.128531,1.133023,155.150017,154.016994
1,16,659,10544,13.364135,1.159594,1.159594,1.163508,151.460001,150.296493
1,16,1255,20080,14.293472,1.165484,1.165484,1.169648,157.830014,156.660366
1,16,1535,24560,14.584023,1.199766,1.199766,1.203531,153.700006,152.496475
1,16,1887,30192,14.881879,1.285648,1.285648,1.289672,148.539955,147.250283
1,16,2232,35712,15.124121,1.278133,1.278133,1.282602,151.310000,150.027398
1,16,2665,42640,15.379920,1.336211,1.336211,1.340461,152.010005,150.669544
1,16,3083,49328,15.590119,1.344813,1.344813,1.348273,150.720007,149.371733
1,16,8979,143664,17.132339,1.815945,1.815945,1.819766,158.420007,156.600242
1,16,9371,149936,17.193987,1.887781,1.887781,1.892117,148.129999,146.237882
1,16,11455,183280,17.483690,2.029406,2.029406,2.033180,176.029978,173.996799
1,16,12530,200480,17.613099,2.046578,2.046578,2.050320,150.840031,148.789711
1,16,15615,249840,17.930645,2.347023,2.347023,2.351250,151.779968,149.428718
1,16,17811,284976,18.120481,2.477156,2.477156,2.481211,151.999993,149.518782
1,16,18962,303392,18.210824,2.497922,2.497922,2.502242,159.340037,156.837795
1,16,23057,368912,18.492917,2.818883,2.818883,2.822766,152.729976,149.907210
1,16,47251,756016,19.528057,4.496141,4.496141,4.500117,158.409995,153.909878
1,16,74917,1198672,20.193006,6.464375,6.464375,6.468109,159.760006,153.291896
1,16,80231,1283696,20.291872,6.849500,6.849500,6.853852,162.850018,155.996166
1,16,107984,1727744,20.720458,8.812242,8.812242,8.816148,168.410013,159.593865
1,16,133762,2140192,21.029309,10.055117,10.055117,10.059227,152.810011,142.750784
1,16,140423,2246768,21.099420,10.440648,10.440648,10.444641,154.390000,143.945359
1,17,39,663,9.372865,1.026172,1.026172,1.030227,154.879992,153.849765
1,23,32710,752330,19.521006,4.614586,4.614586,4.618531,157.740025,153.121494
1,38,693,26334,14.684639,1.310672,1.310672,1.314898,152.880035,151.565136
1,64,12,768,9.584963,1.039281,1.039281,1.043406,158.840034,157.796627
1,64,16,1024,10.000000,1.060109,1.060109,1.065016,149.150030,148.085014
1,64,41,2624,11.357552,1.089219,1.089219,1.093109,151.229964,150.136855
1,64,76,4864,12.247928,1.112078,1.112078,1.115633,150.770007,149.654374
1,64,78,4992,12.285402,1.134789,1.134789,1.138766,148.609979,147.471213
1,64,137,8768,13.098032,1.159398,1.159398,1.163500,153.219968,152.056468
1,64,138,8832,13.108524,1.156844,1.156844,1.160664,152.900000,151.739336
1,64,645,41280,15.333155,1.381570,1.381570,1.385703,152.799999,151.414296
1,64,1002,64128,15.968667,1.430367,1.430367,1.434055,182.699994,181.265940
1,64,1025,65600,16.001408,1.435375,1.435375,1.439305,154.579990,153.140685
1,64,1130,72320,16.142107,1.460703,1.460703,1.464398,155.040005,153.575606
1,64,1961,125504,16.937374,1.753031,1.753031,1.757000,151.980028,150.223028
1,64,3389,216896,17.726644,2.154680,2.154680,2.158992,160.829979,158.670987
1,64,3494,223616,17.770664,2.173008,2.173008,2.177148,154.209964,152.032815
1,64,4137,264768,18.014369,2.388695,2.388695,2.392523,154.710026,152.317502
1,64,4919,314816,18.264149,2.569680,2.569680,2.574117,161.939999,159.365882
1,64,12279,785856,19.583905,4.669992,4.669992,4.674023,156.130001,151.455978
1,64,14850,950400,19.858175,5.389961,5.389961,5.393867,163.949968,158.556101
1,64,15177,971328,19.889599,5.472063,5.472063,5.475773,159.849995,154.374221
1,64,21843,1397952,20.414883,7.373219,7.373219,7.376664,159.780029,152.403365
1,64,26648,1705472,20.701740,8.754687,8.754687,8.759344,171.010033,162.250689
1,64,44133,2824512,21.429570,12.843453,12.843453,12.846914,157.449977,144.603063
1,64,47390,3032960,21.532295,13.867680,13.867680,13.871664,171.699969,157.828305
1,64,54202,3468928,21.726058,15.666609,15.666609,15.670641,165.270001,149.599361
1,64,70342,4501888,22.102099,20.095766,20.095766,20.099797,165.359990,145.260193
1,64,91122,5831808,22.475512,25.497070,25.497070,25.500523,175.420020,149.919497
1,64,93296,5970944,22.509528,26.072633,26.072633,26.076742,173.849985,147.773243
1,64,108771,6961344,22.730934,30.539328,30.539328,30.544000,178.069982,147.525982
1,92,10719,986148,19.911445,5.693578,5.693578,5.697289,162.409968,156.712679
1,128,9,1152,10.169925,1.069656,1.069656,1.073336,149.790023,148.716687
1,128,10,1280,10.321928,1.045570,1.045570,1.049750,154.089998,153.040248
1,128,11,1408,10.459432,1.069328,1.069328,1.073562,150.030013,148.956451
1,128,17,2176,11.087463,1.062727,1.062727,1.066977,151.170010,150.103034
1,128,21,2688,11.392317,1.058719,1.058719,1.062891,152.810011,151.747120
1,128,31,3968,11.954196,1.075766,1.075766,1.080008,152.299996,151.219988
1,128,59,7552,12.882643,1.166406,1.166406,1.169906,148.110033,146.940127
1,128,217,27776,14.761551,1.253375,1.253375,1.257172,150.880020,149.622848
1,128,233,29824,14.864186,1.269984,1.269984,1.274109,151.099986,149.825877
1,128,320,40960,15.321928,1.311391,1.311391,1.315477,155.900023,154.584546
1,128,434,55552,15.761551,1.370719,1.370719,1.374750,155.479996,154.105246
1,128,448,57344,15.807355,1.430133,1.430133,1.434133,161.770033,160.335900
1,128,1883,241024,17.878817,2.241773,2.241773,2.246094,168.339990,166.093896
1,128,2274,291072,18.151017,2.510727,2.510727,2.514523,160.399999,157.885476
1,128,3125,400000,18.609640,3.000227,3.000227,3.004250,162.470038,159.465788
1,128,5232,669696,19.353147,4.173883,4.173883,4.178023,152.399996,148.221973
1,128,6775,867200,19.726005,5.073734,5.073734,5.077641,152.089982,147.012342
