d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.925719,0.925719,0.929242,151.379965,150.450723
1,1,16,16,4.000000,0.932539,0.932539,0.936367,155.050016,154.113649
1,1,18,18,4.169925,0.949430,0.949430,0.953602,156.259979,155.306378
1,1,25,25,4.643856,0.925555,0.925555,0.929602,157.809991,156.880389
1,1,40,40,5.321928,0.925539,0.925539,0.929711,149.169995,148.240284
1,1,61,61,5.930737,0.942578,0.942578,0.946453,152.810011,151.863558
1,1,87,87,6.442943,0.924859,0.924859,0.929367,156.780006,155.850639
1,1,102,102,6.672425,0.928133,0.928133,0.932063,161.900010,160.967948
1,1,120,120,6.906891,0.932750,0.932750,0.936836,154.111010,153.174174
1,1,157,157,7.294621,0.945133,0.945133,0.948859,153.120025,152.171166
1,1,354,354,8.467606,0.956219,0.956219,0.960336,156.219990,155.259654
1,1,1138,1138,10.152285,1.054914,1.054914,1.058602,153.630041,152.571439
1,1,1470,1470,10.521600,0.970094,0.970094,0.973844,161.969976,160.996132
1,1,1753,1753,10.775610,1.078812,1.078812,1.083102,150.480017,149.396915
1,1,1915,1915,10.903129,1.086453,1.086453,1.090266,151.500048,150.409782
1,1,2151,2151,11.070792,1.049867,1.049867,1.053742,155.190006,154.136264
1,1,2887,2887,11.495355,1.036391,1.036391,1.040125,157.879957,156.839832
1,1,3457,3457,11.755305,1.064758,1.064758,1.068617,152.819965,151.751347
1,1,5671,5671,12.469387,1.107828,1.107828,1.111609,150.129956,149.018346
1,1,27859,27859,14.765856,1.354844,1.354844,1.358500,156.349968,154.991468
1,1,58917,58917,15.846396,1.732258,1.732258,1.735891,153.150002,151.414111
1,1,60577,60577,15.886483,1.740500,1.740500,1.744133,151.520013,149.775880
1,1,109348,109348,16.738567,2.243055,2.243055,2.246828,158.780022,156.533193
1,1,159502,159502,17.283215,4.952672,4.952672,4.956141,172.330008,167.373868
1,2,7734,15468,13.916999,1.141547,1.141547,1.145250,152.380031,151.234781
1,8,10,80,6.321928,0.982492,0.982492,0.986328,150.450040,149.463711
1,8,18,144,7.169925,0.988820,0.988820,0.992828,159.510004,158.517176
1,8,44,352,8.459432,1.001562,1.001562,1.005242,166.639977,165.634734
1,8,48,384,8.584963,1.004977,1.004977,1.008586,152.180030,151.171444
1,8,53,424,8.727920,1.002508,1.002508,1.006117,163.999968,162.993851
1,8,116,928,9.857981,0.984812,0.984812,0.988773,157.479953,156.491180
1,8,124,992,9.954196,0.981203,0.981203,0.985102,160.760013,159.774912
1,8,218,1744,10.768184,1.027016,1.027016,1.030727,152.060005,151.029279
1,8,281,2248,11.134426,0.969172,0.969172,0.972977,154.179987,153.207010
1,8,395,3160,11.625709,1.037687,1.037687,1.041969,151.330023,150.288054
1,8,425,3400,11.731319,1.019422,1.019422,1.023109,154.400012,153.376902
1,8,487,3896,11.927778,1.034390,1.034390,1.038430,156.390015,155.351585
1,8,553,4424,12.111136,1.022297,1.022297,1.026211,155.020040,153.993829
1,8,848,6784,12.727920,1.112664,1.112664,1.116688,154.360023,153.243335
1,8,921,7368,12.847057,1.127461,1.127461,1.131359,159.570016,158.438657
1,8,1572,12576,13.618386,1.132383,1.132383,1.136250,157.920003,156.783753
1,8,5534,44272,15.434107,1.235383,1.235383,1.239109,160.950003,159.710894
1,8,7159,57272,15.805542,1.280531,1.280531,1.284148,152.580033,151.295884
1,8,8659,69272,16.079985,1.346281,1.346281,1.350203,153.220026,151.869823
