d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.951148,0.951148,0.955125,159.959949,159.004824
1,1,16,16,4.000000,0.942695,0.942695,0.946578,152.659952,151.713374
1,1,18,18,4.169925,0.927375,0.927375,0.930883,153.879984,152.949101
1,1,25,25,4.643856,0.928758,0.928758,0.932367,153.919973,152.987606
1,1,40,40,5.321928,0.935234,0.935234,0.939273,151.710003,150.770729
1,1,61,61,5.930737,0.937476,0.937476,0.941609,154.019974,153.078364
1,1,87,87,6.442943,0.927891,0.927891,0.931711,152.900000,151.968289
1,1,102,102,6.672425,0.927789,0.927789,0.931500,154.100009,153.168509
1,1,120,120,6.906891,0.927633,0.927633,0.931578,149.369997,148.438418
1,1,157,157,7.294621,0.939390,0.939390,0.943516,157.920003,156.976488
1,1,354,354,8.467606,0.973422,0.973422,0.977148,157.939969,156.962820
1,1,1138,1138,10.152285,1.014297,1.014297,1.017859,152.460008,151.442149
1,1,1470,1470,10.521600,1.025398,1.025398,1.029234,157.770002,156.740768
1,1,1753,1753,10.775610,1.041172,1.041172,1.045125,154.999958,153.954833
1,1,1915,1915,10.903129,1.032281,1.032281,1.035984,153.319968,152.283984
1,1,2151,2151,11.070792,1.086320,1.086320,1.090352,152.639986,151.549635
1,1,2887,2887,11.495355,1.060305,1.060305,1.063906,170.429994,169.366088
1,1,3457,3457,11.755305,1.110047,1.110047,1.113984,154.520036,153.406051
1,1,5671,5671,12.469387,1.091656,1.091656,1.095945,154.819980,153.724034
1,1,27859,27859,14.765856,1.330148,1.330148,1.333734,161.360018,160.026284
1,1,58917,58917,15.846396,1.774195,1.774195,1.777734,157.620001,155.842267
1,1,60577,60577,15.886483,1.726531,1.726531,1.730133,157.260045,155.529912
1,1,109348,109348,16.738567,2.246680,2.246680,2.250484,168.410013,166.159529
1,1,159502,159502,17.283215,2.527070,2.527070,2.531016,155.980000,153.448985
1,2,7734,15468,13.916999,1.150867,1.150867,1.154344,153.159956,152.005612
1,8,10,80,6.321928,0.989539,0.989539,0.993594,152.240042,151.246448
1,8,18,144,7.169925,0.984727,0.984727,0.988219,157.400034,156.411816
1,8,44,352,8.459432,0.998750,0.998750,1.002461,185.669982,184.667521
1,8,48,384,8.584963,0.986570,0.986570,0.990625,157.649978,156.659353
1,8,53,424,8.727920,0.989344,0.989344,0.992867,157.570001,156.577134
1,8,116,928,9.857981,0.992414,0.992414,0.996008,155.129994,154.133986
1,8,124,992,9.954196,0.998539,0.998539,1.002266,155.300018,154.297753
1,8,218,1744,10.768184,1.049039,1.049039,1.052500,152.660010,151.607510
1,8,281,2248,11.134426,0.990508,0.990508,0.994102,162.000011,161.005910
1,8,395,3160,11.625709,1.050625,1.050625,1.054234,164.880010,163.825775
1,8,425,3400,11.731319,1.041766,1.041766,1.045617,151.179964,150.134347
1,8,487,3896,11.927778,1.036500,1.036500,1.040234,153.829984,152.789750
1,8,553,4424,12.111136,1.018984,1.018984,1.022734,155.769987,154.747253
1,8,848,6784,12.727920,1.091648,1.091648,1.095367,153.639994,152.544627
1,8,921,7368,12.847057,1.088805,1.088805,1.092734,152.049994,150.957259
1,8,1572,12576,13.618386,1.160484,1.160484,1.164086,153.239991,152.075905
1,8,5534,44272,15.434107,1.232516,1.232516,1.236578,154.239999,153.003420
1,8,7159,57272,15.805542,1.284531,1.284531,1.288695,155.079993,153.791298
1,8,8659,69272,16.079985,1.340898,1.340898,1.344758,159.479969,158.135211
1,8,18677,149416,17.188975,1.619891,1.619891,1.623617,157.399976,155.776359
1,8,19347,154776,17.239822,1.631117,1.631117,1.634719,166.049984,164.415265
1,8,23842,190736,17.541218,1.710469,1.710469,1.714367,169.489998,167.775631
1,8,27070,216560,17.724407,1.804422,1.804422,1.807617,153.319968,151.512351
1,8,89778,718224,19.454074,3.403250,3.403250,3.407555,163.129997,159.722442
1,8,143046,1144368,20.126120,3.967289,3.967289,3.970992,158.170005,154.199013
1,14,94,1316,10.361944,1.009930,1.009930,1.013961,159.299991,158.286030
1,15,5,75,6.228819,0.968266,0.968266,0.971969,161.819975,160.848006
1,16,8,128,7.000000,0.993531,0.993531,0.997117,161.950011,160.952894
1,16,10,160,7.321928,1.015703,1.015703,1.019352,167.270016,166.250665
1,16,15,240,7.906891,1.025625,1.025625,1.029555,164.688972,163.659418
1,16,25,400,8.643856,1.041602,1.041602,1.044977,158.040028,156.995051
1,16,63,1008,9.977280,1.050078,1.050078,1.054023,166.710000,165.655977
