d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.545117,0.545117,0.549539,137.139985,136.590446
1,1,16,16,4.000000,0.544859,0.544859,0.549414,143.599987,143.050573
1,1,18,18,4.169925,0.544422,0.544422,0.549617,144.480029,143.930412
1,1,25,25,4.643856,0.544258,0.544258,0.548781,146.910024,146.361243
1,1,40,40,5.321928,0.544750,0.544750,0.549375,142.459990,141.910615
1,1,61,61,5.930737,0.544922,0.544922,0.549398,161.589996,161.040598
1,1,87,87,6.442943,0.544539,0.544539,0.549492,140.649965,140.100473
1,1,102,102,6.672425,0.545531,0.545531,0.549703,149.759988,149.210285
1,1,120,120,6.906891,0.545211,0.545211,0.549250,147.840008,147.290758
1,1,157,157,7.294621,0.546149,0.546149,0.550625,142.460049,141.909424
1,1,354,354,8.467606,0.546922,0.546922,0.551531,149.640022,149.088491
1,1,1138,1138,10.152285,0.553172,0.553172,0.558109,145.239988,144.681879
1,1,1470,1470,10.521600,0.557313,0.557313,0.561523,144.260004,143.698481
1,1,1753,1753,10.775610,0.559414,0.559414,0.563711,160.420022,159.856311
1,1,1915,1915,10.903129,0.560281,0.560281,0.565023,145.730039,145.165015
1,1,2151,2151,11.070792,0.562758,0.562758,0.567148,145.389989,144.822841
1,1,2887,2887,11.495355,0.569672,0.569672,0.573773,144.470017,143.896244
1,1,3457,3457,11.755305,0.575094,0.575094,0.579633,147.009967,146.430334
1,1,5671,5671,12.469387,0.594492,0.594492,0.598891,135.140028,134.541137
1,1,27859,27859,14.765856,0.792906,0.792906,0.797016,149.119995,148.322979
1,1,58917,58917,15.846396,1.070883,1.070883,1.075305,146.890001,145.814696
1,1,60577,60577,15.886483,1.087219,1.087219,1.091516,146.960025,145.868509
1,1,109348,109348,16.738567,1.524273,1.524273,1.528555,148.450024,146.921470
1,1,159502,159502,17.283215,2.037617,2.037617,2.041805,146.639999,144.598194
1,2,7734,15468,13.916999,0.640578,0.640578,0.645352,135.070004,134.424652
1,8,10,80,6.321928,0.571867,0.571867,0.576703,141.569995,140.993292
1,8,18,144,7.169925,0.571187,0.571187,0.576281,135.689974,135.113693
1,8,44,352,8.459432,0.571414,0.571414,0.576266,143.399986,142.823720
1,8,48,384,8.584963,0.572281,0.572281,0.576766,148.469990,147.893224
1,8,53,424,8.727920,0.571320,0.571320,0.576055,143.390032,142.813978
1,8,116,928,9.857981,0.571820,0.571820,0.575898,145.560014,144.984116
1,8,124,992,9.954196,0.571633,0.571633,0.576383,148.469990,147.893607
1,8,218,1744,10.768184,0.572117,0.572117,0.577500,133.870053,133.292553
1,8,281,2248,11.134426,0.572859,0.572859,0.577305,137.620023,137.042719
1,8,395,3160,11.625709,0.574086,0.574086,0.578492,168.710016,168.131524
1,8,425,3400,11.731319,0.574680,0.574680,0.578867,136.249990,135.671123
1,8,487,3896,11.927778,0.573680,0.573680,0.578859,147.200015,146.621156
1,8,553,4424,12.111136,0.574992,0.574992,0.579656,144.910009,144.330353
1,8,848,6784,12.727920,0.577313,0.577313,0.582023,157.730014,157.147990
1,8,921,7368,12.847057,0.578289,0.578289,0.583477,144.349993,143.766517
1,8,1572,12576,13.618386,0.584672,0.584672,0.588766,151.179964,150.591198
1,8,5534,44272,15.434107,0.619390,0.619390,0.624422,158.570008,157.945587
1,8,7159,57272,15.805542,0.633891,0.633891,0.638141,146.010017,145.371877
1,8,8659,69272,16.079985,0.647735,0.647735,0.652328,145.660015,145.007687
1,8,18677,149416,17.188975,0.736211,0.736211,0.740687,162.159966,161.419278
1,8,19347,154776,17.239822,0.743812,0.743812,0.748492,147.580053,146.831561
1,8,23842,190736,17.541218,0.784063,0.784063,0.788156,139.770040,138.981884
1,8,27070,216560,17.724407,0.812140,0.812140,0.817133,146.609964,145.792831
1,8,89778,718224,19.454074,1.374305,1.374305,1.379117,145.479979,144.100861
1,8,143046,1144368,20.126120,1.892523,1.892523,1.897609,147.810031,145.912422
1,14,94,1316,10.361944,0.572477,0.572477,0.577258,146.750011,146.172754
1,15,5,75,6.228819,0.468375,0.468375,0.473008,162.729993,162.256986
1,16,8,128,7.000000,0.466805,0.466805,0.471352,144.029967,143.558616
1,16,10,160,7.321928,0.572055,0.572055,0.576437,141.499972,140.923534
1,16,15,240,7.906891,0.571328,0.571328,0.575867,143.860001,143.284134
1,16,25,400,8.643856,0.571687,0.571687,0.576180,134.830014,134.253834
1,16,63,1008,9.977280,0.571516,0.571516,0.576609,139.679993,139.103383
1,16,160,2560,11.321928,0.573055,0.573055,0.577594,144.179969,143.602375
1,16,182,2912,11.507795,0.572984,0.572984,0.577617,144.349993,143.772376
1,16,185,2960,11.531381,0.572344,0.572344,0.577594,136.010000,135.432406
1,16,237,3792,11.888743,0.572938,0.572938,0.577727,142.880017,142.302290
1,16,277,4432,12.113742,0.574367,0.574367,0.578484,147.129991,146.551507
1,16,293,4688,12.194757,0.573766,0.573766,0.578375,133.350026,132.771651
1,16,341,5456,12.413628,0.573789,0.573789,0.577797,146.200007,145.622210
1,16,436,6976,12.768184,0.574078,0.574078,0.578500,140.880002,140.301502
1,16,438,7008,12.774787,0.573594,0.573594,0.578375,153.189991,152.611616
1,16,483,7728,12.915879,0.573562,0.573562,0.578195,147.069979,146.491784
1,16,544,8704,13.087463,0.574633,0.574633,0.579648,147.520041,146.940392
1,16,659,10544,13.364135,0.576703,0.576703,0.580773,146.220031,145.639257
1,16,1255,20080,14.293472,0.581891,0.581891,0.585633,136.429968,135.844335
1,16,1535,24560,14.584023,0.583656,0.583656,0.587898,146.500010,145.912111
1,16,1887,30192,14.881879,0.586109,0.586109,0.590789,161.150005,160.559216
1,16,2232,35712,15.124121,0.589820,0.589820,0.594500,142.109988,141.515488
1,16,2665,42640,15.379920,0.592914,0.592914,0.597805,144.769961,144.172157
