d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.921180,0.921180,0.925875,145.279977,144.354102
1,1,16,16,4.000000,0.922516,0.922516,0.927227,145.139988,144.212761
1,1,18,18,4.169925,0.940250,0.940250,0.944883,145.219965,144.275082
1,1,25,25,4.643856,0.939914,0.939914,0.944656,148.409978,147.465321
1,1,40,40,5.321928,0.921750,0.921750,0.926594,146.529987,145.603393
1,1,61,61,5.930737,0.926609,0.926609,0.931156,143.710000,142.778844
1,1,87,87,6.442943,0.921226,0.921226,0.926148,146.850012,145.923864
1,1,102,102,6.672425,0.922695,0.922695,0.927289,145.639991,144.712702
1,1,120,120,6.906891,0.936117,0.936117,0.940516,144.279969,143.339454
1,1,157,157,7.294621,0.950031,0.950031,0.953977,145.500002,144.546025
1,1,354,354,8.467606,0.967648,0.967648,0.971141,147.500017,146.528877
1,1,1138,1138,10.152285,1.034617,1.034617,1.038039,147.949962,146.911923
1,1,1470,1470,10.521600,0.983930,0.983930,0.987609,153.080036,152.092427
1,1,1753,1753,10.775610,1.036836,1.036836,1.040336,165.100035,164.059699
1,1,1915,1915,10.903129,1.044195,1.044195,1.047602,149.880012,148.832410
1,1,2151,2151,11.070792,1.076367,1.076367,1.080125,145.639991,144.559866
1,1,2887,2887,11.495355,1.068961,1.068961,1.072977,141.760043,140.687067
1,1,3457,3457,11.755305,1.096023,1.096023,1.099727,147.529994,146.430268
1,1,5671,5671,12.469387,1.133555,1.133555,1.137922,147.290004,146.152082
1,1,27859,27859,14.765856,1.351031,1.351031,1.354969,158.239971,156.885002
1,1,58917,58917,15.846396,1.705891,1.705891,1.709414,147.029990,145.320576
1,1,60577,60577,15.886483,1.711539,1.711539,1.715727,144.870020,143.154294
1,1,109348,109348,16.738567,2.228609,2.228609,2.233063,143.120007,140.886945
1,1,159502,159502,17.283215,2.520594,2.520594,2.524133,154.830050,152.305917
1,2,7734,15468,13.916999,1.279047,1.279047,1.282906,141.340017,140.057111
1,8,10,80,6.321928,1.096648,1.096648,1.100367,143.320009,142.219641
1,8,18,144,7.169925,1.086273,1.086273,1.089875,147.740007,146.650132
1,8,44,352,8.459432,1.095703,1.095703,1.099547,148.450024,147.350478
1,8,48,384,8.584963,1.107406,1.107406,1.111117,146.410021,145.298903
1,8,53,424,8.727920,1.109961,1.109961,1.113875,144.529971,143.416096
1,8,116,928,9.857981,1.123531,1.123531,1.127586,140.150019,139.022433
1,8,124,992,9.954196,1.116812,1.116812,1.120867,146.579987,145.459120
1,8,218,1744,10.768184,1.134281,1.134281,1.138133,147.320039,146.181906
1,8,281,2248,11.134426,1.138805,1.138805,1.142867,147.610030,146.467162
1,8,395,3160,11.625709,1.165875,1.165875,1.169133,144.250051,143.080918
1,8,425,3400,11.731319,1.219242,1.219242,1.222844,149.020052,147.797208
1,8,487,3896,11.927778,1.159437,1.159437,1.163344,144.870020,143.706677
1,8,553,4424,12.111136,1.149672,1.149672,1.153375,150.459993,149.306618
1,8,848,6784,12.727920,1.201367,1.201367,1.205219,146.990002,145.784783
1,8,921,7368,12.847057,1.227851,1.227851,1.231977,144.929974,143.697998
1,8,1572,12576,13.618386,1.297172,1.297172,1.301133,148.769992,147.468859
1,8,5534,44272,15.434107,1.585953,1.585953,1.589883,143.791025,142.201142
1,8,7159,57272,15.805542,1.732477,1.732477,1.735977,146.840001,145.104024
1,8,8659,69272,16.079985,1.924766,1.924766,1.928414,151.549990,149.621576
1,8,18677,149416,17.188975,2.874023,2.874023,2.877750,158.420007,155.542257
1,8,19347,154776,17.239822,2.892555,2.892555,2.896242,144.529971,141.633729
1,8,23842,190736,17.541218,3.289531,3.289531,3.292984,155.550020,152.257036
1,8,27070,216560,17.724407,3.598133,3.598133,3.601617,159.920019,156.318401
1,8,89778,718224,19.454074,9.124664,9.124664,9.128625,152.539986,143.411361
1,8,143046,1144368,20.126120,16.479516,16.479516,16.483352,164.140016,147.656664
1,14,94,1316,10.361944,1.172281,1.172281,1.176227,155.590009,154.413782
1,15,5,75,6.228819,1.202484,1.202484,1.209469,146.639999,145.430530
1,16,8,128,7.000000,1.170289,1.170289,1.178227,146.429986,145.251759
1,16,10,160,7.321928,1.116148,1.116148,1.119875,147.759973,146.640098
1,16,15,240,7.906891,1.095477,1.095477,1.099109,225.019990,223.920881
1,16,25,400,8.643856,1.119000,1.119000,1.122953,146.379985,145.257032
1,16,63,1008,9.977280,1.121578,1.121578,1.125844,145.020022,143.894178
1,16,160,2560,11.321928,1.133297,1.133297,1.137242,145.959959,144.822717
1,16,182,2912,11.507795,1.170258,1.170258,1.173844,145.839993,144.666149
1,16,185,2960,11.531381,1.161078,1.161078,1.165320,150.849984,149.684664
1,16,237,3792,11.888743,1.192648,1.192648,1.196344,145.500002,144.303658
1,16,277,4432,12.113742,1.212070,1.212070,1.215867,176.829984,175.614117
1,16,293,4688,12.194757,1.213750,1.213750,1.218297,150.420005,149.201708
1,16,341,5456,12.413628,1.187906,1.187906,1.191836,175.820023,174.628187
1,16,436,6976,12.768184,1.234578,1.234578,1.238398,144.649995,143.411597
1,16,438,7008,12.774787,1.235898,1.235898,1.239844,146.479986,145.240142
1,16,483,7728,12.915879,1.267648,1.267648,1.271711,145.819969,144.548258
1,16,544,8704,13.087463,1.246930,1.246930,1.249750,155.709975,154.460225
1,16,659,10544,13.364135,1.250445,1.250445,1.254547,146.740000,145.485453
1,16,1255,20080,14.293472,1.402703,1.402703,1.406852,158.080016,156.673165
1,16,1535,24560,14.584023,1.380484,1.380484,1.383992,153.229979,151.845987
1,16,1887,30192,14.881879,1.494078,1.494078,1.498492,149.859989,148.361496
1,16,2232,35712,15.124121,1.501547,1.501547,1.504758,151.489978,149.985220
1,16,2665,42640,15.379920,1.555203,1.555203,1.558625,151.549990,149.991365
1,16,3083,49328,15.590119,1.646891,1.646891,1.650383,149.820000,148.169617
1,16,8979,143664,17.132339,2.760547,2.760547,2.764453,156.050024,153.285571
