d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.932758,0.932758,0.936867,153.319968,152.383101
1,1,16,16,4.000000,0.932922,0.932922,0.936609,147.379993,146.443384
1,1,18,18,4.169925,0.962937,0.962937,0.966977,148.139952,147.172976
1,1,25,25,4.643856,0.945609,0.945609,0.949523,165.639969,164.690446
1,1,40,40,5.321928,0.946273,0.946273,0.950938,152.719964,151.769026
1,1,61,61,5.930737,0.949430,0.949430,0.953008,144.160003,143.206996
1,1,87,87,6.442943,0.932664,0.932664,0.936609,147.590006,146.653397
1,1,102,102,6.672425,0.946219,0.946219,0.949641,150.159991,149.210350
1,1,120,120,6.906891,0.957305,0.957305,0.961016,151.249988,150.288972
1,1,157,157,7.294621,0.976773,0.976773,0.980266,152.950000,151.969735
1,1,354,354,8.467606,0.949805,0.949805,0.953734,151.080021,150.126287
1,1,1138,1138,10.152285,1.053781,1.053781,1.057617,144.810008,143.752391
1,1,1470,1470,10.521600,1.005242,1.005242,1.008727,173.509994,172.501267
1,1,1753,1753,10.775610,1.041969,1.041969,1.046086,151.240034,150.193948
1,1,1915,1915,10.903129,1.061672,1.061672,1.065359,164.330006,163.264646
1,1,2151,2151,11.070792,1.054023,1.054023,1.057727,153.710018,152.652291
1,1,2887,2887,11.495355,1.081289,1.081289,1.084922,157.430011,156.345090
1,1,3457,3457,11.755305,1.105617,1.105617,1.109344,157.749979,156.640635
1,1,5671,5671,12.469387,1.129867,1.129867,1.133578,153.270026,152.136448
1,1,27859,27859,14.765856,1.372859,1.372859,1.376242,151.499989,150.123747
1,1,58917,58917,15.846396,1.722516,1.722516,1.725969,151.560002,149.834033
1,1,60577,60577,15.886483,1.711664,1.711664,1.715531,158.320006,156.604475
1,1,109348,109348,16.738567,2.232172,2.232172,2.236102,164.269994,162.033892
1,1,159502,159502,17.283215,5.003828,5.003828,5.007211,150.700042,145.692831
1,2,7734,15468,13.916999,1.156726,1.156726,1.160687,151.149987,149.989299
1,8,10,80,6.321928,1.024187,1.024187,1.028086,156.700029,155.671943
1,8,18,144,7.169925,1.009797,1.009797,1.013492,146.170030,145.156538
1,8,44,352,8.459432,1.018312,1.018312,1.022359,152.939989,151.917629
1,8,48,384,8.584963,1.011969,1.011969,1.015383,163.669989,162.654606
1,8,53,424,8.727920,0.988289,0.988289,0.992328,150.389969,149.397641
1,8,116,928,9.857981,1.001930,1.001930,1.005516,154.329988,153.324472
1,8,124,992,9.954196,0.992664,0.992664,0.996594,151.270011,150.273417
1,8,218,1744,10.768184,1.027680,1.027680,1.031867,153.860019,152.828152
1,8,281,2248,11.134426,1.022008,1.022008,1.025766,153.869973,152.844207
1,8,395,3160,11.625709,1.060273,1.060273,1.063953,156.210037,155.146084
1,8,425,3400,11.731319,1.053133,1.053133,1.056977,153.980043,152.923067
1,8,487,3896,11.927778,1.056250,1.056250,1.060008,143.770012,142.710004
1,8,553,4424,12.111136,1.059055,1.059055,1.062914,154.669979,153.607065
1,8,848,6784,12.727920,1.121594,1.121594,1.125109,153.710018,152.584909
1,8,921,7368,12.847057,1.116086,1.116086,1.119609,154.850015,153.730406
1,8,1572,12576,13.618386,1.147812,1.147812,1.151656,149.770000,148.618343
1,8,5534,44272,15.434107,1.270406,1.270406,1.274211,153.071014,151.796803
1,8,7159,57272,15.805542,1.304391,1.304391,1.308109,160.110008,158.801899
1,8,8659,69272,16.079985,1.332711,1.332711,1.336867,154.169975,152.833108
1,8,18677,149416,17.188975,1.631008,1.631008,1.634734,150.899985,149.265250
1,8,19347,154776,17.239822,1.625555,1.625555,1.629516,152.649998,151.020483
1,8,23842,190736,17.541218,1.746383,1.746383,1.750227,155.690010,153.939783
1,8,27070,216560,17.724407,1.863922,1.863922,1.867758,151.520013,149.652255
1,8,89778,718224,19.454074,3.444734,3.444734,3.448367,162.279990,158.831623
1,8,143046,1144368,20.126120,6.993523,6.993523,6.996844,155.329995,148.333152
1,14,94,1316,10.361944,1.044523,1.044523,1.048773,157.730014,156.681240
1,15,5,75,6.228819,1.002477,1.002477,1.006211,157.640025,156.633814
1,16,8,128,7.000000,0.988391,0.988391,0.992094,148.989959,147.997865
1,16,10,160,7.321928,1.033711,1.033711,1.038000,156.889961,155.851961
1,16,15,240,7.906891,1.041523,1.041523,1.045352,152.570021,151.524669
1,16,25,400,8.643856,1.026937,1.026937,1.030773,152.719964,151.689190
1,16,63,1008,9.977280,1.011781,1.011781,1.015836,154.810026,153.794190
1,16,160,2560,11.321928,1.041656,1.041656,1.045336,152.419962,151.374626
1,16,182,2912,11.507795,1.053680,1.053680,1.057586,156.959984,155.902398
1,16,185,2960,11.531381,1.056172,1.056172,1.059602,167.430029,166.370428
1,16,237,3792,11.888743,1.041977,1.041977,1.045500,151.570013,150.524513
1,16,277,4432,12.113742,1.083945,1.083945,1.087930,152.629975,151.542045
1,16,293,4688,12.194757,1.070680,1.070680,1.074813,152.549997,151.475185
1,16,341,5456,12.413628,1.079906,1.079906,1.083734,153.030036,151.946302
