d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.471867,1.471867,1.478734,162.840006,161.361272
1,1,16,16,4.000000,1.462633,1.462633,1.470336,161.910022,160.439686
1,1,18,18,4.169925,1.471664,1.471664,1.478945,152.710010,151.231065
1,1,25,25,4.643856,1.531219,1.531219,1.538633,155.690010,154.151377
1,1,40,40,5.321928,1.458883,1.458883,1.466086,156.299968,154.833882
1,1,61,61,5.930737,1.475766,1.475766,1.483211,166.599988,165.116777
1,1,87,87,6.442943,1.461617,1.461617,1.469102,150.370004,148.900903
1,1,102,102,6.672425,1.455140,1.455140,1.462906,151.980028,150.517122
1,1,120,120,6.906891,1.500539,1.500539,1.507102,166.710000,165.202899
1,1,157,157,7.294621,1.497305,1.497305,1.503031,153.269968,151.766937
1,1,354,354,8.467606,1.531672,1.531672,1.536914,152.449997,150.913083
1,1,1138,1138,10.152285,1.072281,1.072281,1.076773,154.669979,153.593205
1,1,1470,1470,10.521600,1.144086,1.144086,1.148594,154.000008,152.851415
1,1,1753,1753,10.775610,1.109148,1.109148,1.113875,149.630010,148.516135
1,1,1915,1915,10.903129,1.082742,1.082742,1.087250,149.100029,148.012779
1,1,2151,2151,11.070792,1.075742,1.075742,1.080688,152.230030,151.149342
1,1,2887,2887,11.495355,1.155242,1.155242,1.159430,152.049994,150.890564
1,1,3457,3457,11.755305,1.166648,1.166648,1.171039,153.169967,151.998928
1,1,5671,5671,12.469387,1.194953,1.194953,1.199133,148.859981,147.660848
1,1,27859,27859,14.765856,1.696625,1.696625,1.701086,154.990004,153.288918
1,1,58917,58917,15.846396,2.364039,2.364039,2.368992,175.399997,173.031005
1,1,60577,60577,15.886483,2.398383,2.398383,2.402687,158.220006,155.817318
1,1,109348,109348,16.738567,3.318211,3.318211,3.322375,173.589040,170.266665
1,1,159502,159502,17.283215,6.265461,6.265461,6.269664,160.180032,153.910368
1,2,7734,15468,13.916999,1.275992,1.275992,1.280492,153.950008,152.669516
1,8,10,80,6.321928,1.050688,1.050688,1.054906,149.599975,148.545069
1,8,18,144,7.169925,1.059023,1.059023,1.063727,149.269996,148.206269
1,8,44,352,8.459432,1.031453,1.031453,1.036266,150.219945,149.183679
1,8,48,384,8.584963,1.031125,1.031125,1.035398,155.570044,154.534645
1,8,53,424,8.727920,1.013797,1.013797,1.017883,155.449961,154.432079
1,8,116,928,9.857981,1.064914,1.064914,1.068906,156.369992,155.301085
1,8,124,992,9.954196,1.035977,1.035977,1.040039,150.230015,149.189976
1,8,218,1744,10.768184,1.050477,1.050477,1.054883,158.670009,157.615126
1,8,281,2248,11.134426,1.049961,1.049961,1.054383,151.530025,150.475642
1,8,395,3160,11.625709,1.082102,1.082102,1.086484,166.270009,165.183524
1,8,425,3400,11.731319,1.110391,1.110391,1.114312,154.869980,153.755668
1,8,487,3896,11.927778,1.065922,1.065922,1.070859,147.350016,146.279157
1,8,553,4424,12.111136,1.092000,1.092000,1.096430,156.809983,155.713554
1,8,848,6784,12.727920,1.091414,1.091414,1.095750,151.760003,150.664253
1,8,921,7368,12.847057,1.116000,1.116000,1.120383,151.610002,150.489619
1,8,1572,12576,13.618386,1.183687,1.183687,1.188266,154.400012,153.211746
1,8,5534,44272,15.434107,1.406258,1.406258,1.410750,156.330003,154.919253
1,8,7159,57272,15.805542,1.424664,1.424664,1.429484,150.100037,148.670553
1,8,8659,69272,16.079985,1.522000,1.522000,1.526297,150.239968,148.713671
1,8,18677,149416,17.188975,1.948117,1.948117,1.952539,153.050001,151.097462
1,8,19347,154776,17.239822,1.987656,1.987656,1.991812,150.129956,148.138143
1,8,23842,190736,17.541218,2.196328,2.196328,2.200305,161.579985,159.379680
1,8,27070,216560,17.724407,2.296898,2.296898,2.301398,147.640007,145.338608
1,8,89778,718224,19.454074,5.021750,5.021750,5.026258,160.439988,155.413730
1,8,143046,1144368,20.126120,8.905789,8.905789,8.910508,163.850025,154.939517
1,14,94,1316,10.361944,1.086773,1.086773,1.091062,159.470015,158.378953
1,15,5,75,6.228819,1.034492,1.034492,1.039117,150.979962,149.940845
1,16,8,128,7.000000,1.049023,1.049023,1.053859,167.929975,166.876115
1,16,10,160,7.321928,1.087859,1.087859,1.092266,154.470035,153.377770
1,16,15,240,7.906891,1.070117,1.070117,1.074633,149.269996,148.195363
1,16,25,400,8.643856,1.062273,1.062273,1.066875,144.149992,143.083117
1,16,63,1008,9.977280,1.082141,1.082141,1.086656,166.810001,165.723345
1,16,160,2560,11.321928,1.047617,1.047617,1.052039,154.649955,153.597916
1,16,182,2912,11.507795,1.084898,1.084898,1.089656,153.000001,151.910345
1,16,185,2960,11.531381,1.083297,1.083297,1.088133,151.320011,150.231879
1,16,237,3792,11.888743,1.086242,1.086242,1.090539,153.829984,152.739445
1,16,277,4432,12.113742,1.093734,1.093734,1.098125,153.539993,152.441868
1,16,293,4688,12.194757,1.085234,1.085234,1.089500,141.119992,140.030492
1,16,341,5456,12.413628,1.120578,1.120578,1.124867,153.360015,152.235148
1,16,436,6976,12.768184,1.110258,1.110258,1.114305,166.259997,165.145692
1,16,438,7008,12.774787,1.144438,1.144438,1.148773,157.779956,156.631182
1,16,483,7728,12.915879,1.165391,1.165391,1.169867,155.880000,154.710132
1,16,544,8704,13.087463,1.131070,1.131070,1.135383,161.810021,160.674639
1,16,659,10544,13.364135,1.148758,1.148758,1.153375,158.570008,157.416633
1,16,1255,20080,14.293472,1.185250,1.185250,1.189539,152.819965,151.630426
1,16,1535,24560,14.584023,1.276641,1.276641,1.280906,150.999986,149.719079
1,16,1887,30192,14.881879,1.273094,1.273094,1.277719,151.519955,150.242236
1,16,2232,35712,15.124121,1.296539,1.296539,1.301047,151.209999,149.908952
1,16,2665,42640,15.379920,1.387586,1.387586,1.392141,154.950016,153.557875
1,16,3083,49328,15.590119,1.427695,1.427695,1.432297,151.719956,150.287659
1,16,8979,143664,17.132339,1.968734,1.968734,1.972922,158.559997,156.587075
1,16,9371,149936,17.193987,1.946258,1.946258,1.950891,157.369999,155.419109
1,16,11455,183280,17.483690,2.163391,2.163391,2.167891,161.819975,159.652084
1,16,12530,200480,17.613099,2.248758,2.248758,2.252797,152.530032,150.277235
1,16,15615,249840,17.930645,2.525625,2.525625,2.530023,164.550031,162.020007
1,16,17811,284976,18.120481,2.703875,2.703875,2.708508,164.959987,162.251479
1,16,18962,303392,18.210824,2.773773,2.773773,2.777836,154.020032,151.242196
1,16,23057,368912,18.492917,3.139633,3.139633,3.144391,164.959987,161.815597
1,16,47251,756016,19.528057,5.201266,5.201266,5.205797,160.379976,155.174179
1,16,74917,1198672,20.193006,7.749242,7.749242,7.753555,162.549957,154.796403
1,16,80231,1283696,20.291872,8.082992,8.082992,8.087148,159.689982,151.602834
1,16,107984,1727744,20.720458,10.512883,10.512883,10.517297,162.050012,151.532715
1,16,133762,2140192,21.029309,11.543500,11.543500,11.547898,161.729986,150.182087
1,16,140423,2246768,21.099420,12.151648,12.151648,12.156367,165.389967,153.233600
1,17,39,663,9.372865,1.058141,1.058141,1.062406,151.189975,150.127569
1,23,32710,752330,19.521006,5.371563,5.371563,5.375773,166.109996,160.734223
1,38,693,26334,14.684639,1.301359,1.301359,1.305984,171.360036,170.054051
1,64,12,768,9.584963,1.051500,1.051500,1.055883,158.070005,157.014122
1,64,16,1024,10.000000,1.036883,1.036883,1.041398,156.780006,155.738608
1,64,41,2624,11.357552,1.100383,1.100383,1.104891,159.789983,158.685092
1,64,76,4864,12.247928,1.141180,1.141180,1.146086,156.869995,155.723909
1,64,78,4992,12.285402,1.132898,1.132898,1.136828,166.400045,165.263217
1,64,137,8768,13.098032,1.194508,1.194508,1.199031,160.260010,159.060978
1,64,138,8832,13.108524,1.202766,1.202766,1.207383,152.660010,151.452627
1,64,645,41280,15.333155,1.419047,1.419047,1.423320,151.370012,149.946692
1,64,1002,64128,15.968667,1.524477,1.524477,1.528766,151.009997,149.481232
1,64,1025,65600,16.001408,1.514984,1.514984,1.519281,156.469992,154.950711
1,64,1130,72320,16.142107,1.498453,1.498453,1.502562,148.119987,146.617425
1,64,1961,125504,16.937374,1.851414,1.851414,1.855898,155.450020,153.594121
1,64,3389,216896,17.726644,2.364680,2.364680,2.369094,152.790046,150.420952
1,64,3494,223616,17.770664,2.439172,2.439172,2.443445,156.500028,154.056582
1,64,4137,264768,18.014369,2.606164,2.606164,2.610477,154.169975,151.559498
1,64,4919,314816,18.264149,2.871266,2.871266,2.876008,159.320014,156.444006
1,64,12279,785856,19.583905,5.370977,5.370977,5.375273,162.100012,156.724739
1,64,14850,950400,19.858175,6.299375,6.299375,6.303773,159.770017,153.466244
1,64,15177,971328,19.889599,6.435359,6.435359,6.439867,160.310010,153.870143
1,64,21843,1397952,20.414883,8.709914,8.709914,8.714070,160.600001,151.885930
1,64,26648,1705472,20.701740,10.410351,10.410351,10.414914,166.559999,156.145085
1,64,44133,2824512,21.429570,14.866594,14.866594,14.870672,168.560015,153.689343
1,64,47390,3032960,21.532295,16.107227,16.107227,16.111758,163.980003,147.868245
1,64,54202,3468928,21.726058,18.177172,18.177172,18.181844,158.690033,140.508189
1,64,70342,4501888,22.102099,23.405523,23.405523,23.410227,173.919951,150.509724
1,64,91122,5831808,22.475512,29.723742,29.723742,29.728344,188.609993,158.881649
1,64,93296,5970944,22.509528,30.581719,30.581719,30.585898,177.429989,146.844091
1,64,108771,6961344,22.730934,35.238211,35.238211,35.243203,178.579998,143.336795
1,92,10719,986148,19.911445,6.777570,6.777570,6.781758,172.409986,165.628228
1,128,9,1152,10.169925,1.053711,1.053711,1.058055,150.509994,149.451939
1,128,10,1280,10.321928,1.105977,1.105977,1.110375,152.249995,151.139620
1,128,11,1408,10.459432,1.059477,1.059477,1.063891,149.980013,148.916122
1,128,17,2176,11.087463,1.074750,1.074750,1.079250,157.780014,156.700764
1,128,21,2688,11.392317,1.080602,1.080602,1.085008,156.430004,155.344996
1,128,31,3968,11.954196,1.088109,1.088109,1.092523,153.589994,152.497470
1,128,59,7552,12.882643,1.125125,1.125125,1.129516,147.869985,146.740469
1,128,217,27776,14.761551,1.284758,1.284758,1.289164,154.440000,153.150836
1,128,233,29824,14.864186,1.268469,1.268469,1.272758,153.350004,152.077246
1,128,320,40960,15.321928,1.350195,1.350195,1.354305,152.130029,150.775725
1,128,434,55552,15.761551,1.457648,1.457648,1.462516,150.759995,149.297480
1,128,448,57344,15.807355,1.442031,1.442031,1.446187,150.690030,149.243842
1,128,1883,241024,17.878817,2.501789,2.501789,2.505758,150.979962,148.474204
1,128,2274,291072,18.151017,2.747875,2.747875,2.751953,162.969984,160.218031
1,128,3125,400000,18.609640,3.342742,3.342742,3.347297,164.469995,161.122698
1,128,5232,669696,19.353147,4.800344,4.800344,4.804297,164.280005,159.475708
1,128,6775,867200,19.726005,5.955297,5.955297,5.959422,160.839991,154.880569
1,128,21380,2736640,21.383974,14.569297,14.569297,14.574367,165.620004,151.045637
1,128,22820,2920960,21.478011,15.600805,15.600805,15.605727,161.080039,145.474313
1,128,36669,4693632,22.162273,24.276867,24.276867,24.281258,182.810007,158.528749
1,128,83299,10662272,23.346012,53.672883,53.672883,53.677164,203.069998,149.392834
1,128,83605,10701440,23.351302,53.677039,53.677039,53.682000,201.579998,147.897998
1,128,92977,11901056,23.504586,59.464101,59.464101,59.469008,198.239984,138.770977
1,128,107486,13758208,23.713789,68.618555,68.618555,68.623141,213.120016,144.496876
1,128,130017,16642176,23.988341,82.934070,82.934070,82.939227,223.929994,140.990767
1,128,141033,18052224,24.105673,89.749516,89.749516,89.754375,245.219970,155.465595
1,169,12,2028,10.985842,1.071320,1.071320,1.075633,174.619956,173.544323
1,192,5,960,9.906891,1.076539,1.076539,1.081148,152.310007,151.228859
1,242,258,62436,15.930090,1.480898,1.480898,1.485375,156.650029,155.164654
1,256,10,2560,11.321928,1.094344,1.094344,1.098883,150.339969,149.241086
1,256,12,3072,11.584963,1.072539,1.072539,1.077125,151.380023,150.302898
1,256,25,6400,12.643856,1.137781,1.137781,1.142523,144.529971,143.387448
1,256,29,7424,12.857981,1.151039,1.151039,1.155297,147.899962,146.744665
1,256,37,9472,13.209453,1.142641,1.142641,1.147727,152.979977,151.832251
1,256,41,10496,13.357552,1.135133,1.135133,1.139750,157.729955,156.590205
1,256,55,14080,13.781360,1.188930,1.188930,1.193773,152.440043,151.246270
1,256,78,19968,14.285402,1.189641,1.189641,1.194391,151.770015,150.575624
1,256,196,50176,15.614710,1.445961,1.445961,1.450141,161.229982,159.779841
1,256,245,62720,15.936638,1.475852,1.475852,1.480047,166.180020,164.699973
1,256,251,64256,15.971544,1.485914,1.485914,1.490031,166.339974,164.849943
1,256,391,100096,16.611025,1.698414,1.698414,1.703133,152.369961,150.666828
1,256,469,120064,16.873444,1.847516,1.847516,1.852484,162.669981,160.817497
1,256,589,150784,17.202124,1.957117,1.957117,1.962094,158.620009,156.657915
1,256,735,188160,17.521600,2.160383,2.160383,2.164914,147.729996,145.565082
1,256,780,199680,17.607330,2.244672,2.244672,2.248891,158.020004,155.771114
1,256,859,219904,17.746514,2.325844,2.325844,2.330250,172.970002,170.639752
1,256,1252,320512,18.290019,2.864500,2.864500,2.869141,154.829992,151.960851
1,256,1456,372736,18.507795,3.159609,3.159609,3.164250,153.810019,150.645769
1,256,26331,6740736,22.684475,34.193781,34.193781,34.198625,183.830038,149.631413
1,256,34889,8931584,23.090485,44.985148,44.985148,44.989641,190.140039,145.150399
1,256,51706,13236736,23.658044,66.047648,66.047648,66.052375,212.710002,146.657627
1,481,4,1924,10.909893,1.088914,1.088914,1.093516,150.949985,149.856470
1,488,69,33672,15.039262,1.342719,1.342719,1.347047,151.049986,149.702939
1,512,11,5632,12.459432,1.117633,1.117633,1.121898,148.019986,146.898088
1,512,14,7168,12.807355,1.151039,1.151039,1.155766,154.060021,152.904255
1,512,15,7680,12.906891,1.117750,1.117750,1.122383,160.979980,159.857597
1,512,36,18432,14.169925,1.229406,1.229406,1.233914,146.639999,145.406085
1,512,44,22528,14.459432,1.224133,1.224133,1.228398,160.160009,158.931610
1,512,58,29696,14.857981,1.272477,1.272477,1.277133,146.519975,145.242842
1,512,62,31744,14.954196,1.287406,1.287406,1.292125,148.110033,146.817908
