d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.970945,0.970945,0.975094,146.360020,145.384926
1,1,16,16,4.000000,0.984359,0.984359,0.987953,151.529966,150.542013
1,1,18,18,4.169925,0.973937,0.973937,0.977742,158.180017,157.202275
1,1,25,25,4.643856,0.971789,0.971789,0.975367,153.250003,152.274636
1,1,40,40,5.321928,0.989070,0.989070,0.992945,152.920024,151.927078
1,1,61,61,5.930737,0.980812,0.980812,0.984633,167.120015,166.135382
1,1,87,87,6.442943,0.980430,0.980430,0.984375,162.830052,161.845677
1,1,102,102,6.672425,0.985109,0.985109,0.989313,160.860014,159.870702
1,1,120,120,6.906891,0.995500,0.995500,0.998992,146.870036,145.871043
1,1,157,157,7.294621,0.978867,0.978867,0.982258,153.379980,152.397723
1,1,354,354,8.467606,1.026164,1.026164,1.029352,152.960012,151.930661
1,1,1138,1138,10.152285,1.206055,1.206055,1.209836,151.329965,150.120129
1,1,1470,1470,10.521600,1.166156,1.166156,1.169953,158.650044,157.480091
1,1,1753,1753,10.775610,1.272320,1.272320,1.276359,151.100045,149.823685
1,1,1915,1915,10.903129,1.271523,1.271523,1.275375,150.040025,148.764650
1,1,2151,2151,11.070792,1.308906,1.308906,1.313094,151.769957,150.456863
1,1,2887,2887,11.495355,1.403750,1.403750,1.407367,167.519960,166.112593
1,1,3457,3457,11.755305,1.522109,1.522109,1.526195,159.270014,157.743818
1,1,5671,5671,12.469387,1.741312,1.741312,1.745219,160.789990,159.044772
1,1,27859,27859,14.765856,4.413516,4.413516,4.417352,175.279973,170.862621
1,1,58917,58917,15.846396,8.201445,8.201445,8.204305,159.049989,150.845684
1,1,60577,60577,15.886483,8.384227,8.384227,8.387664,161.159958,152.772294
1,1,109348,109348,16.738567,14.175555,14.175555,14.179492,171.539956,157.360464
1,1,159502,159502,17.283215,19.899180,19.899180,19.903313,178.189948,158.286636
1,2,7734,15468,13.916999,1.999344,1.999344,2.003453,156.409980,154.406527
1,8,10,80,6.321928,1.040945,1.040945,1.044758,152.449997,151.405239
