d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.926609,0.926609,0.930555,170.809973,169.879419
1,1,16,16,4.000000,0.916805,0.916805,0.921305,185.540004,184.618700
1,1,18,18,4.169925,0.917500,0.917500,0.921648,161.600008,160.678360
1,1,25,25,4.643856,0.917773,0.917773,0.922187,176.679983,175.757796
1,1,40,40,5.321928,0.926656,0.926656,0.931633,184.429984,183.498351
1,1,61,61,5.930737,0.917516,0.917516,0.921672,162.929995,162.008323
1,1,87,87,6.442943,0.949406,0.949406,0.954219,161.160016,160.205798
1,1,102,102,6.672425,0.917078,0.917078,0.921398,160.589989,159.668590
1,1,120,120,6.906891,0.925727,0.925727,0.930094,156.119990,155.189896
1,1,157,157,7.294621,0.904867,0.904867,0.908883,178.190006,177.281124
1,1,354,354,8.467606,0.946367,0.946367,0.949742,152.269960,151.320218
1,1,1138,1138,10.152285,1.003781,1.003781,1.007633,172.509986,171.502354
1,1,1470,1470,10.521600,1.008914,1.008914,1.012617,181.370007,180.357390
1,1,1753,1753,10.775610,1.006883,1.006883,1.010523,166.630023,165.619500
1,1,1915,1915,10.903129,1.021289,1.021289,1.025445,170.529995,169.504549
1,1,2151,2151,11.070792,1.027727,1.027727,1.031336,166.610000,165.578664
1,1,2887,2887,11.495355,1.000203,1.000203,1.004148,174.639979,173.635831
1,1,3457,3457,11.755305,1.047969,1.047969,1.051797,162.079989,161.028192
1,1,5671,5671,12.469387,1.058906,1.058906,1.062844,164.909987,163.847143
1,1,27859,27859,14.765856,1.194609,1.194609,1.198063,165.330013,164.131951
1,1,58917,58917,15.846396,1.369773,1.369773,1.373836,164.859986,163.486150
1,1,60577,60577,15.886483,1.381781,1.381781,1.385594,167.199993,165.814399
1,1,109348,109348,16.738567,1.664461,1.664461,1.668750,167.739985,166.071235
1,1,159502,159502,17.283215,1.973664,1.973664,1.977492,180.440024,178.462531
1,2,7734,15468,13.916999,1.081406,1.081406,1.085234,160.020019,158.934785
1,8,10,80,6.321928,0.983992,0.983992,0.987609,170.660962,169.673352
1,8,18,144,7.169925,0.982531,0.982531,0.986602,170.590007,169.603405
1,8,44,352,8.459432,0.984695,0.984695,0.988922,162.650016,161.661094
1,8,48,384,8.584963,0.982078,0.982078,0.986094,158.149982,157.163888
1,8,53,424,8.727920,1.002125,1.002125,1.005734,160.460011,159.454277
1,8,116,928,9.857981,0.984781,0.984781,0.988641,164.150028,163.161387
1,8,124,992,9.954196,0.976078,0.976078,0.979508,165.829959,164.850451
1,8,218,1744,10.768184,1.005430,1.005430,1.009617,158.640032,157.630415
1,8,281,2248,11.134426,1.007930,1.007930,1.011680,182.610005,181.598326
1,8,395,3160,11.625709,1.007039,1.007039,1.011195,165.709993,164.698797
1,8,425,3400,11.731319,1.011828,1.011828,1.015859,166.599988,165.584129
1,8,487,3896,11.927778,0.998328,0.998328,1.002469,167.230028,166.227559
1,8,553,4424,12.111136,1.015781,1.015781,1.019766,182.080024,181.060259
1,8,848,6784,12.727920,1.056101,1.056101,1.060148,160.220021,159.159873
1,8,921,7368,12.847057,1.048578,1.048578,1.052727,169.940991,168.888265
1,8,1572,12576,13.618386,1.070469,1.070469,1.073953,188.239967,187.166013
1,8,5534,44272,15.434107,1.137109,1.137109,1.140664,164.849975,163.709311
1,8,7159,57272,15.805542,1.145812,1.145812,1.149992,165.999983,164.849991
1,8,8659,69272,16.079985,1.139211,1.139211,1.143141,160.990050,159.846909
1,8,18677,149416,17.188975,1.350906,1.350906,1.354859,168.569968,167.215109
1,8,19347,154776,17.239822,1.314633,1.314633,1.318242,162.280048,160.961806
1,8,23842,190736,17.541218,1.349226,1.349226,1.353266,210.269995,208.916729
1,8,27070,216560,17.724407,1.490820,1.490820,1.494961,160.280033,158.785072
1,8,89778,718224,19.454074,2.208055,2.208055,2.212008,166.620011,164.408004
1,8,143046,1144368,20.126120,2.770437,2.770437,2.774266,174.310000,171.535735
1,14,94,1316,10.361944,0.987141,0.987141,0.990555,163.340010,162.349455
1,15,5,75,6.228819,0.952687,0.952687,0.956484,172.680011,171.723527
1,16,8,128,7.000000,0.980484,0.980484,0.984359,188.659993,187.675634
1,16,10,160,7.321928,1.119937,1.119937,1.124000,161.610020,160.486020
1,16,15,240,7.906891,1.070023,1.070023,1.074102,161.950011,160.875909
1,16,25,400,8.643856,1.001351,1.001351,1.005086,160.810014,159.804928
1,16,63,1008,9.977280,1.000492,1.000492,1.004125,166.849990,165.845865
1,16,160,2560,11.321928,0.996258,0.996258,0.999859,169.469975,168.470116
1,16,182,2912,11.507795,1.034695,1.034695,1.038711,164.299970,163.261259
1,16,185,2960,11.531381,1.010828,1.010828,1.014891,161.949953,160.935062
1,16,237,3792,11.888743,1.073242,1.073242,1.076633,173.949986,172.873353
1,16,277,4432,12.113742,1.043125,1.043125,1.046984,163.930003,162.883018
1,16,293,4688,12.194757,1.059320,1.059320,1.063352,161.429984,160.366632
1,16,341,5456,12.413628,1.041203,1.041203,1.045008,220.960006,219.914998
1,16,436,6976,12.768184,1.079898,1.079898,1.083750,163.530000,162.446250
1,16,438,7008,12.774787,1.021055,1.021055,1.025227,229.479978,228.454751
1,16,483,7728,12.915879,1.022492,1.022492,1.026359,213.839987,212.813627
1,16,544,8704,13.087463,1.040484,1.040484,1.043867,162.710028,161.666161
1,16,659,10544,13.364135,1.051586,1.051586,1.055156,163.850025,162.794869
1,16,1255,20080,14.293472,1.093930,1.093930,1.097898,178.569986,177.472088
1,16,1535,24560,14.584023,1.128977,1.128977,1.132742,171.909982,170.777240
1,16,1887,30192,14.881879,1.121828,1.121828,1.125406,160.809956,159.684549
1,16,2232,35712,15.124121,1.136766,1.136766,1.140484,155.400019,154.259535
1,16,2665,42640,15.379920,1.164266,1.164266,1.167773,155.910035,154.742261
1,16,3083,49328,15.590119,1.204273,1.204273,1.207789,154.810026,153.602237
1,16,8979,143664,17.132339,1.339523,1.339523,1.343250,156.390015,155.046765
1,16,9371,149936,17.193987,1.319383,1.319383,1.323023,155.379996,154.056972
1,16,11455,183280,17.483690,1.395734,1.395734,1.400117,172.300031,170.899914
1,16,12530,200480,17.613099,1.458414,1.458414,1.462008,176.079979,174.617971
1,16,15615,249840,17.930645,1.472938,1.472938,1.476602,157.820003,156.343401
1,16,17811,284976,18.120481,1.557531,1.557531,1.561352,159.599993,158.038641
1,16,18962,303392,18.210824,1.654320,1.654320,1.657641,154.529989,152.872349
1,16,23057,368912,18.492917,1.688820,1.688820,1.692602,159.749994,158.057392
1,16,47251,756016,19.528057,2.249312,2.249312,2.253477,160.750002,158.496525
1,16,74917,1198672,20.193006,2.837164,2.837164,2.840992,166.830025,163.989032
1,16,80231,1283696,20.291872,2.963648,2.963648,2.967383,154.000008,151.032626
1,16,107984,1727744,20.720458,3.600203,3.600203,3.604484,160.629977,157.025493
1,16,133762,2140192,21.029309,4.202172,4.202172,4.205656,162.879995,158.674338
1,16,140423,2246768,21.099420,4.345320,4.345320,4.349000,168.230035,163.881035
1,17,39,663,9.372865,0.985125,0.985125,0.988852,150.590029,149.601177
1,23,32710,752330,19.521006,2.294023,2.294023,2.297750,163.960038,161.662288
1,38,693,26334,14.684639,1.119062,1.119062,1.122867,161.660020,160.537153
1,64,12,768,9.584963,1.011523,1.011523,1.015461,155.880000,154.864539
1,64,16,1024,10.000000,0.980297,0.980297,0.984375,158.380019,157.395644
1,64,41,2624,11.357552,1.012531,1.012531,1.016258,154.189998,153.173740
1,64,76,4864,12.247928,1.145680,1.145680,1.149742,165.309990,164.160248
1,64,78,4992,12.285402,1.160344,1.160344,1.163602,169.239996,168.076395
1,64,137,8768,13.098032,1.069687,1.069687,1.073680,156.490016,155.416336
1,64,138,8832,13.108524,1.079875,1.079875,1.083695,165.660051,164.576355
1,64,645,41280,15.333155,1.184437,1.184437,1.188586,156.070048,154.881462
1,64,1002,64128,15.968667,1.204242,1.204242,1.207984,155.500020,154.292036
1,64,1025,65600,16.001408,1.210258,1.210258,1.213641,159.370014,158.156374
1,64,1130,72320,16.142107,1.221172,1.221172,1.225078,158.719951,157.494873
1,64,1961,125504,16.937374,1.393500,1.393500,1.397219,155.999966,154.602747
1,64,3389,216896,17.726644,1.450570,1.450570,1.454344,155.569986,154.115642
1,64,3494,223616,17.770664,1.480148,1.480148,1.484461,155.179994,153.695533
1,64,4137,264768,18.014369,1.563555,1.563555,1.566750,156.809983,155.243233
1,64,4919,314816,18.264149,1.644219,1.644219,1.648469,155.170041,153.521572
1,64,12279,785856,19.583905,2.285000,2.285000,2.288695,170.029991,167.741295
1,64,14850,950400,19.858175,2.580305,2.580305,2.584141,160.829979,158.245838
1,64,15177,971328,19.889599,2.612187,2.612187,2.616219,165.390025,162.773807
1,64,21843,1397952,20.414883,3.218031,3.218031,3.222000,154.189998,150.967998
1,64,26648,1705472,20.701740,3.587320,3.587320,3.591383,156.889961,153.298578
1,64,44133,2824512,21.429570,5.200305,5.200305,5.204008,148.930005,143.725997
1,64,47390,3032960,21.532295,5.492383,5.492383,5.496266,164.309982,158.813717
