d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.414258,1.414258,1.419359,156.630005,155.210646
1,1,16,16,4.000000,1.412148,1.412148,1.417469,157.600036,156.182567
1,1,18,18,4.169925,1.406898,1.406898,1.412109,151.349988,149.937879
1,1,25,25,4.643856,1.426711,1.426711,1.432062,149.599975,148.167913
1,1,40,40,5.321928,1.438969,1.438969,1.444250,152.509951,151.065701
1,1,61,61,5.930737,1.443766,1.443766,1.449109,150.670006,149.220897
1,1,87,87,6.442943,1.423711,1.423711,1.429289,152.910012,151.480723
1,1,102,102,6.672425,1.428570,1.428570,1.433625,142.800040,141.366415
1,1,120,120,6.906891,1.446930,1.446930,1.452367,141.240016,139.787649
1,1,157,157,7.294621,0.958234,0.958234,0.962156,152.900000,151.937844
1,1,354,354,8.467606,1.001070,1.001070,1.004750,153.419969,152.415219
1,1,1138,1138,10.152285,1.113844,1.113844,1.117758,153.320027,152.202269
1,1,1470,1470,10.521600,1.041578,1.041578,1.046133,146.589999,145.543866
1,1,1753,1753,10.775610,1.078891,1.078891,1.083000,149.319996,148.236996
1,1,1915,1915,10.903129,1.042477,1.042477,1.046492,146.700011,145.653519
1,1,2151,2151,11.070792,1.106602,1.106602,1.110492,150.689972,149.579479
1,1,2887,2887,11.495355,1.141008,1.141008,1.145109,157.030008,155.884899
1,1,3457,3457,11.755305,1.101758,1.101758,1.105766,162.480050,161.374284
1,1,5671,5671,12.469387,1.148156,1.148156,1.152500,152.710010,151.557510
1,1,27859,27859,14.765856,1.535781,1.535781,1.539937,150.759995,149.220058
1,1,58917,58917,15.846396,2.049602,2.049602,2.053539,151.040033,148.986494
1,1,60577,60577,15.886483,2.045336,2.045336,2.049375,160.120020,158.070645
1,1,109348,109348,16.738567,2.770859,2.770859,2.774883,154.119974,151.345092
1,1,159502,159502,17.283215,5.430289,5.430289,5.434414,155.390007,149.955593
1,2,7734,15468,13.916999,1.213070,1.213070,1.217969,153.280038,152.062069
1,8,10,80,6.321928,1.045844,1.045844,1.050008,151.300046,150.250038
1,8,18,144,7.169925,1.035055,1.035055,1.038992,150.379958,149.340965
1,8,44,352,8.459432,1.032492,1.032492,1.036750,154.260022,153.223272
1,8,48,384,8.584963,1.029188,1.029188,1.033117,154.129986,153.096869
1,8,53,424,8.727920,1.030477,1.030477,1.034266,154.529989,153.495724
1,8,116,928,9.857981,1.043969,1.043969,1.047656,149.849977,148.802321
1,8,124,992,9.954196,1.014367,1.014367,1.018297,150.859996,149.841699
1,8,218,1744,10.768184,1.027992,1.027992,1.031766,153.950008,152.918242
1,8,281,2248,11.134426,1.051500,1.051500,1.055383,153.439993,152.384610
1,8,395,3160,11.625709,1.083320,1.083320,1.087156,154.360023,153.272867
1,8,425,3400,11.731319,1.072344,1.072344,1.076125,150.948996,149.872871
1,8,487,3896,11.927778,1.098891,1.098891,1.103062,171.190011,170.086949
1,8,553,4424,12.111136,1.121234,1.121234,1.126211,151.059998,149.933787
1,8,848,6784,12.727920,1.122266,1.122266,1.126055,149.820000,148.693945
1,8,921,7368,12.847057,1.107891,1.107891,1.111906,150.410051,149.298145
1,8,1572,12576,13.618386,1.184031,1.184031,1.188406,221.180031,219.991625
1,8,5534,44272,15.434107,1.296078,1.296078,1.299898,147.219980,145.920082
1,8,7159,57272,15.805542,1.389945,1.389945,1.393508,148.509978,147.116471
1,8,8659,69272,16.079985,1.449633,1.449633,1.453773,150.820008,149.366234
1,8,18677,149416,17.188975,1.901234,1.901234,1.905391,148.759980,146.854590
1,8,19347,154776,17.239822,1.885992,1.885992,1.889555,148.251012,146.361458
1,8,23842,190736,17.541218,2.042945,2.042945,2.046875,149.839965,147.793090
1,8,27070,216560,17.724407,2.156359,2.156359,2.160289,149.459986,147.299697
1,8,89778,718224,19.454074,4.389445,4.389445,4.393023,164.749974,160.356951
1,8,143046,1144368,20.126120,8.310617,8.310617,8.314164,157.399976,149.085812
1,14,94,1316,10.361944,1.037758,1.037758,1.041766,168.400002,167.358236
1,15,5,75,6.228819,1.014937,1.014937,1.018930,141.359982,140.341052
1,16,8,128,7.000000,1.037586,1.037586,1.042102,149.840023,148.797922
1,16,10,160,7.321928,1.045094,1.045094,1.048914,150.159991,149.111077
1,16,15,240,7.906891,1.071977,1.071977,1.076008,142.869947,141.793939
