d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.938789,0.938789,0.942844,186.090008,185.147165
1,1,16,16,4.000000,0.947187,0.947187,0.951109,164.539961,163.588851
1,1,18,18,4.169925,0.940445,0.940445,0.944555,162.390003,161.445448
1,1,25,25,4.643856,0.928414,0.928414,0.932688,163.290009,162.357322
1,1,40,40,5.321928,0.927672,0.927672,0.931492,159.070012,158.138520
1,1,61,61,5.930737,0.928641,0.928641,0.932695,160.589989,159.657293
1,1,87,87,6.442943,0.929461,0.929461,0.933203,158.140028,157.206825
1,1,102,102,6.672425,0.928086,0.928086,0.932313,152.519962,151.587650
1,1,120,120,6.906891,0.949039,0.949039,0.953195,161.729986,160.776790
1,1,157,157,7.294621,0.960016,0.960016,0.964195,158.299983,157.335788
1,1,354,354,8.467606,0.976601,0.976601,0.980977,154.339999,153.359023
1,1,1138,1138,10.152285,1.033297,1.033297,1.036836,192.061008,191.024172
1,1,1470,1470,10.521600,1.072047,1.072047,1.076125,174.699991,173.623866
1,1,1753,1753,10.775610,1.045867,1.045867,1.049289,159.880030,158.830741
1,1,1915,1915,10.903129,1.070562,1.070562,1.074234,152.429973,151.355739
1,1,2151,2151,11.070792,1.059727,1.059727,1.063219,153.830042,152.766823
1,1,2887,2887,11.495355,1.065750,1.065750,1.069352,159.020012,157.950660
1,1,3457,3457,11.755305,1.087719,1.087719,1.091648,163.490011,162.398362
1,1,5671,5671,12.469387,1.119312,1.119312,1.123508,162.229990,161.106482
1,1,27859,27859,14.765856,1.379789,1.379789,1.383352,186.419988,185.036636
1,1,58917,58917,15.846396,1.728266,1.728266,1.732359,209.159974,207.427615
1,1,60577,60577,15.886483,1.735891,1.735891,1.738953,175.549998,173.811045
1,1,109348,109348,16.738567,2.243367,2.243367,2.247578,163.299963,161.052385
1,1,159502,159502,17.283215,5.049750,5.049750,5.053336,172.340020,167.286684
1,2,7734,15468,13.916999,1.116273,1.116273,1.120313,154.699956,153.579643
