d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,0.921320,0.921320,0.926156,156.480004,155.553848
1,1,16,16,4.000000,0.922453,0.922453,0.926516,152.839988,151.913472
1,1,18,18,4.169925,0.921734,0.921734,0.926875,149.719999,148.793124
1,1,25,25,4.643856,0.932781,0.932781,0.937719,153.950008,153.012289
1,1,40,40,5.321928,0.921555,0.921555,0.926289,157.599978,156.673689
1,1,61,61,5.930737,0.948898,0.948898,0.953430,149.849977,148.896547
1,1,87,87,6.442943,0.922750,0.922750,0.927734,156.959984,156.032250
1,1,102,102,6.672425,0.937594,0.937594,0.942648,154.869980,153.927332
1,1,120,120,6.906891,0.921750,0.921750,0.926250,156.080001,155.153751
1,1,157,157,7.294621,0.936976,0.936976,0.941078,154.269976,153.328897
1,1,354,354,8.467606,0.952781,0.952781,0.956359,161.119970,160.163610
1,1,1138,1138,10.152285,1.015172,1.015172,1.018672,163.509976,162.491304
1,1,1470,1470,10.521600,0.975273,0.975273,0.978992,152.470020,151.491028
1,1,1753,1753,10.775610,1.047187,1.047187,1.051367,153.939996,152.888629
1,1,1915,1915,10.903129,1.059062,1.059062,1.062891,163.740013,162.677122
1,1,2151,2151,11.070792,1.051375,1.051375,1.054742,160.650001,159.595259
1,1,2887,2887,11.495355,1.079008,1.079008,1.082727,149.530009,148.447283
1,1,3457,3457,11.755305,1.077391,1.077391,1.081078,154.170033,153.088955
1,1,5671,5671,12.469387,1.131492,1.131492,1.135328,152.499997,151.364669
1,1,27859,27859,14.765856,1.396016,1.396016,1.399625,153.129979,151.730354
1,1,58917,58917,15.846396,1.730227,1.730227,1.733859,163.320045,161.586185
1,1,60577,60577,15.886483,1.710195,1.710195,1.714352,164.669997,162.955645
1,1,109348,109348,16.738567,2.172680,2.172680,2.176844,157.990027,155.813183
1,1,159502,159502,17.283215,2.525086,2.525086,2.528492,155.340007,152.811515
1,2,7734,15468,13.916999,1.111687,1.111687,1.116086,157.099974,155.983888
1,8,10,80,6.321928,0.991828,0.991828,0.995672,165.450037,164.454366
1,8,18,144,7.169925,0.985203,0.985203,0.989234,157.899980,156.910746
1,8,44,352,8.459432,0.991031,0.991031,0.994883,153.460016,152.465133
1,8,48,384,8.584963,0.980547,0.980547,0.984227,158.009992,157.025766
1,8,53,424,8.727920,0.986266,0.986266,0.990336,153.929985,152.939649
1,8,116,928,9.857981,0.991226,0.991226,0.995258,154.820038,153.824780
1,8,124,992,9.954196,0.980336,0.980336,0.984375,154.349953,153.365578
1,8,218,1744,10.768184,1.010297,1.010297,1.014367,154.120033,153.105665
1,8,281,2248,11.134426,1.015609,1.015609,1.019336,154.790003,153.770667
1,8,395,3160,11.625709,1.058453,1.058453,1.062578,146.929990,145.867411
1,8,425,3400,11.731319,1.064422,1.064422,1.068141,156.290014,155.221874
1,8,487,3896,11.927778,1.087875,1.087875,1.091352,152.489985,151.398634
1,8,553,4424,12.111136,1.016102,1.016102,1.019266,156.000024,154.980758
1,8,848,6784,12.727920,1.069336,1.069336,1.073266,151.640037,150.566771
1,8,921,7368,12.847057,1.103633,1.103633,1.107609,165.559992,164.452382
1,8,1572,12576,13.618386,1.137484,1.137484,1.141594,159.330026,158.188432
1,8,5534,44272,15.434107,1.232617,1.232617,1.236711,150.339969,149.103258
1,8,7159,57272,15.805542,1.286875,1.286875,1.290477,157.080009,155.789532
1,8,8659,69272,16.079985,1.342180,1.342180,1.345914,150.479958,149.134044
1,8,18677,149416,17.188975,1.546461,1.546461,1.550695,161.730044,160.179349
1,8,19347,154776,17.239822,1.566078,1.566078,1.570195,153.220026,151.649830
1,8,23842,190736,17.541218,1.689797,1.689797,1.693734,157.109986,155.416251
1,8,27070,216560,17.724407,1.785492,1.785492,1.789320,156.869995,155.080675
1,8,89778,718224,19.454074,3.209539,3.209539,3.213453,158.010051,154.796597
1,8,143046,1144368,20.126120,3.800461,3.800461,3.804305,161.489996,157.685691
1,14,94,1316,10.361944,1.025508,1.025508,1.029141,152.189983,151.160842
1,15,5,75,6.228819,0.993789,0.993789,0.997508,165.740028,164.742520
1,16,8,128,7.000000,0.991180,0.991180,0.995055,158.899988,157.904933
1,16,10,160,7.321928,1.082117,1.082117,1.085742,153.540052,152.454309
1,16,15,240,7.906891,1.098242,1.098242,1.101641,155.710033,154.608393
1,16,25,400,8.643856,1.026531,1.026531,1.030375,166.099984,165.069609
1,16,63,1008,9.977280,1.025391,1.025391,1.029008,158.730021,157.701013
1,16,160,2560,11.321928,1.036172,1.036172,1.040039,167.479971,166.439932
1,16,182,2912,11.507795,1.062922,1.062922,1.066641,156.049966,154.983325
1,16,185,2960,11.531381,1.094664,1.094664,1.098617,153.419969,152.321352
1,16,237,3792,11.888743,1.042359,1.042359,1.046305,153.169967,152.123663
1,16,277,4432,12.113742,1.057203,1.057203,1.061023,174.180022,173.118999
1,16,293,4688,12.194757,1.046727,1.046727,1.050320,151.070009,150.019689
1,16,341,5456,12.413628,1.034312,1.034312,1.038383,154.260022,153.221639
1,16,436,6976,12.768184,1.094086,1.094086,1.098078,152.489985,151.391907
1,16,438,7008,12.774787,1.095422,1.095422,1.099250,151.630025,150.530775
1,16,483,7728,12.915879,1.095289,1.095289,1.099563,150.610053,149.510490
1,16,544,8704,13.087463,1.115789,1.115789,1.119852,164.090015,162.970164
1,16,659,10544,13.364135,1.106992,1.106992,1.111367,169.890001,168.778634
1,16,1255,20080,14.293472,1.161336,1.161336,1.165156,154.570036,153.404880
1,16,1535,24560,14.584023,1.169414,1.169414,1.173383,153.659959,152.486577
1,16,1887,30192,14.881879,1.216047,1.216047,1.220219,162.120035,160.899817
1,16,2232,35712,15.124121,1.201336,1.201336,1.204953,155.300018,154.095065
1,16,2665,42640,15.379920,1.212781,1.212781,1.216594,151.810003,150.593410
1,16,3083,49328,15.590119,1.245234,1.245234,1.248625,151.960005,150.711380
1,16,8979,143664,17.132339,1.531422,1.531422,1.535313,155.359972,153.824660
1,16,9371,149936,17.193987,1.579734,1.579734,1.583336,155.120040,153.536704
1,16,11455,183280,17.483690,1.646414,1.646414,1.650242,157.909992,156.259749
1,16,12530,200480,17.613099,1.748523,1.748523,1.752117,157.450035,155.697918
1,16,15615,249840,17.930645,1.868937,1.868937,1.872867,159.099989,157.227122
1,16,17811,284976,18.120481,1.975172,1.975172,1.978891,170.090003,168.111112
1,16,18962,303392,18.210824,2.058641,2.058641,2.062555,157.609989,155.547435
1,16,23057,368912,18.492917,2.259633,2.259633,2.263133,160.600001,158.336868
1,16,47251,756016,19.528057,3.313633,3.313633,3.317688,163.490011,160.172323
1,16,74917,1198672,20.193006,4.580437,4.580437,4.584133,172.339962,167.755829
1,16,80231,1283696,20.291872,4.802891,4.802891,4.806398,158.259994,153.453596
1,16,107984,1727744,20.720458,6.047133,6.047133,6.051063,168.099999,162.048937
1,16,133762,2140192,21.029309,6.336172,6.336172,6.340117,162.060023,155.719906
1,16,140423,2246768,21.099420,6.562258,6.562258,6.565773,160.110008,153.544235
1,17,39,663,9.372865,0.992641,0.992641,0.996367,150.880020,149.883652
1,23,32710,752330,19.521006,3.397867,3.397867,3.402211,163.860037,160.457826
1,38,693,26334,14.684639,1.146859,1.146859,1.150516,154.730049,153.579533
1,64,12,768,9.584963,1.014797,1.014797,1.018883,152.850000,151.831117
1,64,16,1024,10.000000,1.000344,1.000344,1.003984,149.990025,148.986040
1,64,41,2624,11.357552,1.077539,1.077539,1.081344,153.219968,152.138624
1,64,76,4864,12.247928,1.110484,1.110484,1.114227,156.709983,155.595756
1,64,78,4992,12.285402,1.077523,1.077523,1.081375,157.520000,156.438625
1,64,137,8768,13.098032,1.129148,1.129148,1.133328,148.190011,147.056683
1,64,138,8832,13.108524,1.118445,1.118445,1.122164,147.319981,146.197817
1,64,645,41280,15.333155,1.244156,1.244156,1.247742,154.180045,152.932303
1,64,1002,64128,15.968667,1.303297,1.303297,1.307531,153.090048,151.782517
1,64,1025,65600,16.001408,1.373680,1.373680,1.377492,154.129986,152.752494
1,64,1130,72320,16.142107,1.367141,1.367141,1.370750,154.609967,153.239217
1,64,1961,125504,16.937374,1.530953,1.530953,1.535203,155.030051,153.494848
1,64,3389,216896,17.726644,1.769555,1.769555,1.773508,154.980051,153.206543
1,64,3494,223616,17.770664,1.832164,1.832164,1.835891,156.339956,154.504066
1,64,4137,264768,18.014369,1.925328,1.925328,1.929234,159.820018,157.890783
1,64,4919,314816,18.264149,2.115414,2.115414,2.119336,160.679978,158.560642
1,64,12279,785856,19.583905,3.426273,3.426273,3.430539,163.539953,160.109414
1,64,14850,950400,19.858175,3.958258,3.958258,3.961969,169.010018,165.048049
1,64,15177,971328,19.889599,3.925195,3.925195,3.928578,156.260037,152.331459
1,64,21843,1397952,20.414883,5.177570,5.177570,5.181141,165.299978,160.118838
1,64,26648,1705472,20.701740,5.982828,5.982828,5.987086,166.129961,160.142875
1,64,44133,2824512,21.429570,9.259359,9.259359,9.262641,157.649978,148.387337
1,64,47390,3032960,21.532295,9.411641,9.411641,9.414906,169.469975,160.055069
1,64,54202,3468928,21.726058,11.036523,11.036523,11.040008,160.679978,149.639970
1,64,70342,4501888,22.102099,13.672812,13.672812,13.676391,168.919971,155.243580
1,64,91122,5831808,22.475512,17.495898,17.495898,17.499500,167.180027,149.680527
1,64,93296,5970944,22.509528,17.683930,17.683930,17.687633,179.819996,162.132363
1,64,108771,6961344,22.730934,20.954844,20.954844,20.958750,171.869993,150.911243
1,92,10719,986148,19.911445,4.078742,4.078742,4.082461,156.230002,152.147541
1,128,9,1152,10.169925,1.025398,1.025398,1.028891,162.110024,161.081133
1,128,10,1280,10.321928,1.003641,1.003641,1.007359,154.910027,153.902668
1,128,11,1408,10.459432,1.027312,1.027312,1.031570,152.660010,151.628440
1,128,17,2176,11.087463,0.979508,0.979508,0.982898,151.460001,150.477102
1,128,21,2688,11.392317,0.969047,0.969047,0.973352,152.380031,151.406679
1,128,31,3968,11.954196,1.047453,1.047453,1.051648,149.959989,148.908341
1,128,59,7552,12.882643,1.104180,1.104180,1.108242,153.000001,151.891759
1,128,217,27776,14.761551,1.150352,1.150352,1.153766,159.320014,158.166248
1,128,233,29824,14.864186,1.150375,1.150375,1.153516,152.790046,151.636530
1,128,320,40960,15.321928,1.224695,1.224695,1.228633,155.749964,154.521331
1,128,434,55552,15.761551,1.241117,1.241117,1.244711,157.420000,156.175289
1,128,448,57344,15.807355,1.287180,1.287180,1.291336,153.919973,152.628637
1,128,1883,241024,17.878817,1.822648,1.822648,1.826469,175.119960,173.293491
1,128,2274,291072,18.151017,2.047312,2.047312,2.051109,159.829971,157.778862
1,128,3125,400000,18.609640,2.371344,2.371344,2.375031,171.880005,169.504974
1,128,5232,669696,19.353147,3.140484,3.140484,3.143820,163.790013,160.646193
1,128,6775,867200,19.726005,3.772633,3.772633,3.776125,164.290017,160.513892
1,128,21380,2736640,21.383974,8.803766,8.803766,8.806930,157.119997,148.313068
1,128,22820,2920960,21.478011,9.140375,9.140375,9.143656,172.970002,163.826345
1,128,36669,4693632,22.162273,14.671039,14.671039,14.674758,170.360028,155.685270
1,128,83299,10662272,23.346012,30.725672,30.725672,30.729289,184.320030,153.590741
1,128,83605,10701440,23.351302,30.772906,30.772906,30.776484,179.689960,148.913475
1,128,92977,11901056,23.504586,34.343937,34.343937,34.347844,184.889999,150.542155
1,128,107486,13758208,23.713789,39.663898,39.663898,39.667383,199.018978,159.351595
1,128,130017,16642176,23.988341,47.622297,47.622297,47.626227,197.220012,149.593785
1,128,141033,18052224,24.105673,51.294008,51.294008,51.297633,199.950009,148.652376
1,169,12,2028,10.985842,1.043008,1.043008,1.046820,156.719994,155.673174
1,192,5,960,9.906891,1.045180,1.045180,1.049047,161.679985,160.630939
1,242,258,62436,15.930090,1.290867,1.290867,1.294141,153.910019,152.615879
1,256,10,2560,11.321928,1.047727,1.047727,1.051250,153.579982,152.528732
1,256,12,3072,11.584963,1.019711,1.019711,1.023844,155.429996,154.406152
1,256,25,6400,12.643856,1.072266,1.072266,1.076234,146.019971,144.943737
1,256,29,7424,12.857981,1.094430,1.094430,1.098594,152.169960,151.071366
1,256,37,9472,13.209453,1.102351,1.102351,1.106555,156.810042,155.703487
1,256,41,10496,13.357552,1.084547,1.084547,1.088625,156.240014,155.151389
1,256,55,14080,13.781360,1.116844,1.116844,1.120492,160.420022,159.299530
1,256,78,19968,14.285402,1.131734,1.131734,1.135266,170.519983,169.384717
1,256,196,50176,15.614710,1.237781,1.237781,1.241344,156.640017,155.398673
1,256,245,62720,15.936638,1.304695,1.304695,1.309086,159.650052,158.340966
1,256,251,64256,15.971544,1.375750,1.375750,1.379734,157.159986,155.780252
1,256,391,100096,16.611025,1.399766,1.399766,1.403617,155.350019,153.946402
1,256,469,120064,16.873444,1.486687,1.486687,1.490711,152.929977,151.439266
1,256,589,150784,17.202124,1.588031,1.588031,1.592063,153.060013,151.467950
1,256,735,188160,17.521600,1.658477,1.658477,1.662203,154.750014,153.087811
1,256,780,199680,17.607330,1.720320,1.720320,1.724047,158.609997,156.885950
1,256,859,219904,17.746514,1.776961,1.776961,1.780898,155.290007,153.509108
1,256,1252,320512,18.290019,2.129008,2.129008,2.133195,159.339979,157.206784
1,256,1456,372736,18.507795,2.269586,2.269586,2.273375,154.729991,152.456616
1,256,26331,6740736,22.684475,20.177969,20.177969,20.181789,170.949963,150.768174
1,256,34889,8931584,23.090485,26.307531,26.307531,26.311023,184.650009,158.338986
1,256,51706,13236736,23.658044,45.193867,45.193867,45.197875,189.970015,144.772140
1,481,4,1924,10.909893,1.017516,1.017516,1.021266,158.640032,157.618767
1,488,69,33672,15.039262,1.203016,1.203016,1.206523,154.979993,153.773469
1,512,11,5632,12.459432,1.094539,1.094539,1.098867,161.850010,160.751143
1,512,14,7168,12.807355,1.107609,1.107609,1.111586,152.470020,151.358434
1,512,15,7680,12.906891,1.112016,1.112016,1.115727,150.349981,149.234254
1,512,36,18432,14.169925,1.123844,1.123844,1.127648,154.709967,153.582319
1,512,44,22528,14.459432,1.184039,1.184039,1.187867,152.299996,151.112128
1,512,58,29696,14.857981,1.213156,1.213156,1.216883,152.760011,151.543128
1,512,62,31744,14.954196,1.191648,1.191648,1.195578,180.349976,179.154398
1,512,64,32768,15.000000,1.177453,1.177453,1.181578,153.050001,151.868423
1,512,115,58880,15.845490,1.332289,1.332289,1.336211,162.900018,161.563807
1,512,155,79360,16.276124,1.318797,1.318797,1.322539,158.299983,156.977444
1,512,220,112640,16.781360,1.450031,1.450031,1.453852,156.639959,155.186107
1,512,227,116224,16.826548,1.492422,1.492422,1.496477,155.159971,153.663494
1,512,248,126976,16.954196,1.494562,1.494562,1.498625,160.270021,158.771396
1,512,326,166912,17.348728,1.624297,1.624297,1.628133,155.040005,153.411872
1,512,425,217600,17.731319,1.814172,1.814172,1.818172,178.769988,176.951816
1,512,492,251904,17.942515,1.890148,1.890148,1.894172,155.740010,153.845838
