model,seq,batch,vocab,wall_ms,device_ms,status
gpt2,128,1,50257,0.7958,0.3191,ok
gpt2,128,8,50257,1.4085,0.9093,ok
gpt2,128,32,50257,4.6140,4.0317,ok
gpt2,256,1,50257,0.8641,0.3953,ok
gpt2,256,8,50257,2.8485,2.3454,ok
gpt2,256,32,50257,9.6306,9.0372,ok
gpt2,512,1,50257,0.9999,0.4873,ok
gpt2,512,8,50257,5.6415,5.0952,ok
gpt2,512,32,50257,23.8509,23.0940,ok
gpt2,1024,1,50257,1.9963,1.4902,ok
gpt2,1024,8,50257,16.4132,15.7084,ok
gpt2,1024,32,50257,66.7442,65.5302,ok
qwen2.5-0.5b,128,1,151936,1.5105,0.8603,ok
qwen2.5-0.5b,128,8,151936,2.8759,2.2018,ok
qwen2.5-0.5b,128,32,151936,8.7549,7.8519,ok
qwen2.5-0.5b,256,1,151936,1.6654,0.8966,ok
qwen2.5-0.5b,256,8,151936,4.8300,4.0032,ok
qwen2.5-0.5b,256,32,151936,20.3192,19.2428,ok
qwen2.5-0.5b,512,1,151936,2.1990,1.4335,ok
qwen2.5-0.5b,512,8,151936,11.8634,10.9168,ok
qwen2.5-0.5b,512,32,151936,47.2034,46.0182,ok
qwen2.5-0.5b,1024,1,151936,3.7341,2.9278,ok
qwen2.5-0.5b,1024,8,151936,31.2949,30.1016,ok
qwen2.5-0.5b,1024,32,151936,,,skip_oom
smollm2-135m,128,1,49152,1.1233,0.3926,ok
smollm2-135m,128,8,49152,1.7540,1.0030,ok
smollm2-135m,128,32,49152,3.8785,3.1098,ok
smollm2-135m,256,1,49152,1.2411,0.5107,ok
smollm2-135m,256,8,49152,2.5678,1.8314,ok
smollm2-135m,256,32,49152,12.3422,11.3628,ok
smollm2-135m,512,1,49152,1.4936,0.7495,ok
smollm2-135m,512,8,49152,8.1203,7.2760,ok
smollm2-135m,512,32,49152,28.4003,27.1910,ok
smollm2-135m,1024,1,49152,2.6141,1.8323,ok
smollm2-135m,1024,8,49152,21.0547,20.0118,ok
smollm2-135m,1024,32,49152,99.8536,98.1046,ok
