model,seq,batch,vocab,device_ms,device_minus_issue_ms,status
gpt2,128,1,50257,0.7635,0.3121,ok
gpt2,256,1,50257,0.7923,0.3903,ok
gpt2,512,1,50257,0.9536,0.4993,ok
qwen2.5-0.5b,128,1,151936,1.5212,0.8132,ok
qwen2.5-0.5b,256,1,151936,1.6638,0.9193,ok
qwen2.5-0.5b,512,1,151936,2.1549,1.4214,ok
smollm2-135m,128,1,49152,1.0912,0.3836,ok
smollm2-135m,256,1,49152,1.1773,0.5076,ok
smollm2-135m,512,1,49152,1.4695,0.7714,ok
tiny_transformer,128,1,2048,0.3356,,ok
gpt2,1024,1,50257,1.9655,1.4842,ok
qwen2.5-0.5b,1024,1,151936,3.7500,2.9353,ok
smollm2-135m,1024,1,49152,2.5542,1.8190,ok
