M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
2112,64,64,tall,bf16,108.2000,1.6390,11.5127,96.6873,2493,ok
16,257,768,grid,bf16,104.5100,1.5522,13.7323,90.7777,7163,ok
128,128,1151,deepK,bf16,107.2700,2.1074,13.8354,93.4345,4589,ok
4096,1536,256,grid,bf16,123.6200,17.3425,29.0351,94.5849,107471,ok
4096,512,256,grid,bf16,114.4699,7.1831,18.2304,96.2395,35823,ok
384,96,1,grid,bf16,103.7701,2.2456,19.0199,84.7502,765,ok
512,1024,96,grid,bf16,105.1500,2.7504,19.8804,85.2696,7151,ok
256,1,127,grid,bf16,102.7900,2.2720,14.5648,88.2252,637,ok
1327,241,22,random,bf16,106.7400,2.2767,14.6984,92.0416,3417,ok
256,8192,64,wide_output,bf16,109.6700,6.2086,18.4302,91.2398,40831,ok
2048,1,127,grid,bf16,109.0000,3.1794,16.6243,92.3757,2429,ok
1,3312,3966,random,bf16,134.1300,30.2038,45.7165,88.4135,308697,ok
128,127,1,grid,bf16,149.2701,1.0748,13.0996,136.1705,509,ok
615,212,50,random,bf16,120.9000,1.6589,14.0700,106.8300,1993,ok
96,4,1,grid,bf16,105.6200,1.2116,14.4662,91.1539,477,ok
124,10,5,random,bf16,109.8310,1.1087,11.3887,98.4423,505,ok
4,2048,384,grid,bf16,104.8599,1.3977,13.4227,91.4372,18527,ok
8,289,64,wide_output,bf16,103.5900,1.0905,12.8470,90.7430,1169,ok
4,192,1024,grid,bf16,117.0899,1.1934,12.5606,104.5294,6175,ok
192,1,1536,grid,bf16,106.6490,4.1606,16.8743,89.7747,6887,ok
256,129,128,grid,bf16,103.0901,1.1826,12.8123,90.2778,1275,ok
1,1,545,deepK,bf16,103.7500,2.6571,12.7267,91.0233,1914,ok
756,17,2320,random,bf16,104.3000,2.4419,14.6920,89.6080,21621,ok
96,127,129,grid,bf16,103.6001,1.7400,13.5032,90.0969,955,ok
4,512,1,grid,bf16,100.5201,2.0474,14.4722,86.0479,1543,ok
192,1,127,grid,bf16,107.0100,2.3182,14.5330,92.4770,573,ok
4096,4,96,grid,bf16,104.2400,1.2410,12.1052,92.1349,4477,ok
2,2,187,random,bf16,102.7200,0.9607,36.7673,65.9527,767,ok
768,1536,2048,grid,bf16,125.7490,21.6114,33.3617,92.3873,220799,ok
3,6780,373,random,bf16,121.8700,2.3475,17.9963,103.8736,61214,ok
127,384,64,grid,bf16,107.2900,1.4090,15.9067,91.3833,1526,ok
2,4096,1,grid,bf16,105.1400,3.2945,14.3515,90.7885,12287,ok
16,1,2,grid,bf16,102.1901,1.8800,13.7244,88.4656,397,ok
8,1536,4,grid,bf16,109.0399,1.1926,14.4770,94.5629,4679,ok
2048,4,192,grid,bf16,104.6200,1.2124,13.4430,91.1770,4859,ok
1,1287,140,random,bf16,109.4601,3.8986,15.3058,94.1543,8425,ok
129,257,32,grid,bf16,104.0100,1.4714,14.1951,89.8148,1532,ok
256,1024,8,grid,bf16,106.9299,1.8321,14.4781,92.4518,5103,ok
1,8,1627,random,bf16,105.0000,2.8319,16.6060,88.3940,4978,ok
16,512,4096,grid,bf16,107.2100,2.5767,24.7690,82.4410,50943,ok
1536,4096,32,grid,bf16,119.8701,14.7831,27.4323,92.4378,61375,ok
2490,8,3,random,bf16,106.7501,1.2470,13.0216,93.7285,2871,ok
129,257,257,grid,bf16,104.4200,1.4572,13.2513,91.1687,4598,ok
6059,26,71,random,bf16,104.0300,1.6696,18.3254,85.7046,6440,ok
197,224,69,random,bf16,102.9200,1.3764,13.6003,89.3197,1157,ok
16,16,1032,deepK,bf16,115.7400,1.1826,12.9868,102.7532,3581,ok
512,8,4096,grid,bf16,109.4800,2.2773,16.6711,92.8089,28607,ok
250,371,73,random,bf16,110.4100,1.5551,12.7746,97.6355,1895,ok
16,768,1,grid,bf16,111.4600,2.2470,15.1243,96.3357,2387,ok
768,384,64,grid,bf16,111.6500,2.1945,14.6688,96.9812,3449,ok
2,2,384,grid,bf16,111.1600,0.9598,13.1927,97.9673,1151,ok
64,384,512,grid,bf16,110.3000,1.3661,14.2627,96.0373,5351,ok
64,4,4096,grid,bf16,111.4999,1.5438,14.0752,97.4248,14271,ok
512,64,4096,grid,bf16,112.1600,3.3563,21.4013,90.7587,28607,ok
1,16,127,grid,bf16,108.2199,1.5544,16.1073,92.1126,382,ok
256,512,129,grid,bf16,115.4500,1.7786,15.3166,100.1335,5103,ok
8,1025,8,fat,bf16,115.6690,1.0701,12.9263,102.7427,3509,ok
256,256,289,deepK,bf16,114.8799,1.6799,12.7314,102.1485,3827,ok
96,2048,96,grid,bf16,115.3301,1.5667,18.4260,96.9041,7647,ok
127,512,4,grid,bf16,112.8101,1.4428,13.0036,99.8065,2035,ok
156,1,798,random,bf16,112.8700,3.8180,15.9146,96.9554,3765,ok
128,1024,127,grid,bf16,110.7501,1.3921,12.6537,98.0964,4079,ok
768,129,127,grid,bf16,113.4500,1.5197,15.8342,97.6158,2299,ok
192,96,4,grid,bf16,112.4400,1.3478,13.7829,98.6571,573,ok
189,5,9,random,bf16,106.6399,1.0783,14.0949,92.5451,570,ok
2048,512,96,grid,bf16,107.9299,4.2127,18.1383,89.7916,9719,ok
4096,96,64,grid,bf16,108.5100,2.3196,14.1740,94.3360,4477,ok
6678,1059,171,random,bf16,124.6700,20.8408,32.9851,91.6848,127079,ok
256,16,127,grid,bf16,105.5601,1.1590,12.1418,93.4182,637,ok
8,192,128,grid,bf16,105.0100,1.1206,13.4874,91.5226,779,ok
129,1536,2048,grid,bf16,111.4799,6.0110,17.8417,93.6382,98111,ok
256,192,192,grid,bf16,105.6599,1.7684,14.0815,91.5784,2551,ok
1,96,4096,grid,bf16,111.7501,3.9964,15.9777,95.7724,12255,ok
384,768,16,grid,bf16,106.0900,2.1427,14.0530,92.0370,4595,ok
32,192,4,grid,bf16,104.3200,1.2252,13.8320,90.4880,827,ok
96,1024,256,grid,bf16,106.8200,1.5809,14.6117,92.2083,7647,ok
8,1120,64,wide_output,bf16,105.0601,1.1058,13.8148,91.2452,3509,ok
4640,1,16,random,bf16,106.2599,2.6827,15.7029,90.5571,5021,ok
4160,16,16,tall,bf16,103.5701,1.4139,12.9949,90.5752,4541,ok
1,576,128,gemv_wideN,bf16,104.7910,2.2272,14.4495,90.3415,1914,ok
1536,4,4,grid,bf16,114.6200,1.1771,13.9945,100.6254,1917,ok
256,256,576,deepK,bf16,107.4600,1.9598,13.9960,93.4640,6379,ok
96,32,257,grid,bf16,107.5300,1.1232,13.4283,94.1018,1433,ok
16,2049,16,fat,bf16,105.1000,1.1158,11.5966,93.5034,6765,ok
384,96,256,grid,bf16,106.6300,1.2540,13.1046,93.5254,1531,ok
130,3099,570,random,bf16,112.0490,4.4969,16.0225,96.0266,63999,ok
32,64,256,grid,bf16,106.2710,1.0467,13.6707,92.6003,827,ok
156,54,274,random,bf16,105.8399,1.2897,13.2484,92.5915,1613,ok
11,1182,306,random,bf16,110.6201,1.3271,14.0219,96.5982,11789,ok
1,8193,128,gemv_wideN,bf16,109.9310,6.3057,17.1368,92.7942,24894,ok
257,257,192,grid,bf16,111.1700,1.8355,15.2217,95.9483,3833,ok
32,96,127,grid,bf16,109.4200,1.0400,16.8380,92.5821,413,ok
44,2544,35,random,bf16,109.2299,1.6036,14.2641,94.9658,8519,ok
768,8,2,grid,bf16,112.1700,1.1704,12.2495,99.9205,1149,ok
768,192,4,grid,bf16,107.9501,1.7095,15.1686,92.7815,2299,ok
4,96,384,grid,bf16,112.3999,1.0393,14.0084,98.3915,1157,ok
768,1,257,grid,bf16,109.1500,3.8986,16.1450,93.0050,3449,ok
64,16,2048,grid,bf16,107.9299,1.5702,14.1761,93.7539,7135,ok
16,768,2048,grid,bf16,108.4900,2.1780,13.2589,95.2311,38207,ok
64,64,2144,deepK,bf16,114.7300,2.0365,15.2294,99.5005,7581,ok
2062,781,14,random,bf16,110.8700,5.2200,19.6509,91.2191,17107,ok
16,128,32,grid,bf16,106.8889,0.9991,13.3796,93.5093,397,ok
1088,256,256,tall,bf16,108.3200,2.2472,15.7291,92.5909,5879,ok
4,630,173,random,bf16,107.5401,1.1217,13.7280,93.8120,3859,ok
8,4096,64,grid,bf16,116.5200,1.2830,13.8032,102.7168,12479,ok
127,1,96,grid,bf16,104.4400,1.4609,15.4227,89.0173,508,ok
10,2,2318,random,bf16,106.5800,1.0080,11.9073,94.6726,7447,ok
128,4,257,grid,bf16,108.5200,1.0198,12.8889,95.6311,1529,ok
16,8192,64,wide_output,bf16,108.3000,1.5445,15.4421,92.8579,25471,ok
29,10,20,random,bf16,118.8500,1.0232,15.1191,103.7309,410,ok
96,128,96,grid,bf16,108.1800,1.2290,12.6871,95.4928,477,ok
16,129,256,grid,bf16,107.4600,1.1368,13.5268,93.9332,1591,ok
768,96,32,grid,bf16,107.7800,1.4852,14.6303,93.1496,1149,ok
284,2,1589,random,bf16,107.7700,1.6468,13.5444,94.2255,8657,ok
1,1616,20,random,bf16,108.6700,2.3072,13.7243,94.9457,4978,ok
1,545,16,gemv_wideN,bf16,107.4399,2.1223,12.5178,94.9221,1914,ok
2048,128,128,tall,bf16,116.0910,1.9334,17.1259,98.9651,2429,ok
1024,257,127,grid,bf16,116.1000,2.0022,13.4609,102.6391,4217,ok
32,11,23,random,bf16,108.1401,1.0069,16.5887,91.5513,413,ok
1,1,4097,deepK,bf16,109.2301,3.4438,13.9732,95.2569,12638,ok
129,192,32,grid,bf16,106.7300,1.3964,13.5123,93.2177,1021,ok
512,4096,2048,grid,bf16,144.2300,35.9721,49.1189,95.1111,457727,ok
257,127,1,grid,bf16,108.0700,2.3462,14.4516,93.6184,638,ok
35,4528,62,random,bf16,106.2400,1.7410,12.2041,94.0359,15011,ok
8,8,1120,deepK,bf16,108.7299,1.1188,13.5816,95.1483,3509,ok
32,1093,83,random,bf16,111.5401,1.2064,13.6666,97.8735,3725,ok
256,127,96,grid,bf16,107.3700,1.4171,13.8544,93.5155,637,ok
32,8,127,grid,bf16,107.8600,0.9777,13.3918,94.4682,413,ok
4096,512,192,grid,bf16,116.1100,8.3450,20.1055,96.0044,35823,ok
15,748,12,random,bf16,107.5900,1.0472,12.3550,95.2350,2381,ok
9,163,976,random,bf16,107.1000,1.2595,13.8556,93.2444,6255,ok
192,256,1024,grid,bf16,108.9600,1.9057,16.8522,92.1078,9183,ok
10,4230,1657,random,bf16,112.7800,5.1728,19.1805,93.5995,173263,ok
96,1536,96,grid,bf16,107.9100,1.4216,14.8227,93.0873,5735,ok
4,1536,192,grid,bf16,110.9000,1.1525,14.1700,96.7300,9263,ok
257,4,1536,grid,bf16,110.0199,1.5491,15.2707,94.7492,7667,ok
768,129,256,grid,bf16,111.2401,1.6313,13.9705,97.2695,4599,ok
256,289,64,wide_output,bf16,111.6199,1.4369,14.6250,96.9949,1913,ok
192,128,192,grid,bf16,110.2000,1.2962,13.3443,96.8557,1147,ok
2,384,1024,grid,bf16,108.0501,1.5766,12.9807,95.0694,9215,ok
256,1536,768,grid,bf16,129.0400,4.9430,24.1238,104.9162,45935,ok
127,1,512,grid,bf16,124.0199,2.9166,20.1448,103.8751,2035,ok
107,3,1,random,bf16,122.4800,1.2091,21.3441,101.1359,488,ok
256,256,2081,deepK,bf16,126.2100,3.5644,22.0232,104.1868,21691,ok
129,256,768,grid,bf16,122.6891,1.5627,19.8471,102.8419,6131,ok
64,64,8288,deepK,bf16,126.1900,3.1279,24.4525,101.7375,28989,ok
2048,1024,96,grid,bf16,130.6001,6.3164,26.7650,103.8351,19439,ok
2047,2,5,random,bf16,122.7400,1.0789,18.6621,104.0779,2428,ok
96,16,512,grid,bf16,124.2401,1.0830,20.0516,104.1884,1911,ok
512,32,1024,grid,bf16,134.2901,1.5239,19.8668,114.4233,7151,ok
257,32,4,grid,bf16,121.8901,1.2566,21.6709,100.2192,638,ok
768,2048,4096,grid,bf16,183.4311,52.8539,71.3225,112.1086,588799,ok
64,2048,32,grid,bf16,120.6200,1.5555,19.4393,101.1807,7135,ok
5444,350,287,random,bf16,133.3000,9.9631,28.5180,104.7820,52433,ok
1414,140,1,random,bf16,122.7600,3.7587,22.2750,100.4849,3591,ok
96,129,512,grid,bf16,156.5199,1.4918,21.8246,134.6953,3823,ok
1,2056,64,wide_output,bf16,122.5600,2.6506,20.7422,101.8178,6510,ok
257,1536,129,grid,bf16,123.3000,2.9452,22.2959,101.0041,15335,ok
384,32,4,grid,bf16,119.8200,1.2291,20.5007,99.3193,765,ok
772,42,1083,random,bf16,123.1800,2.2762,21.1714,102.0085,10385,ok
64,512,1536,grid,bf16,123.7399,2.0448,22.9900,100.7499,21407,ok
32,96,1024,grid,bf16,123.2000,1.6223,20.2482,102.9518,3311,ok
256,1,16,grid,bf16,119.6300,2.0129,19.5477,100.0823,637,ok
391,1608,42,random,bf16,125.6800,3.2471,22.4518,103.2282,10048,ok
127,1536,16,grid,bf16,122.5300,1.8041,20.2123,102.3177,6107,ok
128,384,32,grid,bf16,121.5100,1.4349,20.7482,100.7618,1529,ok
128,257,257,grid,bf16,123.9300,1.9911,20.2959,103.6342,4589,ok
1,64,127,grid,bf16,119.4300,1.5985,19.8557,99.5743,382,ok
192,384,192,grid,bf16,123.4701,1.4196,19.7352,103.7349,3443,ok
2048,768,768,grid,bf16,133.6799,12.3956,31.8079,101.8721,87479,ok
1,383,256,gemv_wideN,bf16,121.0110,3.5560,24.4393,96.5718,2297,ok
128,32,64,grid,bf16,123.0401,1.0746,19.9873,103.0528,509,ok
257,32,192,grid,bf16,120.2701,1.1267,20.8903,99.3797,1277,ok
32,16,4096,grid,bf16,121.9200,1.6165,23.5344,98.3856,13247,ok
8,1032,64,wide_output,bf16,122.8499,1.1324,22.0375,100.8124,3509,ok
1,96,64,grid,bf16,125.0401,1.4231,20.9004,104.1397,382,ok
128,2048,32,grid,bf16,120.4000,1.9510,19.9855,100.4145,8159,ok
6,4,63,random,bf16,119.1901,0.9510,19.7130,99.4770,387,ok
1,192,129,grid,bf16,123.1299,3.3153,21.5248,101.6051,1531,ok
1273,1,3107,random,bf16,130.4300,12.6342,30.5044,99.9255,41374,ok
127,8,96,grid,bf16,122.2501,1.0217,20.0018,102.2483,508,ok
16,8225,64,wide_output,bf16,120.5000,1.5475,21.6571,98.8429,25869,ok
127,32,768,grid,bf16,124.4401,1.1777,21.5768,102.8633,3053,ok
384,4096,256,grid,bf16,126.4099,6.3319,28.6052,97.8047,49023,ok
8200,1,1,tall,bf16,120.9400,1.1472,20.6696,100.2704,8581,ok
127,768,4,grid,bf16,120.8599,1.5900,20.4952,100.3647,3053,ok
8200,8192,64,thinK,bf16,253.6200,131.8716,150.3910,103.2289,549247,ok
256,4192,256,fat,bf16,126.7600,4.5804,23.1696,103.5904,42107,ok
127,512,4096,grid,bf16,124.6399,4.2866,25.3327,99.3072,65151,ok
