M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,host_us,cycles_compute,status
2112,64,64,tall,bf16,108.5900,14.0651,94.5249,2493,ok
16,257,768,grid,bf16,106.9500,13.0906,93.8594,7163,ok
128,128,1151,deepK,bf16,110.6690,18.3551,92.3139,4589,ok
4096,1536,256,grid,bf16,126.4290,28.2283,98.2007,107471,ok
4096,512,256,grid,bf16,116.2100,21.4281,94.7818,35823,ok
384,96,1,grid,bf16,105.5100,17.7025,87.8075,765,ok
512,1024,96,grid,bf16,105.6900,18.8454,86.8446,7151,ok
256,1,127,grid,bf16,105.7300,17.4053,88.3247,637,ok
1327,241,22,random,bf16,110.5700,16.1511,94.4189,3417,ok
256,8192,64,wide_output,bf16,110.9600,19.4897,91.4702,40831,ok
2048,1,127,grid,bf16,105.9910,17.3128,88.6782,2429,ok
1,3312,3966,random,bf16,133.9700,44.9489,89.0211,308697,ok
128,127,1,grid,bf16,105.4200,15.5228,89.8972,509,ok
615,212,50,random,bf16,112.3000,15.6818,96.6183,1993,ok
96,4,1,grid,bf16,107.2400,14.5524,92.6876,477,ok
124,10,5,random,bf16,109.5400,15.7805,93.7595,505,ok
4,2048,384,grid,bf16,105.2000,18.6777,86.5222,18527,ok
8,289,64,wide_output,bf16,103.1900,15.1871,88.0030,1169,ok
4,192,1024,grid,bf16,107.5200,17.4019,90.1181,6175,ok
192,1,1536,grid,bf16,106.1800,16.9825,89.1975,6887,ok
256,129,128,grid,bf16,104.9300,14.5750,90.3550,1275,ok
1,1,545,deepK,bf16,107.5000,15.6937,91.8063,1914,ok
756,17,2320,random,bf16,106.4710,16.2325,90.2385,21621,ok
96,127,129,grid,bf16,108.2400,17.1941,91.0459,955,ok
4,512,1,grid,bf16,106.1700,15.8596,90.3104,1543,ok
192,1,127,grid,bf16,106.8800,14.8448,92.0352,573,ok
4096,4,96,grid,bf16,105.0500,14.5837,90.4663,4477,ok
2,2,187,random,bf16,105.0300,17.3244,87.7056,767,ok
768,1536,2048,grid,bf16,126.2110,37.7314,88.4796,220799,ok
3,6780,373,random,bf16,107.4100,16.7297,90.6803,61214,ok
127,384,64,grid,bf16,106.0000,15.7875,90.2125,1526,ok
2,4096,1,grid,bf16,105.7300,16.5600,89.1700,12287,ok
16,1,2,grid,bf16,105.1800,14.9210,90.2590,397,ok
8,1536,4,grid,bf16,106.1700,14.9007,91.2693,4679,ok
2048,4,192,grid,bf16,109.1700,16.4469,92.7231,4859,ok
1,1287,140,random,bf16,107.7800,18.2622,89.5177,8425,ok
129,257,32,grid,bf16,106.5500,16.0155,90.5345,1532,ok
256,1024,8,grid,bf16,107.0100,15.4311,91.5789,5103,ok
1,8,1627,random,bf16,109.9500,16.0053,93.9447,4978,ok
16,512,4096,grid,bf16,107.1100,17.3462,89.7638,50943,ok
1536,4096,32,grid,bf16,122.6300,29.0008,93.6292,61375,ok
2490,8,3,random,bf16,106.7900,15.5341,91.2559,2871,ok
129,257,257,grid,bf16,107.4690,14.9921,92.4769,4598,ok
6059,26,71,random,bf16,109.4900,16.1691,93.3210,6440,ok
197,224,69,random,bf16,104.5600,15.2268,89.3332,1157,ok
16,16,1032,deepK,bf16,108.7910,17.5514,91.2396,3581,ok
512,8,4096,grid,bf16,108.1900,16.2564,91.9336,28607,ok
250,371,73,random,bf16,107.6310,15.6976,91.9334,1895,ok
16,768,1,grid,bf16,109.8300,15.6918,94.1382,2387,ok
768,384,64,grid,bf16,106.7300,16.2796,90.4504,3449,ok
2,2,384,grid,bf16,108.0800,15.3738,92.7062,1151,ok
64,384,512,grid,bf16,107.9110,17.0334,90.8776,5351,ok
64,4,4096,grid,bf16,103.6100,16.5213,87.0886,14271,ok
512,64,4096,grid,bf16,108.0800,16.7934,91.2865,28607,ok
1,16,127,grid,bf16,104.3690,14.1920,90.1770,382,ok
256,512,129,grid,bf16,108.6000,15.8684,92.7316,5103,ok
8,1025,8,fat,bf16,106.9090,16.2870,90.6220,3509,ok
256,256,289,deepK,bf16,109.1399,16.1045,93.0354,3827,ok
96,2048,96,grid,bf16,106.5900,15.7843,90.8058,7647,ok
127,512,4,grid,bf16,107.9300,17.8975,90.0325,2035,ok
156,1,798,random,bf16,108.2800,18.3660,89.9140,3765,ok
128,1024,127,grid,bf16,108.5400,15.5331,93.0069,4079,ok
768,129,127,grid,bf16,108.1700,15.6376,92.5323,2299,ok
192,96,4,grid,bf16,106.3300,17.4639,88.8661,573,ok
189,5,9,random,bf16,110.6000,15.7161,94.8839,570,ok
2048,512,96,grid,bf16,109.7600,18.7350,91.0250,9719,ok
4096,96,64,grid,bf16,108.3000,17.3968,90.9032,4477,ok
6678,1059,171,random,bf16,126.8400,35.6718,91.1682,127079,ok
256,16,127,grid,bf16,108.0400,14.8913,93.1487,637,ok
8,192,128,grid,bf16,105.6400,15.3174,90.3226,779,ok
129,1536,2048,grid,bf16,112.2100,20.2888,91.9212,98111,ok
256,192,192,grid,bf16,105.4000,16.4908,88.9092,2551,ok
1,96,4096,grid,bf16,106.7500,18.3694,88.3806,12255,ok
384,768,16,grid,bf16,108.4710,17.3731,91.0979,4595,ok
32,192,4,grid,bf16,107.4000,16.3491,91.0509,827,ok
96,1024,256,grid,bf16,108.0000,15.8474,92.1526,7647,ok
8,1120,64,wide_output,bf16,104.9110,17.9230,86.9880,3509,ok
4640,1,16,random,bf16,107.2800,16.7157,90.5643,5021,ok
4160,16,16,tall,bf16,114.2100,14.7860,99.4240,4541,ok
1,576,128,gemv_wideN,bf16,104.8900,15.9745,88.9155,1914,ok
1536,4,4,grid,bf16,107.1500,16.8120,90.3380,1917,ok
256,256,576,deepK,bf16,105.7200,15.7548,89.9652,6379,ok
96,32,257,grid,bf16,112.3300,15.1815,97.1485,1433,ok
16,2049,16,fat,bf16,107.8300,17.3773,90.4527,6765,ok
384,96,256,grid,bf16,108.0000,15.0901,92.9099,1531,ok
130,3099,570,random,bf16,110.3600,17.9368,92.4232,63999,ok
32,64,256,grid,bf16,107.8800,14.9425,92.9375,827,ok
156,54,274,random,bf16,106.0700,17.1257,88.9443,1613,ok
11,1182,306,random,bf16,107.5200,15.8372,91.6827,11789,ok
1,8193,128,gemv_wideN,bf16,111.4000,19.2651,92.1349,24894,ok
257,257,192,grid,bf16,107.0100,16.3146,90.6954,3833,ok
32,96,127,grid,bf16,108.5900,15.7749,92.8151,413,ok
44,2544,35,random,bf16,107.9600,16.3493,91.6107,8519,ok
768,8,2,grid,bf16,105.7600,15.8807,89.8793,1149,ok
768,192,4,grid,bf16,105.2800,15.3265,89.9536,2299,ok
4,96,384,grid,bf16,116.4200,14.0499,102.3701,1157,ok
768,1,257,grid,bf16,118.8500,16.1971,102.6528,3449,ok
64,16,2048,grid,bf16,114.3000,15.9355,98.3645,7135,ok
16,768,2048,grid,bf16,117.2700,13.7342,103.5359,38207,ok
64,64,2144,deepK,bf16,115.2300,15.3374,99.8926,7581,ok
2062,781,14,random,bf16,119.6800,16.1655,103.5145,17107,ok
16,128,32,grid,bf16,102.2000,10.7831,91.4169,397,ok
1088,256,256,tall,bf16,107.3100,12.0395,95.2705,5879,ok
4,630,173,random,bf16,103.1900,10.5978,92.5922,3859,ok
8,4096,64,grid,bf16,101.1600,10.6414,90.5186,12479,ok
127,1,96,grid,bf16,99.7710,10.0842,89.6868,508,ok
10,2,2318,random,bf16,101.4800,11.1794,90.3006,7447,ok
128,4,257,grid,bf16,100.5300,11.4922,89.0378,1529,ok
16,8192,64,wide_output,bf16,101.7300,10.7917,90.9383,25471,ok
29,10,20,random,bf16,103.2200,10.1939,93.0261,410,ok
96,128,96,grid,bf16,104.3100,11.3689,92.9411,477,ok
16,129,256,grid,bf16,101.1000,10.9621,90.1379,1591,ok
768,96,32,grid,bf16,103.4090,12.9028,90.5062,1149,ok
284,2,1589,random,bf16,102.2710,10.9638,91.3072,8657,ok
1,1616,20,random,bf16,101.1900,12.0556,89.1344,4978,ok
1,545,16,gemv_wideN,bf16,103.3900,11.8637,91.5263,1914,ok
2048,128,128,tall,bf16,103.2200,12.1080,91.1120,2429,ok
1024,257,127,grid,bf16,102.9700,11.6704,91.2996,4217,ok
32,11,23,random,bf16,102.2090,12.8479,89.3612,413,ok
1,1,4097,deepK,bf16,116.6500,15.2784,101.3716,12638,ok
129,192,32,grid,bf16,113.6110,14.9110,98.7000,1021,ok
512,4096,2048,grid,bf16,151.3200,46.3505,104.9695,457727,ok
257,127,1,grid,bf16,117.4600,12.9565,104.5035,638,ok
35,4528,62,random,bf16,113.9000,12.5278,101.3722,15011,ok
8,8,1120,deepK,bf16,115.8800,12.4474,103.4326,3509,ok
32,1093,83,random,bf16,110.6700,14.5185,96.1515,3725,ok
256,127,96,grid,bf16,113.0100,12.0967,100.9133,637,ok
32,8,127,grid,bf16,113.9000,14.1630,99.7370,413,ok
4096,512,192,grid,bf16,122.1700,19.8226,102.3474,35823,ok
15,748,12,random,bf16,115.2900,12.9999,102.2901,2381,ok
9,163,976,random,bf16,112.4700,12.8089,99.6611,6255,ok
192,256,1024,grid,bf16,111.9900,12.4336,99.5564,9183,ok
10,4230,1657,random,bf16,119.1600,16.3687,102.7913,173263,ok
96,1536,96,grid,bf16,115.7200,12.1638,103.5562,5735,ok
4,1536,192,grid,bf16,114.5800,13.0952,101.4848,9263,ok
257,4,1536,grid,bf16,119.8700,13.6206,106.2494,7667,ok
768,129,256,grid,bf16,115.5200,12.8120,102.7080,4599,ok
256,289,64,wide_output,bf16,115.2710,13.5863,101.6847,1913,ok
192,128,192,grid,bf16,112.0100,13.6409,98.3690,1147,ok
2,384,1024,grid,bf16,115.4600,14.9935,100.4665,9215,ok
256,1536,768,grid,bf16,121.6090,18.6690,102.9400,45935,ok
127,1,512,grid,bf16,117.2300,17.2093,100.0207,2035,ok
