M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
69,4844,174,r6,bf16,149.8600,1.9639,1.9692,147.8909,34275,ok
3128,4633,5,r3,bf16,162.8700,22.8116,22.8170,140.0530,129869,ok
3325,96,3260,r5,bf16,145.0500,5.3834,5.3888,139.6612,96381,ok
495,5693,687,r6,bf16,146.5900,9.3487,9.3534,137.2366,236789,ok
2803,1,1,r1,bf16,139.3700,1.0393,1.5366,137.8333,3184,ok
9,4,2,r0,bf16,142.2000,1.0999,1.1059,141.0941,390,ok
4568,4688,3,r3,bf16,164.5800,31.9820,31.9876,132.5925,183149,ok
257,4027,4187,r6,bf16,149.1400,14.4933,14.4979,134.6421,674783,ok
4138,2429,12,r3,bf16,150.6900,15.8371,15.8418,134.8482,85879,ok
2008,4527,183,r7,bf16,151.9500,15.8789,15.8836,136.0664,172079,ok
162,1491,1,r0,bf16,146.4200,2.1347,2.1429,144.2771,6527,ok
3173,20,1535,r5,bf16,139.2390,4.4014,4.4060,134.8330,42659,ok
4109,2,1,r1,bf16,137.9700,1.2427,1.2526,136.7175,4490,ok
13,1,4,r0,bf16,137.6400,1.5182,1.5236,136.1164,394,ok
3074,4551,976,r7,bf16,175.1400,42.0098,42.0147,133.1252,995327,ok
82,12,2189,r4,bf16,138.7800,1.3596,1.3649,137.4151,8351,ok
2625,2812,4004,r7,bf16,275.8300,139.5715,139.5768,136.2532,2116927,ok
23,1046,144,r4,bf16,140.0200,1.2735,1.2797,138.7403,7289,ok
4175,2778,1490,r7,bf16,187.3300,53.0845,53.0900,134.2400,1203047,ok
41,683,32,r0,bf16,141.1100,1.3016,1.3070,139.8030,2537,ok
4918,3394,9,r3,bf16,159.2300,25.0734,25.0795,134.1506,143099,ok
2513,4914,6,r3,bf16,153.1000,19.7209,19.7258,133.3742,112904,ok
5073,2038,4403,r7,bf16,262.1200,128.1085,128.1131,134.0070,3054799,ok
2,3911,44,r2,bf16,138.6500,1.1385,1.1438,137.5062,11903,ok
1,3,3,r0,bf16,145.1100,1.0360,1.0423,144.0677,382,ok
3783,4354,55,r3,bf16,156.1600,24.5325,24.5369,131.6231,145774,ok
3321,5709,1,r3,bf16,161.8200,26.0514,26.0596,135.7604,166634,ok
25,3295,340,r6,bf16,146.1600,1.8829,1.8893,144.2708,31745,ok
5157,4296,2,r3,bf16,168.8800,31.5012,31.5066,137.3735,188325,ok
4457,2377,88,r3,bf16,149.6300,17.5497,17.5549,132.0751,91940,ok
5490,10,534,r5,bf16,148.4700,2.4046,2.4101,146.0599,29359,ok
3722,50,240,r5,bf16,142.6800,1.7727,1.7775,140.9025,8207,ok
3846,4790,8,r3,bf16,162.0900,27.9560,27.9608,134.1292,160663,ok
3839,1,47,r1,bf16,146.3700,2.0630,2.0723,144.2977,4220,ok
846,2775,381,r6,bf16,151.2700,6.6343,6.6392,144.6307,81047,ok
4569,2880,4,r3,bf16,154.5400,20.5984,20.6038,133.9362,113872,ok
689,4,404,r4,bf16,143.3200,1.2510,1.2566,142.0635,4283,ok
213,4454,5954,r6,bf16,160.8700,21.9194,21.9246,138.9454,978774,ok
5155,3595,1853,r7,bf16,247.4300,107.3496,107.3549,140.0751,2408594,ok
1953,3933,1505,r7,bf16,175.1700,36.3091,36.3141,138.8559,868619,ok
4679,3062,831,r7,bf16,179.2000,39.1343,39.1396,140.0604,850247,ok
1,4541,1,r2,bf16,143.9000,1.0629,1.5634,142.3366,13787,ok
5289,1170,5,r1,bf16,150.4700,11.3376,11.3422,139.1278,56709,ok
2254,3696,1565,r7,bf16,181.3300,44.1943,44.1994,137.1307,993771,ok
452,995,497,r4,bf16,150.9300,2.8270,2.8325,148.0975,26687,ok
4,145,1371,r4,bf16,145.4600,1.3193,1.3247,144.1353,8491,ok
3604,3,148,r5,bf16,146.2100,1.3838,1.3901,144.8199,7971,ok
4611,31,278,r5,bf16,144.6100,1.9703,1.9756,142.6344,14978,ok
1,389,3108,r4,bf16,144.0600,4.1183,4.1269,139.9331,38299,ok
7,5417,4,r2,bf16,139.0400,1.2732,1.2790,137.7610,16726,ok
2058,2825,5646,r7,bf16,245.0500,106.5114,106.5162,138.5338,2525399,ok
2304,208,10,r1,bf16,145.5500,2.1401,2.1459,143.4041,5371,ok
3284,2,1594,r5,bf16,147.4700,2.7065,2.7111,144.7589,47657,ok
5927,5,1090,r5,bf16,140.7800,3.6359,3.6416,137.1384,56780,ok
25,10,35,r0,bf16,139.4500,1.1665,1.1724,138.2776,406,ok
2951,1,19,r1,bf16,145.4400,1.8528,1.8623,143.5777,3332,ok
469,4227,350,r6,bf16,151.1300,6.5192,6.5246,144.6054,86801,ok
2548,5501,60,r3,bf16,157.4000,21.9228,21.9279,135.4721,125989,ok
6,141,2275,r4,bf16,146.2500,1.4380,1.4438,144.8062,13967,ok
4153,5137,10,r3,bf16,166.3800,30.7038,30.7093,135.6707,185934,ok
4686,3,1510,r5,bf16,144.5700,3.8851,3.8911,140.6789,60815,ok
3173,1515,2036,r5,bf16,166.8900,28.2353,28.2407,138.6494,682559,ok
1241,1067,1004,r4,bf16,148.2200,7.8155,7.8210,140.3990,116855,ok
250,2,1251,r4,bf16,140.1300,1.2207,1.2266,138.9034,6319,ok
2379,2416,148,r7,bf16,147.1600,10.9780,10.9831,136.1768,104917,ok
2,685,30,r0,bf16,139.0800,1.0684,1.0740,138.0060,2303,ok
2183,3002,7,r3,bf16,150.4601,11.9055,11.9103,138.5497,61559,ok
32,2312,5,r2,bf16,138.7600,1.3527,1.3580,137.4020,7865,ok
5278,2631,3323,r7,bf16,250.5900,111.9539,111.9591,138.6309,3090359,ok
3260,2852,8,r3,bf16,154.2700,15.9354,15.9405,138.3294,83765,ok
4620,528,1,r1,bf16,151.2900,5.7968,5.8047,145.4853,25009,ok
21,474,2285,r4,bf16,151.3700,1.9436,1.9490,149.4210,29015,ok
696,805,4916,r4,bf16,151.7900,12.8651,12.8707,138.9193,294293,ok
