M,N,K,shape_class
592,308,8,r0
7,48,7,r0
374,10,10,r0
82,959,12,r0
8,303,20,r0
7,970,118,r0
457,916,5,r0
249,894,28,r0
35,2,8,r0
101,995,109,r0
37,694,4,r0
440,63,1,r0
231,20,55,r0
156,1,11,r0
706,6,5,r0
721,4,16,r0
6,1502,49,r0
30,2,5,r0
47,1156,2,r0
65,209,14,r0
472,59,107,r0
96,85,9,r0
91,18,16,r0
9,4,2,r0
103,143,10,r0
2,307,70,r0
1076,584,78,r0
1073,60,7,r0
207,8,51,r0
615,868,17,r0
1313,80,9,r0
147,1866,86,r0
402,2,20,r0
40,117,60,r0
6,252,2,r0
5,406,5,r0
477,2,2,r0
195,1,16,r0
972,57,27,r0
1,122,19,r0
78,19,6,r0
1657,1,1,r0
1430,4,2,r0
5,426,94,r0
1,25,2,r0
7,5,23,r0
14,4,12,r0
1,2,121,r0
5,15,35,r0
566,1037,2,r0
162,1491,1,r0
166,597,5,r0
7,91,9,r0
4,35,7,r0
74,47,5,r0
15,563,3,r0
69,1,37,r0
13,1,4,r0
6,1347,6,r0
9,15,99,r0
120,109,32,r0
19,23,24,r0
1,4,5,r0
6,124,6,r0
749,73,7,r0
21,202,8,r0
149,1,9,r0
7,3,13,r0
40,70,39,r0
798,42,5,r0
34,453,70,r0
465,4,128,r0
120,2,34,r0
1738,21,27,r0
11,5,32,r0
1,503,13,r0
2,2,23,r0
739,8,115,r0
2,636,7,r0
2,8,9,r0
399,673,2,r0
51,137,5,r0
729,8,1,r0
1,172,15,r0
1281,1206,83,r0
1,288,30,r0
142,218,80,r0
126,17,14,r0
5,85,1,r0
3,12,46,r0
229,13,20,r0
1,3,117,r0
9,20,14,r0
9,37,3,r0
1,4,13,r0
2,21,5,r0
23,2,82,r0
36,576,114,r0
13,37,30,r0
25,10,35,r0
864,1046,21,r0
17,1584,22,r0
2,2,38,r0
2,1,7,r0
51,30,11,r0
83,170,8,r0
16,1760,4,r0
356,26,6,r0
2,685,30,r0
922,30,27,r0
2,20,3,r0
1,1296,3,r0
3,4,6,r0
62,3,121,r0
1688,3,7,r0
171,761,11,r0
1026,11,11,r0
43,159,3,r0
100,5,5,r0
1447,895,53,r0
1,3,3,r0
376,583,17,r0
228,446,1,r0
2,713,1,r0
5,1,1,r0
590,12,2,r0
3,143,110,r0
46,909,11,r0
77,169,50,r0
308,1787,37,r0
942,5,13,r0
92,514,10,r0
396,19,17,r0
624,417,24,r0
1,4,12,r0
7,2,65,r0
1247,10,7,r0
457,2,22,r0
3,9,56,r0
2,1,8,r0
41,683,32,r0
163,3,120,r0
22,102,7,r0
1,35,2,r0
1,106,21,r0
2,64,5,r0
18,354,11,r0
783,101,10,r0
119,13,2,r0
174,110,46,r0
2227,986,48,r1
5578,732,27,r1
4928,51,45,r1
2393,370,9,r1
4630,31,46,r1
2097,1,93,r1
3381,909,98,r1
4169,75,3,r1
2142,490,75,r1
4754,197,8,r1
2740,2,8,r1
3710,1072,94,r1
3115,2,43,r1
4511,1,9,r1
4267,1,87,r1
5880,236,1,r1
2085,15,1,r1
2879,1,113,r1
4978,2,76,r1
2446,5,26,r1
5718,3,1,r1
2951,1,19,r1
5216,4,2,r1
2867,1410,2,r1
5909,15,10,r1
2700,1194,104,r1
4024,4,124,r1
2164,81,2,r1
5455,1273,50,r1
2774,6,39,r1
2695,24,1,r1
2240,1,1,r1
2092,24,14,r1
4546,3,8,r1
4029,2,9,r1
2951,1305,1,r1
3089,23,34,r1
2789,5,4,r1
3321,1318,48,r1
2651,68,28,r1
4845,29,7,r1
4690,26,3,r1
3254,1193,2,r1
3289,124,10,r1
2434,1,30,r1
3944,1,4,r1
4695,116,14,r1
2304,208,10,r1
4226,313,3,r1
4659,8,118,r1
2211,797,1,r1
2589,53,17,r1
3045,2,3,r1
2671,302,82,r1
3839,1,47,r1
2741,13,13,r1
2566,1048,2,r1
3112,9,12,r1
