model,seq,batch,vocab,wall_ms,device_ms,status
gpt2,128,1,50257,1.4532,0.4950,ok
gpt2,128,8,50257,2.9896,1.9726,ok
gpt2,128,32,50257,7.5357,6.5438,ok
gpt2,256,1,50257,1.6947,0.7239,ok
gpt2,256,8,50257,4.6622,3.6599,ok
gpt2,256,32,50257,17.2531,16.2354,ok
gpt2,512,1,50257,2.1356,1.1753,ok
gpt2,512,8,50257,10.3387,9.3248,ok
gpt2,512,32,50257,37.5583,36.5312,ok
gpt2,1024,1,50257,3.3555,2.3779,ok
gpt2,1024,8,50257,23.5655,22.5459,ok
gpt2,1024,32,50257,94.3310,93.3442,ok
qwen2.5-0.5b,128,1,151936,2.7409,1.4624,ok
qwen2.5-0.5b,128,8,151936,6.7232,5.2713,ok
qwen2.5-0.5b,128,32,151936,20.3840,18.9832,ok
qwen2.5-0.5b,256,1,151936,3.4127,2.0236,ok
qwen2.5-0.5b,256,8,151936,11.7868,10.3345,ok
qwen2.5-0.5b,256,32,151936,42.1793,40.3243,ok
qwen2.5-0.5b,512,1,151936,4.7868,3.3865,ok
qwen2.5-0.5b,512,8,151936,23.5785,22.1271,ok
qwen2.5-0.5b,512,32,151936,96.4302,94.9768,ok
qwen2.5-0.5b,1024,1,151936,8.4204,7.0000,ok
qwen2.5-0.5b,1024,8,151936,63.8944,62.3143,ok
qwen2.5-0.5b,1024,32,151936,,,skip_oom
smollm2-135m,128,1,49152,2.3525,0.9502,ok
smollm2-135m,128,8,49152,3.8924,2.4418,ok
smollm2-135m,128,32,49152,8.9639,7.4292,ok
smollm2-135m,256,1,49152,2.5924,1.1549,ok
smollm2-135m,256,8,49152,5.9175,4.4604,ok
smollm2-135m,256,32,49152,17.9533,16.6197,ok
smollm2-135m,512,1,49152,3.1856,1.7652,ok
smollm2-135m,512,8,49152,11.4934,10.0300,ok
smollm2-135m,512,32,49152,45.8451,44.3180,ok
smollm2-135m,1024,1,49152,4.9326,3.5065,ok
smollm2-135m,1024,8,49152,32.6352,31.1920,ok
smollm2-135m,1024,32,49152,131.9719,130.5339,ok
