M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,cycles_compute,recompiled,status
2112,64,64,tall,bf16,146.4100,1.5646,2493,0,ok
16,257,768,grid,bf16,142.4200,1.6647,7163,0,ok
128,128,1151,deepK,bf16,146.2700,1.8074,4589,0,ok
4096,1536,256,grid,bf16,154.3000,7.5813,107471,0,ok
4096,512,256,grid,bf16,148.7900,4.5054,35823,0,ok
384,96,1,grid,bf16,140.6800,0.5495,765,0,ok
512,1024,96,grid,bf16,145.8400,1.7521,7151,0,ok
256,1,127,grid,bf16,132.9200,1.1127,637,0,ok
1327,241,22,random,bf16,136.2300,1.4223,3417,0,ok
256,8192,64,wide_output,bf16,134.6100,3.4702,40831,0,ok
2048,1,127,grid,bf16,133.5200,1.8080,2429,0,ok
1,3312,3966,random,bf16,147.0600,25.5596,308697,0,ok
128,127,1,grid,bf16,134.3900,0.4473,509,0,ok
615,212,50,random,bf16,135.0900,1.3218,1993,0,ok
96,4,1,grid,bf16,131.8200,0.4107,477,0,ok
124,10,5,random,bf16,133.1000,1.1062,505,0,ok
4,2048,384,grid,bf16,134.2400,2.5014,18527,0,ok
8,289,64,wide_output,bf16,135.0700,1.6499,1169,0,ok
4,192,1024,grid,bf16,132.2700,2.1659,6175,0,ok
192,1,1536,grid,bf16,137.4000,2.2919,6887,0,ok
256,129,128,grid,bf16,130.6800,1.2976,1275,0,ok
1,1,545,deepK,bf16,134.9800,1.9725,1914,0,ok
756,17,2320,random,bf16,135.4400,4.2496,21621,0,ok
96,127,129,grid,bf16,131.9190,1.2370,955,0,ok
4,512,1,grid,bf16,129.1400,0.4307,1543,0,ok
192,1,127,grid,bf16,132.0100,1.1064,573,0,ok
4096,4,96,grid,bf16,131.0600,1.8059,4477,0,ok
2,2,187,random,bf16,133.1600,1.0066,767,0,ok
768,1536,2048,grid,bf16,137.0900,12.0682,220799,0,ok
3,6780,373,random,bf16,132.3100,5.5965,61214,0,ok
127,384,64,grid,bf16,132.0000,1.2596,1526,0,ok
2,4096,1,grid,bf16,130.2200,1.1051,12287,0,ok
16,1,2,grid,bf16,127.2000,0.4444,397,0,ok
8,1536,4,grid,bf16,132.5900,1.1041,4679,0,ok
2048,4,192,grid,bf16,130.7700,1.8146,4859,0,ok
1,1287,140,random,bf16,134.1500,1.5006,8425,0,ok
129,257,32,grid,bf16,130.4600,1.2227,1532,0,ok
256,1024,8,grid,bf16,129.6400,1.8927,5103,0,ok
1,8,1627,random,bf16,133.3800,1.7228,4978,0,ok
16,512,4096,grid,bf16,133.6000,4.8062,50943,0,ok
1536,4096,32,grid,bf16,139.5700,6.1554,61375,0,ok
2490,8,3,random,bf16,131.4300,1.1668,2871,0,ok
129,257,257,grid,bf16,131.9900,1.4705,4598,0,ok
6059,26,71,random,bf16,132.7500,2.5424,6440,0,ok
197,224,69,random,bf16,130.8200,1.2979,1157,0,ok
16,16,1032,deepK,bf16,128.8900,1.1765,3581,0,ok
512,8,4096,grid,bf16,133.8700,5.1805,28607,0,ok
250,371,73,random,bf16,130.7700,1.3141,1895,0,ok
16,768,1,grid,bf16,127.0100,0.9825,2387,0,ok
768,384,64,grid,bf16,131.3500,1.4801,3449,0,ok
2,2,384,grid,bf16,125.3400,0.9860,1151,0,ok
64,384,512,grid,bf16,130.4900,1.5618,5351,0,ok
64,4,4096,grid,bf16,128.6500,1.6364,14271,0,ok
512,64,4096,grid,bf16,134.2500,5.5394,28607,0,ok
1,16,127,grid,bf16,130.8300,1.0506,382,0,ok
256,512,129,grid,bf16,131.4400,1.4493,5103,0,ok
8,1025,8,fat,bf16,129.2200,1.6250,3509,0,ok
256,256,289,deepK,bf16,132.3600,1.5119,3827,0,ok
96,2048,96,grid,bf16,130.5300,1.5643,7647,0,ok
127,512,4,grid,bf16,130.7000,1.2111,2035,0,ok
156,1,798,random,bf16,132.4700,1.9915,3765,0,ok
128,1024,127,grid,bf16,131.7100,1.5025,4079,0,ok
768,129,127,grid,bf16,131.4800,1.3900,2299,0,ok
192,96,4,grid,bf16,131.1800,1.1208,573,0,ok
189,5,9,random,bf16,128.7200,1.0516,570,0,ok
2048,512,96,grid,bf16,132.0000,2.3952,9719,0,ok
4096,96,64,grid,bf16,131.4600,1.8462,4477,0,ok
6678,1059,171,random,bf16,138.2100,8.3100,127079,0,ok
256,16,127,grid,bf16,132.7400,1.6429,637,0,ok
8,192,128,grid,bf16,131.0500,1.6306,779,0,ok
129,1536,2048,grid,bf16,136.2800,7.3290,98111,0,ok
256,192,192,grid,bf16,130.8300,1.3811,2551,0,ok
1,96,4096,grid,bf16,133.1400,2.6275,12255,0,ok
384,768,16,grid,bf16,133.2000,1.4430,4595,0,ok
32,192,4,grid,bf16,130.1400,1.0353,827,0,ok
