M,N,K,shape_class
1,1,4,grid
1,1,8,random
1,1,129,grid
1,1,256,grid
1,1,257,deepK
1,1,264,deepK
1,1,269,random
1,1,289,deepK
1,1,320,deepK
1,1,352,deepK
1,1,383,deepK
1,1,512,grid
1,1,513,deepK
1,1,520,deepK
1,1,545,deepK
1,1,576,deepK
1,1,608,deepK
1,1,639,deepK
1,1,768,grid
1,1,1024,grid
1,1,1025,deepK
1,1,1032,deepK
1,1,1057,deepK
1,1,1084,random
1,1,1088,deepK
1,1,1120,deepK
1,1,1151,deepK
1,1,2048,grid
1,1,2049,deepK
1,1,2056,deepK
1,1,2081,deepK
1,1,2112,deepK
1,1,2144,deepK
1,1,2175,deepK
1,1,4096,grid
1,1,4097,deepK
1,1,4104,deepK
1,1,4129,deepK
1,1,4160,deepK
1,1,4192,deepK
1,1,4223,deepK
1,1,8192,deepK
1,1,8193,deepK
1,1,8200,deepK
1,1,8225,deepK
1,1,8256,deepK
1,1,8288,deepK
1,1,8319,deepK
1,2,4,grid
1,2,5,random
1,2,8,grid
1,2,16,grid
1,2,39,random
1,2,96,grid
1,2,1024,grid
1,2,1536,grid
1,2,2048,grid
1,2,4096,grid
1,2,7368,random
1,3,16,random
1,3,32,random
1,3,232,random
1,3,2513,random
1,4,1,random
1,4,2,random
1,4,3,random
1,4,6,random
1,4,8,grid
1,4,10,random
1,4,127,grid
1,4,129,grid
1,4,192,grid
1,4,225,random
1,4,256,grid
1,4,768,grid
1,4,1536,grid
1,4,2048,grid
1,4,6960,random
1,5,96,random
1,6,20,random
1,6,2196,random
1,7,55,random
1,8,1,grid
1,8,2,grid
1,8,8,grid
1,8,16,grid
1,8,32,grid
1,8,96,grid
1,8,192,grid
1,8,512,grid
1,8,768,grid
1,8,1024,grid
1,8,1627,random
1,8,4096,grid
1,10,962,random
1,13,106,random
1,14,9,random
1,16,4,grid
1,16,16,grid
1,16,64,grid
1,16,127,grid
1,16,128,grid
1,16,129,grid
1,16,192,grid
1,16,256,grid
1,16,257,grid
1,16,384,grid
1,16,512,grid
1,16,1024,grid
1,18,1328,random
1,19,3,random
1,23,329,random
1,32,1,grid
1,32,16,grid
1,32,32,grid
1,32,64,grid
1,32,96,grid
1,32,512,grid
1,32,1536,grid
1,32,2048,grid
1,34,1371,random
1,41,2,random
1,46,2,random
1,50,398,random
1,51,508,random
1,64,1,grid
1,64,4,grid
1,64,32,grid
1,64,64,grid
1,64,96,grid
1,64,127,grid
1,64,128,grid
1,64,192,grid
1,64,256,grid
1,64,257,grid
1,64,1024,grid
1,70,176,random
1,75,3201,random
1,96,8,grid
1,96,16,grid
1,96,64,grid
1,96,127,grid
1,96,128,grid
1,96,384,grid
1,96,768,grid
1,96,1024,grid
1,96,1536,grid
1,96,4096,grid
1,127,4,grid
1,127,16,grid
1,127,32,grid
1,127,75,random
1,127,96,grid
1,127,127,grid
1,127,129,grid
1,127,192,grid
1,127,768,grid
1,127,1536,grid
1,127,4096,grid
1,128,1,grid
1,128,2,grid
1,128,8,grid
1,128,16,grid
1,128,32,grid
1,128,64,grid
1,128,128,grid
1,128,129,grid
1,128,257,grid
1,128,384,grid
1,128,512,grid
1,128,1024,grid
1,128,2048,grid
1,129,1,grid
1,129,2,grid
1,129,32,grid
1,129,64,grid
1,129,96,grid
1,129,127,grid
1,129,257,grid
1,129,384,grid
1,129,512,grid
1,129,768,grid
1,129,1536,grid
1,129,2048,grid
1,148,817,random
1,166,2,random
1,192,1,grid
1,192,2,grid
1,192,8,grid
1,192,16,grid
1,192,32,grid
1,192,64,grid
1,192,96,grid
1,192,127,grid
1,192,129,grid
1,192,192,grid
1,192,257,grid
1,192,384,grid
1,192,768,grid
1,237,19,random
1,239,4299,random
1,248,14,random
1,256,1,fat
1,256,4,grid
1,256,8,gemv_wideN
1,256,16,gemv_wideN
1,256,32,grid
1,256,64,wide_output
1,256,96,grid
1,256,128,grid
1,256,129,grid
1,256,256,grid
1,256,768,grid
1,256,1024,grid
1,256,4096,grid
1,257,1,fat
1,257,8,gemv_wideN
1,257,16,gemv_wideN
1,257,64,wide_output
1,257,96,grid
1,257,127,grid
1,257,128,grid
1,257,129,grid
1,257,256,grid
1,257,257,grid
1,257,1024,grid
1,257,1536,grid
1,258,308,random
1,259,1799,random
1,261,292,random
1,264,1,fat
1,264,8,gemv_wideN
1,264,16,gemv_wideN
1,264,64,wide_output
1,264,128,gemv_wideN
1,264,256,gemv_wideN
1,289,1,fat
1,289,8,gemv_wideN
1,289,16,gemv_wideN
1,289,64,wide_output
1,289,128,gemv_wideN
1,289,256,gemv_wideN
1,293,293,random
1,305,236,random
1,309,2,random
1,320,1,fat
1,320,8,gemv_wideN
1,320,16,gemv_wideN
1,320,64,wide_output
1,320,128,gemv_wideN
1,320,256,gemv_wideN
1,352,1,fat
1,352,8,gemv_wideN
1,352,16,gemv_wideN
1,352,64,wide_output
1,352,128,gemv_wideN
1,352,256,gemv_wideN
1,362,1,random
1,365,4,random
1,383,1,fat
1,383,8,gemv_wideN
1,383,16,gemv_wideN
1,383,64,wide_output
1,383,128,gemv_wideN
1,383,256,gemv_wideN
1,384,4,grid
1,384,16,grid
1,384,96,grid
1,384,128,grid
1,384,129,grid
1,384,192,grid
1,384,257,grid
1,384,384,grid
1,384,512,grid
1,384,1024,grid
1,450,64,random
1,462,153,random
1,512,1,fat
1,512,2,grid
1,512,8,grid
1,512,16,gemv_wideN
1,512,64,wide_output
1,512,128,gemv_wideN
1,512,129,grid
1,512,256,gemv_wideN
1,512,257,grid
1,512,1536,grid
1,512,2048,grid
1,512,4096,grid
1,513,1,fat
1,513,8,gemv_wideN
1,513,16,gemv_wideN
1,513,64,wide_output
1,513,128,gemv_wideN
1,513,256,gemv_wideN
1,520,1,fat
1,520,8,gemv_wideN
1,520,16,gemv_wideN
1,520,64,wide_output
1,520,128,gemv_wideN
1,520,256,gemv_wideN
1,545,1,fat
1,545,8,gemv_wideN
1,545,16,gemv_wideN
1,545,64,wide_output
1,545,128,gemv_wideN
1,545,256,gemv_wideN
1,576,1,fat
1,576,8,gemv_wideN
1,576,16,gemv_wideN
1,576,64,wide_output
1,576,128,gemv_wideN
1,576,256,gemv_wideN
1,608,1,fat
1,608,8,gemv_wideN
1,608,16,gemv_wideN
1,608,64,wide_output
1,608,128,gemv_wideN
1,608,256,gemv_wideN
1,639,1,fat
1,639,8,gemv_wideN
1,639,16,gemv_wideN
1,639,64,wide_output
1,639,128,gemv_wideN
1,639,256,gemv_wideN
1,640,54,random
1,740,6391,random
1,768,1,grid
1,768,2,random
1,768,16,grid
1,768,127,grid
1,768,256,grid
1,768,257,grid
1,768,384,grid
1,768,1536,grid
1,787,1,random
1,854,555,random
1,1024,1,grid
1,1024,4,grid
1,1024,8,gemv_wideN
1,1024,16,gemv_wideN
1,1024,32,grid
1,1024,64,wide_output
1,1024,96,grid
1,1024,128,gemv_wideN
1,1024,256,grid
1,1024,768,grid
1,1024,1536,grid
1,1024,4096,grid
1,1025,1,fat
1,1025,8,gemv_wideN
1,1025,16,gemv_wideN
1,1025,64,wide_output
1,1025,128,gemv_wideN
1,1025,256,gemv_wideN
1,1032,1,fat
1,1032,8,gemv_wideN
1,1032,16,gemv_wideN
1,1032,64,wide_output
1,1032,128,gemv_wideN
1,1032,256,gemv_wideN
1,1057,1,fat
1,1057,8,gemv_wideN
1,1057,16,gemv_wideN
1,1057,64,wide_output
1,1057,128,gemv_wideN
1,1057,256,gemv_wideN
1,1088,1,fat
1,1088,8,gemv_wideN
1,1088,16,gemv_wideN
1,1088,64,wide_output
1,1088,128,gemv_wideN
1,1088,256,gemv_wideN
1,1120,1,fat
1,1120,8,gemv_wideN
1,1120,16,gemv_wideN
1,1120,64,wide_output
1,1120,128,gemv_wideN
1,1120,256,gemv_wideN
1,1151,1,fat
1,1151,8,gemv_wideN
1,1151,16,gemv_wideN
1,1151,64,wide_output
1,1151,128,gemv_wideN
1,1151,256,gemv_wideN
1,1220,1671,random
1,1285,4559,random
1,1287,140,random
1,1536,8,grid
1,1536,16,grid
1,1536,32,grid
1,1536,127,grid
1,1536,129,grid
1,1536,192,grid
1,1536,256,grid
1,1536,512,grid
1,1536,768,grid
1,1536,1024,grid
1,1536,1536,grid
1,1536,2048,grid
1,1616,20,random
1,1658,117,random
1,2048,1,grid
1,2048,2,grid
1,2048,4,grid
1,2048,8,grid
1,2048,16,gemv_wideN
1,2048,64,grid
1,2048,127,grid
1,2048,128,grid
1,2048,192,grid
1,2048,256,gemv_wideN
1,2048,384,grid
1,2048,768,grid
1,2048,1024,grid
1,2048,2048,grid
1,2048,4096,grid
1,2049,1,fat
1,2049,8,gemv_wideN
1,2049,16,gemv_wideN
1,2049,64,wide_output
1,2049,128,gemv_wideN
1,2049,256,gemv_wideN
1,2056,1,fat
1,2056,8,gemv_wideN
1,2056,16,gemv_wideN
1,2056,64,wide_output
1,2056,128,gemv_wideN
1,2056,256,gemv_wideN
1,2081,1,fat
1,2081,8,gemv_wideN
1,2081,16,gemv_wideN
1,2081,64,wide_output
1,2081,128,gemv_wideN
1,2081,256,gemv_wideN
1,2112,1,fat
1,2112,8,gemv_wideN
1,2112,16,gemv_wideN
1,2112,64,wide_output
1,2112,128,gemv_wideN
1,2112,256,gemv_wideN
1,2144,1,fat
1,2144,8,gemv_wideN
1,2144,16,gemv_wideN
1,2144,64,wide_output
1,2144,128,gemv_wideN
1,2144,256,gemv_wideN
1,2175,1,fat
1,2175,8,gemv_wideN
1,2175,16,gemv_wideN
1,2175,64,wide_output
1,2175,128,gemv_wideN
1,2175,256,gemv_wideN
1,2338,473,random
1,2383,20,random
1,2540,1416,random
1,2761,9,random
1,3312,3966,random
1,3472,1220,random
1,4096,1,grid
1,4096,2,grid
1,4096,4,grid
1,4096,8,grid
1,4096,16,gemv_wideN
1,4096,32,grid
1,4096,64,wide_output
1,4096,127,grid
1,4096,128,gemv_wideN
1,4096,192,grid
1,4096,256,grid
1,4096,257,grid
