d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.422793,1.422793,140.340009,138.917216
1,1,33,33,5.044394,1.423743,1.423743,132.760004,131.336260
1,1,48,48,5.584963,1.421784,1.421784,137.110008,135.688224
1,1,66,66,6.044394,1.425768,1.425768,132.000016,130.574247
1,1,75,75,6.228819,1.422376,1.422376,134.180009,132.757633
1,1,111,111,6.794416,1.453333,1.453333,135.550014,134.096680
1,1,797,797,9.638436,1.044505,1.044505,136.169983,135.125478
1,1,931,931,9.862637,1.048659,1.048659,137.160008,136.111349
1,1,1006,1006,9.974415,1.049518,1.049518,136.890012,135.840494
1,1,1446,1446,10.497852,1.078737,1.078737,136.419985,135.341248
1,1,1695,1695,10.727070,1.085651,1.085651,137.319992,136.234341
1,1,21218,21218,14.373001,1.407025,1.407025,135.380018,133.972993
1,1,49863,49863,15.605682,1.896296,1.896296,135.900016,134.003721
1,8,16,128,7.000000,0.972721,0.972721,138.100004,137.127282
1,8,36,288,8.169925,0.962389,0.962389,137.290015,136.327626
1,8,42,336,8.392317,1.009082,1.009082,138.829986,137.820904
1,8,85,680,9.409391,0.961699,0.961699,138.329982,137.368283
1,8,90,720,9.491853,0.985938,0.985938,136.310002,135.324064
1,8,185,1480,10.531381,1.043483,1.043483,138.449977,137.406494
1,8,250,2000,10.965784,1.055007,1.055007,138.720003,137.664996
1,8,300,2400,11.228819,1.044062,1.044062,136.589981,135.545918
1,8,490,3920,11.936638,1.088066,1.088066,137.430005,136.341938
1,8,527,4216,12.041659,1.080020,1.080020,137.829978,136.749959
1,8,846,6768,12.724514,1.100260,1.100260,138.119998,137.019738
1,8,3222,25776,14.653741,1.212031,1.212031,137.760013,136.547982
1,8,7511,60088,15.874789,1.392949,1.392949,154.379988,152.987039
1,8,7749,61992,15.919794,1.443086,1.443086,138.959993,137.516907
1,8,9317,74536,16.185650,1.455638,1.455638,137.900002,136.444364
1,8,45294,362352,18.467032,2.808633,2.808633,138.039992,135.231359
1,16,49,784,9.614710,1.030794,1.030794,138.269999,137.239205
1,16,112,1792,10.807355,1.043502,1.043502,136.329996,135.286494
1,16,159,2544,11.312883,1.091888,1.091888,139.159994,138.068106
1,16,192,3072,11.584963,1.068691,1.068691,139.140000,138.071309
1,16,298,4768,12.219169,1.079063,1.079063,137.139985,136.060922
1,16,331,5296,12.370687,1.069785,1.069785,138.420000,137.350215
1,16,392,6272,12.614710,1.099486,1.099486,134.019996,132.920510
1,16,693,11088,13.436712,1.113223,1.113223,136.549992,135.436769
1,16,1532,24512,14.581201,1.206497,1.206497,138.599979,137.393481
1,16,6413,102608,16.646784,1.608971,1.608971,133.599999,131.991027
1,16,9046,144736,17.143064,1.815371,1.815371,135.429989,133.614618
1,16,17040,272640,18.056638,2.364427,2.364427,137.389987,135.025560
1,16,25594,409504,18.643518,3.025872,3.025872,137.550000,134.524127
1,16,42689,683024,19.381577,4.180117,4.180117,137.049996,132.869879
1,16,44560,712960,19.443462,4.350762,4.350762,139.890006,135.539244
1,64,11,704,9.459432,1.044538,1.044538,139.249983,138.205446
1,64,15,960,9.906891,1.063965,1.063965,137.330004,136.266039
1,64,60,3840,11.906891,1.094720,1.094720,136.490009,135.395289
1,64,98,6272,12.614710,1.129583,1.129583,136.299990,135.170407
1,64,580,37120,15.179909,1.309811,1.309811,136.910006,135.600195
1,64,1028,65792,16.005625,1.506914,1.506914,136.319984,134.813070
1,64,1665,106560,16.701306,1.649486,1.649486,137.809984,136.160498
1,64,6135,392640,18.582848,2.904987,2.904987,137.070019,134.165032
1,64,6254,400256,18.610564,2.944004,2.944004,138.989999,136.045995
1,64,10279,657856,19.327412,4.114479,4.114479,139.820011,135.705532
1,64,16044,1026816,19.969746,5.732135,5.732135,140.939985,135.207849
1,64,19234,1230976,20.231371,6.625716,6.625716,141.290016,134.664300
1,64,24209,1549376,20.563256,8.042337,8.042337,141.620025,133.577688
1,64,31062,1987968,20.922863,10.005801,10.005801,141.519995,131.514194
1,64,35567,2276288,21.118252,10.558991,10.558991,141.409982,130.850992
1,128,9,1152,10.169925,1.050853,1.050853,135.419978,134.369125
1,128,27,3456,11.754888,1.067239,1.067239,137.910014,136.842775
1,128,147,18816,14.199672,1.206686,1.206686,137.530005,136.323319
1,128,207,26496,14.693487,1.229193,1.229193,136.569986,135.340794
1,128,271,34688,15.082149,1.304154,1.304154,136.419985,135.115832
1,128,1550,198400,17.598053,2.091569,2.091569,137.859985,135.768416
1,128,2443,312704,18.254438,2.615768,2.615768,136.330025,133.714257
1,128,13624,1743872,20.733863,8.305345,8.305345,140.090007,131.784662
1,128,28196,3609088,21.783203,16.283353,16.283353,151.619985,135.336632
1,128,44731,5725568,22.448987,25.064707,25.064707,151.640008,126.575301
1,256,10,2560,11.321928,1.079329,1.079329,135.919981,134.840652
1,256,22,5632,12.459432,1.121667,1.121667,135.500013,134.378346
1,256,25,6400,12.643856,1.134700,1.134700,134.269998,133.135297
1,256,44,11264,13.459432,1.198887,1.198887,137.600000,136.401113
1,256,59,15104,13.882643,1.211484,1.211484,139.800017,138.588532
1,256,135,34560,15.076816,1.282598,1.282598,134.109985,132.827387
1,256,167,42752,15.383704,1.355326,1.355326,136.379997,135.024671
1,256,291,74496,16.184875,1.459759,1.459759,137.979980,136.520220
1,256,356,91136,16.475733,1.573223,1.573223,135.899987,134.326764
1,256,455,116480,16.829723,1.713776,1.713776,136.810006,135.096230
1,256,496,126976,16.954196,1.736999,1.736999,138.259988,136.522989
1,512,11,5632,12.459432,1.138242,1.138242,136.189978,135.051735
1,512,14,7168,12.807355,1.134583,1.134583,137.110008,135.975425
1,512,46,23552,14.523562,1.231074,1.231074,136.450020,135.218946
1,512,110,56320,15.781360,1.393262,1.393262,136.360002,134.966741
1,512,267,136704,17.060696,1.791016,1.791016,134.709990,132.918974
1,512,1306,668672,19.350939,4.360423,4.360423,137.120020,132.759596
1,512,2250,1152000,20.135709,6.596881,6.596881,139.440002,132.843121
1,512,8656,4431872,22.079485,19.558678,19.558678,147.820014,128.261335
1,512,12121,6205952,22.565221,27.307396,27.307396,160.060008,132.752612
1,512,14592,7471104,22.832890,32.632500,32.632500,158.990006,126.357506
1,512,35856,18358272,24.129927,78.567962,78.567962,209.340011,130.772049
1,1024,11,11264,13.459432,1.254603,1.254603,137.550000,136.295397
1,1024,18,18432,14.169925,1.205749,1.205749,136.820017,135.614269
1,1024,21,21504,14.392317,1.237187,1.237187,135.290000,134.052812
1,1024,75,76800,16.228819,1.503555,1.503555,135.359995,133.856440
1,1024,110,112640,16.781360,1.652135,1.652135,135.409995,133.757860
1,1024,169,173056,17.400879,1.973047,1.973047,139.039999,137.066953
1,1024,346,354304,18.434628,2.939173,2.939173,136.000017,133.060844
1,1024,504,516096,18.977280,3.733125,3.733125,136.169983,132.436858
1,1024,1354,1386496,20.403012,8.534401,8.534401,139.670010,131.135609
1,1024,5224,5349376,22.350939,23.603144,23.603144,153.259985,129.656841
1,1024,5745,5882880,22.488091,25.745742,25.745742,160.860014,135.114272
1,1024,5876,6017024,22.520619,26.315508,26.315508,156.390015,130.074507
1,1024,9437,9663488,23.204113,41.690807,41.690807,173.880020,132.189213
1,1024,37999,38910976,25.213674,165.162721,165.162721,294.739992,129.577270
2,1,116,232,7.857981,1.415046,1.415046,139.929994,138.514949
2,1,126,252,7.977280,1.414408,1.414408,136.360002,134.945595
2,1,179,358,8.483816,0.955736,0.955736,135.429989,134.474254
2,1,2494,4988,12.284246,1.063841,1.063841,134.520000,133.456159
2,1,4226,8452,13.045077,1.158242,1.158242,135.009992,133.851750
2,1,7883,15766,13.944529,1.215234,1.215234,134.439993,133.224759
2,1,10111,20222,14.303638,1.275254,1.275254,136.560004,135.284750
2,8,11,176,7.459432,1.053568,1.053568,135.770009,134.716442
2,8,244,3904,11.930737,1.065137,1.065137,136.139977,135.074841
2,8,617,9872,13.269127,1.137845,1.137845,137.519994,136.382149
2,8,741,11856,13.533330,1.175091,1.175091,135.659997,134.484906
2,8,5525,88400,16.431759,1.610456,1.610456,136.120012,134.509556
2,16,20,640,9.321928,1.090137,1.090137,136.529998,135.439861
2,16,94,3008,11.554589,1.064681,1.064681,133.939990,132.875309
