d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.445820,1.445820,133.699970,132.254150
1,1,33,33,5.044394,1.435501,1.435501,126.920000,125.484499
1,1,48,48,5.584963,1.445430,1.445430,133.120047,131.674618
1,1,66,66,6.044394,1.437617,1.437617,141.939963,140.502346
1,1,75,75,6.228819,1.461367,1.461367,141.659984,140.198617
1,1,111,111,6.794416,1.459453,1.459453,141.330005,139.870552
1,1,797,797,9.638436,1.018991,1.018991,139.679993,138.661002
1,1,931,931,9.862637,1.102617,1.102617,135.070004,133.967387
1,1,1006,1006,9.974415,1.071061,1.071061,141.980010,140.908949
1,1,1446,1446,10.497852,1.101152,1.101152,138.689997,137.588844
1,1,1695,1695,10.727070,1.093125,1.093125,135.140028,134.046903
1,1,21218,21218,14.373001,1.482930,1.482930,137.769966,136.287037
1,1,49863,49863,15.605682,2.019017,2.019017,137.569965,135.550948
1,8,16,128,7.000000,1.029616,1.029616,136.749994,135.720378
1,8,36,288,8.169925,1.057506,1.057506,136.760005,135.702499
1,8,42,336,8.392317,1.052415,1.052415,137.199997,136.147582
1,8,85,680,9.409391,1.034154,1.034154,139.659969,138.625815
1,8,90,720,9.491853,1.054713,1.054713,133.789959,132.735246
1,8,185,1480,10.531381,1.041803,1.041803,133.790018,132.748214
1,8,250,2000,10.965784,1.039687,1.039687,135.359995,134.320307
1,8,300,2400,11.228819,1.092975,1.092975,137.609954,136.516978
1,8,490,3920,11.936638,1.045104,1.045104,139.119977,138.074872
1,8,527,4216,12.041659,1.087552,1.087552,138.289994,137.202442
1,8,846,6768,12.724514,1.111894,1.111894,140.631048,139.519153
1,8,3222,25776,14.653741,1.215983,1.215983,134.280010,133.064027
1,8,7511,60088,15.874789,1.441836,1.441836,138.500007,137.058171
1,8,7749,61992,15.919794,1.465228,1.465228,138.510019,137.044791
1,8,9317,74536,16.185650,1.552598,1.552598,141.490018,139.937420
1,8,45294,362352,18.467032,2.837773,2.837773,145.149999,142.312226
1,16,49,784,9.614710,1.034180,1.034180,133.709982,132.675802
1,16,112,1792,10.807355,1.088665,1.088665,133.399968,132.311303
1,16,159,2544,11.312883,1.049499,1.049499,132.179994,131.130495
1,16,192,3072,11.584963,1.061875,1.061875,131.319975,130.258100
1,16,298,4768,12.219169,1.071282,1.071282,135.630020,134.558737
1,16,331,5296,12.370687,1.068333,1.068333,132.710033,131.641699
1,16,392,6272,12.614710,1.101068,1.101068,129.900000,128.798932
1,16,693,11088,13.436712,1.158691,1.158691,132.819987,131.661296
1,16,1532,24512,14.581201,1.242480,1.242480,135.040027,133.797547
1,16,6413,102608,16.646784,1.638340,1.638340,135.300041,133.661701
1,16,9046,144736,17.143064,1.856543,1.856543,134.709990,132.853447
1,16,17040,272640,18.056638,2.477728,2.477728,138.270028,135.792301
1,16,25594,409504,18.643518,3.069076,3.069076,137.919968,134.850892
1,16,42689,683024,19.381577,4.342285,4.342285,138.839998,134.497713
1,16,44560,712960,19.443462,4.499733,4.499733,138.439995,133.940262
1,64,11,704,9.459432,1.041478,1.041478,129.670021,128.628543
1,64,15,960,9.906891,1.023978,1.023978,127.189967,126.165989
1,64,60,3840,11.906891,1.126986,1.126986,133.969996,132.843010
1,64,98,6272,12.614710,1.100547,1.100547,128.470012,127.369465
1,64,580,37120,15.179909,1.303522,1.303522,128.790038,127.486516
1,64,1028,65792,16.005625,1.548789,1.548789,131.929992,130.381203
1,64,1665,106560,16.701306,1.709649,1.709649,134.319998,132.610350
1,64,6135,392640,18.582848,3.114466,3.114466,140.639953,137.525487
1,64,6254,400256,18.610564,3.028568,3.028568,130.420027,127.391459
1,64,10279,657856,19.327412,4.307708,4.307708,133.690017,129.382308
1,64,16044,1026816,19.969746,5.988463,5.988463,138.429983,132.441520
1,64,19234,1230976,20.231371,6.959622,6.959622,135.780021,128.820399
1,64,24209,1549376,20.563256,8.483568,8.483568,137.180032,128.696464
1,64,31062,1987968,20.922863,10.552188,10.552188,132.949965,122.397777
1,64,35567,2276288,21.118252,11.251803,11.251803,138.210016,126.958213
1,128,9,1152,10.169925,1.032064,1.032064,125.440012,124.407948
1,128,27,3456,11.754888,1.098112,1.098112,129.710010,128.611898
1,128,147,18816,14.199672,1.212741,1.212741,126.949977,125.737236
1,128,207,26496,14.693487,1.232767,1.232767,128.880027,127.647260
1,128,271,34688,15.082149,1.275762,1.275762,126.149971,124.874209
1,128,1550,198400,17.598053,2.103034,2.103034,138.929987,136.826953
1,128,2443,312704,18.254438,2.653132,2.653132,138.089992,135.436861
1,128,13624,1743872,20.733863,8.719902,8.719902,137.700001,128.980098
1,128,28196,3609088,21.783203,16.761172,16.761172,142.420002,125.658830
1,128,44731,5725568,22.448987,25.636771,25.636771,150.749984,125.113213
1,256,10,2560,11.321928,1.070098,1.070098,127.359992,126.289894
1,256,22,5632,12.459432,1.094635,1.094635,124.750019,123.655383
1,256,25,6400,12.643856,1.122122,1.122122,133.889960,132.767838
1,256,44,11264,13.459432,1.122448,1.122448,130.409957,129.287509
1,256,59,15104,13.882643,1.159160,1.159160,126.580009,125.420849
1,256,135,34560,15.076816,1.255553,1.255553,132.099958,130.844405
1,256,167,42752,15.383704,1.341081,1.341081,127.659994,126.318914
1,256,291,74496,16.184875,1.551640,1.551640,131.490000,129.938360
1,256,356,91136,16.475733,1.611282,1.611282,129.589986,127.978703
1,256,455,116480,16.829723,1.713535,1.713535,134.349975,132.636440
1,256,496,126976,16.954196,1.786061,1.786061,135.709997,133.923936
1,512,11,5632,12.459432,1.155866,1.155866,126.419996,125.264131
1,512,14,7168,12.807355,1.165221,1.165221,129.170017,128.004796
1,512,46,23552,14.523562,1.234375,1.234375,130.239991,129.005616
1,512,110,56320,15.781360,1.430755,1.430755,134.550035,133.119280
1,512,267,136704,17.060696,1.878119,1.878119,134.200032,132.321914
1,512,1306,668672,19.350939,4.416237,4.416237,137.330033,132.913796
1,512,2250,1152000,20.135709,6.676999,6.676999,135.700044,129.023045
1,512,8656,4431872,22.079485,20.013216,20.013216,144.940044,124.926828
1,512,12121,6205952,22.565221,27.676660,27.676660,158.419949,130.743289
1,512,14592,7471104,22.832890,32.711556,32.711556,155.880000,123.168444
1,512,35856,18358272,24.129927,78.411478,78.411478,207.509962,129.098484
1,1024,11,11264,13.459432,1.144713,1.144713,127.320003,126.175290
1,1024,18,18432,14.169925,1.242422,1.242422,126.550032,125.307610
1,1024,21,21504,14.392317,1.215020,1.215020,133.840018,132.624998
1,1024,75,76800,16.228819,1.574629,1.574629,132.790010,131.215381
1,1024,110,112640,16.781360,1.738548,1.738548,136.109942,134.371394
1,1024,169,173056,17.400879,2.037109,2.037109,139.899959,137.862850
1,1024,346,354304,18.434628,2.925085,2.925085,140.850025,137.924940
1,1024,504,516096,18.977280,3.783437,3.783437,136.429968,132.646530
1,1024,1354,1386496,20.403012,8.528620,8.528620,137.689989,129.161369
1,1024,5224,5349376,22.350939,24.338476,24.338476,148.880004,124.541528
1,1024,5745,5882880,22.488091,26.496849,26.496849,153.229979,126.733130
1,1024,5876,6017024,22.520619,26.924395,26.924395,157.579954,130.655560
1,1024,9437,9663488,23.204113,42.687480,42.687480,169.469975,126.782494
1,1024,37999,38910976,25.213674,164.148398,164.148398,295.340025,131.191627
2,1,116,232,7.857981,1.440026,1.440026,133.219990,131.779964
2,1,126,252,7.977280,1.429896,1.429896,134.469999,133.040104
2,1,179,358,8.483816,0.970859,0.970859,134.430011,133.459151
2,1,2494,4988,12.284246,1.108333,1.108333,141.190016,140.081682
2,1,4226,8452,13.045077,1.178060,1.178060,132.530986,131.352926
2,1,7883,15766,13.944529,1.229101,1.229101,133.930007,132.700905
2,1,10111,20222,14.303638,1.253535,1.253535,134.610047,133.356512
2,8,11,176,7.459432,1.022819,1.022819,135.520007,134.497188
2,8,244,3904,11.930737,1.080631,1.080631,138.050003,136.969372
2,8,617,9872,13.269127,1.149590,1.149590,137.560011,136.410422
2,8,741,11856,13.533330,1.183763,1.183763,138.460018,137.276255
2,8,5525,88400,16.431759,1.586126,1.586126,141.590019,140.003892
2,16,20,640,9.321928,1.059460,1.059460,135.630020,134.570560
2,16,94,3008,11.554589,1.039394,1.039394,139.890006,138.850611
2,64,9,1152,10.169925,1.043991,1.043991,136.869960,135.825969
2,64,14,1792,10.807355,1.118887,1.118887,134.130009,133.011122
2,64,8964,1147392,20.129927,6.617383,6.617383,141.650031,135.032648
2,64,19978,2557184,21.286125,12.542409,12.542409,145.269965,132.727556
2,128,40,10240,13.321928,1.150260,1.150260,138.170028,137.019767
2,128,162,41472,15.339850,1.453197,1.453197,135.380018,133.926821
2,128,862,220672,17.751544,2.806061,2.806061,142.559991,139.753930
2,256,82,41984,15.357552,1.432956,1.432956,136.299990,134.867034
2,256,150,76800,16.228819,1.725749,1.725749,141.610042,139.884294
2,256,15094,7728128,22.881688,34.234297,34.234297,166.159996,131.925699
2,512,93,95232,16.539159,1.892617,1.892617,139.659969,137.767352
2,512,1048,1073152,20.033423,6.309486,6.309486,139.209966,132.900480
2,1024,43,88064,16.426265,1.823060,1.823060,138.439995,136.616935
2,1024,181,370688,18.499846,3.873314,3.873314,137.140043,133.266729
2,1024,1694,3469312,21.726218,16.203301,16.203301,149.600033,133.396732
4,1,9097,36388,15.151175,1.297728,1.297728,133.329944,132.032216
4,1,11333,45332,15.468242,1.360658,1.360658,138.489995,137.129338
4,8,1474,47168,15.525521,1.350612,1.350612,142.909994,141.559382
4,8,3806,121792,16.894060,1.730117,1.730117,139.259966,137.529849
