d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,3.234030,3.234030,132.129993,128.895963
1,1,33,33,5.044394,3.232897,3.232897,137.159950,133.927053
1,1,48,48,5.584963,3.262910,3.262910,133.130001,129.867091
1,1,66,66,6.044394,3.234147,3.234147,136.399991,133.165844
1,1,75,75,6.228819,3.267624,3.267624,136.849994,133.582371
1,1,111,111,6.794416,3.247832,3.247832,136.740040,133.492208
1,1,797,797,9.638436,3.156361,3.156361,137.850002,134.693641
1,1,931,931,9.862637,3.139616,3.139616,125.330000,122.190384
1,1,1006,1006,9.974415,3.146152,3.146152,135.590031,132.443879
1,1,1446,1446,10.497852,3.371894,3.371894,125.320046,121.948152
1,1,1695,1695,10.727070,3.259037,3.259037,137.419964,134.160927
1,1,21218,21218,14.373001,3.942682,3.942682,133.399968,129.457286
1,1,49863,49863,15.605682,5.010189,5.010189,131.690002,126.679813
1,8,16,128,7.000000,1.878548,1.878548,130.740053,128.861504
1,8,36,288,8.169925,1.922630,1.922630,128.980028,127.057397
1,8,42,336,8.392317,1.893672,1.893672,126.519997,124.626325
1,8,85,680,9.409391,1.940586,1.940586,131.250010,129.309424
1,8,90,720,9.491853,1.904082,1.904082,136.510003,134.605921
1,8,185,1480,10.531381,1.474935,1.474935,127.320003,125.845068
1,8,250,2000,10.965784,1.516244,1.516244,130.310014,128.793771
1,8,300,2400,11.228819,1.517077,1.517077,130.410015,128.892938
1,8,490,3920,11.936638,1.477604,1.477604,133.980007,132.502403
1,8,527,4216,12.041659,1.527448,1.527448,128.189975,126.662527
1,8,846,6768,12.724514,1.582122,1.582122,128.560001,126.977879
1,8,3222,25776,14.653741,1.681888,1.681888,127.859996,126.178108
1,8,7511,60088,15.874789,1.969297,1.969297,137.619965,135.650668
1,8,7749,61992,15.919794,1.980710,1.980710,129.910011,127.929302
1,8,9317,74536,16.185650,2.026400,2.026400,136.639981,134.613581
1,8,45294,362352,18.467032,3.901211,3.901211,132.140005,128.238794
1,16,49,784,9.614710,1.477682,1.477682,126.970001,125.492318
1,16,112,1792,10.807355,1.490384,1.490384,128.320011,126.829627
1,16,159,2544,11.312883,1.464056,1.464056,128.710002,127.245946
1,16,192,3072,11.584963,1.512213,1.512213,132.640009,131.127795
1,16,298,4768,12.219169,1.500124,1.500124,128.870015,127.369891
1,16,331,5296,12.370687,1.515677,1.515677,132.220041,130.704364
1,16,392,6272,12.614710,1.570957,1.570957,129.489985,127.919028
1,16,693,11088,13.436712,1.596927,1.596927,131.370034,129.773107
1,16,1532,24512,14.581201,1.635072,1.635072,129.670021,128.034949
1,16,6413,102608,16.646784,2.154264,2.154264,133.119989,130.965725
1,16,9046,144736,17.143064,2.393971,2.393971,135.909999,133.516027
1,16,17040,272640,18.056638,3.059739,3.059739,134.880014,131.820275
1,16,25594,409504,18.643518,3.832012,3.832012,138.949952,135.117940
1,16,42689,683024,19.381577,5.238522,5.238522,135.870010,130.631488
1,16,44560,712960,19.443462,5.376256,5.376256,135.529961,130.153704
1,64,11,704,9.459432,1.124395,1.124395,126.870000,125.745605
1,64,15,960,9.906891,1.106374,1.106374,126.819999,125.713626
1,64,60,3840,11.906891,1.563151,1.563151,130.970031,129.406880
1,64,98,6272,12.614710,1.615931,1.615931,130.779983,129.164052
1,64,580,37120,15.179909,1.727383,1.727383,130.219967,128.492584
1,64,1028,65792,16.005625,1.890124,1.890124,132.579997,130.689873
1,64,1665,106560,16.701306,2.176048,2.176048,131.990004,129.813956
1,64,6135,392640,18.582848,3.659186,3.659186,131.829991,128.170805
1,64,6254,400256,18.610564,3.668405,3.668405,137.929979,134.261574
1,64,10279,657856,19.327412,4.882539,4.882539,138.229982,133.347443
1,64,16044,1026816,19.969746,6.738333,6.738333,140.219985,133.481652
1,64,19234,1230976,20.231371,7.767305,7.767305,138.630043,130.862738
1,64,24209,1549376,20.563256,9.491862,9.491862,139.499956,130.008094
1,64,31062,1987968,20.922863,11.762910,11.762910,139.209966,127.447056
1,64,35567,2276288,21.118252,13.285710,13.285710,137.299998,124.014288
1,128,9,1152,10.169925,1.122077,1.122077,127.030013,125.907936
1,128,27,3456,11.754888,1.145436,1.145436,126.769999,125.624563
1,128,147,18816,14.199672,1.330013,1.330013,130.479981,129.149968
1,128,207,26496,14.693487,1.339811,1.339811,129.870023,128.530211
1,128,271,34688,15.082149,1.498229,1.498229,126.020052,124.521822
1,128,1550,198400,17.598053,2.539883,2.539883,136.460003,133.920120
1,128,2443,312704,18.254438,3.232448,3.232448,126.080005,122.847558
1,128,13624,1743872,20.733863,10.535690,10.535690,138.139992,127.604302
1,128,28196,3609088,21.783203,20.054375,20.054375,144.910009,124.855634
1,128,44731,5725568,22.448987,30.830026,30.830026,156.159978,125.329952
1,256,10,2560,11.321928,1.124518,1.124518,126.759987,125.635469
1,256,22,5632,12.459432,1.153913,1.153913,129.270018,128.116105
1,256,25,6400,12.643856,1.198053,1.198053,127.700041,126.501988
1,256,44,11264,13.459432,1.248757,1.248757,131.719979,130.471222
1,256,59,15104,13.882643,1.261999,1.261999,131.100009,129.838010
1,256,135,34560,15.076816,1.386667,1.386667,132.849964,131.463297
1,256,167,42752,15.383704,1.458874,1.458874,134.410046,132.951172
1,256,291,74496,16.184875,1.665957,1.665957,130.759960,129.094003
1,256,356,91136,16.475733,1.781309,1.781309,140.550022,138.768714
1,256,455,116480,16.829723,1.893958,1.893958,131.590001,129.696042
1,256,496,126976,16.954196,1.990872,1.990872,137.319963,135.329091
1,512,11,5632,12.459432,1.210677,1.210677,131.189998,129.979321
1,512,14,7168,12.807355,1.192917,1.192917,131.320034,130.127117
1,512,46,23552,14.523562,1.317428,1.317428,130.889995,129.572567
1,512,110,56320,15.781360,1.520325,1.520325,142.549980,141.029654
1,512,267,136704,17.060696,2.029596,2.029596,138.120027,136.090431
1,512,1306,668672,19.350939,4.751015,4.751015,133.209978,128.458963
1,512,2250,1152000,20.135709,7.121751,7.121751,142.859994,135.738242
1,512,8656,4431872,22.079485,22.327702,22.327702,152.749999,130.422297
1,512,12121,6205952,22.565221,30.612533,30.612533,161.320029,130.707497
1,512,14592,7471104,22.832890,37.014453,37.014453,170.379994,133.365540
1,512,35856,18358272,24.129927,86.395866,86.395866,219.359994,132.964128
1,1024,11,11264,13.459432,1.222272,1.222272,131.990004,130.767732
1,1024,18,18432,14.169925,1.280026,1.280026,136.160001,134.879975
1,1024,21,21504,14.392317,1.296569,1.296569,137.539988,136.243419
1,1024,75,76800,16.228819,1.739075,1.739075,135.909999,134.170923
1,1024,110,112640,16.781360,1.860449,1.860449,134.930015,133.069565
1,1024,169,173056,17.400879,2.257344,2.257344,140.590011,138.332667
1,1024,346,354304,18.434628,3.245007,3.245007,141.660043,138.415036
1,1024,504,516096,18.977280,3.966563,3.966563,142.909994,138.943431
1,1024,1354,1386496,20.403012,8.522298,8.522298,140.240008,131.717710
1,1024,5224,5349376,22.350939,26.740762,26.740762,156.169990,129.429228
1,1024,5745,5882880,22.488091,30.355208,30.355208,161.850010,131.494802
1,1024,5876,6017024,22.520619,30.900970,30.900970,163.980003,133.079033
1,1024,9437,9663488,23.204113,48.745228,48.745228,178.930000,130.184773
1,1024,37999,38910976,25.213674,188.403646,188.403646,323.179993,134.776347
2,1,116,232,7.857981,1.874583,1.874583,142.309989,140.435406
2,1,126,252,7.977280,1.867311,1.867311,131.769979,129.902668
2,1,179,358,8.483816,1.912962,1.912962,129.390042,127.477080
2,1,2494,4988,12.284246,1.557311,1.557311,134.970003,133.412692
2,1,4226,8452,13.045077,1.735638,1.735638,131.810957,130.075319
2,1,7883,15766,13.944529,1.799395,1.799395,141.889963,140.090568
2,1,10111,20222,14.303638,1.846458,1.846458,136.320014,134.473555
2,8,11,176,7.459432,1.440872,1.440872,136.390037,134.949165
2,8,244,3904,11.930737,1.446712,1.446712,131.329987,129.883275
2,8,617,9872,13.269127,1.531641,1.531641,135.999988,134.468347
2,8,741,11856,13.533330,1.509525,1.509525,140.300021,138.790496
2,8,5525,88400,16.431759,1.988965,1.988965,141.770055,139.781090
2,16,20,640,9.321928,1.424961,1.424961,130.560016,129.135055
2,16,94,3008,11.554589,1.412103,1.412103,131.230045,129.817942
2,64,9,1152,10.169925,1.156348,1.156348,129.219959,128.063612
2,64,14,1792,10.807355,1.182272,1.182272,129.549997,128.367725
2,64,8964,1147392,20.129927,7.347734,7.347734,137.829978,130.482244
2,64,19978,2557184,21.286125,14.691823,14.691823,138.709962,124.018139
2,128,40,10240,13.321928,1.240657,1.240657,137.190043,135.949386
2,128,162,41472,15.339850,1.770534,1.770534,129.740045,127.969511
2,128,862,220672,17.751544,4.523366,4.523366,129.379972,124.856607
2,256,82,41984,15.357552,1.676074,1.676074,130.400003,128.723929
2,256,150,76800,16.228819,2.116263,2.116263,134.570000,132.453737
2,256,15094,7728128,22.881688,93.906895,93.906895,224.399962,130.493068
2,512,93,95232,16.539159,2.267682,2.267682,142.629957,140.362274
2,512,1048,1073152,20.033423,6.689700,6.689700,137.760013,131.070312
2,1024,43,88064,16.426265,2.179948,2.179948,130.229979,128.050031
2,1024,181,370688,18.499846,5.180072,5.180072,141.780009,136.599937
2,1024,1694,3469312,21.726218,31.258105,31.258105,160.219963,128.961857
4,1,9097,36388,15.151175,1.845775,1.845775,138.979987,137.134213
4,1,11333,45332,15.468242,1.974010,1.974010,128.799991,126.825981
4,8,1474,47168,15.525521,1.730859,1.730859,132.570043,130.839184
4,8,3806,121792,16.894060,2.182578,2.182578,129.630032,127.447454
4,8,6618,211776,17.692180,2.630703,2.630703,139.959971,137.329268
4,16,19,1216,10.247928,1.499779,1.499779,128.369953,126.870174
4,16,215,13760,13.748193,1.559043,1.559043,133.269990,131.710947
4,16,326,20864,14.348728,1.574382,1.574382,129.449996,127.875615
4,16,347,22208,14.438792,1.586986,1.586986,136.120012,134.533026
4,16,396,25344,14.629357,1.688457,1.688457,135.999988,134.311531
4,16,14332,917248,19.806952,6.172962,6.172962,143.139972,136.967010
4,64,27,6912,12.754888,1.352852,1.352852,131.420034,130.067183
4,64,2169,555264,19.082814,4.322812,4.322812,129.710010,125.387197
4,64,4001,1024256,19.966145,7.029889,7.029889,138.739997,131.710108
4,128,61,31232,14.930737,1.469277,1.469277,136.130024,134.660746
4,128,123,62976,15.942515,1.801777,1.801777,129.939988,128.138211
4,128,382,195584,17.577429,2.936810,2.936810,130.130036,127.193226
4,128,752,385024,18.554589,3.398014,3.398014,143.569952,140.171938
4,128,849,434688,18.729621,5.180241,5.180241,131.389999,126.209758
4,128,28861,14776832,23.816834,99.549583,99.549583,234.920008,135.370424
4,256,17,17408,14.087463,1.349056,1.349056,130.850007,129.500951
4,256,95,97280,16.569856,2.003678,2.003678,130.060012,128.056334
4,256,252,258048,17.977280,3.042917,3.042917,141.089957,138.047040
4,256,362,370688,18.499846,3.779981,3.779981,141.619996,137.840015
4,256,2007,2055168,20.970825,17.225104,17.225104,149.219995,131.994891
4,256,3313,3392512,21.693922,23.512207,23.512207,153.579982,130.067775
4,256,31326,32077824,24.935073,178.421042,178.421042,310.380012,131.958970
4,512,230,471040,18.845490,4.384811,4.384811,140.969991,136.585180
4,1024,15,61440,15.906891,1.703014,1.703014,129.160006,127.456991
4,1024,18,73728,16.169925,1.736790,1.736790,128.689979,126.953188
4,1024,183,749568,19.515700,6.231823,6.231823,135.779963,129.548140
8,1,932,7456,12.864186,1.541484,1.541484,126.680010,125.138526
8,1,30081,240648,17.876565,3.136133,3.136133,131.829991,128.693858
8,8,11,704,9.459432,1.478880,1.478880,125.069986,123.591106
8,8,14,896,9.807355,1.504557,1.504557,126.779953,125.275395
8,8,136,8704,13.087463,1.534382,1.534382,128.439977,126.905595
8,8,154,9856,13.266787,1.524544,1.524544,125.300023,123.775478
8,8,527,33728,15.041659,1.678379,1.678379,126.490020,124.811641
8,8,10455,669120,19.351905,4.882318,4.882318,125.519990,120.637672
8,8,38295,2450880,21.224868,14.274902,14.274902,141.509983,127.235081
8,16,65,8320,13.022368,1.566152,1.566152,128.029962,126.463810
8,16,146,18688,14.189825,1.658021,1.658021,126.449973,124.791952
8,16,1953,249984,17.931476,3.000326,3.000326,132.060028,129.059702
8,16,4164,532992,19.023754,4.274681,4.274681,130.160013,125.885332
8,16,24781,3171968,21.596947,16.769583,16.769583,140.449964,123.680380
8,64,63,32256,14.977280,1.593223,1.593223,133.639958,132.046736
8,64,67,34304,15.066089,2.096601,2.096601,129.820022,127.723421
8,64,209,107008,16.707359,2.387982,2.387982,133.440015,131.052033
8,64,4733,2423296,21.208539,14.961986,14.961986,139.840005,124.878020
8,64,12060,6174720,22.557942,32.108991,32.108991,156.140013,124.031022
8,64,45202,23143424,24.464099,111.166133,111.166133,236.920023,125.753890
