d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.923587,0.923587,139.079988,138.156401
1,1,33,33,5.044394,0.937995,0.937995,137.570023,136.632028
1,1,48,48,5.584963,0.938971,0.938971,143.549987,142.611016
1,1,66,66,6.044394,0.937389,0.937389,144.739985,143.802595
1,1,75,75,6.228819,0.935410,0.935410,139.159965,138.224555
1,1,111,111,6.794416,0.923828,0.923828,142.980018,142.056190
1,1,797,797,9.638436,0.982747,0.982747,145.619968,144.637221
1,1,931,931,9.862637,0.994349,0.994349,146.370032,145.375683
1,1,1006,1006,9.974415,1.003229,1.003229,140.390010,139.386780
1,1,1446,1446,10.497852,1.055794,1.055794,142.740028,141.684233
1,1,1695,1695,10.727070,1.054447,1.054447,140.250020,139.195574
1,1,21218,21218,14.373001,1.350742,1.350742,142.009987,140.659245
1,1,49863,49863,15.605682,1.605619,1.605619,142.459990,140.854372
1,8,16,128,7.000000,0.455547,0.455547,140.940014,140.484467
1,8,36,288,8.169925,0.455618,0.455618,139.539945,139.084326
1,8,42,336,8.392317,0.457721,0.457721,142.380013,141.922292
1,8,85,680,9.409391,0.460964,0.460964,139.299955,138.838991
1,8,90,720,9.491853,0.460553,0.460553,143.880025,143.419471
1,8,185,1480,10.531381,0.467402,0.467402,143.649988,143.182586
1,8,250,2000,10.965784,0.467995,0.467995,136.460003,135.992008
1,8,300,2400,11.228819,0.503776,0.503776,144.080026,143.576250
1,8,490,3920,11.936638,0.499369,0.499369,141.009979,140.510611
1,8,527,4216,12.041659,0.505989,0.505989,138.649950,138.143960
1,8,846,6768,12.724514,0.501986,0.501986,138.620031,138.118045
1,8,3222,25776,14.653741,0.575007,0.575007,136.960007,136.385000
1,8,7511,60088,15.874789,0.668327,0.668327,142.899982,142.231655
1,8,7749,61992,15.919794,0.666745,0.666745,136.678980,136.012235
1,8,9317,74536,16.185650,0.717474,0.717474,136.620016,135.902542
1,8,45294,362352,18.467032,1.589518,1.589518,141.450029,139.860511
1,16,49,784,9.614710,0.435833,0.435833,136.400049,135.964216
1,16,112,1792,10.807355,0.434987,0.434987,136.989984,136.554997
1,16,159,2544,11.312883,0.503900,0.503900,150.780019,150.276119
1,16,192,3072,11.584963,0.504017,0.504017,140.329998,139.825981
1,16,298,4768,12.219169,0.510508,0.510508,144.560006,144.049499
1,16,331,5296,12.370687,0.510508,0.510508,139.679993,139.169485
1,16,392,6272,12.614710,0.505527,0.505527,141.740020,141.234493
1,16,693,11088,13.436712,0.522936,0.522936,144.399994,143.877057
1,16,1532,24512,14.581201,0.555195,0.555195,141.649973,141.094777
1,16,6413,102608,16.646784,0.721621,0.721621,142.290024,141.568403
1,16,9046,144736,17.143064,0.808984,0.808984,145.530037,144.721053
1,16,17040,272640,18.056638,1.086185,1.086185,138.660020,137.573835
1,16,25594,409504,18.643518,1.375957,1.375957,146.450009,145.074052
1,16,42689,683024,19.381577,1.980872,1.980872,145.079975,143.099103
1,16,44560,712960,19.443462,2.037975,2.037975,144.549995,142.512020
1,64,11,704,9.459432,0.507578,0.507578,140.329998,139.822419
1,64,15,960,9.906891,0.507292,0.507292,139.170035,138.662744
1,64,60,3840,11.906891,0.479082,0.479082,135.039969,134.560887
1,64,98,6272,12.614710,0.479088,0.479088,146.720035,146.240946
1,64,580,37120,15.179909,0.574798,0.574798,136.049988,135.475190
1,64,1028,65792,16.005625,0.644407,0.644407,145.949947,145.305540
1,64,1665,106560,16.701306,0.703737,0.703737,144.520018,143.816281
1,64,6135,392640,18.582848,1.126621,1.126621,144.879974,143.753353
1,64,6254,400256,18.610564,1.142813,1.142813,146.129983,144.987171
1,64,10279,657856,19.327412,1.575124,1.575124,139.690004,138.114881
1,64,16044,1026816,19.969746,2.135846,2.135846,169.560022,167.424176
1,64,19234,1230976,20.231371,2.438463,2.438463,144.730031,142.291568
1,64,24209,1549376,20.563256,2.956907,2.956907,148.319989,145.363081
1,64,31062,1987968,20.922863,3.630339,3.630339,146.870036,143.239697
1,64,35567,2276288,21.118252,4.063542,4.063542,146.150007,142.086465
1,128,9,1152,10.169925,0.507487,0.507487,138.339994,137.832507
1,128,27,3456,11.754888,0.541751,0.541751,146.439997,145.898246
1,128,147,18816,14.199672,0.622389,0.622389,146.689999,146.067610
1,128,207,26496,14.693487,0.645521,0.645521,145.660015,145.014494
1,128,271,34688,15.082149,0.662012,0.662012,145.979982,145.317971
1,128,1550,198400,17.598053,1.096960,1.096960,142.839970,141.743010
1,128,2443,312704,18.254438,1.386504,1.386504,136.849994,135.463490
1,128,13624,1743872,20.733863,9.046888,9.046888,146.169972,137.123084
1,128,28196,3609088,21.783203,18.104004,18.104004,134.689966,116.585962
1,128,44731,5725568,22.448987,19.868262,19.868262,135.849987,115.981725
1,256,10,2560,11.321928,0.546276,0.546276,124.740007,124.193731
1,256,22,5632,12.459432,0.543489,0.543489,120.970013,120.426524
1,256,25,6400,12.643856,0.550833,0.550833,124.369981,123.819147
1,256,44,11264,13.459432,0.566146,0.566146,123.110018,122.543872
1,256,59,15104,13.882643,0.569492,0.569492,124.300015,123.730523
1,256,135,34560,15.076816,0.654993,0.654993,124.590006,123.935012
1,256,167,42752,15.383704,0.673008,0.673008,124.239945,123.566937
1,256,291,74496,16.184875,0.728535,0.728535,122.970028,122.241493
1,256,356,91136,16.475733,0.753119,0.753119,122.370024,121.616905
1,256,455,116480,16.829723,0.790905,0.790905,122.880039,122.089134
1,256,496,126976,16.954196,0.818939,0.818939,122.010009,121.191071
1,512,11,5632,12.459432,0.550820,0.550820,123.940001,123.389180
1,512,14,7168,12.807355,0.550540,0.550540,121.580029,121.029489
1,512,46,23552,14.523562,0.599609,0.599609,122.450001,121.850392
1,512,110,56320,15.781360,0.648659,0.648659,124.729995,124.081336
1,512,267,136704,17.060696,0.794115,0.794115,122.709956,121.915842
1,512,1306,668672,19.350939,1.649284,1.649284,122.839992,121.190709
1,512,2250,1152000,20.135709,2.395925,2.395925,125.009974,122.614049
1,512,8656,4431872,22.079485,14.405228,14.405228,134.889968,120.484740
1,512,12121,6205952,22.565221,19.666582,19.666582,136.480026,116.813444
1,512,14592,7471104,22.832890,21.724486,21.724486,136.539980,114.815495
1,512,35856,18358272,24.129927,71.210111,71.210111,185.870042,114.659931
1,1024,11,11264,13.459432,0.563353,0.563353,134.140020,133.576667
1,1024,18,18432,14.169925,0.587298,0.587298,138.260017,137.672719
1,1024,21,21504,14.392317,0.587305,0.587305,135.430018,134.842714
1,1024,75,76800,16.228819,0.668776,0.668776,139.929994,139.261218
1,1024,110,112640,16.781360,0.712643,0.712643,140.259974,139.547331
1,1024,169,173056,17.400879,0.838242,0.838242,136.410003,135.571760
1,1024,346,354304,18.434628,1.110462,1.110462,140.229997,139.119535
1,1024,504,516096,18.977280,1.328978,1.328978,135.430018,134.101041
1,1024,1354,1386496,20.403012,2.548600,2.548600,143.420009,140.871409
1,1024,5224,5349376,22.350939,16.034603,16.034603,150.379958,134.345355
1,1024,5745,5882880,22.488091,17.651777,17.651777,151.360000,133.708223
1,1024,5876,6017024,22.520619,17.745045,17.745045,151.469954,133.724909
1,1024,9437,9663488,23.204113,27.928704,27.928704,161.829987,133.901282
1,1024,37999,38910976,25.213674,111.378131,111.378131,245.339994,133.961862
2,1,116,232,7.857981,0.935514,0.935514,135.570008,134.634494
2,1,126,252,7.977280,0.926745,0.926745,137.249997,136.323253
2,1,179,358,8.483816,0.955111,0.955111,134.759990,133.804879
2,1,2494,4988,12.284246,1.078529,1.078529,138.639996,137.561468
2,1,4226,8452,13.045077,1.119102,1.119102,137.560011,136.440910
2,1,7883,15766,13.944529,1.161439,1.161439,133.999973,132.838534
2,1,10111,20222,14.303638,1.130006,1.130006,135.930022,134.800016
2,8,11,176,7.459432,0.438132,0.438132,137.550000,137.111868
2,8,244,3904,11.930737,0.473926,0.473926,138.109957,137.636032
2,8,617,9872,13.269127,0.496042,0.496042,126.259984,125.763942
2,8,741,11856,13.533330,0.494603,0.494603,123.539998,123.045395
2,8,5525,88400,16.431759,0.610417,0.610417,128.569955,127.959538
2,16,20,640,9.321928,0.470397,0.470397,128.059997,127.589600
2,16,94,3008,11.554589,0.475039,0.475039,121.249992,120.774953
2,64,9,1152,10.169925,1.182793,1.182793,123.689999,122.507206
2,64,14,1792,10.807355,1.188945,1.188945,125.551014,124.362069
2,64,8964,1147392,20.129927,2.125638,2.125638,142.499979,140.374341
2,64,19978,2557184,21.286125,4.036471,4.036471,137.760013,133.723542
2,128,40,10240,13.321928,0.573034,0.573034,138.789997,138.216964
2,128,162,41472,15.339850,1.461784,1.461784,133.599970,132.138186
2,128,862,220672,17.751544,2.623971,2.623971,142.109988,139.486016
2,256,82,41984,15.357552,1.357611,1.357611,138.819974,137.462364
2,256,150,76800,16.228819,1.479577,1.479577,138.389994,136.910418
2,256,15094,7728128,22.881688,79.923776,79.923776,215.579988,135.656212
2,512,93,95232,16.539159,1.454466,1.454466,124.519982,123.065516
2,512,1048,1073152,20.033423,2.241081,2.241081,122.239988,119.998907
2,1024,43,88064,16.426265,1.401914,1.401914,139.480049,138.078135
2,1024,181,370688,18.499846,2.107396,2.107396,124.909973,122.802577
2,1024,1694,3469312,21.726218,33.667682,33.667682,147.969986,114.302304
4,1,9097,36388,15.151175,1.182148,1.182148,124.490005,123.307856
4,1,11333,45332,15.468242,1.267773,1.267773,124.229991,122.962218
4,8,1474,47168,15.525521,0.561244,0.561244,126.099971,125.538727
4,8,3806,121792,16.894060,0.677175,0.677175,122.379977,121.702803
4,8,6618,211776,17.692180,0.809382,0.809382,122.360012,121.550631
