d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.461309,1.461309,133.430003,131.968695
1,1,33,33,5.044394,1.439407,1.439407,132.829999,131.390591
1,1,48,48,5.584963,1.457122,1.457122,131.119974,129.662851
1,1,66,66,6.044394,1.430189,1.430189,135.170005,133.739816
1,1,75,75,6.228819,1.443874,1.443874,135.949987,134.506114
1,1,111,111,6.794416,1.461764,1.461764,133.639958,132.178194
1,1,797,797,9.638436,1.023906,1.023906,134.230009,133.206103
1,1,931,931,9.862637,1.021471,1.021471,137.319963,136.298492
1,1,1006,1006,9.974415,1.069466,1.069466,131.859968,130.790502
1,1,1446,1446,10.497852,1.092226,1.092226,137.239986,136.147759
1,1,1695,1695,10.727070,1.084089,1.084089,130.820030,129.735941
1,1,21218,21218,14.373001,1.409121,1.409121,132.850022,131.440901
1,1,49863,49863,15.605682,1.873431,1.873431,132.460031,130.586600
1,8,16,128,7.000000,1.050846,1.050846,133.999973,132.949126
1,8,36,288,8.169925,1.038568,1.038568,129.189983,128.151415
1,8,42,336,8.392317,1.045117,1.045117,131.800014,130.754897
1,8,85,680,9.409391,1.038008,1.038008,134.180009,133.142001
1,8,90,720,9.491853,1.040208,1.040208,134.699978,133.659770
1,8,185,1480,10.531381,1.068515,1.068515,134.691014,133.622498
1,8,250,2000,10.965784,1.018112,1.018112,130.900007,129.881895
1,8,300,2400,11.228819,1.056152,1.056152,129.910011,128.853859
1,8,490,3920,11.936638,1.063978,1.063978,135.060051,133.996073
1,8,527,4216,12.041659,1.087969,1.087969,134.990027,133.902058
1,8,846,6768,12.724514,1.116081,1.116081,143.309997,142.193916
1,8,3222,25776,14.653741,1.230755,1.230755,135.059992,133.829237
1,8,7511,60088,15.874789,1.437956,1.437956,139.229989,137.792033
1,8,7749,61992,15.919794,1.432376,1.432376,128.900050,127.467674
1,8,9317,74536,16.185650,1.496706,1.496706,135.070004,133.573298
1,8,45294,362352,18.467032,2.837695,2.837695,135.109993,132.272297
1,16,49,784,9.614710,1.024310,1.024310,134.920003,133.895693
1,16,112,1792,10.807355,1.040326,1.040326,126.750034,125.709708
1,16,159,2544,11.312883,1.066706,1.066706,134.900038,133.833332
1,16,192,3072,11.584963,1.062728,1.062728,134.940026,133.877298
1,16,298,4768,12.219169,1.076999,1.076999,135.590031,134.513033
1,16,331,5296,12.370687,1.097995,1.097995,135.689974,134.591979
1,16,392,6272,12.614710,1.112721,1.112721,134.929956,133.817235
1,16,693,11088,13.436712,1.134408,1.134408,132.029003,130.894595
1,16,1532,24512,14.581201,1.232891,1.232891,133.980007,132.747117
1,16,6413,102608,16.646784,1.621686,1.621686,133.589958,131.968272
1,16,9046,144736,17.143064,1.848548,1.848548,136.389979,134.541431
1,16,17040,272640,18.056638,2.487292,2.487292,138.120027,135.632736
1,16,25594,409504,18.643518,3.018229,3.018229,134.069996,131.051767
1,16,42689,683024,19.381577,4.270950,4.270950,130.330038,126.059087
1,16,44560,712960,19.443462,4.418398,4.418398,135.230017,130.811619
1,64,11,704,9.459432,1.037487,1.037487,133.520050,132.482563
1,64,15,960,9.906891,1.066458,1.066458,131.740002,130.673544
1,64,60,3840,11.906891,1.108887,1.108887,128.519954,127.411067
1,64,98,6272,12.614710,1.119362,1.119362,124.569982,123.450620
1,64,580,37120,15.179909,1.280417,1.280417,130.020024,128.739607
1,64,1028,65792,16.005625,1.512936,1.512936,133.380003,131.867067
1,64,1665,106560,16.701306,1.673346,1.673346,134.989969,133.316622
1,64,6135,392640,18.582848,2.951901,2.951901,136.789982,133.838081
1,64,6254,400256,18.610564,2.990039,2.990039,133.149966,130.159927
1,64,10279,657856,19.327412,4.262070,4.262070,135.620008,131.357938
1,64,16044,1026816,19.969746,5.854785,5.854785,138.110016,132.255230
1,64,19234,1230976,20.231371,6.806335,6.806335,140.630000,133.823665
1,64,24209,1549376,20.563256,8.319948,8.319948,137.969968,129.650020
1,64,31062,1987968,20.922863,10.299772,10.299772,139.300013,129.000241
1,64,35567,2276288,21.118252,11.174687,11.174687,136.899995,125.725307
1,128,9,1152,10.169925,1.013718,1.013718,135.330018,134.316300
1,128,27,3456,11.754888,1.049486,1.049486,136.779970,135.730485
1,128,147,18816,14.199672,1.226601,1.226601,125.880004,124.653402
1,128,207,26496,14.693487,1.242090,1.242090,127.730018,126.487928
1,128,271,34688,15.082149,1.278470,1.278470,133.600028,132.321558
1,128,1550,198400,17.598053,2.051862,2.051862,134.609989,132.558127
1,128,2443,312704,18.254438,2.638867,2.638867,136.439980,133.801112
1,128,13624,1743872,20.733863,8.562279,8.562279,134.920992,126.358714
1,128,28196,3609088,21.783203,16.585827,16.585827,148.750027,132.164200
1,128,44731,5725568,22.448987,25.640931,25.640931,156.519993,130.879062
1,256,10,2560,11.321928,1.054062,1.054062,133.460038,132.405976
1,256,22,5632,12.459432,1.067207,1.067207,135.559996,134.492789
1,256,25,6400,12.643856,1.135202,1.135202,130.900007,129.764805
1,256,44,11264,13.459432,1.163125,1.163125,131.329987,130.166862
1,256,59,15104,13.882643,1.182214,1.182214,127.839972,126.657759
1,256,135,34560,15.076816,1.257526,1.257526,134.149974,132.892448
1,256,167,42752,15.383704,1.301478,1.301478,135.869952,134.568474
1,256,291,74496,16.184875,1.480996,1.480996,132.690009,131.209013
1,256,356,91136,16.475733,1.591856,1.591856,133.419991,131.828136
1,256,455,116480,16.829723,1.681165,1.681165,129.950000,128.268835
1,256,496,126976,16.954196,1.739961,1.739961,132.550020,130.810059
1,512,11,5632,12.459432,1.154512,1.154512,127.489970,126.335458
1,512,14,7168,12.807355,1.111673,1.111673,129.189983,128.078309
1,512,46,23552,14.523562,1.203665,1.203665,133.880007,132.676341
1,512,110,56320,15.781360,1.433887,1.433887,132.150017,130.716130
1,512,267,136704,17.060696,1.814590,1.814590,134.430011,132.615421
1,512,1306,668672,19.350939,4.324811,4.324811,137.900002,133.575191
1,512,2250,1152000,20.135709,6.669603,6.669603,140.529999,133.860396
1,512,8656,4431872,22.079485,20.148750,20.148750,147.460029,127.311279
1,512,12121,6205952,22.565221,27.690905,27.690905,156.290014,128.599109
1,512,14592,7471104,22.832890,32.752689,32.752689,156.560040,123.807351
1,512,35856,18358272,24.129927,78.375150,78.375150,204.699987,126.324837
1,1024,11,11264,13.459432,1.214994,1.214994,128.970016,127.755022
1,1024,18,18432,14.169925,1.222201,1.222201,126.400031,125.177831
1,1024,21,21504,14.392317,1.241172,1.241172,129.060005,127.818833
1,1024,75,76800,16.228819,1.539687,1.539687,132.958987,131.419299
1,1024,110,112640,16.781360,1.669733,1.669733,134.330010,132.660277
1,1024,169,173056,17.400879,2.027090,2.027090,135.790033,133.762943
1,1024,346,354304,18.434628,2.887285,2.887285,134.499976,131.612691
1,1024,504,516096,18.977280,3.770963,3.770963,137.330033,133.559069
1,1024,1354,1386496,20.403012,8.529928,8.529928,140.500022,131.970094
1,1024,5224,5349376,22.350939,24.482168,24.482168,148.269988,123.787820
1,1024,5745,5882880,22.488091,26.753919,26.753919,154.669979,127.916059
1,1024,5876,6017024,22.520619,27.068665,27.068665,155.529997,128.461332
1,1024,9437,9663488,23.204113,42.287975,42.287975,166.889979,124.602003
1,1024,37999,38910976,25.213674,164.052832,164.052832,293.509976,129.457144
2,1,116,232,7.857981,1.453450,1.453450,132.800022,131.346571
2,1,126,252,7.977280,1.471869,1.471869,133.780006,132.308137
2,1,179,358,8.483816,0.988776,0.988776,128.720014,127.731238
2,1,2494,4988,12.284246,1.076081,1.076081,128.670014,127.593933
2,1,4226,8452,13.045077,1.195938,1.195938,126.019993,124.824056
2,1,7883,15766,13.944529,1.220736,1.220736,132.479996,131.259260
2,1,10111,20222,14.303638,1.260664,1.260664,129.560009,128.299345
2,8,11,176,7.459432,1.037064,1.037064,133.119989,132.082925
2,8,244,3904,11.930737,1.036745,1.036745,125.730003,124.693258
2,8,617,9872,13.269127,1.156178,1.156178,127.009989,125.853811
2,8,741,11856,13.533330,1.160215,1.160215,132.139015,130.978801
2,8,5525,88400,16.431759,1.576888,1.576888,129.970023,128.393135
2,16,20,640,9.321928,1.063652,1.063652,134.480011,133.416359
2,16,94,3008,11.554589,1.061537,1.061537,130.450004,129.388467
2,64,9,1152,10.169925,1.059362,1.059362,135.279959,134.220597
2,64,14,1792,10.807355,1.096146,1.096146,128.760003,127.663857
2,64,8964,1147392,20.129927,6.492656,6.492656,138.600008,132.107351
2,64,19978,2557184,21.286125,12.483867,12.483867,145.659957,133.176089
2,128,40,10240,13.321928,1.148665,1.148665,135.280017,134.131352
2,128,162,41472,15.339850,1.406126,1.406126,135.020004,133.613877
2,128,862,220672,17.751544,2.657943,2.657943,139.110023,136.452080
2,256,82,41984,15.357552,1.342891,1.342891,126.300030,124.957140
2,256,150,76800,16.228819,1.665234,1.665234,134.620001,132.954766
2,256,15094,7728128,22.881688,34.138516,34.138516,157.059985,122.921470
2,512,93,95232,16.539159,1.763763,1.763763,135.089969,133.326206
2,512,1048,1073152,20.033423,6.272122,6.272122,137.639989,131.367866
2,1024,43,88064,16.426265,1.788958,1.788958,139.119977,137.331018
2,1024,181,370688,18.499846,3.645723,3.645723,135.520007,131.874285
2,1024,1694,3469312,21.726218,16.203183,16.203183,142.609992,126.406808
4,1,9097,36388,15.151175,1.317070,1.317070,131.600013,130.282942
4,1,11333,45332,15.468242,1.379303,1.379303,129.799999,128.420695
4,8,1474,47168,15.525521,1.369675,1.369675,136.549992,135.180318
4,8,3806,121792,16.894060,1.678262,1.678262,134.809990,133.131729
4,8,6618,211776,17.692180,2.123379,2.123379,133.419991,131.296613
4,16,19,1216,10.247928,1.133047,1.133047,133.780006,132.646959
4,16,215,13760,13.748193,1.195052,1.195052,134.449976,133.254924
4,16,326,20864,14.348728,1.210703,1.210703,127.920008,126.709305
4,16,347,22208,14.438792,1.209505,1.209505,126.999978,125.790472
4,16,396,25344,14.629357,1.253789,1.253789,135.209993,133.956204
4,16,14332,917248,19.806952,5.369492,5.369492,139.250013,133.880520
4,64,27,6912,12.754888,1.181973,1.181973,128.240034,127.058061
4,64,2169,555264,19.082814,3.705202,3.705202,133.450027,129.744825
4,64,4001,1024256,19.966145,6.107956,6.107956,138.189993,132.082037
4,128,61,31232,14.930737,1.284505,1.284505,132.969988,131.685483
4,128,123,62976,15.942515,1.477826,1.477826,128.860003,127.382178
4,128,382,195584,17.577429,2.194909,2.194909,133.790018,131.595109
4,128,752,385024,18.554589,2.963418,2.963418,135.439972,132.476554
4,128,849,434688,18.729621,3.493652,3.493652,133.309979,129.816327
4,128,28861,14776832,23.816834,63.269401,63.269401,188.940030,125.670629
4,256,17,17408,14.087463,1.227389,1.227389,132.390007,131.162618
4,256,95,97280,16.569856,1.681784,1.681784,133.480004,131.798220
4,256,252,258048,17.977280,2.590020,2.590020,140.200020,137.610000
4,256,362,370688,18.499846,3.180632,3.180632,136.429968,133.249336
4,256,2007,2055168,20.970825,10.121868,10.121868,140.229997,130.108128
4,256,3313,3392512,21.693922,16.915130,16.915130,143.190031,126.274901
4,256,31326,32077824,24.935073,135.634486,135.634486,261.940004,126.305518
4,512,230,471040,18.845490,3.676738,3.676738,134.369999,130.693260
4,1024,15,61440,15.906891,1.446035,1.446035,134.090020,132.643985
4,1024,18,73728,16.169925,1.571589,1.571589,133.330002,131.758414
4,1024,183,749568,19.515700,5.324726,5.324726,135.409995,130.085268
8,1,932,7456,12.864186,1.114733,1.114733,127.089967,125.975234
8,1,30081,240648,17.876565,2.344805,2.344805,130.830042,128.485237
8,8,11,704,9.459432,1.142865,1.142865,127.769948,126.627084
8,8,14,896,9.807355,1.114603,1.114603,131.690002,130.575399
8,8,136,8704,13.087463,1.191406,1.191406,137.389987,136.198581
8,8,154,9856,13.266787,1.173880,1.173880,127.690029,126.516149
8,8,527,33728,15.041659,1.274382,1.274382,129.029970,127.755588
8,8,10455,669120,19.351905,4.214479,4.214479,138.320029,134.105550
8,8,38295,2450880,21.224868,11.748144,11.748144,144.220015,132.471871
8,16,65,8320,13.022368,1.181126,1.181126,131.640001,130.458875
8,16,146,18688,14.189825,1.259700,1.259700,131.339999,130.080298
8,16,1953,249984,17.931476,2.462083,2.462083,136.680028,134.217945
8,16,4164,532992,19.023754,3.634447,3.634447,137.030031,133.395584
8,16,24781,3171968,21.596947,14.949407,14.949407,139.020034,124.070627
8,64,63,32256,14.977280,1.447441,1.447441,134.459988,133.012546
8,64,67,34304,15.066089,1.447428,1.447428,131.030043,129.582615
8,64,209,107008,16.707359,1.771276,1.771276,133.219990,131.448714
8,64,4733,2423296,21.208539,11.765026,11.765026,145.090045,133.325019
8,64,12060,6174720,22.557942,27.683548,27.683548,151.620014,123.936465
8,64,45202,23143424,24.464099,98.381289,98.381289,222.589995,124.208706
8,128,16,16384,14.000000,1.212585,1.212585,126.789964,125.577380
8,128,25,25600,14.643856,1.242500,1.242500,133.060035,131.817535
8,128,300,307200,18.228819,2.655905,2.655905,135.300041,132.644136
8,256,11,22528,14.459432,1.233887,1.233887,131.679990,130.446103
8,256,1334,2732032,21.381543,13.034382,13.034382,144.379970,131.345589
8,512,20,81920,16.321928,1.535130,1.535130,130.760018,129.224888
8,512,26,106496,16.700440,1.640885,1.640885,133.749971,132.109085
8,512,439,1798144,20.778077,9.711087,9.711087,137.750001,128.038914
8,1024,21,172032,17.392317,1.969167,1.969167,138.450006,136.480840
8,1024,48,393216,18.584963,3.108340,3.108340,138.000003,134.891663
8,1024,429,3514368,21.744834,16.573223,16.573223,143.150042,126.576820
12,1,33,396,8.629357,1.044720,1.044720,127.720006,126.675286
12,1,188,2256,11.139551,1.091387,1.091387,125.719991,124.628604
12,1,614,7368,12.847057,1.181914,1.181914,132.159970,130.978056
12,1,1682,20184,14.300924,1.254062,1.254062,127.820007,126.565945
12,1,13039,156468,17.255508,2.111035,2.111035,130.309956,128.198921
12,8,10,960,9.906891,1.167936,1.167936,127.730018,126.562082
12,8,3702,355392,18.439052,2.759687,2.759687,138.089992,135.330305
12,16,144,27648,14.754888,1.339818,1.339818,129.120017,127.780199
12,16,399,76608,16.225207,1.597539,1.597539,132.950023,131.352484
12,16,1402,269184,18.038233,2.480657,2.480657,134.049973,131.569315
12,16,4901,940992,19.843823,5.533848,5.533848,137.399998,131.866151
12,64,54,41472,15.339850,1.580586,1.580586,132.300018,130.719432
12,64,516,396288,18.596190,3.419590,3.419590,138.350006,134.930416
12,64,967,742656,19.502335,5.190319,5.190319,132.719986,127.529667
12,64,8376,6432768,22.617008,28.789108,28.789108,157.740025,128.950917
12,64,10523,8081664,22.946221,35.762246,35.762246,159.660005,123.897759
12,128,31,47616,15.539159,1.350006,1.350006,131.490000,130.139994
12,128,541,830976,19.664447,5.043027,5.043027,138.739997,133.696970
12,128,2325,3571200,21.767978,16.551680,16.551680,144.860009,128.308329
12,512,11,67584,16.044394,1.582839,1.582839,132.340007,130.757168
12,512,37,227328,17.794416,2.347806,2.347806,138.189993,135.842187
12,512,127,780288,19.573647,4.779674,4.779674,137.310009,132.530335
12,512,5217,32053248,24.933967,136.648346,136.648346,269.759970,133.111624
12,1024,206,2531328,21.271463,12.642487,12.642487,143.239973,130.597486
12,1024,448,5505024,22.392317,24.989935,24.989935,148.210034,123.220099
12,1024,3032,37257216,25.151017,156.976810,156.976810,283.570029,126.593219
14,1,9422,131908,17.009173,1.863822,1.863822,131.219975,129.356153
14,1,18121,253694,17.952730,2.576165,2.576165,130.680040,128.103875
14,1,18677,261478,17.996330,2.533659,2.533659,134.009984,131.476325
14,8,3002,336224,18.359063,2.718132,2.718132,137.489988,134.771856
14,8,8701,974512,19.894320,5.543060,5.543060,140.119984,134.576924
14,8,14884,1667008,20.668830,8.869499,8.869499,135.740032,126.870534
14,8,17714,1983968,20.919957,10.261204,10.261204,137.371011,127.109807
14,16,9,2016,10.977280,1.212572,1.212572,133.319991,132.107419
