d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.504857,1.504857,124.520040,123.015183
1,1,33,33,5.044394,1.517194,1.517194,124.669983,123.152789
1,1,48,48,5.584963,1.521777,1.521777,121.849997,120.328219
1,1,66,66,6.044394,1.504134,1.504134,124.160026,122.655892
1,1,75,75,6.228819,1.514349,1.514349,123.169972,121.655623
1,1,111,111,6.794416,1.514492,1.514492,124.950020,123.435528
1,1,797,797,9.638436,1.060241,1.060241,124.149956,123.089715
1,1,931,931,9.862637,1.076094,1.076094,124.669983,123.593889
1,1,1006,1006,9.974415,1.062734,1.062734,124.629994,123.567260
1,1,1446,1446,10.497852,1.152376,1.152376,124.540005,123.387629
1,1,1695,1695,10.727070,1.119564,1.119564,124.610029,123.490465
1,1,21218,21218,14.373001,1.355247,1.355247,123.370031,122.014784
1,1,49863,49863,15.605682,1.667454,1.667454,125.520048,123.852593
1,8,16,128,7.000000,1.094382,1.094382,125.880004,124.785622
1,8,36,288,8.169925,1.118170,1.118170,122.480036,121.361866
1,8,42,336,8.392317,1.114681,1.114681,123.840000,122.725319
1,8,85,680,9.409391,1.104401,1.104401,126.749976,125.645575
1,8,90,720,9.491853,1.150612,1.150612,121.380028,120.229416
1,8,185,1480,10.531381,1.057969,1.057969,122.199999,121.142031
1,8,250,2000,10.965784,1.060540,1.060540,121.840043,120.779503
1,8,300,2400,11.228819,1.108047,1.108047,125.209976,124.101929
1,8,490,3920,11.936638,1.110130,1.110130,125.220045,124.109915
1,8,527,4216,12.041659,1.135553,1.135553,124.919985,123.784432
1,8,846,6768,12.724514,1.157533,1.157533,125.780003,124.622471
1,8,3222,25776,14.653741,1.261797,1.261797,124.190003,122.928206
1,8,7511,60088,15.874789,1.396458,1.396458,124.059967,122.663508
1,8,7749,61992,15.919794,1.405111,1.405111,124.519982,123.114871
1,8,9317,74536,16.185650,1.435840,1.435840,124.159968,122.724128
1,8,45294,362352,18.467032,2.280846,2.280846,124.269980,121.989134
1,16,49,784,9.614710,1.080775,1.080775,126.250030,125.169255
1,16,112,1792,10.807355,1.106237,1.106237,125.669991,124.563754
1,16,159,2544,11.312883,1.101348,1.101348,123.409962,122.308614
1,16,192,3072,11.584963,1.125859,1.125859,124.400016,123.274157
1,16,298,4768,12.219169,1.151562,1.151562,126.380008,125.228445
1,16,331,5296,12.370687,1.143730,1.143730,122.410012,121.266282
1,16,392,6272,12.614710,1.155124,1.155124,124.340004,123.184880
1,16,693,11088,13.436712,1.179896,1.179896,125.590013,124.410118
1,16,1532,24512,14.581201,1.220944,1.220944,123.779988,122.559044
1,16,6413,102608,16.646784,1.514922,1.514922,123.750011,122.235089
1,16,9046,144736,17.143064,1.660137,1.660137,122.689991,121.029855
1,16,17040,272640,18.056638,1.999388,1.999388,129.040040,127.040652
1,16,25594,409504,18.643518,2.383730,2.383730,123.659964,121.276233
1,16,42689,683024,19.381577,3.201276,3.201276,124.700018,121.498742
1,16,44560,712960,19.443462,3.271074,3.271074,127.349980,124.078906
1,64,11,704,9.459432,0.989362,0.989362,139.690004,138.700642
1,64,15,960,9.906891,0.979199,0.979199,143.960002,142.980803
1,64,60,3840,11.906891,1.349544,1.349544,144.920021,143.570477
1,64,98,6272,12.614710,1.378105,1.378105,140.840013,139.461908
1,64,580,37120,15.179909,1.359290,1.359290,139.990007,138.630716
1,64,1028,65792,16.005625,1.370039,1.370039,139.919983,138.549944
1,64,1665,106560,16.701306,1.522305,1.522305,138.850010,137.327705
1,64,6135,392640,18.582848,2.379707,2.379707,147.150015,144.770308
1,64,6254,400256,18.610564,2.320924,2.320924,143.389974,141.069050
1,64,10279,657856,19.327412,3.123555,3.123555,142.420002,139.296447
1,64,16044,1026816,19.969746,4.236478,4.236478,139.579992,135.343514
1,64,19234,1230976,20.231371,4.853529,4.853529,139.210024,134.356495
1,64,24209,1549376,20.563256,5.770326,5.770326,147.960032,142.189707
1,64,31062,1987968,20.922863,7.123164,7.123164,145.429978,138.306814
1,64,35567,2276288,21.118252,7.946146,7.946146,145.320024,137.373878
1,128,9,1152,10.169925,0.987663,0.987663,140.740012,139.752350
1,128,27,3456,11.754888,1.036159,1.036159,137.560011,136.523853
1,128,147,18816,14.199672,1.151849,1.151849,139.109965,137.958116
1,128,207,26496,14.693487,1.206725,1.206725,141.180004,139.973279
1,128,271,34688,15.082149,1.205755,1.205755,140.319986,139.114231
1,128,1550,198400,17.598053,1.781152,1.781152,141.859986,140.078834
1,128,2443,312704,18.254438,2.143750,2.143750,144.089980,141.946230
1,128,13624,1743872,20.733863,8.190254,8.190254,145.889993,137.699739
1,128,28196,3609088,21.783203,14.782930,14.782930,152.449997,137.667067
1,128,44731,5725568,22.448987,21.692350,21.692350,158.179959,136.487609
1,256,10,2560,11.321928,1.020208,1.020208,140.000018,138.979810
1,256,22,5632,12.459432,1.048340,1.048340,137.489988,136.441648
1,256,25,6400,12.643856,1.064733,1.064733,139.020034,137.955301
1,256,44,11264,13.459432,1.090195,1.090195,141.199969,140.109774
1,256,59,15104,13.882643,1.114284,1.114284,139.259966,138.145682
1,256,135,34560,15.076816,1.219075,1.219075,142.690027,141.470952
1,256,167,42752,15.383704,1.238379,1.238379,140.190008,138.951629
1,256,291,74496,16.184875,1.329316,1.329316,142.880017,141.550701
1,256,356,91136,16.475733,1.423984,1.423984,139.290001,137.866017
1,256,455,116480,16.829723,1.466074,1.466074,140.800024,139.333950
1,256,496,126976,16.954196,1.499909,1.499909,139.559968,138.060060
1,512,11,5632,12.459432,1.051888,1.051888,137.209950,136.158062
1,512,14,7168,12.807355,1.075664,1.075664,136.110000,135.034336
1,512,46,23552,14.523562,1.213900,1.213900,139.600015,138.386116
1,512,110,56320,15.781360,1.284805,1.284805,138.719974,137.435169
1,512,267,136704,17.060696,1.536256,1.536256,139.079988,137.543732
1,512,1306,668672,19.350939,3.167630,3.167630,138.179981,135.012351
1,512,2250,1152000,20.135709,4.626393,4.626393,143.920013,139.293620
1,512,8656,4431872,22.079485,17.067402,17.067402,150.149979,133.082577
1,512,12121,6205952,22.565221,23.624154,23.624154,164.899975,141.275821
1,512,14592,7471104,22.832890,22.096790,22.096790,157.699978,135.603188
1,512,35856,18358272,24.129927,52.797122,52.797122,187.630008,134.832886
1,1024,11,11264,13.459432,1.117174,1.117174,139.979995,138.862820
1,1024,18,18432,14.169925,1.175651,1.175651,137.000054,135.824403
1,1024,21,21504,14.392317,1.185775,1.185775,137.160008,135.974234
1,1024,75,76800,16.228819,1.354694,1.354694,141.069992,139.715298
1,1024,110,112640,16.781360,1.534095,1.534095,140.310032,138.775937
1,1024,169,173056,17.400879,1.682949,1.682949,140.410033,138.727084
1,1024,346,354304,18.434628,2.314075,2.314075,139.450014,137.135939
1,1024,504,516096,18.977280,3.127760,3.127760,154.710026,151.582265
1,1024,1354,1386496,20.403012,5.740443,5.740443,146.879989,141.139547
1,1024,5224,5349376,22.350939,17.890599,17.890599,134.959992,117.069393
1,1024,5745,5882880,22.488091,19.219922,19.219922,134.899979,115.680058
1,1024,5876,6017024,22.520619,46.386953,46.386953,161.510019,115.123066
1,1024,9437,9663488,23.204113,31.823802,31.823802,149.019994,117.196192
1,1024,37999,38910976,25.213674,113.878718,113.878718,235.229963,121.351246
2,1,116,232,7.857981,1.568939,1.568939,123.219972,121.651033
2,1,126,252,7.977280,1.580176,1.580176,123.929989,122.349813
2,1,179,358,8.483816,1.559362,1.559362,124.229991,122.670629
2,1,2494,4988,12.284246,1.137715,1.137715,123.279984,122.142269
2,1,4226,8452,13.045077,1.165456,1.165456,121.280027,120.114571
2,1,7883,15766,13.944529,1.202715,1.202715,121.899997,120.697282
2,1,10111,20222,14.303638,1.250241,1.250241,123.050006,121.799765
2,8,11,176,7.459432,1.340579,1.340579,123.610022,122.269442
2,8,244,3904,11.930737,1.100671,1.100671,121.930032,120.829362
2,8,617,9872,13.269127,1.203782,1.203782,127.530016,126.326234
2,8,741,11856,13.533330,1.165534,1.165534,122.238998,121.073464
2,8,5525,88400,16.431759,1.484850,1.484850,124.329992,122.845142
2,16,20,640,9.321928,1.341198,1.341198,125.070044,123.728846
2,16,94,3008,11.554589,1.125019,1.125019,126.480008,125.354989
2,64,9,1152,10.169925,1.037689,1.037689,118.330005,117.292316
2,64,14,1792,10.807355,1.066198,1.066198,125.460036,124.393838
2,64,8964,1147392,20.129927,4.700085,4.700085,123.489997,118.789913
2,64,19978,2557184,21.286125,8.786875,8.786875,128.249987,119.463112
2,128,40,10240,13.321928,1.083672,1.083672,123.510021,122.426349
2,128,162,41472,15.339850,1.306380,1.306380,124.369981,123.063601
2,128,862,220672,17.751544,2.157923,2.157923,124.979997,122.822074
2,256,82,41984,15.357552,1.321244,1.321244,122.750003,121.428760
2,256,150,76800,16.228819,1.485951,1.485951,124.220038,122.734087
2,256,15094,7728128,22.881688,56.258587,56.258587,173.259992,117.001405
2,512,93,95232,16.539159,1.580729,1.580729,122.219964,120.639235
2,512,1048,1073152,20.033423,4.977181,4.977181,124.510028,119.532847
2,1024,43,88064,16.426265,1.553171,1.553171,119.159988,117.606817
2,1024,181,370688,18.499846,2.876777,2.876777,124.270038,121.393261
2,1024,1694,3469312,21.726218,34.516621,34.516621,148.599967,114.083346
4,1,9097,36388,15.151175,1.297142,1.297142,123.179983,121.882842
4,1,11333,45332,15.468242,1.338743,1.338743,124.529994,123.191250
4,8,1474,47168,15.525521,1.318008,1.318008,121.960009,120.642001
4,8,3806,121792,16.894060,1.558646,1.558646,124.710030,123.151384
