d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.934271,0.934271,125.800027,124.865756
1,1,33,33,5.044394,0.923529,0.923529,125.730003,124.806474
1,1,48,48,5.584963,0.922689,0.922689,131.979992,131.057303
1,1,66,66,6.044394,0.923496,0.923496,133.009977,132.086481
1,1,75,75,6.228819,0.962591,0.962591,133.909984,132.947392
1,1,111,111,6.794416,0.929805,0.929805,126.440020,125.510215
1,1,797,797,9.638436,0.960612,0.960612,129.660009,128.699397
1,1,931,931,9.862637,1.034577,1.034577,129.020016,127.985439
1,1,1006,1006,9.974415,0.978945,0.978945,127.440027,126.461082
1,1,1446,1446,10.497852,1.040261,1.040261,132.100016,131.059756
1,1,1695,1695,10.727070,1.043678,1.043678,132.590008,131.546330
1,1,21218,21218,14.373001,1.270625,1.270625,127.720006,126.449381
1,1,49863,49863,15.605682,1.625319,1.625319,132.200017,130.574698
1,8,16,128,7.000000,0.955950,0.955950,126.650033,125.694083
1,8,36,288,8.169925,0.963659,0.963659,126.610044,125.646386
1,8,42,336,8.392317,0.956107,0.956107,127.870007,126.913901
1,8,85,680,9.409391,0.950117,0.950117,133.490015,132.539898
1,8,90,720,9.491853,0.944160,0.944160,125.019986,124.075826
1,8,185,1480,10.531381,0.983112,0.983112,127.509993,126.526881
1,8,250,2000,10.965784,1.000508,1.000508,133.099966,132.099458
1,8,300,2400,11.228819,1.028711,1.028711,125.490013,124.461302
1,8,490,3920,11.936638,1.041562,1.041562,126.970001,125.928438
1,8,527,4216,12.041659,1.069609,1.069609,127.389969,126.320360
1,8,846,6768,12.724514,1.100619,1.100619,131.450011,130.349393
1,8,3222,25776,14.653741,1.187279,1.187279,129.319960,128.132682
1,8,7511,60088,15.874789,1.363131,1.363131,127.609994,126.246862
1,8,7749,61992,15.919794,1.365619,1.365619,126.819999,125.454381
1,8,9317,74536,16.185650,1.416361,1.416361,135.159993,133.743632
1,8,45294,362352,18.467032,2.674050,2.674050,136.550050,133.876001
1,16,49,784,9.614710,1.000912,1.000912,129.509950,128.509039
1,16,112,1792,10.807355,1.047585,1.047585,125.810038,124.762454
1,16,159,2544,11.312883,1.028835,1.028835,126.169994,125.141160
1,16,192,3072,11.584963,1.013105,1.013105,128.079962,127.066857
1,16,298,4768,12.219169,1.061966,1.061966,125.519990,124.458023
1,16,331,5296,12.370687,1.042285,1.042285,124.600017,123.557732
1,16,392,6272,12.614710,1.062734,1.062734,127.380015,126.317281
1,16,693,11088,13.436712,1.115013,1.115013,125.799968,124.684955
1,16,1532,24512,14.581201,1.216217,1.216217,126.759987,125.543770
1,16,6413,102608,16.646784,1.558014,1.558014,134.500035,132.942020
1,16,9046,144736,17.143064,1.734981,1.734981,128.460000,126.725020
1,16,17040,272640,18.056638,2.309733,2.309733,138.480042,136.170308
1,16,25594,409504,18.643518,2.892650,2.892650,134.490023,131.597373
1,16,42689,683024,19.381577,4.027481,4.027481,125.259976,121.232495
1,16,44560,712960,19.443462,4.124154,4.124154,132.809975,128.685822
1,64,11,704,9.459432,1.004342,1.004342,125.269988,124.265645
1,64,15,960,9.906891,1.022168,1.022168,132.710033,131.687865
1,64,60,3840,11.906891,1.261224,1.261224,131.079985,129.818761
1,64,98,6272,12.614710,1.102188,1.102188,129.470020,128.367832
1,64,580,37120,15.179909,1.290814,1.290814,130.229979,128.939165
1,64,1028,65792,16.005625,1.431237,1.431237,127.070001,125.638764
1,64,1665,106560,16.701306,1.658236,1.658236,133.219990,131.561754
1,64,6135,392640,18.582848,2.818607,2.818607,132.819987,130.001380
1,64,6254,400256,18.610564,2.859147,2.859147,135.999988,133.140841
1,64,10279,657856,19.327412,3.888665,3.888665,134.880014,130.991349
1,64,16044,1026816,19.969746,5.373418,5.373418,135.909999,130.536581
1,64,19234,1230976,20.231371,6.215488,6.215488,138.860021,132.644533
1,64,24209,1549376,20.563256,7.537038,7.537038,138.500007,130.962969
1,64,31062,1987968,20.922863,9.281256,9.281256,137.620023,128.338767
1,64,35567,2276288,21.118252,10.485241,10.485241,140.200020,129.714779
1,128,9,1152,10.169925,1.030045,1.030045,130.439992,129.409947
1,128,27,3456,11.754888,1.073945,1.073945,134.759990,133.686045
1,128,147,18816,14.199672,1.233105,1.233105,130.639994,129.406888
1,128,207,26496,14.693487,1.311230,1.311230,131.660025,130.348794
1,128,271,34688,15.082149,1.398718,1.398718,132.069981,130.671264
1,128,1550,198400,17.598053,5.223262,5.223262,138.559961,133.336699
1,128,2443,312704,18.254438,7.309922,7.309922,140.340009,133.030087
1,128,13624,1743872,20.733863,8.930163,8.930163,139.759970,130.829807
1,128,28196,3609088,21.783203,67.946660,67.946660,195.130007,127.183347
1,128,44731,5725568,22.448987,106.679160,106.679160,232.430000,125.750840
1,256,10,2560,11.321928,1.044141,1.044141,131.650013,130.605872
1,256,22,5632,12.459432,1.086595,1.086595,133.180001,132.093406
1,256,25,6400,12.643856,1.101022,1.101022,133.540016,132.438994
1,256,44,11264,13.459432,1.178489,1.178489,127.529958,126.351469
1,256,59,15104,13.882643,1.184785,1.184785,134.489965,133.305180
1,256,135,34560,15.076816,1.392786,1.392786,131.300010,129.907224
1,256,167,42752,15.383704,1.466777,1.466777,132.809975,131.343198
1,256,291,74496,16.184875,1.751934,1.751934,134.950038,133.198104
1,256,356,91136,16.475733,1.881647,1.881647,139.950018,138.068371
1,256,455,116480,16.829723,2.123841,2.123841,136.680028,134.556187
1,256,496,126976,16.954196,1.702695,1.702695,134.119997,132.417301
1,512,11,5632,12.459432,1.104251,1.104251,128.279964,127.175713
1,512,14,7168,12.807355,1.102298,1.102298,127.350038,126.247740
1,512,46,23552,14.523562,1.277617,1.277617,128.320011,127.042394
