d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.978711,0.978711,122.070021,121.091310
1,1,33,33,5.044394,0.982598,0.982598,124.429993,123.447395
1,1,48,48,5.584963,0.979245,0.979245,128.510001,127.530756
1,1,66,66,6.044394,0.972643,0.972643,125.419989,124.447345
1,1,75,75,6.228819,0.977389,0.977389,121.979974,121.002585
1,1,111,111,6.794416,0.977520,0.977520,123.760023,122.782503
1,1,797,797,9.638436,1.129473,1.129473,123.830047,122.700574
1,1,931,931,9.862637,1.105189,1.105189,124.509970,123.404781
1,1,1006,1006,9.974415,1.106133,1.106133,124.450016,123.343883
1,1,1446,1446,10.497852,1.243678,1.243678,123.239995,121.996317
1,1,1695,1695,10.727070,1.240130,1.240130,125.720049,124.479919
1,1,21218,21218,14.373001,3.621979,3.621979,125.050021,121.428042
1,1,49863,49863,15.605682,7.088971,7.088971,126.209983,119.121012
1,8,16,128,7.000000,1.051589,1.051589,124.029990,122.978401
1,8,36,288,8.169925,1.053288,1.053288,123.750011,122.696723
1,8,42,336,8.392317,1.077910,1.077910,125.809980,124.732070
1,8,85,680,9.409391,1.042936,1.042936,124.140002,123.097066
1,8,90,720,9.491853,1.043620,1.043620,124.160026,123.116406
1,8,185,1480,10.531381,1.033730,1.033730,124.140002,123.106272
1,8,250,2000,10.965784,1.041035,1.041035,123.809965,122.768930
1,8,300,2400,11.228819,1.124603,1.124603,120.589975,119.465372
1,8,490,3920,11.936638,1.127539,1.127539,124.629994,123.502455
1,8,527,4216,12.041659,1.158659,1.158659,123.670034,122.511375
1,8,846,6768,12.724514,1.195514,1.195514,124.440005,123.244490
1,8,3222,25776,14.653741,1.523555,1.523555,123.770034,122.246480
1,8,7511,60088,15.874789,2.145189,2.145189,122.469966,120.324777
1,8,7749,61992,15.919794,2.206029,2.206029,124.460028,122.253999
1,8,9317,74536,16.185650,2.391237,2.391237,122.850004,120.458767
1,8,45294,362352,18.467032,7.217383,7.217383,126.359984,119.142601
1,16,49,784,9.614710,1.033047,1.033047,122.220023,121.186976
1,16,112,1792,10.807355,1.042031,1.042031,123.050006,122.007974
1,16,159,2544,11.312883,1.120286,1.120286,118.569995,117.449708
1,16,192,3072,11.584963,1.122656,1.122656,121.160003,120.037347
1,16,298,4768,12.219169,1.137812,1.137812,124.219980,123.082167
1,16,331,5296,12.370687,1.156745,1.156745,123.689999,122.533254
1,16,392,6272,12.614710,1.192298,1.192298,124.690006,123.497708
1,16,693,11088,13.436712,1.284492,1.284492,123.919977,122.635485
1,16,1532,24512,14.581201,1.562774,1.562774,122.919970,121.357196
1,16,6413,102608,16.646784,2.909160,2.909160,122.060010,119.150850
1,16,9046,144736,17.143064,3.582175,3.582175,123.400008,119.817834
1,16,17040,272640,18.056638,5.753841,5.753841,125.260034,119.506193
1,16,25594,409504,18.643518,8.021667,8.021667,126.019993,117.998327
1,16,42689,683024,19.381577,12.538457,12.538457,134.689966,122.151509
1,16,44560,712960,19.443462,13.016380,13.016380,130.370026,117.353646
