d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.459766,1.459766,147.979998,146.520232
1,1,33,33,5.044394,1.466966,1.466966,145.190046,143.723080
1,1,48,48,5.584963,1.442793,1.442793,147.159968,145.717175
1,1,66,66,6.044394,1.438262,1.438262,147.279992,145.841730
1,1,75,75,6.228819,1.433158,1.433158,145.039987,143.606829
1,1,111,111,6.794416,1.445501,1.445501,143.199984,141.754483
1,1,797,797,9.638436,1.072318,1.072318,149.079948,148.007630
1,1,931,931,9.862637,1.051387,1.051387,139.429991,138.378604
1,1,1006,1006,9.974415,1.091680,1.091680,146.750011,145.658332
1,1,1446,1446,10.497852,1.062402,1.062402,143.070007,142.007604
1,1,1695,1695,10.727070,1.092324,1.092324,139.639946,138.547622
1,1,21218,21218,14.373001,1.411764,1.411764,140.609976,139.198212
1,1,49863,49863,15.605682,1.932630,1.932630,143.449986,141.517356
1,8,16,128,7.000000,0.980866,0.980866,147.130049,146.149183
1,8,36,288,8.169925,0.964088,0.964088,140.719989,139.755900
1,8,42,336,8.392317,0.959681,0.959681,141.089957,140.130276
1,8,85,680,9.409391,0.957090,0.957090,142.180012,141.222922
1,8,90,720,9.491853,0.981211,0.981211,146.319973,145.338762
1,8,185,1480,10.531381,1.056374,1.056374,140.229997,139.173623
1,8,250,2000,10.965784,1.057747,1.057747,139.310025,138.252277
1,8,300,2400,11.228819,1.049538,1.049538,139.279990,138.230452
1,8,490,3920,11.936638,1.067936,1.067936,138.820033,137.752096
1,8,527,4216,12.041659,1.079199,1.079199,149.199972,148.120773
1,8,846,6768,12.724514,1.094082,1.094082,141.059980,139.965898
1,8,3222,25776,14.653741,1.236263,1.236263,147.820043,146.583780
1,8,7511,60088,15.874789,1.436504,1.436504,147.219980,145.783476
1,8,7749,61992,15.919794,1.494063,1.494063,145.070022,143.575959
1,8,9317,74536,16.185650,1.464173,1.464173,146.460021,144.995848
1,8,45294,362352,18.467032,2.867838,2.867838,148.880004,146.012166
1,16,49,784,9.614710,1.069941,1.069941,146.980048,145.910107
1,16,112,1792,10.807355,1.052819,1.052819,139.860029,138.807210
1,16,159,2544,11.312883,1.090326,1.090326,145.269965,144.179640
1,16,192,3072,11.584963,1.115326,1.115326,146.400009,145.284683
1,16,298,4768,12.219169,1.077917,1.077917,146.959967,145.882050
1,16,331,5296,12.370687,1.137396,1.137396,147.929997,146.792601
1,16,392,6272,12.614710,1.136973,1.136973,144.419959,143.282986
1,16,693,11088,13.436712,1.156491,1.156491,149.350031,148.193540
1,16,1532,24512,14.581201,1.205684,1.205684,143.870013,142.664329
1,16,6413,102608,16.646784,1.618529,1.618529,144.220015,142.601487
1,16,9046,144736,17.143064,1.862520,1.862520,143.860001,141.997482
1,16,17040,272640,18.056638,2.418327,2.418327,141.690020,139.271693
1,16,25594,409504,18.643518,3.058021,3.058021,150.299980,147.241959
1,16,42689,683024,19.381577,4.373815,4.373815,151.990040,147.616225
1,16,44560,712960,19.443462,4.410990,4.410990,146.650011,142.239021
1,64,11,704,9.459432,1.055755,1.055755,144.619960,143.564205
1,64,15,960,9.906891,1.073782,1.073782,147.710030,146.636248
1,64,60,3840,11.906891,1.131576,1.131576,142.180012,141.048436
1,64,98,6272,12.614710,1.137318,1.137318,141.359982,140.222664
1,64,580,37120,15.179909,1.334336,1.334336,143.910001,142.575666
1,64,1028,65792,16.005625,1.555729,1.555729,146.849954,145.294225
1,64,1665,106560,16.701306,1.680644,1.680644,143.099984,141.419339
1,64,6135,392640,18.582848,3.007396,3.007396,147.510029,144.502633
1,64,6254,400256,18.610564,3.011439,3.011439,144.999998,141.988559
1,64,10279,657856,19.327412,4.205319,4.205319,145.869970,141.664651
1,64,16044,1026816,19.969746,5.843991,5.843991,153.400004,147.556013
1,64,19234,1230976,20.231371,6.837923,6.837923,151.799992,144.962069
1,64,24209,1549376,20.563256,8.229811,8.229811,151.529966,143.300155
1,64,31062,1987968,20.922863,10.309993,10.309993,157.219998,146.910005
1,64,35567,2276288,21.118252,10.574870,10.574870,150.909997,140.335127
1,128,9,1152,10.169925,1.048613,1.048613,139.949960,138.901346
1,128,27,3456,11.754888,1.073112,1.073112,142.241013,141.167901
1,128,147,18816,14.199672,1.234577,1.234577,146.629987,145.395410
1,128,207,26496,14.693487,1.240951,1.240951,139.210024,137.969073
1,128,271,34688,15.082149,1.281178,1.281178,143.220008,141.938830
1,128,1550,198400,17.598053,2.103744,2.103744,150.870008,148.766264
