d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.946061,0.946061,125.700026,124.753965
1,1,33,33,5.044394,0.943659,0.943659,131.480047,130.536388
1,1,48,48,5.584963,0.940937,0.940937,127.639971,126.699033
1,1,66,66,6.044394,0.941562,0.941562,128.730026,127.788463
1,1,75,75,6.228819,0.943333,0.943333,130.489992,129.546659
1,1,111,111,6.794416,0.933132,0.933132,128.120009,127.186878
1,1,797,797,9.638436,0.977663,0.977663,125.350023,124.372360
1,1,931,931,9.862637,1.006660,1.006660,127.249979,126.243319
1,1,1006,1006,9.974415,1.002038,1.002038,125.519990,124.517952
1,1,1446,1446,10.497852,1.041758,1.041758,126.279949,125.238191
1,1,1695,1695,10.727070,1.057474,1.057474,126.519997,125.462523
1,1,21218,21218,14.373001,1.353815,1.353815,128.570013,127.216198
1,1,49863,49863,15.605682,1.707383,1.707383,130.450004,128.742621
1,8,16,128,7.000000,0.994043,0.994043,128.259999,127.265956
1,8,36,288,8.169925,0.985443,0.985443,133.290014,132.304571
1,8,42,336,8.392317,0.981152,0.981152,126.050028,125.068876
1,8,85,680,9.409391,0.986764,0.986764,124.329992,123.343228
1,8,90,720,9.491853,0.981693,0.981693,128.220010,127.238317
1,8,185,1480,10.531381,1.007168,1.007168,129.789987,128.782819
1,8,250,2000,10.965784,1.007604,1.007604,125.800027,124.792422
1,8,300,2400,11.228819,1.065312,1.065312,126.940024,125.874711
1,8,490,3920,11.936638,1.051608,1.051608,126.339961,125.288353
1,8,527,4216,12.041659,1.086862,1.086862,124.259968,123.173106
1,8,846,6768,12.724514,1.133952,1.133952,130.920031,129.786079
1,8,3222,25776,14.653741,1.189408,1.189408,127.030013,125.840605
1,8,7511,60088,15.874789,1.330078,1.330078,128.930027,127.599949
1,8,7749,61992,15.919794,1.346790,1.346790,128.799991,127.453201
1,8,9317,74536,16.185650,1.358125,1.358125,130.339991,128.981866
1,8,45294,362352,18.467032,2.347995,2.347995,130.889995,128.542001
1,16,49,784,9.614710,1.022298,1.022298,126.769999,125.747701
1,16,112,1792,10.807355,0.994030,0.994030,126.829953,125.835923
1,16,159,2544,11.312883,1.042077,1.042077,129.039981,127.997905
1,16,192,3072,11.584963,1.051315,1.051315,132.440007,131.388692
1,16,298,4768,12.219169,1.111680,1.111680,128.239975,127.128296
1,16,331,5296,12.370687,1.067409,1.067409,132.059969,130.992561
1,16,392,6272,12.614710,1.064017,1.064017,126.509985,125.445968
1,16,693,11088,13.436712,1.095586,1.095586,128.020009,126.924423
1,16,1532,24512,14.581201,1.202702,1.202702,126.449973,125.247271
1,16,6413,102608,16.646784,1.494401,1.494401,129.749998,128.255597
1,16,9046,144736,17.143064,1.649277,1.649277,127.309992,125.660714
1,16,17040,272640,18.056638,2.048418,2.048418,131.010020,128.961602
1,16,25594,409504,18.643518,2.458711,2.458711,137.580035,135.121324
1,16,42689,683024,19.381577,3.359245,3.359245,129.180029,125.820784
1,16,44560,712960,19.443462,3.428379,3.428379,138.769974,135.341595
1,64,11,704,9.459432,0.999037,0.999037,128.540036,127.540999
1,64,15,960,9.906891,0.983672,0.983672,127.930020,126.946348
1,64,60,3840,11.906891,1.076341,1.076341,122.720026,121.643685
1,64,98,6272,12.614710,1.078991,1.078991,126.280007,125.201016
1,64,580,37120,15.179909,1.232552,1.232552,133.080001,131.847448
1,64,1028,65792,16.005625,1.330651,1.330651,133.809983,132.479332
1,64,1665,106560,16.701306,1.556654,1.556654,133.350026,131.793372
1,64,6135,392640,18.582848,2.457806,2.457806,134.110043,131.652237
1,64,6254,400256,18.610564,2.448412,2.448412,128.719956,126.271544
