d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.943281,0.943281,133.450027,132.506745
1,1,33,33,5.044394,0.942513,0.942513,136.340037,135.397524
1,1,48,48,5.584963,0.955182,0.955182,135.389972,134.434789
1,1,66,66,6.044394,0.952591,0.952591,130.629982,129.677391
1,1,75,75,6.228819,0.952780,0.952780,135.580020,134.627240
1,1,111,111,6.794416,0.942298,0.942298,127.930020,126.987721
1,1,797,797,9.638436,1.007266,1.007266,130.600005,129.592739
1,1,931,931,9.862637,1.010156,1.010156,134.459988,133.449831
1,1,1006,1006,9.974415,0.991569,0.991569,129.280030,128.288461
1,1,1446,1446,10.497852,1.043008,1.043008,135.509996,134.466988
1,1,1695,1695,10.727070,1.086055,1.086055,127.709995,126.623940
1,1,21218,21218,14.373001,1.453001,1.453001,128.970016,127.517014
1,1,49863,49863,15.605682,1.808301,1.808301,134.140020,132.331719
1,8,16,128,7.000000,0.993744,0.993744,129.130960,128.137216
1,8,36,288,8.169925,1.018197,1.018197,128.999993,127.981796
1,8,42,336,8.392317,0.998822,0.998822,125.969993,124.971171
1,8,85,680,9.409391,0.984870,0.984870,125.990016,125.005147
1,8,90,720,9.491853,0.994824,0.994824,134.280010,133.285185
1,8,185,1480,10.531381,1.001094,1.001094,125.340011,124.338918
1,8,250,2000,10.965784,1.000925,1.000925,131.700013,130.699089
1,8,300,2400,11.228819,1.100260,1.100260,134.049973,132.949712
1,8,490,3920,11.936638,1.063040,1.063040,131.560024,130.496984
1,8,527,4216,12.041659,1.103451,1.103451,129.620021,128.516570
1,8,846,6768,12.724514,1.081426,1.081426,134.359987,133.278561
1,8,3222,25776,14.653741,1.217181,1.217181,134.149974,132.932793
1,8,7511,60088,15.874789,1.352689,1.352689,133.219990,131.867301
1,8,7749,61992,15.919794,1.394759,1.394759,133.659982,132.265222
1,8,9317,74536,16.185650,1.450261,1.450261,135.200040,133.749779
1,8,45294,362352,18.467032,2.550006,2.550006,132.800022,130.250015
1,16,49,784,9.614710,1.030859,1.030859,126.759987,125.729128
1,16,112,1792,10.807355,0.995508,0.995508,135.540031,134.544523
1,16,159,2544,11.312883,1.066211,1.066211,136.299990,135.233779
1,16,192,3072,11.584963,1.080619,1.080619,135.589973,134.509355
1,16,298,4768,12.219169,1.057598,1.057598,132.549962,131.492364
1,16,331,5296,12.370687,1.073144,1.073144,135.439972,134.366827
1,16,392,6272,12.614710,1.102767,1.102767,131.769979,130.667212
1,16,693,11088,13.436712,1.108750,1.108750,132.290006,131.181256
1,16,1532,24512,14.581201,1.218411,1.218411,136.170012,134.951601
1,16,6413,102608,16.646784,1.570794,1.570794,133.269990,131.699196
1,16,9046,144736,17.143064,1.724987,1.724987,134.089962,132.364975
1,16,17040,272640,18.056638,2.207812,2.207812,136.930030,134.722217
1,16,25594,409504,18.643518,2.690391,2.690391,134.559989,131.869598
1,16,42689,683024,19.381577,3.770651,3.770651,139.960030,136.189379
1,16,44560,712960,19.443462,3.859687,3.859687,136.649993,132.790305
1,64,11,704,9.459432,1.014349,1.014349,134.180009,133.165660
1,64,15,960,9.906891,0.981133,0.981133,125.519990,124.538857
1,64,60,3840,11.906891,1.065430,1.065430,125.779945,124.714515
1,64,98,6272,12.614710,1.102337,1.102337,127.950043,126.847706
1,64,580,37120,15.179909,1.277494,1.277494,132.659974,131.382481
1,64,1028,65792,16.005625,1.403223,1.403223,134.469999,133.066777
1,64,1665,106560,16.701306,1.627734,1.627734,133.109977,131.482243
1,64,6135,392640,18.582848,2.638932,2.638932,137.850002,135.211070
1,64,6254,400256,18.610564,2.671218,2.671218,135.949987,133.278770
