d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.437188,1.437188,136.830029,135.392842
1,1,33,33,5.044394,1.430970,1.430970,134.340022,132.909052
1,1,48,48,5.584963,1.432168,1.432168,136.089977,134.657809
1,1,66,66,6.044394,1.443861,1.443861,135.939976,134.496115
1,1,75,75,6.228819,1.442689,1.442689,136.360002,134.917313
1,1,111,111,6.794416,1.461973,1.461973,136.810006,135.348033
1,1,797,797,9.638436,1.020872,1.020872,136.649993,135.629120
1,1,931,931,9.862637,1.070599,1.070599,139.460026,138.389427
1,1,1006,1006,9.974415,1.030547,1.030547,138.560019,137.529472
1,1,1446,1446,10.497852,1.060449,1.060449,136.069953,135.009504
1,1,1695,1695,10.727070,1.066074,1.066074,135.530019,134.463945
1,1,21218,21218,14.373001,1.416725,1.416725,138.059957,136.643232
1,1,49863,49863,15.605682,1.900879,1.900879,138.700008,136.799130
1,8,16,128,7.000000,1.030664,1.030664,140.390010,139.359346
1,8,36,288,8.169925,1.050462,1.050462,135.889975,134.839513
1,8,42,336,8.392317,1.020163,1.020163,137.109950,136.089787
1,8,85,680,9.409391,1.024818,1.024818,137.030031,136.005213
1,8,90,720,9.491853,1.034173,1.034173,136.529969,135.495795
1,8,185,1480,10.531381,1.027520,1.027520,135.440030,134.412511
1,8,250,2000,10.965784,1.017702,1.017702,138.379983,137.362281
1,8,300,2400,11.228819,1.067702,1.067702,136.499992,135.432290
1,8,490,3920,11.936638,1.050853,1.050853,135.669950,134.619098
1,8,527,4216,12.041659,1.098535,1.098535,136.099989,135.001453
1,8,846,6768,12.724514,1.124811,1.124811,136.660005,135.535193
1,8,3222,25776,14.653741,1.238463,1.238463,137.160008,135.921545
1,8,7511,60088,15.874789,1.420508,1.420508,136.360002,134.939494
1,8,7749,61992,15.919794,1.423346,1.423346,138.490053,137.066707
1,8,9317,74536,16.185650,1.503229,1.503229,136.479968,134.976739
1,8,45294,362352,18.467032,2.759531,2.759531,136.390037,133.630506
1,16,49,784,9.614710,1.062702,1.062702,135.930022,134.867320
1,16,112,1792,10.807355,1.039199,1.039199,137.139985,136.100786
1,16,159,2544,11.312883,1.071556,1.071556,134.790025,133.718469
1,16,192,3072,11.584963,1.070742,1.070742,137.349998,136.279256
1,16,298,4768,12.219169,1.073451,1.073451,135.429960,134.356510
1,16,331,5296,12.370687,1.061191,1.061191,137.199997,136.138806
1,16,392,6272,12.614710,1.155371,1.155371,137.339986,136.184615
1,16,693,11088,13.436712,1.112838,1.112838,135.080016,133.967177
1,16,1532,24512,14.581201,1.212715,1.212715,134.859991,133.647276
1,16,6413,102608,16.646784,1.633301,1.633301,136.479968,134.846668
1,16,9046,144736,17.143064,1.794050,1.794050,137.039984,135.245935
1,16,17040,272640,18.056638,2.419909,2.419909,135.249982,132.830073
1,16,25594,409504,18.643518,2.940391,2.940391,135.799986,132.859596
1,16,42689,683024,19.381577,4.181198,4.181198,139.260024,135.078826
1,16,44560,712960,19.443462,4.324941,4.324941,137.389987,133.065045
1,64,11,704,9.459432,1.044303,1.044303,136.170012,135.125709
1,64,15,960,9.906891,1.061556,1.061556,136.389979,135.328423
1,64,60,3840,11.906891,1.152064,1.152064,136.070012,134.917948
1,64,98,6272,12.614710,1.109121,1.109121,135.359995,134.250874
1,64,580,37120,15.179909,1.296751,1.296751,136.299990,135.003239
1,64,1028,65792,16.005625,1.496816,1.496816,135.080016,133.583199
1,64,1665,106560,16.701306,1.663639,1.663639,136.730028,135.066389
1,64,6135,392640,18.582848,2.900397,2.900397,135.130016,132.229619
1,64,6254,400256,18.610564,2.918503,2.918503,136.120012,133.201510
1,64,10279,657856,19.327412,4.087213,4.087213,136.720017,132.632803
1,64,16044,1026816,19.969746,5.714473,5.714473,139.610027,133.895554
1,64,19234,1230976,20.231371,6.626289,6.626289,139.479991,132.853702
1,64,24209,1549376,20.563256,8.058450,8.058450,138.870033,130.811582
1,64,31062,1987968,20.922863,9.951797,9.951797,139.090000,129.138203
1,64,35567,2276288,21.118252,10.623242,10.623242,139.729993,129.106751
1,128,9,1152,10.169925,1.036042,1.036042,138.900010,137.863968
1,128,27,3456,11.754888,1.026458,1.026458,137.419964,136.393505
1,128,147,18816,14.199672,1.186016,1.186016,134.870003,133.683987
1,128,207,26496,14.693487,1.232279,1.232279,135.290029,134.057750
1,128,271,34688,15.082149,1.273620,1.273620,134.730013,133.456393
1,128,1550,198400,17.598053,2.065527,2.065527,138.520030,136.454503
1,128,2443,312704,18.254438,2.584082,2.584082,141.180004,138.595922
1,128,13624,1743872,20.733863,8.316979,8.316979,140.379998,132.063019
1,128,28196,3609088,21.783203,16.241445,16.241445,146.950013,130.708568
1,128,44731,5725568,22.448987,25.211999,25.211999,152.839988,127.627989
1,256,10,2560,11.321928,1.059225,1.059225,138.150004,137.090779
1,256,22,5632,12.459432,1.095944,1.095944,136.980030,135.884086
1,256,25,6400,12.643856,1.112292,1.112292,134.570000,133.457709
1,256,44,11264,13.459432,1.172513,1.172513,129.099994,127.927481
1,256,59,15104,13.882643,1.204492,1.204492,136.439980,135.235487
1,256,135,34560,15.076816,1.296660,1.296660,131.550012,130.253352
