d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.430580,1.430580,131.600013,130.169433
1,1,33,33,5.044394,1.444694,1.444694,132.829999,131.385305
1,1,48,48,5.584963,1.437630,1.437630,131.969980,130.532350
1,1,66,66,6.044394,1.446862,1.446862,130.539993,129.093131
1,1,75,75,6.228819,1.443665,1.443665,127.149979,125.706313
1,1,111,111,6.794416,1.439466,1.439466,124.290003,122.850537
1,1,797,797,9.638436,1.017402,1.017402,132.640009,131.622606
1,1,931,931,9.862637,1.050241,1.050241,124.779996,123.729755
1,1,1006,1006,9.974415,1.081914,1.081914,126.630010,125.548096
1,1,1446,1446,10.497852,1.071348,1.071348,126.090017,125.018669
1,1,1695,1695,10.727070,1.091484,1.091484,125.020044,123.928560
1,1,21218,21218,14.373001,1.427409,1.427409,130.400003,128.972595
1,1,49863,49863,15.605682,1.874694,1.874694,129.549997,127.675303
1,8,16,128,7.000000,1.031146,1.031146,127.899984,126.868839
1,8,36,288,8.169925,1.059675,1.059675,126.429019,125.369344
1,8,42,336,8.392317,1.053223,1.053223,124.759972,123.706749
1,8,85,680,9.409391,1.026660,1.026660,124.820042,123.793382
1,8,90,720,9.491853,1.019896,1.019896,124.519982,123.500086
1,8,185,1480,10.531381,1.021107,1.021107,128.860003,127.838897
1,8,250,2000,10.965784,1.049245,1.049245,123.469974,122.420729
1,8,300,2400,11.228819,1.073620,1.073620,129.979977,128.906357
1,8,490,3920,11.936638,1.050417,1.050417,128.449989,127.399572
1,8,527,4216,12.041659,1.073965,1.073965,123.519974,122.446009
1,8,846,6768,12.724514,1.108366,1.108366,125.650025,124.541660
1,8,3222,25776,14.653741,1.240410,1.240410,125.129998,123.889588
1,8,7511,60088,15.874789,1.406588,1.406588,125.250022,123.843434
1,8,7749,61992,15.919794,1.427350,1.427350,127.490028,126.062678
1,8,9317,74536,16.185650,1.494095,1.494095,124.970044,123.475949
1,8,45294,362352,18.467032,2.734616,2.734616,138.430041,135.695425
1,16,49,784,9.614710,1.041842,1.041842,128.899992,127.858150
1,16,112,1792,10.807355,1.020124,1.020124,130.350003,129.329879
1,16,159,2544,11.312883,1.074173,1.074173,133.160036,132.085863
1,16,192,3072,11.584963,1.093457,1.093457,130.620028,129.526571
1,16,298,4768,12.219169,1.121283,1.121283,136.699993,135.578711
1,16,331,5296,12.370687,1.080319,1.080319,130.910019,129.829700
1,16,392,6272,12.614710,1.121582,1.121582,132.519985,131.398403
1,16,693,11088,13.436712,1.166452,1.166452,130.439992,129.273540
1,16,1532,24512,14.581201,1.213425,1.213425,130.729983,129.516558
1,16,6413,102608,16.646784,1.605443,1.605443,130.720029,129.114586
1,16,9046,144736,17.143064,1.829388,1.829388,135.949987,134.120599
1,16,17040,272640,18.056638,2.421862,2.421862,135.240029,132.818167
1,16,25594,409504,18.643518,2.949531,2.949531,137.629977,134.680446
1,16,42689,683024,19.381577,4.171146,4.171146,137.449999,133.278853
1,16,44560,712960,19.443462,4.367409,4.367409,132.419984,128.052575
1,64,11,704,9.459432,1.026693,1.026693,126.540021,125.513328
1,64,15,960,9.906891,1.034388,1.034388,128.370011,127.335623
1,64,60,3840,11.906891,1.096139,1.096139,125.340011,124.243872
1,64,98,6272,12.614710,1.147038,1.147038,127.499981,126.352943
1,64,580,37120,15.179909,1.315521,1.315521,123.700011,122.384490
1,64,1028,65792,16.005625,1.469323,1.469323,130.970031,129.500708
1,64,1665,106560,16.701306,1.668008,1.668008,129.589986,127.921978
1,64,6135,392640,18.582848,2.881380,2.881380,125.680002,122.798622
