d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.467402,1.467402,147.840008,146.372606
1,1,33,33,5.044394,1.464251,1.464251,119.440025,117.975773
1,1,48,48,5.584963,1.438535,1.438535,120.770012,119.331476
1,1,66,66,6.044394,1.448782,1.448782,121.480029,120.031246
1,1,75,75,6.228819,1.471667,1.471667,119.679957,118.208290
1,1,111,111,6.794416,1.462409,1.462409,120.459998,118.997589
1,1,797,797,9.638436,1.015111,1.015111,117.359974,116.344863
1,1,931,931,9.862637,1.031185,1.031185,116.499956,115.468771
1,1,1006,1006,9.974415,1.042044,1.042044,118.919997,117.877953
1,1,1446,1446,10.497852,1.066582,1.066582,120.969955,119.903373
1,1,1695,1695,10.727070,1.080228,1.080228,118.459982,117.379754
1,1,21218,21218,14.373001,1.398965,1.398965,116.019975,114.621011
1,1,49863,49863,15.605682,1.887969,1.887969,123.750011,121.862042
1,8,16,128,7.000000,1.019941,1.019941,116.400013,115.380072
1,8,36,288,8.169925,1.040846,1.040846,121.729972,120.689126
1,8,42,336,8.392317,1.018151,1.018151,121.399993,120.381842
1,8,85,680,9.409391,1.060026,1.060026,120.439974,119.379948
1,8,90,720,9.491853,1.041934,1.041934,122.860016,121.818082
1,8,185,1480,10.531381,1.023991,1.023991,124.090002,123.066011
1,8,250,2000,10.965784,1.028171,1.028171,124.329992,123.301822
1,8,300,2400,11.228819,1.057018,1.057018,122.729980,121.672962
1,8,490,3920,11.936638,1.066881,1.066881,123.659964,122.593082
1,8,527,4216,12.041659,1.048158,1.048158,122.579979,121.531821
1,8,846,6768,12.724514,1.112194,1.112194,122.870028,121.757834
1,8,3222,25776,14.653741,1.255814,1.255814,125.390012,124.134198
1,8,7511,60088,15.874789,1.398984,1.398984,124.569982,123.170998
1,8,7749,61992,15.919794,1.408379,1.408379,121.999998,120.591619
1,8,9317,74536,16.185650,1.482331,1.482331,123.549951,122.067621
1,8,45294,362352,18.467032,2.790631,2.790631,122.629979,119.839348
1,16,49,784,9.614710,1.024727,1.024727,120.910001,119.885274
1,16,112,1792,10.807355,1.010195,1.010195,124.350016,123.339820
1,16,159,2544,11.312883,1.061881,1.061881,123.510021,122.448139
1,16,192,3072,11.584963,1.064069,1.064069,123.530044,122.465975
1,16,298,4768,12.219169,1.071048,1.071048,123.270031,122.198982
1,16,331,5296,12.370687,1.092949,1.092949,125.050021,123.957072
1,16,392,6272,12.614710,1.150345,1.150345,123.679987,122.529642
1,16,693,11088,13.436712,1.123275,1.123275,122.920028,121.796753
1,16,1532,24512,14.581201,1.240195,1.240195,121.720019,120.479823
