d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.925078,0.925078,129.010004,128.084926
1,1,33,33,5.044394,0.951966,0.951966,128.319953,127.367986
1,1,48,48,5.584963,0.925560,0.925560,125.560036,124.634476
1,1,66,66,6.044394,0.926087,0.926087,127.379957,126.453870
1,1,75,75,6.228819,0.929434,0.929434,124.580052,123.650619
1,1,111,111,6.794416,0.955938,0.955938,128.059997,127.104060
1,1,797,797,9.638436,0.961751,0.961751,132.779998,131.818247
1,1,931,931,9.862637,0.977376,0.977376,131.869980,130.892603
1,1,1006,1006,9.974415,0.963112,0.963112,128.510001,127.546889
1,1,1446,1446,10.497852,1.043106,1.043106,124.269980,123.226875
1,1,1695,1695,10.727070,1.045104,1.045104,124.040002,122.994897
1,1,21218,21218,14.373001,1.305078,1.305078,129.739987,128.434909
1,1,49863,49863,15.605682,1.607546,1.607546,132.469984,130.862439
1,8,16,128,7.000000,0.977878,0.977878,128.170010,127.192132
1,8,36,288,8.169925,0.978782,0.978782,134.359987,133.381204
1,8,42,336,8.392317,0.977507,0.977507,127.209991,126.232484
1,8,85,680,9.409391,1.004694,1.004694,129.130029,128.125335
1,8,90,720,9.491853,0.975931,0.975931,126.589963,125.614032
1,8,185,1480,10.531381,0.988613,0.988613,124.199956,123.211343
1,8,250,2000,10.965784,0.990397,0.990397,128.259999,127.269602
1,8,300,2400,11.228819,1.044108,1.044108,127.580017,126.535909
1,8,490,3920,11.936638,1.058516,1.058516,132.940011,131.881495
1,8,527,4216,12.041659,1.064258,1.064258,134.509988,133.445730
1,8,846,6768,12.724514,1.040508,1.040508,135.859998,134.819491
1,8,3222,25776,14.653741,1.180065,1.180065,125.169987,123.989922
1,8,7511,60088,15.874789,1.317767,1.317767,125.919993,124.602226
1,8,7749,61992,15.919794,1.305215,1.305215,123.460020,122.154806
1,8,9317,74536,16.185650,1.319596,1.319596,159.900053,158.580457
1,8,45294,362352,18.467032,2.234316,2.234316,132.029993,129.795676
1,16,49,784,9.614710,0.971660,0.971660,132.269983,131.298323
1,16,112,1792,10.807355,0.976432,0.976432,124.429993,123.453561
1,16,159,2544,11.312883,1.045475,1.045475,132.070039,131.024564
1,16,192,3072,11.584963,1.050742,1.050742,124.179991,123.129249
1,16,298,4768,12.219169,1.048841,1.048841,128.660002,127.611161
1,16,331,5296,12.370687,1.049648,1.049648,127.899984,126.850336
1,16,392,6272,12.614710,1.069915,1.069915,131.720037,130.650121
1,16,693,11088,13.436712,1.121224,1.121224,125.820050,124.698826
1,16,1532,24512,14.581201,1.169154,1.169154,128.289976,127.120822
1,16,6413,102608,16.646784,1.522448,1.522448,133.630005,132.107557
1,16,9046,144736,17.143064,1.594362,1.594362,131.960027,130.365665
1,16,17040,272640,18.056638,1.970625,1.970625,133.630005,131.659380
1,16,25594,409504,18.643518,2.348092,2.348092,133.519992,131.171900
1,16,42689,683024,19.381577,3.165612,3.165612,137.979980,134.814368
1,16,44560,712960,19.443462,3.286979,3.286979,137.929979,134.643000
