d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.957910,0.957910,134.399976,133.442065
1,1,33,33,5.044394,0.931133,0.931133,130.700006,129.768873
1,1,48,48,5.584963,0.937585,0.937585,136.160001,135.222416
1,1,66,66,6.044394,0.925619,0.925619,131.849956,130.924338
1,1,75,75,6.228819,0.926276,0.926276,134.059985,133.133709
1,1,111,111,6.794416,0.925768,0.925768,131.339999,130.414231
1,1,797,797,9.638436,0.945736,0.945736,136.710005,135.764269
1,1,931,931,9.862637,0.989141,0.989141,136.980030,135.990890
1,1,1006,1006,9.974415,0.974831,0.974831,127.260049,126.285219
1,1,1446,1446,10.497852,1.074570,1.074570,128.929969,127.855399
1,1,1695,1695,10.727070,1.061862,1.061862,135.350041,134.288179
1,1,21218,21218,14.373001,1.322285,1.322285,137.188996,135.866711
1,1,49863,49863,15.605682,1.602897,1.602897,135.970011,134.367114
1,8,16,128,7.000000,0.982708,0.982708,134.010043,133.027334
1,8,36,288,8.169925,0.972910,0.972910,135.559996,134.587086
1,8,42,336,8.392317,0.974290,0.974290,133.519992,132.545702
1,8,85,680,9.409391,1.001608,1.001608,130.489992,129.488384
1,8,90,720,9.491853,0.986999,0.986999,133.769994,132.782995
1,8,185,1480,10.531381,0.977930,0.977930,134.999980,134.022051
1,8,250,2000,10.965784,0.998242,0.998242,136.420014,135.421772
1,8,300,2400,11.228819,1.027064,1.027064,136.110000,135.082936
1,8,490,3920,11.936638,1.049766,1.049766,134.909991,133.860226
1,8,527,4216,12.041659,1.062161,1.062161,135.359995,134.297833
1,8,846,6768,12.724514,1.066426,1.066426,133.599970,132.533544
1,8,3222,25776,14.653741,1.200716,1.200716,132.489949,131.289233
1,8,7511,60088,15.874789,1.307031,1.307031,134.509988,133.202957
1,8,7749,61992,15.919794,1.353542,1.353542,135.680020,134.326479
1,8,9317,74536,16.185650,1.340716,1.340716,134.049973,132.709257
1,8,45294,362352,18.467032,2.311660,2.311660,137.700001,135.388341
1,16,49,784,9.614710,0.985293,0.985293,133.490015,132.504722
1,16,112,1792,10.807355,0.971556,0.971556,136.110000,135.138444
1,16,159,2544,11.312883,1.047787,1.047787,136.510003,135.462217
1,16,192,3072,11.584963,1.055039,1.055039,131.249952,130.194912
1,16,298,4768,12.219169,1.058737,1.058737,134.060043,133.001306
1,16,331,5296,12.370687,1.085606,1.085606,134.829956,133.744350
1,16,392,6272,12.614710,1.079844,1.079844,135.309994,134.230150
1,16,693,11088,13.436712,1.091992,1.091992,136.139977,135.047985
1,16,1532,24512,14.581201,1.204883,1.204883,134.069996,132.865114
1,16,6413,102608,16.646784,1.483431,1.483431,134.800037,133.316606
1,16,9046,144736,17.143064,1.644030,1.644030,133.929949,132.285919
1,16,17040,272640,18.056638,2.012552,2.012552,137.339986,135.327434
1,16,25594,409504,18.643518,2.434850,2.434850,130.180037,127.745186
1,16,42689,683024,19.381577,3.271016,3.271016,136.529969,133.258953
1,16,44560,712960,19.443462,3.360182,3.360182,134.090020,130.729838
1,64,11,704,9.459432,1.014883,1.014883,134.720001,133.705119
1,64,15,960,9.906891,1.027734,1.027734,131.859968,130.832234
1,64,60,3840,11.906891,1.092637,1.092637,132.879999,131.787362
1,64,98,6272,12.614710,1.054863,1.054863,135.040027,133.985164
1,64,580,37120,15.179909,1.230632,1.230632,133.419991,132.189360
1,64,1028,65792,16.005625,1.326367,1.326367,134.570000,133.243633
1,64,1665,106560,16.701306,1.511029,1.511029,136.199989,134.688961
1,64,6135,392640,18.582848,2.383939,2.383939,137.210009,134.826070
1,64,6254,400256,18.610564,2.373425,2.373425,134.899979,132.526555
1,64,10279,657856,19.327412,3.201465,3.201465,138.119969,134.918504
1,64,16044,1026816,19.969746,4.401960,4.401960,135.270006,130.868046
1,64,19234,1230976,20.231371,4.925612,4.925612,138.459960,133.534348
1,64,24209,1549376,20.563256,5.936511,5.936511,137.409952,131.473442
1,64,31062,1987968,20.922863,7.257344,7.257344,142.030010,134.772667
1,64,35567,2276288,21.118252,8.142995,8.142995,137.539988,129.396993
1,128,9,1152,10.169925,0.976634,0.976634,136.020011,135.043377
1,128,27,3456,11.754888,1.033027,1.033027,133.130001,132.096974
1,128,147,18816,14.199672,1.170124,1.170124,135.440030,134.269906
1,128,207,26496,14.693487,1.185234,1.185234,134.540023,133.354789
1,128,271,34688,15.082149,1.229981,1.229981,135.620008,134.390028
1,128,1550,198400,17.598053,1.779369,1.779369,135.259994,133.480625
1,128,2443,312704,18.254438,2.154368,2.154368,137.670024,135.515655
1,128,13624,1743872,20.733863,5.297806,5.297806,136.889983,131.592177
1,128,28196,3609088,21.783203,11.789180,11.789180,142.520003,130.730823
1,128,44731,5725568,22.448987,17.609687,17.609687,145.880040,128.270352
1,256,10,2560,11.321928,1.044401,1.044401,134.970003,133.925602
1,256,22,5632,12.459432,1.104688,1.104688,125.309976,124.205289
1,256,25,6400,12.643856,1.075645,1.075645,134.239963,133.164318
1,256,44,11264,13.459432,1.091348,1.091348,136.720017,135.628669
1,256,59,15104,13.882643,1.102468,1.102468,130.189990,129.087523
1,256,135,34560,15.076816,1.226419,1.226419,133.709982,132.483563
1,256,167,42752,15.383704,1.254896,1.254896,135.249982,133.995086
1,256,291,74496,16.184875,1.370820,1.370820,128.580024,127.209204
1,256,356,91136,16.475733,1.419141,1.419141,132.130051,130.710911
1,256,455,116480,16.829723,1.531908,1.531908,130.720029,129.188122
1,256,496,126976,16.954196,1.520332,1.520332,132.229994,130.709662
1,512,11,5632,12.459432,1.088757,1.088757,126.240018,125.151262
1,512,14,7168,12.807355,1.035306,1.035306,133.870053,132.834747
