d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.543906,0.543906,132.190005,131.646099
1,1,33,33,5.044394,0.544388,0.544388,131.059962,130.515574
1,1,48,48,5.584963,0.544036,0.544036,133.449968,132.905932
1,1,66,66,6.044394,0.544141,0.544141,132.819987,132.275846
1,1,75,75,6.228819,0.544310,0.544310,136.189978,135.645668
1,1,111,111,6.794416,0.544564,0.544564,129.060005,128.515441
1,1,797,797,9.638436,0.550352,0.550352,132.429996,131.879644
1,1,931,931,9.862637,0.552116,0.552116,135.039969,134.487853
1,1,1006,1006,9.974415,0.551764,0.551764,134.520000,133.968236
1,1,1446,1446,10.497852,0.555924,0.555924,133.890018,133.334094
1,1,1695,1695,10.727070,0.558372,0.558372,132.349960,131.791588
1,1,21218,21218,14.373001,0.733236,0.733236,134.520000,133.786764
1,1,49863,49863,15.605682,0.989310,0.989310,131.129986,130.140676
1,8,16,128,7.000000,0.571185,0.571185,134.139962,133.568777
1,8,36,288,8.169925,0.571439,0.571439,126.749976,126.178537
1,8,42,336,8.392317,0.571172,0.571172,134.839967,134.268796
1,8,85,680,9.409391,0.570566,0.570566,134.589965,134.019399
1,8,90,720,9.491853,0.570990,0.570990,134.419999,133.849010
1,8,185,1480,10.531381,0.571992,0.571992,135.589973,135.017981
1,8,250,2000,10.965784,0.572532,0.572532,134.069996,133.497464
1,8,300,2400,11.228819,0.572617,0.572617,134.759990,134.187373
1,8,490,3920,11.936638,0.573737,0.573737,136.370014,135.796277
1,8,527,4216,12.041659,0.574414,0.574414,134.539965,133.965551
1,8,846,6768,12.724514,0.576719,0.576719,133.639958,133.063240
1,8,3222,25776,14.653741,0.599154,0.599154,134.509988,133.910834
1,8,7511,60088,15.874789,0.636641,0.636641,135.739974,135.103334
1,8,7749,61992,15.919794,0.638587,0.638587,135.230017,134.591430
1,8,9317,74536,16.185650,0.652520,0.652520,136.390037,135.737518
1,8,45294,362352,18.467032,0.974733,0.974733,135.530019,134.555286
1,16,49,784,9.614710,0.571680,0.571680,135.409995,134.838315
1,16,112,1792,10.807355,0.571380,0.571380,134.529953,133.958573
1,16,159,2544,11.312883,0.572435,0.572435,130.739994,130.167560
1,16,192,3072,11.584963,0.572422,0.572422,133.139954,132.567533
1,16,298,4768,12.219169,0.572943,0.572943,134.570000,133.997058
1,16,331,5296,12.370687,0.572852,0.572852,134.900038,134.327186
1,16,392,6272,12.614710,0.573542,0.573542,136.080023,135.506482
1,16,693,11088,13.436712,0.575560,0.575560,133.940019,133.364459
1,16,1532,24512,14.581201,0.582930,0.582930,128.989981,128.407051
1,16,6413,102608,16.646784,0.627155,0.627155,134.339964,133.712809
1,16,9046,144736,17.143064,0.650039,0.650039,130.600005,129.949966
1,16,17040,272640,18.056638,0.722526,0.722526,135.289971,134.567445
1,16,25594,409504,18.643518,0.798548,0.798548,133.260037,132.461489
1,16,42689,683024,19.381577,0.952819,0.952819,136.590039,135.637220
1,16,44560,712960,19.443462,0.969316,0.969316,133.399968,132.430652
1,64,11,704,9.459432,0.468874,0.468874,129.739987,129.271113
1,64,15,960,9.906891,0.469193,0.469193,133.869995,133.400802
1,64,60,3840,11.906891,0.571393,0.571393,128.670014,128.098620
1,64,98,6272,12.614710,0.570859,0.570859,128.309999,127.739140
1,64,580,37120,15.179909,0.574922,0.574922,129.830034,129.255112
1,64,1028,65792,16.005625,0.580527,0.580527,134.490023,133.909496
1,64,1665,106560,16.701306,0.592728,0.592728,133.690017,133.097289
1,64,6135,392640,18.582848,0.694531,0.694531,138.150004,137.455473
1,64,6254,400256,18.610564,0.696595,0.696595,133.469992,132.773397
1,64,10279,657856,19.327412,0.750430,0.750430,129.170017,128.419588
1,64,16044,1026816,19.969746,0.853991,0.853991,130.419969,129.565978
1,64,19234,1230976,20.231371,0.912513,0.912513,134.119997,133.207484
1,64,24209,1549376,20.563256,1.002083,1.002083,135.270006,134.267922
1,64,31062,1987968,20.922863,1.125137,1.125137,135.720009,134.594872
1,64,35567,2276288,21.118252,1.206165,1.206165,137.610012,136.403846
1,128,9,1152,10.169925,0.467949,0.467949,127.509993,127.042044
1,128,27,3456,11.754888,0.468398,0.468398,130.019966,129.551567
1,128,147,18816,14.199672,0.486022,0.486022,131.670036,131.184014
1,128,207,26496,14.693487,0.493971,0.493971,129.469961,128.975990
1,128,271,34688,15.082149,0.501790,0.501790,129.299995,128.798205
1,128,1550,198400,17.598053,0.684590,0.684590,128.109998,127.425408
1,128,2443,312704,18.254438,0.813092,0.813092,132.519985,131.706892
1,128,13624,1743872,20.733863,2.584811,2.584811,128.070009,125.485198
1,128,28196,3609088,21.783203,4.825384,4.825384,133.559981,128.734597
1,128,44731,5725568,22.448987,9.632526,9.632526,135.759998,126.127472
1,256,10,2560,11.321928,1.050124,1.050124,127.580017,126.529893
1,256,22,5632,12.459432,1.074609,1.074609,128.430023,127.355414
1,256,25,6400,12.643856,1.078978,1.078978,130.229979,129.151001
1,256,44,11264,13.459432,1.106693,1.106693,127.499981,126.393289
1,256,59,15104,13.882643,1.104245,1.104245,134.330010,133.225765
1,256,135,34560,15.076816,1.161159,1.161159,129.330030,128.168871
1,256,167,42752,15.383704,1.198385,1.198385,126.540021,125.341635
1,256,291,74496,16.184875,1.268053,1.268053,130.489992,129.221939
1,256,356,91136,16.475733,1.290566,1.290566,127.389969,126.099403
1,256,455,116480,16.829723,1.367402,1.367402,128.899992,127.532590
1,256,496,126976,16.954196,1.357689,1.357689,130.760018,129.402329
1,512,11,5632,12.459432,1.113255,1.113255,127.199979,126.086724
1,512,14,7168,12.807355,1.078678,1.078678,134.369999,133.291320
1,512,46,23552,14.523562,1.165436,1.165436,128.539978,127.374541
1,512,110,56320,15.781360,1.212865,1.212865,131.670036,130.457172
1,512,267,136704,17.060696,1.398913,1.398913,128.869957,127.471044
1,512,1306,668672,19.350939,2.303587,2.303587,129.429973,127.126386
1,512,2250,1152000,20.135709,3.050495,3.050495,131.920038,128.869544
1,512,8656,4431872,22.079485,8.290625,8.290625,135.559996,127.269371
1,512,12121,6205952,22.565221,10.743568,10.743568,135.749986,125.006418
1,512,14592,7471104,22.832890,14.083093,14.083093,141.319993,127.236901
1,512,35856,18358272,24.129927,30.356693,30.356693,157.850038,127.493345
1,1024,11,11264,13.459432,1.112298,1.112298,130.789995,129.677697
1,1024,18,18432,14.169925,1.153665,1.153665,128.149986,126.996321
1,1024,21,21504,14.392317,1.131797,1.131797,125.140010,124.008213
1,1024,75,76800,16.228819,1.247526,1.247526,133.579946,132.332420
1,1024,110,112640,16.781360,1.334147,1.334147,134.269998,132.935851
1,1024,169,173056,17.400879,1.444948,1.444948,129.030028,127.585080
1,1024,346,354304,18.434628,1.730260,1.730260,133.150024,131.419764
1,1024,504,516096,18.977280,2.015514,2.015514,133.800029,131.784515
1,1024,1354,1386496,20.403012,3.510371,3.510371,130.969973,127.459602
1,1024,5224,5349376,22.350939,9.358659,9.358659,133.890018,124.531359
1,1024,5745,5882880,22.488091,10.214915,10.214915,134.430011,124.215095
1,1024,5876,6017024,22.520619,10.569772,10.569772,136.630028,126.060255
1,1024,9437,9663488,23.204113,16.413027,16.413027,141.910044,125.497017
1,1024,37999,38910976,25.213674,61.498490,61.498490,185.389945,123.891455
2,1,116,232,7.857981,1.162090,1.162090,130.150001,128.987912
2,1,126,252,7.977280,1.163236,1.163236,129.010004,127.846769
2,1,179,358,8.483816,1.197441,1.197441,129.829976,128.632534
2,1,2494,4988,12.284246,1.298561,1.298561,129.750057,128.451495
2,1,4226,8452,13.045077,1.343945,1.343945,128.760003,127.416057
2,1,7883,15766,13.944529,1.367760,1.367760,131.619978,130.252217
2,1,10111,20222,14.303638,1.439232,1.439232,126.859988,125.420756
2,8,11,176,7.459432,0.539199,0.539199,133.110036,132.570837
2,8,244,3904,11.930737,0.539948,0.539948,131.360022,130.820075
2,8,617,9872,13.269127,0.542539,0.542539,128.380023,127.837484
2,8,741,11856,13.533330,0.543789,0.543789,128.020009,127.476220
2,8,5525,88400,16.431759,0.587201,0.587201,129.950000,129.362799
2,16,20,640,9.321928,0.539928,0.539928,132.799963,132.260035
2,16,94,3008,11.554589,0.539518,0.539518,134.570000,134.030482
2,64,9,1152,10.169925,0.468014,0.468014,133.230002,132.761987
2,64,14,1792,10.807355,0.472643,0.472643,133.709982,133.237339
2,64,8964,1147392,20.129927,0.910254,0.910254,131.979992,131.069738
2,64,19978,2557184,21.286125,1.377357,1.377357,128.019950,126.642594
2,128,40,10240,13.321928,0.470827,0.470827,135.270006,134.799179
2,128,162,41472,15.339850,0.642806,0.642806,130.919972,130.277166
2,128,862,220672,17.751544,1.445632,1.445632,133.890018,132.444387
2,256,82,41984,15.357552,0.571185,0.571185,133.319991,132.748806
2,256,150,76800,16.228819,0.653281,0.653281,130.260014,129.606733
2,256,15094,7728128,22.881688,36.438171,36.438171,161.800010,125.361839
2,512,93,95232,16.539159,0.680143,0.680143,132.720044,132.039901
2,512,1048,1073152,20.033423,0.830228,0.830228,133.251015,132.420787
2,1024,43,88064,16.426265,0.612201,0.612201,128.190033,127.577833
2,1024,181,370688,18.499846,1.154967,1.154967,134.950038,133.795071
2,1024,1694,3469312,21.726218,9.037975,9.037975,140.090007,131.052032
4,1,9097,36388,15.151175,0.652741,0.652741,134.559989,133.907248
4,1,11333,45332,15.468242,0.672396,0.672396,134.329952,133.657556
4,8,1474,47168,15.525521,0.554811,0.554811,128.460000,127.905189
4,8,3806,121792,16.894060,0.585593,0.585593,133.230002,132.644409
4,8,6618,211776,17.692180,0.623847,0.623847,121.349993,120.726145
4,16,19,1216,10.247928,0.544193,0.544193,122.769969,122.225776
4,16,215,13760,13.748193,0.545742,0.545742,121.189980,120.644238
4,16,326,20864,14.348728,0.545957,0.545957,121.220015,120.674058
