d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.921159,0.921159,148.590014,147.668855
1,1,33,33,5.044394,0.933464,0.933464,149.730011,148.796547
1,1,48,48,5.584963,0.937331,0.937331,148.459978,147.522647
1,1,66,66,6.044394,0.931901,0.931901,147.100014,146.168113
1,1,75,75,6.228819,0.926100,0.926100,148.750027,147.823926
1,1,111,111,6.794416,0.939277,0.939277,150.120002,149.180725
1,1,797,797,9.638436,0.975508,0.975508,146.260019,145.284512
1,1,931,931,9.862637,1.000371,1.000371,147.250015,146.249644
1,1,1006,1006,9.974415,1.011894,1.011894,147.450017,146.438122
1,1,1446,1446,10.497852,1.042513,1.042513,149.849977,148.807464
1,1,1695,1695,10.727070,1.042799,1.042799,146.700011,145.657212
1,1,21218,21218,14.373001,1.315840,1.315840,144.670019,143.354179
1,1,49863,49863,15.605682,1.623229,1.623229,150.340027,148.716798
1,8,16,128,7.000000,0.996250,0.996250,145.800004,144.803754
1,8,36,288,8.169925,1.029297,1.029297,143.620011,142.590714
1,8,42,336,8.392317,1.041328,1.041328,146.130042,145.088714
1,8,85,680,9.409391,1.032585,1.032585,147.740007,146.707423
1,8,90,720,9.491853,1.023021,1.023021,150.349981,149.326960
1,8,185,1480,10.531381,1.139154,1.139154,148.019986,146.880833
1,8,250,2000,10.965784,1.118021,1.118021,147.070037,145.952016
1,8,300,2400,11.228819,1.149453,1.149453,149.130006,147.980553
1,8,490,3920,11.936638,1.150189,1.150189,149.639964,148.489775
1,8,527,4216,12.041659,1.170189,1.170189,146.589999,145.419810
1,8,846,6768,12.724514,1.208743,1.208743,146.829989,145.621245
1,8,3222,25776,14.653741,1.384811,1.384811,148.819992,147.435181
1,8,7511,60088,15.874789,1.797051,1.797051,148.900028,147.102977
1,8,7749,61992,15.919794,1.845775,1.845775,148.550025,146.704251
1,8,9317,74536,16.185650,1.950078,1.950078,148.909981,146.959903
1,8,45294,362352,18.467032,5.200032,5.200032,153.760018,148.559986
1,16,49,784,9.614710,1.071660,1.071660,143.660000,142.588339
1,16,112,1792,10.807355,1.101348,1.101348,142.790028,141.688680
1,16,159,2544,11.312883,1.186856,1.186856,144.839985,143.653130
1,16,192,3072,11.584963,1.133118,1.133118,149.380008,148.246890
1,16,298,4768,12.219169,1.186856,1.186856,147.640007,146.453151
1,16,331,5296,12.370687,1.189225,1.189225,148.459978,147.270753
1,16,392,6272,12.614710,1.209616,1.209616,148.120045,146.910429
1,16,693,11088,13.436712,1.255840,1.255840,148.049963,146.794123
1,16,1532,24512,14.581201,1.388001,1.388001,147.569983,146.181981
1,16,6413,102608,16.646784,2.312168,2.312168,149.369997,147.057829
1,16,9046,144736,17.143064,2.820280,2.820280,147.729996,144.909716
1,16,17040,272640,18.056638,4.182572,4.182572,150.159991,145.977419
1,16,25594,409504,18.643518,5.659974,5.659974,151.549990,145.890016
1,16,42689,683024,19.381577,8.766530,8.766530,151.960005,143.193475
1,16,44560,712960,19.443462,8.826686,8.826686,150.770007,141.943321
1,64,11,704,9.459432,1.230846,1.230846,145.770027,144.539181
1,64,15,960,9.906891,1.276094,1.276094,147.210027,145.933933
1,64,60,3840,11.906891,1.204707,1.204707,147.260027,146.055320
1,64,98,6272,12.614710,1.277669,1.277669,146.070030,144.792360
1,64,580,37120,15.179909,1.551250,1.551250,148.539955,146.988705
1,64,1028,65792,16.005625,1.926107,1.926107,150.059990,148.133883
1,64,1665,106560,16.701306,2.426328,2.426328,148.409978,145.983649
1,64,6135,392640,18.582848,5.734792,5.734792,155.549962,149.815170
1,64,6254,400256,18.610564,5.833301,5.833301,159.449992,153.616691
1,64,10279,657856,19.327412,8.679381,8.679381,151.710003,143.030621
1,64,16044,1026816,19.969746,13.970814,13.970814,156.590017,142.619203
1,64,19234,1230976,20.231371,16.160619,16.160619,158.530020,142.369401
1,64,24209,1549376,20.563256,21.499394,21.499394,158.309995,136.810600
1,64,31062,1987968,20.922863,27.277083,27.277083,174.829969,147.552886
1,64,35567,2276288,21.118252,49.564206,49.564206,186.510035,136.945829
1,128,9,1152,10.169925,1.373581,1.373581,148.590014,147.216433
1,128,27,3456,11.754888,1.408216,1.408216,144.829974,143.421757
1,128,147,18816,14.199672,1.664681,1.664681,149.790023,148.125342
1,128,207,26496,14.693487,1.732617,1.732617,153.389992,151.657375
1,128,271,34688,15.082149,1.816895,1.816895,150.650041,148.833147
1,128,1550,198400,17.598053,3.697858,3.697858,153.219968,149.522110
1,128,2443,312704,18.254438,5.070885,5.070885,149.479951,144.409065
1,128,13624,1743872,20.733863,24.300723,24.300723,165.599980,141.299258
1,128,28196,3609088,21.783203,84.079512,84.079512,222.479983,138.400471
1,128,44731,5725568,22.448987,367.980000,367.980000,508.540019,140.560019
1,256,10,2560,11.321928,1.366816,1.366816,139.640004,138.273188
1,256,22,5632,12.459432,1.384479,1.384479,144.210004,142.825525
1,256,25,6400,12.643856,1.458470,1.458470,141.289958,139.831488
1,256,44,11264,13.459432,1.427305,1.427305,143.399986,141.972681
1,256,59,15104,13.882643,1.536198,1.536198,145.200000,143.663802
1,256,135,34560,15.076816,1.883535,1.883535,148.490013,146.606478
1,256,167,42752,15.383704,1.928359,1.928359,146.489998,144.561639
1,256,291,74496,16.184875,2.319616,2.319616,151.109998,148.790382
1,256,356,91136,16.475733,2.421960,2.421960,142.160046,139.738087
1,256,455,116480,16.829723,2.725449,2.725449,150.199980,147.474530
1,256,496,126976,16.954196,2.787546,2.787546,143.730023,140.942478
1,512,11,5632,12.459432,1.574271,1.574271,145.850005,144.275734
1,512,14,7168,12.807355,1.458978,1.458978,143.159996,141.701018
1,512,46,23552,14.523562,1.663366,1.663366,145.310012,143.646646
1,512,110,56320,15.781360,1.981432,1.981432,145.259954,143.278521
1,512,267,136704,17.060696,3.250000,3.250000,149.330008,146.080008
1,512,1306,668672,19.350939,9.759082,9.759082,150.480017,140.720935
1,512,2250,1152000,20.135709,16.241764,16.241764,153.809960,137.568196
1,512,8656,4431872,22.079485,197.865905,197.865905,337.200006,139.334101
1,512,12121,6205952,22.565221,364.326432,364.326432,511.049991,146.723559
