d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.932708,0.932708,131.330045,130.397337
1,1,33,33,5.044394,0.932513,0.932513,130.239991,129.307478
1,1,48,48,5.584963,0.942786,0.942786,126.180006,125.237220
1,1,66,66,6.044394,0.941374,0.941374,125.660037,124.718663
1,1,75,75,6.228819,0.936120,0.936120,129.390042,128.453922
1,1,111,111,6.794416,0.953919,0.953919,126.389961,125.436042
1,1,797,797,9.638436,0.985208,0.985208,128.569955,127.584746
1,1,931,931,9.862637,0.983119,0.983119,133.759982,132.776864
1,1,1006,1006,9.974415,0.988939,0.988939,129.210006,128.221067
1,1,1446,1446,10.497852,1.044356,1.044356,126.900035,125.855679
1,1,1695,1695,10.727070,1.047494,1.047494,127.550040,126.502546
1,1,21218,21218,14.373001,1.316849,1.316849,129.470020,128.153171
1,1,49863,49863,15.605682,1.636465,1.636465,131.910027,130.273562
1,8,16,128,7.000000,0.990410,0.990410,131.550012,130.559602
1,8,36,288,8.169925,0.973815,0.973815,128.699990,127.726175
1,8,42,336,8.392317,0.983633,0.983633,134.440023,133.456390
1,8,85,680,9.409391,0.999766,0.999766,128.149986,127.150221
1,8,90,720,9.491853,0.996914,0.996914,138.050003,137.053089
1,8,185,1480,10.531381,0.990299,0.990299,129.110005,128.119706
1,8,250,2000,10.965784,0.997142,0.997142,127.470004,126.472862
1,8,300,2400,11.228819,1.079596,1.079596,131.510023,130.430427
1,8,490,3920,11.936638,1.048346,1.048346,128.460000,127.411654
1,8,527,4216,12.041659,1.063320,1.063320,129.510008,128.446688
1,8,846,6768,12.724514,1.078639,1.078639,129.449996,128.371357
1,8,3222,25776,14.653741,1.189043,1.189043,126.650033,125.460990
1,8,7511,60088,15.874789,1.335606,1.335606,124.859973,123.524367
1,8,7749,61992,15.919794,1.325697,1.325697,133.280002,131.954305
1,8,9317,74536,16.185650,1.354863,1.354863,133.960042,132.605179
1,8,45294,362352,18.467032,2.375274,2.375274,135.420007,133.044733
1,16,49,784,9.614710,0.982350,0.982350,132.990011,132.007661
1,16,112,1792,10.807355,1.005723,1.005723,127.129955,126.124233
1,16,159,2544,11.312883,1.065918,1.065918,129.230029,128.164111
1,16,192,3072,11.584963,1.040150,1.040150,133.040012,131.999862
1,16,298,4768,12.219169,1.059994,1.059994,129.269960,128.209966
1,16,331,5296,12.370687,1.070137,1.070137,133.630005,132.559868
1,16,392,6272,12.614710,1.058848,1.058848,244.800001,243.741154
1,16,693,11088,13.436712,1.109590,1.109590,134.219998,133.110408
1,16,1532,24512,14.581201,1.184662,1.184662,123.779988,122.595326
1,16,6413,102608,16.646784,1.509850,1.509850,132.200017,130.690167
1,16,9046,144736,17.143064,1.627493,1.627493,130.570028,128.942534
1,16,17040,272640,18.056638,2.025885,2.025885,134.599977,132.574092
1,16,25594,409504,18.643518,2.462389,2.462389,139.570038,137.107649
1,16,42689,683024,19.381577,3.303106,3.303106,139.500014,136.196909
1,16,44560,712960,19.443462,3.404154,3.404154,136.230025,132.825871
1,64,11,704,9.459432,1.017266,1.017266,128.389976,127.372711
1,64,15,960,9.906891,0.996881,0.996881,135.509996,134.513114
1,64,60,3840,11.906891,1.046419,1.046419,135.279959,134.233540
1,64,98,6272,12.614710,1.050280,1.050280,132.279994,131.229714
1,64,580,37120,15.179909,1.256341,1.256341,128.560001,127.303660
1,64,1028,65792,16.005625,1.355801,1.355801,133.559981,132.204180
1,64,1665,106560,16.701306,1.547956,1.547956,133.009977,131.462021
1,64,6135,392640,18.582848,2.401634,2.401634,135.099981,132.698347
1,64,6254,400256,18.610564,2.438210,2.438210,133.739959,131.301749
1,64,10279,657856,19.327412,3.265814,3.265814,140.290009,137.024195
1,64,16044,1026816,19.969746,4.400078,4.400078,137.900002,133.499924
1,64,19234,1230976,20.231371,5.055423,5.055423,136.690040,131.634616
1,64,24209,1549376,20.563256,6.080579,6.080579,138.229982,132.149402
1,64,31062,1987968,20.922863,7.448613,7.448613,139.729993,132.281380
1,64,35567,2276288,21.118252,8.291842,8.291842,137.620023,129.328181
1,128,9,1152,10.169925,0.995938,0.995938,134.359987,133.364049
1,128,27,3456,11.754888,1.049980,1.049980,137.770025,136.720044
1,128,147,18816,14.199672,1.135007,1.135007,130.569970,129.434963
1,128,207,26496,14.693487,1.237741,1.237741,136.120012,134.882271
1,128,271,34688,15.082149,1.217285,1.217285,125.540013,124.322728
1,128,1550,198400,17.598053,1.813828,1.813828,137.399998,135.586170
1,128,2443,312704,18.254438,2.198522,2.198522,140.500022,138.301500
1,128,13624,1743872,20.733863,6.400247,6.400247,141.410041,135.009793
1,128,28196,3609088,21.783203,12.195664,12.195664,147.899962,135.704298
1,128,44731,5725568,22.448987,18.670833,18.670833,150.459993,131.789160
1,256,10,2560,11.321928,1.032487,1.032487,134.309987,133.277500
1,256,22,5632,12.459432,1.041706,1.041706,135.059992,134.018286
1,256,25,6400,12.643856,1.064661,1.064661,130.640052,129.575390
1,256,44,11264,13.459432,1.127044,1.127044,134.520000,133.392956
1,256,59,15104,13.882643,1.099759,1.099759,135.379960,134.280201
1,256,135,34560,15.076816,1.229245,1.229245,129.049993,127.820748
1,256,167,42752,15.383704,1.273952,1.273952,135.740032,134.466081
1,256,291,74496,16.184875,1.339616,1.339616,137.610012,136.270396
1,256,356,91136,16.475733,1.394570,1.394570,134.430011,133.035440
1,256,455,116480,16.829723,1.548522,1.548522,133.809983,132.261461
1,256,496,126976,16.954196,1.591035,1.591035,133.040012,131.448977
1,512,11,5632,12.459432,1.091849,1.091849,132.480985,131.389136
1,512,14,7168,12.807355,1.092057,1.092057,134.910049,133.817992
1,512,46,23552,14.523562,1.194056,1.194056,134.230009,133.035953
