d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.468327,1.468327,135.249982,133.781655
1,1,33,33,5.044394,1.494942,1.494942,134.400034,132.905092
1,1,48,48,5.584963,1.472103,1.472103,136.399991,134.927888
1,1,66,66,6.044394,1.503730,1.503730,135.239970,133.736240
1,1,75,75,6.228819,1.454147,1.454147,137.760013,136.305866
1,1,111,111,6.794416,1.481309,1.481309,136.030023,134.548714
1,1,797,797,9.638436,1.089082,1.089082,134.030008,132.940926
1,1,931,931,9.862637,1.046296,1.046296,133.000023,131.953728
1,1,1006,1006,9.974415,1.070964,1.070964,137.070019,135.999056
1,1,1446,1446,10.497852,1.100931,1.100931,136.429968,135.329037
1,1,1695,1695,10.727070,1.099082,1.099082,133.180001,132.080919
1,1,21218,21218,14.373001,1.576810,1.576810,135.110051,133.533241
1,1,49863,49863,15.605682,2.136992,2.136992,135.699986,133.562993
1,8,16,128,7.000000,1.051276,1.051276,135.859998,134.808722
1,8,36,288,8.169925,1.048763,1.048763,132.879999,131.831236
1,8,42,336,8.392317,1.031165,1.031165,131.940003,130.908838
1,8,85,680,9.409391,1.054831,1.054831,135.449984,134.395153
1,8,90,720,9.491853,1.032292,1.032292,133.890018,132.857727
1,8,185,1480,10.531381,1.066061,1.066061,129.620021,128.553960
1,8,250,2000,10.965784,1.059088,1.059088,137.730036,136.670947
1,8,300,2400,11.228819,1.106784,1.106784,134.830014,133.723230
1,8,490,3920,11.936638,1.063503,1.063503,134.130009,133.066506
1,8,527,4216,12.041659,1.099700,1.099700,133.589958,132.490257
1,8,846,6768,12.724514,1.154987,1.154987,125.899969,124.744982
1,8,3222,25776,14.653741,1.281680,1.281680,137.160008,135.878329
1,8,7511,60088,15.874789,1.488568,1.488568,131.960027,130.471459
1,8,7749,61992,15.919794,1.481270,1.481270,132.079993,130.598723
1,8,9317,74536,16.185650,1.576133,1.576133,130.479981,128.903848
1,8,45294,362352,18.467032,3.114681,3.114681,136.160001,133.045320
1,16,49,784,9.614710,1.079700,1.079700,129.939988,128.860288
1,16,112,1792,10.807355,1.061530,1.061530,128.079962,127.018433
1,16,159,2544,11.312883,1.073763,1.073763,134.030008,132.956245
1,16,192,3072,11.584963,1.073555,1.073555,134.130009,133.056454
1,16,298,4768,12.219169,1.107825,1.107825,133.150024,132.042199
1,16,331,5296,12.370687,1.094173,1.094173,134.450034,133.355861
1,16,392,6272,12.614710,1.159779,1.159779,128.339976,127.180197
1,16,693,11088,13.436712,1.145104,1.145104,133.390015,132.244910
1,16,1532,24512,14.581201,1.223210,1.223210,129.939988,128.716779
1,16,6413,102608,16.646784,1.764766,1.764766,132.419984,130.655218
1,16,9046,144736,17.143064,1.960859,1.960859,131.139997,129.179138
1,16,17040,272640,18.056638,2.658971,2.658971,135.670009,133.011037
1,16,25594,409504,18.643518,3.366999,3.366999,135.370006,132.003008
1,16,42689,683024,19.381577,4.819635,4.819635,138.530042,133.710407
1,16,44560,712960,19.443462,5.005547,5.005547,134.580012,129.574465
1,64,11,704,9.459432,1.069466,1.069466,134.510046,133.440580
1,64,15,960,9.906891,1.076445,1.076445,127.999985,126.923540
1,64,60,3840,11.906891,1.130866,1.130866,134.659989,133.529123
1,64,98,6272,12.614710,1.168119,1.168119,135.649985,134.481867
1,64,580,37120,15.179909,1.380026,1.380026,135.359995,133.979969
1,64,1028,65792,16.005625,1.501270,1.501270,133.608992,132.107722
1,64,1665,106560,16.701306,1.752637,1.752637,134.230009,132.477373
1,64,6135,392640,18.582848,3.261953,3.261953,133.769994,130.508041
1,64,6254,400256,18.610564,3.273366,3.273366,136.839983,133.566617
1,64,10279,657856,19.327412,4.766673,4.766673,135.850045,131.083372
1,64,16044,1026816,19.969746,6.699114,6.699114,135.459995,128.760881
1,64,19234,1230976,20.231371,7.888685,7.888685,138.519972,130.631287
1,64,24209,1549376,20.563256,9.593789,9.593789,139.469979,129.876190
1,64,31062,1987968,20.922863,10.793952,10.793952,144.529971,133.736019
1,64,35567,2276288,21.118252,12.284818,12.284818,143.020006,130.735189
