d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.972044,0.972044,123.840000,122.867956
1,1,33,33,5.044394,0.971322,0.971322,124.340004,123.368682
1,1,48,48,5.584963,0.972070,0.972070,121.919962,120.947892
1,1,66,66,6.044394,0.971823,0.971823,122.920028,121.948205
1,1,75,75,6.228819,0.971569,0.971569,124.819984,123.848415
1,1,111,111,6.794416,0.981211,0.981211,123.489997,122.508786
1,1,797,797,9.638436,1.096406,1.096406,123.779988,122.683582
1,1,931,931,9.862637,1.099694,1.099694,125.559978,124.460284
1,1,1006,1006,9.974415,1.112578,1.112578,124.279992,123.167414
1,1,1446,1446,10.497852,1.252474,1.252474,124.579994,123.327520
1,1,1695,1695,10.727070,1.269362,1.269362,123.729988,122.460626
1,1,21218,21218,14.373001,3.702891,3.702891,127.959996,124.257106
1,1,49863,49863,15.605682,7.114486,7.114486,126.230007,119.115521
1,8,16,128,7.000000,1.020339,1.020339,125.169987,124.149648
1,8,36,288,8.169925,1.030423,1.030423,123.890000,122.859577
1,8,42,336,8.392317,1.045150,1.045150,124.060025,123.014875
1,8,85,680,9.409391,1.065384,1.065384,123.729988,122.664603
1,8,90,720,9.491853,1.046133,1.046133,124.779996,123.733863
1,8,185,1480,10.531381,1.009701,1.009701,123.270031,122.260330
1,8,250,2000,10.965784,1.075547,1.075547,122.370024,121.294477
1,8,300,2400,11.228819,1.108574,1.108574,124.769984,123.661410
1,8,490,3920,11.936638,1.133229,1.133229,120.420009,119.286780
1,8,527,4216,12.041659,1.190944,1.190944,125.619990,124.429046
1,8,846,6768,12.724514,1.186029,1.186029,122.389989,121.203960
1,8,3222,25776,14.653741,1.537663,1.537663,121.720019,120.182356
1,8,7511,60088,15.874789,2.164024,2.164024,124.749960,122.585937
1,8,7749,61992,15.919794,2.147604,2.147604,124.000013,121.852409
1,8,9317,74536,16.185650,2.420423,2.420423,124.749960,122.329537
1,8,45294,362352,18.467032,7.253926,7.253926,128.109998,120.856072
1,16,49,784,9.614710,1.045619,1.045619,123.660022,122.614403
1,16,112,1792,10.807355,1.026126,1.026126,121.999998,120.973871
1,16,159,2544,11.312883,1.155274,1.155274,124.219980,123.064706
1,16,192,3072,11.584963,1.132187,1.132187,123.700011,122.567823
1,16,298,4768,12.219169,1.172090,1.172090,123.739999,122.567909
1,16,331,5296,12.370687,1.188411,1.188411,124.829996,123.641584
1,16,392,6272,12.614710,1.238509,1.238509,125.089951,123.851442
1,16,693,11088,13.436712,1.307585,1.307585,123.460020,122.152436
1,16,1532,24512,14.581201,1.565202,1.565202,126.880012,125.314810
1,16,6413,102608,16.646784,2.898294,2.898294,124.469982,121.571687
1,16,9046,144736,17.143064,3.583249,3.583249,125.259976,121.676727
1,16,17040,272640,18.056638,5.831016,5.831016,134.909991,129.078976
1,16,25594,409504,18.643518,8.094609,8.094609,127.539970,119.445361
1,16,42689,683024,19.381577,12.675137,12.675137,134.050031,121.374895
1,16,44560,712960,19.443462,13.179792,13.179792,134.570000,121.390209
1,64,11,704,9.459432,1.035111,1.035111,123.139995,122.104884
1,64,15,960,9.906891,1.028092,1.028092,124.100014,123.071921
1,64,60,3840,11.906891,1.209603,1.209603,126.550032,125.340429
1,64,98,6272,12.614710,1.212187,1.212187,124.279992,123.067804
1,64,580,37120,15.179909,1.809863,1.809863,123.529986,121.720123
1,64,1028,65792,16.005625,2.386016,2.386016,123.399950,121.013934
1,64,1665,106560,16.701306,3.068040,3.068040,125.369988,122.301948
1,64,6135,392640,18.582848,7.792800,7.792800,128.599990,120.807190
1,64,6254,400256,18.610564,7.980527,7.980527,126.369996,118.389469
1,64,10279,657856,19.327412,12.281270,12.281270,134.039961,121.758692
1,64,16044,1026816,19.969746,18.410247,18.410247,134.100032,115.689784
1,64,19234,1230976,20.231371,22.047754,22.047754,136.089977,114.042223
1,64,24209,1549376,20.563256,27.307839,27.307839,146.610022,119.302184
1,64,31062,1987968,20.922863,34.726276,34.726276,147.909974,113.183698
1,64,35567,2276288,21.118252,39.465625,39.465625,160.519965,121.054340
1,128,9,1152,10.169925,1.036882,1.036882,126.380008,125.343126
1,128,27,3456,11.754888,1.120820,1.120820,121.610006,120.489186
1,128,147,18816,14.199672,1.430964,1.430964,127.170002,125.739039
1,128,207,26496,14.693487,1.536556,1.536556,121.760007,120.223451
1,128,271,34688,15.082149,1.716576,1.716576,124.459970,122.743394
1,128,1550,198400,17.598053,4.562155,4.562155,125.240011,120.677856
1,128,2443,312704,18.254438,6.477591,6.477591,127.149979,120.672387
1,128,13624,1743872,20.733863,27.293457,27.293457,146.239996,118.946539
1,128,28196,3609088,21.783203,54.848125,54.848125,172.730011,117.881886
1,128,44731,5725568,22.448987,86.166387,86.166387,206.869969,120.703582
1,256,10,2560,11.321928,1.127474,1.127474,124.719983,123.592509
1,256,22,5632,12.459432,1.167552,1.167552,124.279992,123.112440
1,256,25,6400,12.643856,1.185371,1.185371,125.749968,124.564597
1,256,44,11264,13.459432,1.293763,1.293763,123.910024,122.616261
1,256,59,15104,13.882643,1.368288,1.368288,122.710015,121.341727
1,256,135,34560,15.076816,1.704967,1.704967,123.240054,121.535086
1,256,167,42752,15.383704,1.840527,1.840527,123.259961,121.419433
1,256,291,74496,16.184875,2.421439,2.421439,125.960039,123.538601
1,256,356,91136,16.475733,2.709928,2.709928,122.900004,120.190076
1,256,455,116480,16.829723,3.149987,3.149987,128.199987,125.050000
1,256,496,126976,16.954196,3.326966,3.326966,124.290003,120.963037
1,512,11,5632,12.459432,1.209779,1.209779,123.129983,121.920204
1,512,14,7168,12.807355,1.183405,1.183405,118.919997,117.736592
1,512,46,23552,14.523562,1.523809,1.523809,124.009966,122.486158
1,512,110,56320,15.781360,2.093223,2.093223,123.919977,121.826755
1,512,267,136704,17.060696,3.514981,3.514981,123.479986,119.965005
1,512,1306,668672,19.350939,12.474538,12.474538,134.108996,121.634458
1,512,2250,1152000,20.135709,20.722220,20.722220,136.659946,115.937726
1,512,8656,4431872,22.079485,66.971256,66.971256,182.149990,115.178733
1,512,12121,6205952,22.565221,93.514759,93.514759,210.309983,116.795224
1,512,14592,7471104,22.832890,110.393822,110.393822,236.939988,126.546166
1,512,35856,18358272,24.129927,271.399687,271.399687,393.840019,122.440331
1,1024,11,11264,13.459432,1.360404,1.360404,123.639998,122.279595
1,1024,18,18432,14.169925,1.540156,1.540156,124.640006,123.099850
1,1024,21,21504,14.392317,1.498548,1.498548,124.529994,123.031445
1,1024,75,76800,16.228819,2.514896,2.514896,124.729006,122.214110
1,1024,110,112640,16.781360,3.104486,3.104486,123.689999,120.585513
1,1024,169,173056,17.400879,4.179779,4.179779,122.900004,118.720226
1,1024,346,354304,18.434628,7.273229,7.273229,127.580017,120.306788
1,1024,504,516096,18.977280,9.950104,9.950104,126.540021,116.589916
1,1024,1354,1386496,20.403012,24.708776,24.708776,139.010022,114.301246
1,1024,5224,5349376,22.350939,79.895807,79.895807,196.170004,116.274196
1,1024,5745,5882880,22.488091,87.656491,87.656491,206.660014,119.003523
1,1024,5876,6017024,22.520619,89.504199,89.504199,209.890015,120.385816
1,1024,9437,9663488,23.204113,142.846256,142.846256,261.080044,118.233787
1,1024,37999,38910976,25.213674,567.944499,567.944499,693.750044,125.805545
2,1,116,232,7.857981,0.975814,0.975814,123.710022,122.734208
2,1,126,252,7.977280,0.971842,0.971842,124.460028,123.488186
2,1,179,358,8.483816,1.017272,1.017272,122.789992,121.772720
2,1,2494,4988,12.284246,1.381751,1.381751,125.209976,123.828224
2,1,4226,8452,13.045077,1.628919,1.628919,124.840008,123.211088
2,1,7883,15766,13.944529,2.042331,2.042331,125.950028,123.907697
2,1,10111,20222,14.303638,2.302904,2.302904,125.129998,122.827095
2,8,11,176,7.459432,1.049251,1.049251,122.400001,121.350749
2,8,244,3904,11.930737,1.146172,1.146172,123.879989,122.733817
2,8,617,9872,13.269127,1.273659,1.273659,123.510021,122.236362
2,8,741,11856,13.533330,1.287376,1.287376,123.960024,122.672648
2,8,5525,88400,16.431759,2.667090,2.667090,125.330000,122.662910
2,16,20,640,9.321928,1.129837,1.129837,128.549989,127.420152
2,16,94,3008,11.554589,1.139915,1.139915,124.959974,123.820058
2,64,9,1152,10.169925,1.204954,1.204954,124.690006,123.485052
2,64,14,1792,10.807355,1.241465,1.241465,123.079983,121.838518
2,64,8964,1147392,20.129927,20.808861,20.808861,136.750052,115.941191
2,64,19978,2557184,21.286125,44.405033,44.405033,159.970019,115.564987
2,128,40,10240,13.321928,1.242168,1.242168,122.850004,121.607836
2,128,162,41472,15.339850,3.642200,3.642200,124.379992,120.737792
2,128,862,220672,17.751544,14.333685,14.333685,135.020004,120.686319
2,256,82,41984,15.357552,3.598763,3.598763,126.099971,122.501208
2,256,150,76800,16.228819,5.751042,5.751042,127.789972,122.038930
2,256,15094,7728128,22.881688,453.843405,453.843405,575.469050,121.625645
2,512,93,95232,16.539159,6.860918,6.860918,128.999993,122.139075
2,512,1048,1073152,20.033423,19.353307,19.353307,135.609997,116.256689
2,1024,43,88064,16.426265,6.425944,6.425944,126.100029,119.674085
2,1024,181,370688,18.499846,23.361426,23.361426,136.649993,113.288567
2,1024,1694,3469312,21.726218,204.545124,204.545124,322.470965,117.925842
4,1,9097,36388,15.151175,2.266549,2.266549,127.109990,124.843440
4,1,11333,45332,15.468242,2.544160,2.544160,124.990009,122.445849
4,8,1474,47168,15.525521,1.964701,1.964701,124.420039,122.455339
4,8,3806,121792,16.894060,3.235814,3.235814,123.299949,120.064136
4,8,6618,211776,17.692180,4.773522,4.773522,123.970036,119.196514
4,16,19,1216,10.247928,1.185371,1.185371,123.589998,122.404627
4,16,215,13760,13.748193,1.380866,1.380866,125.740014,124.359149
4,16,326,20864,14.348728,1.510879,1.510879,124.540005,123.029126
4,16,347,22208,14.438792,1.526113,1.526113,123.729988,122.203874
4,16,396,25344,14.629357,1.645189,1.645189,124.290003,122.644815
4,16,14332,917248,19.806952,16.496992,16.496992,134.809990,118.312998
4,64,27,6912,12.754888,1.518782,1.518782,125.469989,123.951207
4,64,2169,555264,19.082814,10.591471,10.591471,126.980012,116.388541
4,64,4001,1024256,19.966145,18.805924,18.805924,135.720009,116.914084
4,128,61,31232,14.930737,2.047917,2.047917,124.650018,122.602101
4,128,123,62976,15.942515,3.082891,3.082891,122.420024,119.337133
4,128,382,195584,17.577429,7.303040,7.303040,127.970008,120.666968
4,128,752,385024,18.554589,7.660338,7.660338,133.599970,125.939631
4,128,849,434688,18.729621,14.688991,14.688991,134.670001,119.981010
4,128,28861,14776832,23.816834,434.805221,434.805221,557.410007,122.604786
4,256,17,17408,14.087463,1.668932,1.668932,125.300023,123.631090
4,256,95,97280,16.569856,4.187383,4.187383,124.929997,120.742614
4,256,252,258048,17.977280,9.211152,9.211152,128.020009,118.808856
4,256,362,370688,18.499846,12.707370,12.707370,133.789959,121.082590
4,256,2007,2055168,20.970825,61.821341,61.821341,179.280003,117.458662
4,256,3313,3392512,21.693922,101.151517,101.151517,222.079980,120.928463
