d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.932813,0.932813,124.329992,123.397180
1,1,33,33,5.044394,0.938477,0.938477,123.310019,122.371543
1,1,48,48,5.584963,0.924258,0.924258,123.770034,122.845777
1,1,66,66,6.044394,0.921895,0.921895,123.560021,122.638127
1,1,75,75,6.228819,0.939785,0.939785,123.699952,122.760167
1,1,111,111,6.794416,0.921699,0.921699,123.179983,122.258284
1,1,797,797,9.638436,0.988119,0.988119,121.990044,121.001926
1,1,931,931,9.862637,1.009844,1.009844,124.289945,123.280101
1,1,1006,1006,9.974415,0.971758,0.971758,120.789977,119.818219
1,1,1446,1446,10.497852,1.026856,1.026856,124.790007,123.763152
1,1,1695,1695,10.727070,0.990931,0.990931,123.770034,122.779103
1,1,21218,21218,14.373001,1.208848,1.208848,121.979974,120.771127
1,1,49863,49863,15.605682,1.293509,1.293509,123.399950,122.106441
1,8,16,128,7.000000,0.964974,0.964974,117.029995,116.065021
1,8,36,288,8.169925,0.993724,0.993724,122.810015,121.816291
1,8,42,336,8.392317,1.003522,1.003522,125.459977,124.456455
1,8,85,680,9.409391,0.992012,0.992012,122.610014,121.618002
1,8,90,720,9.491853,0.972585,0.972585,124.440994,123.468409
1,8,185,1480,10.531381,0.957676,0.957676,124.419981,123.462305
1,8,250,2000,10.965784,1.003450,1.003450,122.659956,121.656506
1,8,300,2400,11.228819,0.977995,0.977995,123.010017,122.032022
1,8,490,3920,11.936638,1.035313,1.035313,123.940001,122.904688
1,8,527,4216,12.041659,1.046563,1.046563,123.589998,122.543436
1,8,846,6768,12.724514,1.012943,1.012943,125.630002,124.617059
1,8,3222,25776,14.653741,1.077813,1.077813,123.259961,122.182148
1,8,7511,60088,15.874789,1.207279,1.207279,124.259968,123.052690
1,8,7749,61992,15.919794,1.181719,1.181719,123.450009,122.268290
1,8,9317,74536,16.185650,1.205703,1.205703,124.270038,123.064335
1,8,45294,362352,18.467032,1.658815,1.658815,121.929974,120.271159
1,16,49,784,9.614710,0.983092,0.983092,119.019998,118.036906
1,16,112,1792,10.807355,0.967839,0.967839,122.829981,121.862142
1,16,159,2544,11.312883,0.965514,0.965514,122.929981,121.964467
1,16,192,3072,11.584963,0.976771,0.976771,123.329984,122.353214
1,16,298,4768,12.219169,1.045417,1.045417,124.430051,123.384634
1,16,331,5296,12.370687,1.046484,1.046484,122.770027,121.723542
1,16,392,6272,12.614710,1.027611,1.027611,124.219980,123.192369
1,16,693,11088,13.436712,1.082480,1.082480,117.399963,116.317482
1,16,1532,24512,14.581201,1.106035,1.106035,124.100014,122.993978
1,16,6413,102608,16.646784,1.295925,1.295925,123.750011,122.454086
1,16,9046,144736,17.143064,1.354850,1.354850,125.050021,123.695171
1,16,17040,272640,18.056638,1.587090,1.587090,123.739999,122.152909
1,16,25594,409504,18.643518,1.771875,1.771875,124.399958,122.628083
1,16,42689,683024,19.381577,2.180593,2.180593,122.400001,120.219408
1,16,44560,712960,19.443462,2.207064,2.207064,127.420004,125.212940
1,64,11,704,9.459432,0.972930,0.972930,121.099991,120.127061
1,64,15,960,9.906891,0.982526,0.982526,123.810023,122.827497
1,64,60,3840,11.906891,1.160729,1.160729,123.100006,121.939277
1,64,98,6272,12.614710,1.178555,1.178555,119.099976,117.921421
1,64,580,37120,15.179909,1.181367,1.181367,122.029975,120.848607
1,64,1028,65792,16.005625,1.214349,1.214349,118.169992,116.955643
1,64,1665,106560,16.701306,1.346764,1.346764,120.320008,118.973244
1,64,6135,392640,18.582848,1.766354,1.766354,125.279999,123.513645
1,64,6254,400256,18.610564,1.769577,1.769577,121.969962,120.200386
1,64,10279,657856,19.327412,2.219342,2.219342,123.719976,121.500633
1,64,16044,1026816,19.969746,2.647793,2.647793,122.049998,119.402205
1,64,19234,1230976,20.231371,2.961556,2.961556,123.289996,120.328440
1,64,24209,1549376,20.563256,3.410592,3.410592,125.029997,121.619405
1,64,31062,1987968,20.922863,4.032174,4.032174,124.120037,120.087863
1,64,35567,2276288,21.118252,4.400632,4.400632,123.550009,119.149378
1,128,9,1152,10.169925,0.970189,0.970189,122.049998,121.079809
1,128,27,3456,11.754888,0.983841,0.983841,123.490056,122.506214
1,128,147,18816,14.199672,1.097910,1.097910,122.920028,121.822118
1,128,207,26496,14.693487,1.111009,1.111009,121.730031,120.619021
1,128,271,34688,15.082149,1.131862,1.131862,122.529978,121.398116
1,128,1550,198400,17.598053,1.428958,1.428958,121.129968,119.701009
1,128,2443,312704,18.254438,1.600326,1.600326,122.500001,120.899676
1,128,13624,1743872,20.733863,3.758698,3.758698,128.740037,124.981339
1,128,28196,3609088,21.783203,6.619876,6.619876,126.330007,119.710131
1,128,44731,5725568,22.448987,9.903874,9.903874,125.610037,115.706163
1,256,10,2560,11.321928,1.014069,1.014069,124.129991,123.115922
1,256,22,5632,12.459432,1.038450,1.038450,122.160011,121.121560
1,256,25,6400,12.643856,1.058822,1.058822,120.880024,119.821202
