d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,1.431204,1.431204,129.780004,128.348800
1,1,33,33,5.044394,1.434134,1.434134,127.470004,126.035870
1,1,48,48,5.584963,1.431230,1.431230,125.980005,124.548774
1,1,66,66,6.044394,1.445898,1.445898,130.750006,129.304108
1,1,75,75,6.228819,1.455638,1.455638,131.580018,130.124380
1,1,111,111,6.794416,1.459681,1.459681,129.520020,128.060339
1,1,797,797,9.638436,1.035410,1.035410,126.289990,125.254579
1,1,931,931,9.862637,1.042051,1.042051,126.409985,125.367934
1,1,1006,1006,9.974415,1.045391,1.045391,128.259999,127.214608
1,1,1446,1446,10.497852,1.095781,1.095781,131.240027,130.144246
1,1,1695,1695,10.727070,1.093255,1.093255,127.270003,126.176748
1,1,21218,21218,14.373001,1.404199,1.404199,128.780026,127.375827
1,1,49863,49863,15.605682,1.870651,1.870651,136.670016,134.799365
1,8,16,128,7.000000,1.040885,1.040885,129.180000,128.139115
1,8,36,288,8.169925,1.030189,1.030189,125.769991,124.739803
1,8,42,336,8.392317,1.042012,1.042012,127.179985,126.137973
1,8,85,680,9.409391,1.034180,1.034180,127.690000,126.655821
1,8,90,720,9.491853,1.030020,1.030020,127.390027,126.360008
1,8,185,1480,10.531381,1.034069,1.034069,130.080007,129.045938
1,8,250,2000,10.965784,1.011602,1.011602,124.749989,123.738388
1,8,300,2400,11.228819,1.075287,1.075287,134.340022,133.264735
1,8,490,3920,11.936638,1.063848,1.063848,128.700020,127.636172
1,8,527,4216,12.041659,1.100931,1.100931,137.160008,136.059077
1,8,846,6768,12.724514,1.110579,1.110579,134.750007,133.639428
1,8,3222,25776,14.653741,1.212194,1.212194,129.200023,127.987829
1,8,7511,60088,15.874789,1.403412,1.403412,131.679990,130.276578
1,8,7749,61992,15.919794,1.417930,1.417930,126.630010,125.212080
1,8,9317,74536,16.185650,1.507949,1.507949,126.369996,124.862047
1,8,45294,362352,18.467032,2.764199,2.764199,139.290001,136.525802
1,16,49,784,9.614710,1.019720,1.019720,130.000000,128.980280
1,16,112,1792,10.807355,1.040547,1.040547,128.829997,127.789450
1,16,159,2544,11.312883,1.073131,1.073131,128.989981,127.916850
1,16,192,3072,11.584963,1.079824,1.079824,125.770021,124.690196
1,16,298,4768,12.219169,1.093125,1.093125,127.770007,126.676882
1,16,331,5296,12.370687,1.110456,1.110456,127.870007,126.759552
1,16,392,6272,12.614710,1.112207,1.112207,128.059997,126.947790
1,16,693,11088,13.436712,1.133652,1.133652,128.460000,127.326348
1,16,1532,24512,14.581201,1.231061,1.231061,125.549996,124.318934
1,16,6413,102608,16.646784,1.611745,1.611745,130.550005,128.938260
1,16,9046,144736,17.143064,1.830208,1.830208,135.399983,133.569775
1,16,17040,272640,18.056638,2.459492,2.459492,133.060006,130.600514
1,16,25594,409504,18.643518,2.932318,2.932318,136.529998,133.597680
1,16,42689,683024,19.381577,4.215117,4.215117,135.590002,131.374885
1,16,44560,712960,19.443462,4.311113,4.311113,139.340002,135.028888
1,64,11,704,9.459432,1.011823,1.011823,134.529982,133.518160
1,64,15,960,9.906891,1.065736,1.065736,132.210000,131.144264
1,64,60,3840,11.906891,1.116738,1.116738,128.290005,127.173267
1,64,98,6272,12.614710,1.133568,1.133568,127.459993,126.326425
1,64,580,37120,15.179909,1.300280,1.300280,134.389993,133.089713
1,64,1028,65792,16.005625,1.495169,1.495169,127.609004,126.113835
1,64,1665,106560,16.701306,1.687552,1.687552,128.460000,126.772448
1,64,6135,392640,18.582848,2.914466,2.914466,137.660012,134.745546
1,64,6254,400256,18.610564,2.960111,2.960111,133.950001,130.989891
1,64,10279,657856,19.327412,4.133203,4.133203,137.349998,133.216795
1,64,16044,1026816,19.969746,5.702201,5.702201,136.859977,131.157776
