d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.931263,0.931263,154.970039,154.038776
1,1,33,33,5.044394,0.938861,0.938861,134.639966,133.701105
1,1,48,48,5.584963,0.941621,0.941621,134.149974,133.208353
1,1,66,66,6.044394,0.932070,0.932070,134.230009,133.297939
1,1,75,75,6.228819,0.931953,0.931953,134.440023,133.508069
1,1,111,111,6.794416,0.931927,0.931927,134.330010,133.398083
1,1,797,797,9.638436,0.963333,0.963333,140.290009,139.326676
1,1,931,931,9.862637,1.011445,1.011445,133.909984,132.898538
1,1,1006,1006,9.974415,1.022480,1.022480,135.270006,134.247525
1,1,1446,1446,10.497852,1.076309,1.076309,142.409990,141.333681
1,1,1695,1695,10.727070,1.061230,1.061230,137.460011,136.398780
1,1,21218,21218,14.373001,1.295638,1.295638,139.540003,138.244365
1,1,49863,49863,15.605682,1.656029,1.656029,137.309951,135.653923
1,8,16,128,7.000000,0.950267,0.950267,137.440045,136.489778
1,8,36,288,8.169925,0.973457,0.973457,136.060000,135.086543
1,8,42,336,8.392317,0.958053,0.958053,135.749986,134.791933
1,8,85,680,9.409391,0.936426,0.936426,134.929956,133.993531
1,8,90,720,9.491853,0.944994,0.944994,131.350011,130.405017
1,8,185,1480,10.531381,1.009062,1.009062,133.969996,132.960933
1,8,250,2000,10.965784,1.012220,1.012220,134.469999,133.457779
1,8,300,2400,11.228819,1.101641,1.101641,134.520000,133.418359
1,8,490,3920,11.936638,1.079980,1.079980,137.929979,136.849999
1,8,527,4216,12.041659,1.070443,1.070443,138.509960,137.439518
1,8,846,6768,12.724514,1.076732,1.076732,132.919988,131.843256
1,8,3222,25776,14.653741,1.174596,1.174596,139.640004,138.465408
1,8,7511,60088,15.874789,1.307214,1.307214,138.200005,136.892791
1,8,7749,61992,15.919794,1.346139,1.346139,132.700021,131.353882
1,8,9317,74536,16.185650,1.370124,1.370124,142.200035,140.829911
1,8,45294,362352,18.467032,2.306445,2.306445,146.320031,144.013586
1,16,49,784,9.614710,1.026458,1.026458,141.619996,140.593537
1,16,112,1792,10.807355,1.025085,1.025085,140.680000,139.654916
1,16,159,2544,11.312883,1.078854,1.078854,140.860036,139.781182
1,16,192,3072,11.584963,1.045221,1.045221,148.840016,147.794794
1,16,298,4768,12.219169,1.037552,1.037552,141.180004,140.142452
1,16,331,5296,12.370687,1.055508,1.055508,142.470002,141.414494
1,16,392,6272,12.614710,1.104583,1.104583,141.289958,140.185375
1,16,693,11088,13.436712,1.131107,1.131107,144.739985,143.608878
1,16,1532,24512,14.581201,1.174362,1.174362,142.209989,141.035627
1,16,6413,102608,16.646784,1.443691,1.443691,141.200027,139.756336
1,16,9046,144736,17.143064,1.620827,1.620827,142.640027,141.019200
1,16,17040,272640,18.056638,2.061751,2.061751,145.929982,143.868231
1,16,25594,409504,18.643518,2.539160,2.539160,144.660007,142.120847
1,16,42689,683024,19.381577,3.358522,3.358522,142.339966,138.981444
1,16,44560,712960,19.443462,3.468965,3.468965,142.150035,138.681070
1,64,11,704,9.459432,0.994551,0.994551,142.059987,141.065437
1,64,15,960,9.906891,1.001458,1.001458,142.650038,141.648580
1,64,60,3840,11.906891,1.105710,1.105710,142.689969,141.584259
1,64,98,6272,12.614710,1.070983,1.070983,143.660000,142.589017
1,64,580,37120,15.179909,1.237878,1.237878,141.349970,140.112093
1,64,1028,65792,16.005625,1.391803,1.391803,141.469995,140.078191
1,64,1665,106560,16.701306,1.548034,1.548034,143.200043,141.652009
1,64,6135,392640,18.582848,2.455397,2.455397,140.190008,137.734611
1,64,6254,400256,18.610564,2.440007,2.440007,141.150027,138.710021
1,64,10279,657856,19.327412,3.313802,3.313802,144.929974,141.616172
1,64,16044,1026816,19.969746,4.413841,4.413841,143.929967,139.516126
1,64,19234,1230976,20.231371,5.106322,5.106322,146.389997,141.283675
1,64,24209,1549376,20.563256,6.076628,6.076628,147.950021,141.873393
1,64,31062,1987968,20.922863,7.436341,7.436341,150.159991,142.723650
1,64,35567,2276288,21.118252,8.336660,8.336660,151.059998,142.723338
1,128,9,1152,10.169925,1.001725,1.001725,142.670004,141.668278
1,128,27,3456,11.754888,1.065710,1.065710,139.990007,138.924297
1,128,147,18816,14.199672,1.131647,1.131647,143.609999,142.478352
1,128,207,26496,14.693487,1.192721,1.192721,141.719996,140.527275
1,128,271,34688,15.082149,1.209590,1.209590,140.219985,139.010395
1,128,1550,198400,17.598053,1.826022,1.826022,140.460033,138.634011
1,128,2443,312704,18.254438,2.133776,2.133776,140.650023,138.516247
1,128,13624,1743872,20.733863,6.555000,6.555000,149.469997,142.914997
1,128,28196,3609088,21.783203,12.512754,12.512754,153.250003,140.737249
1,128,44731,5725568,22.448987,18.865482,18.865482,158.369949,139.504467
1,256,10,2560,11.321928,1.040573,1.040573,141.939963,140.899390
1,256,22,5632,12.459432,1.046465,1.046465,145.099999,144.053534
1,256,25,6400,12.643856,1.106328,1.106328,144.590042,143.483713
