d0,d1,d2,size,log2_size,latency_us,kernel_us,wall_us,host_us
1,1,11,11,3.459432,0.921999,0.921999,125.020044,124.098045
1,1,33,33,5.044394,0.923724,0.923724,124.850019,123.926295
1,1,48,48,5.584963,0.926790,0.926790,122.910016,121.983226
1,1,66,66,6.044394,0.923861,0.923861,122.929981,122.006121
1,1,75,75,6.228819,0.922298,0.922298,124.679995,123.757697
1,1,111,111,6.794416,0.932285,0.932285,120.780023,119.847738
1,1,797,797,9.638436,0.975931,0.975931,123.560021,122.584090
1,1,931,931,9.862637,1.002279,1.002279,124.260026,123.257748
1,1,1006,1006,9.974415,0.977565,0.977565,122.110010,121.132445
1,1,1446,1446,10.497852,1.043548,1.043548,139.240001,138.196453
1,1,1695,1695,10.727070,1.058555,1.058555,122.049998,120.991443
1,1,21218,21218,14.373001,1.323613,1.323613,121.719961,120.396347
1,1,49863,49863,15.605682,1.633366,1.633366,125.160033,123.526667
1,8,16,128,7.000000,0.972064,0.972064,124.579994,123.607930
1,8,36,288,8.169925,0.975592,0.975592,127.659994,126.684402
1,8,42,336,8.392317,0.984681,0.984681,122.969970,121.985289
1,8,85,680,9.409391,0.971966,0.971966,122.439989,121.468023
1,8,90,720,9.491853,0.964316,0.964316,123.940001,122.975684
1,8,185,1480,10.531381,0.992181,0.992181,122.309953,121.317772
1,8,250,2000,10.965784,0.999798,0.999798,123.639998,122.640200
1,8,300,2400,11.228819,1.053516,1.053516,124.799961,123.746445
1,8,490,3920,11.936638,1.034987,1.034987,125.469989,124.435002
1,8,527,4216,12.041659,1.092520,1.092520,123.869977,122.777457
1,8,846,6768,12.724514,1.076563,1.076563,122.469966,121.393404
1,8,3222,25776,14.653741,1.164160,1.164160,123.189995,122.025835
1,8,7511,60088,15.874789,1.330853,1.330853,124.429993,123.099140
1,8,7749,61992,15.919794,1.306784,1.306784,121.920020,120.613236
1,8,9317,74536,16.185650,1.318744,1.318744,125.120045,123.801301
1,8,45294,362352,18.467032,2.193360,2.193360,123.289996,121.096636
1,16,49,784,9.614710,0.975632,0.975632,121.410005,120.434373
1,16,112,1792,10.807355,1.013223,1.013223,122.610014,121.596791
1,16,159,2544,11.312883,1.047207,1.047207,124.940008,123.892801
1,16,192,3072,11.584963,1.035091,1.035091,127.980020,126.944929
1,16,298,4768,12.219169,1.088880,1.088880,121.939986,120.851105
1,16,331,5296,12.370687,1.047572,1.047572,126.169994,125.122423
1,16,392,6272,12.614710,1.051218,1.051218,139.120035,138.068817
1,16,693,11088,13.436712,1.110710,1.110710,133.799971,132.689261
1,16,1532,24512,14.581201,1.163210,1.163210,135.430018,134.266809
1,16,6413,102608,16.646784,1.432305,1.432305,139.060023,137.627718
1,16,9046,144736,17.143064,1.575592,1.575592,139.819982,138.244389
1,16,17040,272640,18.056638,1.986211,1.986211,140.919990,138.933779
1,16,25594,409504,18.643518,2.317995,2.317995,137.869967,135.551972
1,16,42689,683024,19.381577,3.100482,3.100482,141.480006,138.379524
1,16,44560,712960,19.443462,3.202773,3.202773,138.619973,135.417199
1,64,11,704,9.459432,0.987266,0.987266,134.580012,133.592746
1,64,15,960,9.906891,0.991927,0.991927,134.300033,133.308106
1,64,60,3840,11.906891,1.138008,1.138008,135.159993,134.021985
1,64,98,6272,12.614710,1.075221,1.075221,133.019988,131.944767
1,64,580,37120,15.179909,1.246335,1.246335,133.510039,132.263704
1,64,1028,65792,16.005625,1.323828,1.323828,139.960030,138.636201
1,64,1665,106560,16.701306,1.489792,1.489792,137.819967,136.330175
1,64,6135,392640,18.582848,2.281152,2.281152,138.480042,136.198889
1,64,6254,400256,18.610564,2.326953,2.326953,130.000000,127.673047
1,64,10279,657856,19.327412,3.040306,3.040306,136.270013,133.229707
1,64,16044,1026816,19.969746,4.058171,4.058171,131.769979,127.711808
1,64,19234,1230976,20.231371,4.646641,4.646641,136.739982,132.093341
1,64,24209,1549376,20.563256,5.572051,5.572051,139.240001,133.667950
1,64,31062,1987968,20.922863,6.774330,6.774330,144.520018,137.745688
1,64,35567,2276288,21.118252,7.598301,7.598301,142.330013,134.731712
1,128,9,1152,10.169925,1.023763,1.023763,129.220018,128.196255
1,128,27,3456,11.754888,1.023405,1.023405,134.570000,133.546595
1,128,147,18816,14.199672,1.154967,1.154967,123.110018,121.955050
1,128,207,26496,14.693487,1.168027,1.168027,117.390009,116.221982
1,128,271,34688,15.082149,1.199967,1.199967,121.389981,120.190014
1,128,1550,198400,17.598053,1.760300,1.760300,120.470009,118.709710
1,128,2443,312704,18.254438,2.098542,2.098542,122.179976,120.081434
1,128,13624,1743872,20.733863,5.170443,5.170443,125.049963,119.879520
1,128,28196,3609088,21.783203,11.604062,11.604062,133.300025,121.695963
1,128,44731,5725568,22.448987,17.411563,17.411563,132.260029,114.848467
1,256,10,2560,11.321928,1.036465,1.036465,120.539975,119.503510
1,256,22,5632,12.459432,1.071973,1.071973,122.300000,121.228027
1,256,25,6400,12.643856,1.059434,1.059434,123.700011,122.640577
1,256,44,11264,13.459432,1.102383,1.102383,122.850004,121.747621
1,256,59,15104,13.882643,1.086205,1.086205,120.109995,119.023790
1,256,135,34560,15.076816,1.189564,1.189564,117.940013,116.750449
1,256,167,42752,15.383704,1.222227,1.222227,122.860016,121.637789
1,256,291,74496,16.184875,1.317819,1.317819,125.059974,123.742155
1,256,356,91136,16.475733,1.346927,1.346927,121.639983,120.293056
1,256,455,116480,16.829723,1.500599,1.500599,124.370039,122.869440
1,256,496,126976,16.954196,1.510690,1.510690,126.920000,125.409310
1,512,11,5632,12.459432,1.056003,1.056003,122.380035,121.324033
1,512,14,7168,12.807355,1.073190,1.073190,122.470025,121.396834
1,512,46,23552,14.523562,1.177467,1.177467,117.479998,116.302531
1,512,110,56320,15.781360,1.279583,1.279583,117.669988,116.390405
1,512,267,136704,17.060696,1.568607,1.568607,123.840000,122.271393
1,512,1306,668672,19.350939,3.102591,3.102591,118.400028,115.297437
1,512,2250,1152000,20.135709,4.492468,4.492468,120.999990,116.507523
1,512,8656,4431872,22.079485,14.009212,14.009212,132.970046,118.960834
1,512,12121,6205952,22.565221,18.546862,18.546862,137.280033,118.733171
1,512,14592,7471104,22.832890,26.717897,26.717897,141.489960,114.772063
1,512,35856,18358272,24.129927,52.207819,52.207819,166.799990,114.592171
1,1024,11,11264,13.459432,1.101556,1.101556,125.020044,123.918488
1,1024,18,18432,14.169925,1.154837,1.154837,120.549987,119.395149
1,1024,21,21504,14.392317,1.203249,1.203249,124.840008,123.636759
1,1024,75,76800,16.228819,1.336576,1.336576,120.439974,119.103399
1,1024,110,112640,16.781360,1.502689,1.502689,120.989978,119.487289
1,1024,169,173056,17.400879,1.690990,1.690990,116.450014,114.759024
1,1024,346,354304,18.434628,2.260163,2.260163,120.349985,118.089822
1,1024,504,516096,18.977280,2.775091,2.775091,122.269965,119.494874
1,1024,1354,1386496,20.403012,5.462220,5.462220,126.269995,120.807775
1,1024,5224,5349376,22.350939,16.496550,16.496550,131.870038,115.373488
1,1024,5745,5882880,22.488091,18.085130,18.085130,136.089977,118.004847
1,1024,5876,6017024,22.520619,18.650430,18.650430,133.300025,114.649596
1,1024,9437,9663488,23.204113,28.817070,28.817070,145.910017,117.092946
1,1024,37999,38910976,25.213674,110.229349,110.229349,224.130054,113.900705
2,1,116,232,7.857981,0.921927,0.921927,123.239995,122.318068
2,1,126,252,7.977280,0.922194,0.922194,118.859985,117.937791
2,1,179,358,8.483816,0.945130,0.945130,120.039971,119.094841
2,1,2494,4988,12.284246,1.048932,1.048932,125.090010,124.041077
2,1,4226,8452,13.045077,1.137331,1.137331,123.000005,121.862674
2,1,7883,15766,13.944529,1.190495,1.190495,115.679984,114.489490
2,1,10111,20222,14.303638,1.179251,1.179251,118.469994,117.290743
2,8,11,176,7.459432,0.991960,0.991960,117.560034,116.568074
2,8,244,3904,11.930737,1.054531,1.054531,118.460041,117.405509
2,8,617,9872,13.269127,1.088138,1.088138,120.359997,119.271859
2,8,741,11856,13.533330,1.083620,1.083620,120.459998,119.376378
2,8,5525,88400,16.431759,1.381367,1.381367,117.290008,115.908641
2,16,20,640,9.321928,1.038958,1.038958,119.180011,118.141053
2,16,94,3008,11.554589,1.034238,1.034238,125.509978,124.475739
2,64,9,1152,10.169925,1.024987,1.024987,120.220007,119.195020
2,64,14,1792,10.807355,1.052962,1.052962,122.260011,121.207049
2,64,8964,1147392,20.129927,4.427988,4.427988,117.799966,113.371977
2,64,19978,2557184,21.286125,8.482103,8.482103,123.819977,115.337874
2,128,40,10240,13.321928,1.086016,1.086016,119.989971,118.903955
2,128,162,41472,15.339850,1.271849,1.271849,117.859978,116.588129
2,128,862,220672,17.751544,2.063040,2.063040,118.120050,116.057009
2,256,82,41984,15.357552,1.289707,1.289707,120.640034,119.350327
2,256,150,76800,16.228819,1.419388,1.419388,116.449955,115.030567
2,256,15094,7728128,22.881688,23.348574,23.348574,135.959999,112.611425
2,512,93,95232,16.539159,1.534772,1.534772,120.820012,119.285240
2,512,1048,1073152,20.033423,4.235215,4.235215,119.089964,114.854749
2,1024,43,88064,16.426265,1.480918,1.480918,124.840008,123.359090
2,1024,181,370688,18.499846,2.714355,2.714355,117.179996,114.465640
2,1024,1694,3469312,21.726218,11.266172,11.266172,130.810018,119.543846
4,1,9097,36388,15.151175,1.260521,1.260521,120.729965,119.469444
4,1,11333,45332,15.468242,1.237799,1.237799,120.120007,118.882207
4,8,1474,47168,15.525521,1.252930,1.252930,118.749973,117.497043
4,8,3806,121792,16.894060,1.510000,1.510000,118.280004,116.770004
4,8,6618,211776,17.692180,1.761244,1.761244,120.229961,118.468717
4,16,19,1216,10.247928,1.059564,1.059564,119.420001,118.360437
4,16,215,13760,13.748193,1.110111,1.110111,119.409990,118.299879
4,16,326,20864,14.348728,1.188763,1.188763,122.520025,121.331262
4,16,347,22208,14.438792,1.168359,1.168359,120.050041,118.881682
4,16,396,25344,14.629357,1.181608,1.181608,121.099991,119.918383
4,16,14332,917248,19.806952,3.786979,3.786979,117.809977,114.022998
4,64,27,6912,12.754888,1.174258,1.174258,122.320023,121.145766
4,64,2169,555264,19.082814,2.743470,2.743470,117.340009,114.596539
4,64,4001,1024256,19.966145,4.336758,4.336758,120.630022,116.293264
4,128,61,31232,14.930737,1.182780,1.182780,118.090014,116.907234
4,128,123,62976,15.942515,1.376862,1.376862,120.320008,118.943146
4,128,382,195584,17.577429,1.837904,1.837904,124.919985,123.082081
4,128,752,385024,18.554589,2.316829,2.316829,127.659994,125.343165
4,128,849,434688,18.729621,2.634681,2.634681,124.689948,122.055267
4,128,28861,14776832,23.816834,41.718216,41.718216,157.580012,115.861796
4,256,17,17408,14.087463,1.159922,1.159922,137.099996,135.940074
4,256,95,97280,16.569856,1.456973,1.456973,118.330005,116.873032
4,256,252,258048,17.977280,2.019264,2.019264,146.319973,144.300709
4,256,362,370688,18.499846,2.427161,2.427161,117.999967,115.572806
4,256,2007,2055168,20.970825,7.426387,7.426387,126.130006,118.703619
4,256,3313,3392512,21.693922,11.893027,11.893027,129.460008,117.566981
4,256,31326,32077824,24.935073,91.262428,91.262428,207.450008,116.187580
4,512,230,471040,18.845490,2.744251,2.744251,119.339966,116.595714
4,1024,15,61440,15.906891,1.329779,1.329779,122.770027,121.440248
4,1024,18,73728,16.169925,1.333652,1.333652,122.160011,120.826358
