d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.011491
1,1,16,16,4.000000,1.010698
1,1,20,20,4.321928,1.009602
1,1,22,22,4.459432,1.010001
1,1,33,33,5.044394,1.010387
1,1,46,46,5.523562,1.010860
1,1,48,48,5.584963,1.009599
1,1,49,49,5.614710,1.010050
1,1,59,59,5.882643,1.010354
1,1,66,66,6.044394,1.010631
1,1,75,75,6.228819,1.011477
1,1,87,87,6.442943,1.010070
1,1,111,111,6.794416,1.010353
1,1,149,149,7.219169,1.013643
1,1,227,227,7.826548,1.013982
1,1,636,636,9.312883,1.565972
1,1,698,698,9.447083,1.600289
1,1,797,797,9.638436,1.618217
1,1,931,931,9.862637,1.611908
1,1,1006,1006,9.974415,1.612167
1,1,1115,1115,10.122828,1.565398
1,1,1437,1437,10.488844,1.630717
1,1,1446,1446,10.497852,1.632810
1,1,1619,1619,10.660887,1.631474
1,1,1695,1695,10.727070,2.226971
1,1,2434,2434,11.249113,2.235681
1,1,4739,4739,12.210367,1.725139
1,1,10690,10690,13.383974,1.845374
1,1,14019,14019,13.775096,1.956457
1,1,20704,20704,14.337622,1.960521
1,1,21218,21218,14.373001,1.959622
1,1,35734,35734,15.125010,2.238441
1,1,49863,49863,15.605682,2.434271
1,8,10,80,6.321928,1.566037
1,8,16,128,7.000000,1.566113
1,8,19,152,7.247928,1.566065
1,8,27,216,7.754888,1.565369
1,8,28,224,7.807355,1.565269
1,8,36,288,8.169925,1.566156
1,8,39,312,8.285402,1.565913
1,8,42,336,8.392317,1.565022
1,8,71,568,9.149747,1.565683
1,8,81,648,9.339850,1.565954
1,8,85,680,9.409391,1.565491
1,8,90,720,9.491853,1.565367
1,8,116,928,9.857981,1.564990
1,8,126,1008,9.977280,1.565789
1,8,148,1184,10.209453,1.594315
1,8,155,1240,10.276124,1.595465
1,8,165,1320,10.366322,1.594083
1,8,185,1480,10.531381,1.595754
1,8,208,1664,10.700440,1.590657
1,8,250,2000,10.965784,1.590735
1,8,267,2136,11.060696,1.633714
1,8,283,2264,11.144658,1.596021
1,8,300,2400,11.228819,1.596924
1,8,312,2496,11.285402,1.590013
1,8,336,2688,11.392317,1.589442
1,8,490,3920,11.936638,2.235535
1,8,527,4216,12.041659,2.172326
1,8,602,4816,12.233620,2.167478
1,8,705,5640,12.461479,2.206528
1,8,846,6768,12.724514,1.678077
1,8,1235,9880,13.270295,1.716301
1,8,1619,12952,13.660887,1.740615
1,8,2567,20536,14.325868,1.780144
1,8,2582,20656,14.334273,1.779722
1,8,3222,25776,14.653741,1.780488
1,8,3726,29808,14.863412,1.858101
1,8,3811,30488,14.895954,1.856320
1,8,4292,34336,15.067434,1.830262
1,8,7511,60088,15.874789,1.956283
1,8,7749,61992,15.919794,1.960400
1,8,9317,74536,16.185650,2.026429
1,8,10422,83376,16.347345,2.057450
1,8,12212,97696,16.576012,2.136690
1,8,16946,135568,17.048657,2.260084
1,8,30026,240208,17.873925,2.699901
1,8,45294,362352,18.467032,3.138268
1,8,48074,384592,18.552969,3.223199
1,8,48314,386512,18.560154,3.237836
1,16,8,128,7.000000,1.565031
1,16,9,144,7.169925,1.621410
1,16,10,160,7.321928,1.595354
1,16,14,224,7.807355,1.592057
1,16,22,352,8.459432,1.591155
1,16,29,464,8.857981,1.591563
1,16,31,496,8.954196,1.592107
1,16,49,784,9.614710,1.591255
1,16,76,1216,10.247928,1.596449
1,16,112,1792,10.807355,1.591629
1,16,126,2016,10.977280,1.590309
1,16,128,2048,11.000000,1.599270
1,16,159,2544,11.312883,2.179310
1,16,183,2928,11.515700,2.175387
1,16,192,3072,11.584963,2.232971
1,16,219,3504,11.774787,2.178196
1,16,273,4368,12.092757,2.236347
1,16,274,4384,12.098032,2.236137
1,16,298,4768,12.219169,2.228282
1,16,331,5296,12.370687,2.235710
1,16,392,6272,12.614710,1.677507
1,16,693,11088,13.436712,1.739089
1,16,828,13248,13.693487,1.717792
1,16,994,15904,13.957102,1.740713
1,16,1152,18432,14.169925,1.780337
1,16,1347,21552,14.395534,1.782622
1,16,1393,22288,14.443980,1.780013
1,16,1532,24512,14.581201,1.784766
1,16,1567,25072,14.613789,1.808931
1,16,3936,62976,15.942515,1.958994
1,16,4087,65392,15.996827,1.958326
1,16,4167,66672,16.024793,1.958755
1,16,4879,78064,16.252370,1.997402
1,16,5281,84496,16.366595,2.038930
1,16,6413,102608,16.646784,2.120042
1,16,7203,115248,16.814382,2.173973
1,16,7612,121792,16.894060,2.181751
1,16,9046,144736,17.143064,2.308846
1,16,17040,272640,18.056638,2.760330
1,16,17371,277936,18.084393,2.791753
1,16,22221,355536,18.439636,3.095695
1,16,24311,388976,18.569322,3.192782
1,16,25594,409504,18.643518,3.302566
1,16,27190,435040,18.730789,3.399732
1,16,33635,538160,19.037676,3.914760
1,16,35340,565440,19.109014,3.903668
1,16,42689,683024,19.381577,4.345959
1,16,44560,712960,19.443462,4.467427
1,64,11,704,9.459432,1.611666
1,64,15,960,9.906891,1.610921
1,64,34,2176,11.087463,2.235339
1,64,58,3712,11.857981,1.677411
1,64,60,3840,11.906891,1.676973
1,64,98,6272,12.614710,1.678645
1,64,99,6336,12.629357,1.677502
1,64,174,11136,13.442943,1.740543
1,64,385,24640,14.588715,1.815470
1,64,568,36352,15.149747,1.955545
1,64,580,37120,15.179909,1.958211
1,64,632,40448,15.303781,1.957568
1,64,1028,65792,16.005625,2.015211
1,64,1211,77504,16.241983,2.045134
1,64,1371,87744,16.421013,2.084300
1,64,1665,106560,16.701306,2.176585
1,64,1711,109504,16.740624,2.180053
1,64,1986,127104,16.955650,2.237655
1,64,2314,148096,17.176173,2.335101
1,64,5188,332032,18.340963,3.024244
1,64,6135,392640,18.582848,3.254434
1,64,6254,400256,18.610564,3.272004
1,64,8624,551936,19.074141,3.921528
1,64,10045,642880,19.294190,4.178132
1,64,10279,657856,19.327412,4.239038
1,64,10432,667648,19.348728,4.298489
1,64,11325,724800,19.467223,4.522917
1,64,14864,951296,19.859535,5.362326
1,64,16044,1026816,19.969746,5.673562
1,64,16421,1050944,20.003254,5.750205
1,64,17085,1093440,20.060443,5.913082
1,64,19234,1230976,20.231371,6.458194
1,64,24209,1549376,20.563256,7.709406
1,64,29478,1886592,20.847351,8.995936
1,64,30422,1947008,20.892827,9.217785
1,64,31062,1987968,20.922863,9.327080
1,64,35567,2276288,21.118252,10.444749
1,128,8,1024,10.000000,1.565445
1,128,9,1152,10.169925,1.613639
1,128,10,1280,10.321928,1.601297
1,128,12,1536,10.584963,1.601336
1,128,16,2048,11.000000,1.599363
1,128,18,2304,11.169925,1.590960
1,128,19,2432,11.247928,1.590669
1,128,20,2560,11.321928,1.588578
1,128,27,3456,11.754888,2.234618
1,128,47,6016,12.554589,2.236469
1,128,147,18816,14.199672,1.741090
1,128,157,20096,14.294621,1.741514
1,128,181,23168,14.499846,1.779275
1,128,202,25856,14.658211,1.780904
1,128,207,26496,14.693487,1.781386
1,128,271,34688,15.082149,1.827256
1,128,279,35712,15.124121,1.835031
1,128,317,40576,15.308339,1.926807
1,128,991,126848,16.952741,2.211035
1,128,1171,149888,17.193525,2.295793
1,128,1550,198400,17.598053,2.479451
1,128,1728,221184,17.754888,2.564666
1,128,2407,308096,18.233020,2.876268
1,128,2443,312704,18.254438,2.895326
1,128,3069,392832,18.583553,3.208176
1,128,5175,662400,19.337343,4.188773
1,128,5626,720128,19.457894,4.430674
1,128,8463,1083264,20.046953,5.225845
1,128,8964,1147392,20.129927,5.463653
1,128,13624,1743872,20.733863,7.385388
1,128,28105,3597440,21.778539,12.969772
1,128,28196,3609088,21.783203,12.978402
1,128,30968,3963904,21.918491,14.040662
1,128,35196,4505088,22.103124,16.002808
1,128,35968,4603904,22.134426,15.710365
1,128,41615,5326720,22.344816,20.737854
1,128,41633,5329024,22.345440,20.838402
1,128,44731,5725568,22.448987,22.149589
1,256,8,2048,11.000000,1.612303
1,256,9,2304,11.169925,2.234631
1,256,10,2560,11.321928,2.234589
1,256,11,2816,11.459432,2.234985
1,256,20,5120,12.321928,2.234585
1,256,22,5632,12.459432,2.235810
1,256,25,6400,12.643856,1.679293
1,256,31,7936,12.954196,1.676729
1,256,34,8704,13.087463,1.681447
1,256,44,11264,13.459432,1.678803
1,256,50,12800,13.643856,1.739675
1,256,59,15104,13.882643,1.740317
1,256,67,17152,14.066089,1.761258
1,256,135,34560,15.076816,1.960624
1,256,164,41984,15.357552,1.956435
1,256,167,42752,15.383704,1.957563
1,256,247,63232,15.948367,1.959162
1,256,291,74496,16.184875,2.012236
1,256,356,91136,16.475733,2.101110
1,256,432,110592,16.754888,2.191193
1,256,455,116480,16.829723,2.208144
1,256,496,126976,16.954196,2.254038
1,256,685,175360,17.419960,2.448681
1,256,692,177152,17.434628,2.451061
1,256,790,202240,17.625709,2.609806
1,256,1587,406272,18.632086,3.300501
1,256,2719,696064,19.408860,4.377917
1,256,10171,2603776,21.312174,9.756963
1,256,13038,3337728,21.670435,12.643881
1,256,18450,4723200,22.171333,17.235548
1,256,21544,5515264,22.394999,21.531438
1,512,11,5632,12.459432,1.677487
1,512,13,6656,12.700440,1.677460
1,512,14,7168,12.807355,1.676881
1,512,23,11776,13.523562,1.740246
1,512,30,15360,13.906891,1.739233
1,512,36,18432,14.169925,1.744914
1,512,46,23552,14.523562,1.795511
1,512,49,25088,14.614710,1.799260
1,512,50,25600,14.643856,1.795648
1,512,79,40448,15.303781,1.958213
1,512,81,41472,15.339850,1.957286
1,512,84,43008,15.392317,1.955331
1,512,110,56320,15.781360,1.955109
1,512,149,76288,16.219169,1.961118
1,512,153,78336,16.257388,2.025486
1,512,165,84480,16.366322,2.063228
1,512,192,98304,16.584963,2.107605
1,512,211,108032,16.721099,2.161168
1,512,267,136704,17.060696,2.264997
1,512,310,158720,17.276124,2.347127
1,512,648,331776,18.339850,2.967635
1,512,937,479744,18.871905,3.561941
1,512,1306,668672,19.350939,4.275887
1,512,1629,834048,19.669771,4.875619
1,512,2054,1051648,20.004220,5.747900
1,512,2088,1069056,20.027906,5.787808
1,512,2250,1152000,20.135709,6.120890
1,512,2442,1250304,20.253847,6.531826
1,512,4269,2185728,21.059682,10.161027
1,512,4763,2438656,21.217655,11.108516
1,512,8028,4110336,21.970825,15.787123
1,512,8656,4431872,22.079485,14.996872
1,512,12121,6205952,22.565221,23.799543
1,512,14592,7471104,22.832890,28.259543
1,512,25869,13244928,23.658937,50.624224
1,512,33434,17118208,24.029028,65.955272
1,512,33831,17321472,24.046058,68.331368
1,512,34812,17823744,24.087297,67.863265
1,512,35856,18358272,24.129927,72.043767
1,512,38631,19779072,24.237471,76.548995
1,512,43682,22365184,24.414751,88.425158
1,1024,9,9216,13.169925,1.741777
1,1024,10,10240,13.321928,1.740796
1,1024,11,11264,13.459432,1.740550
1,1024,18,18432,14.169925,1.779352
1,1024,21,21504,14.392317,1.778682
1,1024,25,25600,14.643856,1.802466
1,1024,28,28672,14.807355,1.801337
1,1024,71,72704,16.149747,1.956813
1,1024,75,76800,16.228819,2.030572
1,1024,83,84992,16.375039,2.063524
1,1024,110,112640,16.781360,2.168399
1,1024,127,130048,16.988685,2.242063
1,1024,133,136192,17.055282,2.256682
1,1024,169,173056,17.400879,2.454893
1,1024,249,254976,17.960002,2.808542
1,1024,253,259072,17.982994,2.798495
1,1024,265,271360,18.049849,2.865111
1,1024,276,282624,18.108524,2.894922
1,1024,298,305152,18.219169,2.980083
1,1024,346,354304,18.434628,3.133773
1,1024,504,516096,18.977280,3.736364
1,1024,886,907264,19.791163,5.219565
1,1024,1064,1089536,20.055282,5.874384
1,1024,1354,1386496,20.403012,7.087374
1,1024,1951,1997824,20.929998,9.411598
1,1024,2518,2578432,21.298063,11.705571
1,1024,3805,3896320,21.893681,13.684703
1,1024,4689,4801536,22.195065,17.400756
1,1024,5224,5349376,22.350939,20.563676
1,1024,5745,5882880,22.488091,22.486185
1,1024,5876,6017024,22.520619,23.205820
1,1024,6787,6949888,22.728558,26.660320
1,1024,7471,7650304,22.867086,28.735066
1,1024,7976,8167424,22.961450,31.180776
1,1024,8890,9103360,23.117968,34.809724
1,1024,9027,9243648,23.140031,33.409178
1,1024,9437,9663488,23.204113,36.314429
1,1024,21746,22267904,24.408462,86.398285
