d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.011733
1,1,16,16,4.000000,1.011611
1,1,20,20,4.321928,1.012298
1,1,22,22,4.459432,1.011551
1,1,33,33,5.044394,1.012150
1,1,46,46,5.523562,1.012105
1,1,48,48,5.584963,1.011646
1,1,49,49,5.614710,1.011492
1,1,59,59,5.882643,1.011860
1,1,66,66,6.044394,1.011531
1,1,75,75,6.228819,1.012050
1,1,87,87,6.442943,1.011721
1,1,111,111,6.794416,1.012072
1,1,149,149,7.219169,1.015652
1,1,227,227,7.826548,1.014985
1,1,636,636,9.312883,1.566211
1,1,698,698,9.447083,1.566183
1,1,797,797,9.638436,1.630323
1,1,931,931,9.862637,1.611737
1,1,1006,1006,9.974415,1.611766
1,1,1115,1115,10.122828,1.573976
1,1,1437,1437,10.488844,1.633919
1,1,1446,1446,10.497852,1.634174
1,1,1619,1619,10.660887,1.677117
1,1,1695,1695,10.727070,2.236704
1,1,2434,2434,11.249113,2.236358
1,1,4739,4739,12.210367,1.683965
1,1,10690,10690,13.383974,1.843327
1,1,14019,14019,13.775096,1.956009
1,1,20704,20704,14.337622,1.970598
1,1,21218,21218,14.373001,1.992048
1,1,35734,35734,15.125010,2.232570
1,1,49863,49863,15.605682,2.446630
1,8,10,80,6.321928,1.565490
1,8,16,128,7.000000,1.565143
1,8,19,152,7.247928,1.565173
1,8,27,216,7.754888,1.564354
1,8,28,224,7.807355,1.565340
1,8,36,288,8.169925,1.564710
1,8,39,312,8.285402,1.565263
1,8,42,336,8.392317,1.565903
1,8,71,568,9.149747,1.566366
1,8,81,648,9.339850,1.565200
1,8,85,680,9.409391,1.565177
1,8,90,720,9.491853,1.565229
1,8,116,928,9.857981,1.564991
1,8,126,1008,9.977280,1.567079
1,8,148,1184,10.209453,1.601147
1,8,155,1240,10.276124,1.601799
1,8,165,1320,10.366322,1.601395
1,8,185,1480,10.531381,1.601709
1,8,208,1664,10.700440,1.601031
1,8,250,2000,10.965784,1.601334
1,8,267,2136,11.060696,1.597159
1,8,283,2264,11.144658,1.593786
1,8,300,2400,11.228819,1.630741
1,8,312,2496,11.285402,1.603889
1,8,336,2688,11.392317,1.597978
1,8,490,3920,11.936638,2.236393
1,8,527,4216,12.041659,2.235344
1,8,602,4816,12.233620,2.235222
1,8,705,5640,12.461479,2.236247
1,8,846,6768,12.724514,1.677534
1,8,1235,9880,13.270295,1.684987
1,8,1619,12952,13.660887,1.703516
1,8,2567,20536,14.325868,1.740938
1,8,2582,20656,14.334273,1.741867
1,8,3222,25776,14.653741,1.784467
1,8,3726,29808,14.863412,1.803462
1,8,3811,30488,14.895954,1.802530
1,8,4292,34336,15.067434,1.824818
1,8,7511,60088,15.874789,1.958454
1,8,7749,61992,15.919794,1.958716
1,8,9317,74536,16.185650,1.964552
1,8,10422,83376,16.347345,2.053844
1,8,12212,97696,16.576012,2.103191
1,8,16946,135568,17.048657,2.279820
1,8,30026,240208,17.873925,2.649308
1,8,45294,362352,18.467032,3.109453
1,8,48074,384592,18.552969,3.190369
1,8,48314,386512,18.560154,3.206148
1,16,8,128,7.000000,1.566577
1,16,9,144,7.169925,1.601118
1,16,10,160,7.321928,1.601329
1,16,14,224,7.807355,1.601726
1,16,22,352,8.459432,1.601099
1,16,29,464,8.857981,1.601613
1,16,31,496,8.954196,1.599723
1,16,49,784,9.614710,1.600529
1,16,76,1216,10.247928,1.600119
1,16,112,1792,10.807355,1.611875
1,16,126,2016,10.977280,1.611008
1,16,128,2048,11.000000,1.602131
1,16,159,2544,11.312883,2.234633
1,16,183,2928,11.515700,2.235962
1,16,192,3072,11.584963,2.235319
1,16,219,3504,11.774787,2.236074
1,16,273,4368,12.092757,2.234741
1,16,274,4384,12.098032,2.235939
1,16,298,4768,12.219169,2.235577
1,16,331,5296,12.370687,2.235801
1,16,392,6272,12.614710,1.677234
1,16,693,11088,13.436712,1.678704
1,16,828,13248,13.693487,1.741412
1,16,994,15904,13.957102,1.743133
1,16,1152,18432,14.169925,1.743311
1,16,1347,21552,14.395534,1.746895
1,16,1393,22288,14.443980,1.744351
1,16,1532,24512,14.581201,1.772198
1,16,1567,25072,14.613789,1.785132
1,16,3936,62976,15.942515,1.959629
1,16,4087,65392,15.996827,1.955392
1,16,4167,66672,16.024793,1.957229
1,16,4879,78064,16.252370,2.020696
1,16,5281,84496,16.366595,2.057082
1,16,6413,102608,16.646784,2.128304
1,16,7203,115248,16.814382,2.179960
1,16,7612,121792,16.894060,2.245247
1,16,9046,144736,17.143064,2.326199
1,16,17040,272640,18.056638,2.794969
1,16,17371,277936,18.084393,2.812065
1,16,22221,355536,18.439636,3.088879
1,16,24311,388976,18.569322,3.193067
1,16,25594,409504,18.643518,3.291639
1,16,27190,435040,18.730789,3.376074
1,16,33635,538160,19.037676,3.819938
1,16,35340,565440,19.109014,3.901137
1,16,42689,683024,19.381577,4.326474
1,16,44560,712960,19.443462,4.450537
1,64,11,704,9.459432,1.601676
1,64,15,960,9.906891,1.601039
1,64,34,2176,11.087463,2.234426
1,64,58,3712,11.857981,1.677574
1,64,60,3840,11.906891,1.676765
1,64,98,6272,12.614710,1.677000
1,64,99,6336,12.629357,1.677562
1,64,174,11136,13.442943,1.743058
1,64,385,24640,14.588715,1.808532
1,64,568,36352,15.149747,1.862367
1,64,580,37120,15.179909,1.861998
1,64,632,40448,15.303781,1.862143
1,64,1028,65792,16.005625,1.959269
1,64,1211,77504,16.241983,2.045857
1,64,1371,87744,16.421013,2.073022
1,64,1665,106560,16.701306,2.173212
1,64,1711,109504,16.740624,2.172080
1,64,1986,127104,16.955650,2.263338
1,64,2314,148096,17.176173,2.354675
1,64,5188,332032,18.340963,3.001033
1,64,6135,392640,18.582848,3.218725
1,64,6254,400256,18.610564,3.259131
1,64,8624,551936,19.074141,3.913207
1,64,10045,642880,19.294190,4.176235
1,64,10279,657856,19.327412,4.220722
1,64,10432,667648,19.348728,4.261588
1,64,11325,724800,19.467223,4.490315
1,64,14864,951296,19.859535,5.364217
1,64,16044,1026816,19.969746,5.660845
1,64,16421,1050944,20.003254,5.789429
1,64,17085,1093440,20.060443,5.914361
1,64,19234,1230976,20.231371,6.421301
1,64,24209,1549376,20.563256,7.782831
1,64,29478,1886592,20.847351,9.052534
1,64,30422,1947008,20.892827,9.281416
1,64,31062,1987968,20.922863,9.405137
1,64,35567,2276288,21.118252,10.454543
1,128,8,1024,10.000000,1.565121
1,128,9,1152,10.169925,1.600529
1,128,10,1280,10.321928,1.600521
1,128,12,1536,10.584963,1.601081
1,128,16,2048,11.000000,1.600977
1,128,18,2304,11.169925,1.598207
1,128,19,2432,11.247928,1.597783
1,128,20,2560,11.321928,1.597541
1,128,27,3456,11.754888,2.220647
1,128,47,6016,12.554589,2.236966
1,128,147,18816,14.199672,1.741438
1,128,157,20096,14.294621,1.741927
1,128,181,23168,14.499846,1.762813
1,128,202,25856,14.658211,1.784383
1,128,207,26496,14.693487,1.788541
1,128,271,34688,15.082149,1.824764
1,128,279,35712,15.124121,1.824243
1,128,317,40576,15.308339,1.861249
1,128,991,126848,16.952741,2.252476
1,128,1171,149888,17.193525,2.352326
1,128,1550,198400,17.598053,2.520045
1,128,1728,221184,17.754888,2.617548
1,128,2407,308096,18.233020,2.916423
1,128,2443,312704,18.254438,2.941337
1,128,3069,392832,18.583553,3.209021
1,128,5175,662400,19.337343,4.255348
1,128,5626,720128,19.457894,4.460132
1,128,8463,1083264,20.046953,5.273082
1,128,8964,1147392,20.129927,5.477306
1,128,13624,1743872,20.733863,7.523425
1,128,28105,3597440,21.778539,12.772694
1,128,28196,3609088,21.783203,12.798927
1,128,30968,3963904,21.918491,14.471094
1,128,35196,4505088,22.103124,15.990845
1,128,35968,4603904,22.134426,16.902489
1,128,41615,5326720,22.344816,20.698562
1,128,41633,5329024,22.345440,20.761779
1,128,44731,5725568,22.448987,22.051507
1,256,8,2048,11.000000,1.634191
1,256,9,2304,11.169925,2.180247
1,256,10,2560,11.321928,2.179939
1,256,11,2816,11.459432,2.193015
1,256,20,5120,12.321928,2.235983
1,256,22,5632,12.459432,2.234418
1,256,25,6400,12.643856,1.676746
1,256,31,7936,12.954196,1.677631
1,256,34,8704,13.087463,1.677705
1,256,44,11264,13.459432,1.678981
1,256,50,12800,13.643856,1.746487
1,256,59,15104,13.882643,1.743245
1,256,67,17152,14.066089,1.743069
1,256,135,34560,15.076816,1.825289
1,256,164,41984,15.357552,1.870314
1,256,167,42752,15.383704,1.872788
1,256,247,63232,15.948367,1.957264
1,256,291,74496,16.184875,1.985355
1,256,356,91136,16.475733,2.094903
1,256,432,110592,16.754888,2.151800
1,256,455,116480,16.829723,2.177591
1,256,496,126976,16.954196,2.245672
1,256,685,175360,17.419960,2.453491
1,256,692,177152,17.434628,2.455672
1,256,790,202240,17.625709,2.529949
1,256,1587,406272,18.632086,3.277390
1,256,2719,696064,19.408860,4.373816
1,256,10171,2603776,21.312174,9.789543
1,256,13038,3337728,21.670435,12.706575
1,256,18450,4723200,22.171333,16.987968
1,256,21544,5515264,22.394999,21.449269
1,512,11,5632,12.459432,1.677117
1,512,13,6656,12.700440,1.676669
1,512,14,7168,12.807355,1.676512
1,512,23,11776,13.523562,1.678658
1,512,30,15360,13.906891,1.742288
1,512,36,18432,14.169925,1.741089
1,512,46,23552,14.523562,1.779009
1,512,49,25088,14.614710,1.787336
1,512,50,25600,14.643856,1.789373
1,512,79,40448,15.303781,1.860726
1,512,81,41472,15.339850,1.954343
1,512,84,43008,15.392317,1.949745
1,512,110,56320,15.781360,1.956363
1,512,149,76288,16.219169,2.014914
1,512,153,78336,16.257388,2.039237
1,512,165,84480,16.366322,2.061110
1,512,192,98304,16.584963,2.103902
1,512,211,108032,16.721099,2.149099
1,512,267,136704,17.060696,2.299816
1,512,310,158720,17.276124,2.348277
1,512,648,331776,18.339850,2.987528
1,512,937,479744,18.871905,3.564342
1,512,1306,668672,19.350939,4.298272
1,512,1629,834048,19.669771,4.894000
1,512,2054,1051648,20.004220,5.754178
1,512,2088,1069056,20.027906,5.855365
1,512,2250,1152000,20.135709,6.176279
1,512,2442,1250304,20.253847,6.525002
1,512,4269,2185728,21.059682,10.180982
1,512,4763,2438656,21.217655,11.120733
1,512,8028,4110336,21.970825,14.937831
1,512,8656,4431872,22.079485,15.096895
1,512,12121,6205952,22.565221,23.821918
1,512,14592,7471104,22.832890,28.196372
1,512,25869,13244928,23.658937,50.977785
1,512,33434,17118208,24.029028,64.301162
1,512,33831,17321472,24.046058,63.638128
1,512,34812,17823744,24.087297,70.765023
1,512,35856,18358272,24.129927,72.291299
1,512,38631,19779072,24.237471,76.271005
1,512,43682,22365184,24.414751,84.903194
1,1024,9,9216,13.169925,1.743435
1,1024,10,10240,13.321928,1.742853
1,1024,11,11264,13.459432,1.741541
1,1024,18,18432,14.169925,1.779447
1,1024,21,21504,14.392317,1.780325
1,1024,25,25600,14.643856,1.810783
1,1024,28,28672,14.807355,1.810156
1,1024,71,72704,16.149747,1.959259
1,1024,75,76800,16.228819,2.041950
1,1024,83,84992,16.375039,2.071737
1,1024,110,112640,16.781360,2.169797
1,1024,127,130048,16.988685,2.267218
1,1024,133,136192,17.055282,2.299057
1,1024,169,173056,17.400879,2.464470
1,1024,249,254976,17.960002,2.745079
1,1024,253,259072,17.982994,2.746511
1,1024,265,271360,18.049849,2.811383
1,1024,276,282624,18.108524,2.835439
1,1024,298,305152,18.219169,2.928640
1,1024,346,354304,18.434628,3.104389
1,1024,504,516096,18.977280,3.712610
1,1024,886,907264,19.791163,5.225921
1,1024,1064,1089536,20.055282,5.882260
1,1024,1354,1386496,20.403012,7.050457
1,1024,1951,1997824,20.929998,9.456735
1,1024,2518,2578432,21.298063,11.719954
1,1024,3805,3896320,21.893681,14.451895
1,1024,4689,4801536,22.195065,17.836393
1,1024,5224,5349376,22.350939,20.643128
1,1024,5745,5882880,22.488091,22.591781
1,1024,5876,6017024,22.520619,23.167215
1,1024,6787,6949888,22.728558,26.507648
1,1024,7471,7650304,22.867086,28.793790
1,1024,7976,8167424,22.961450,30.657053
1,1024,8890,9103360,23.117968,34.863288
1,1024,9027,9243648,23.140031,33.599952
