d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,3.127825
1,1,16,16,4.000000,3.128356
1,1,20,20,4.321928,3.127626
1,1,22,22,4.459432,3.125872
1,1,33,33,5.044394,3.126438
1,1,46,46,5.523562,3.127000
1,1,48,48,5.584963,3.127480
1,1,49,49,5.614710,3.127267
1,1,59,59,5.882643,3.128107
1,1,66,66,6.044394,3.127865
1,1,75,75,6.228819,3.126966
1,1,87,87,6.442943,3.126933
1,1,111,111,6.794416,3.126636
1,1,149,149,7.219169,3.128303
1,1,227,227,7.826548,3.127894
1,1,636,636,9.312883,3.910076
1,1,698,698,9.447083,3.909471
1,1,797,797,9.638436,3.909759
1,1,931,931,9.862637,3.909678
1,1,1006,1006,9.974415,3.909845
1,1,1115,1115,10.122828,3.909159
1,1,1437,1437,10.488844,3.908690
1,1,1446,1446,10.497852,3.909411
1,1,1619,1619,10.660887,3.909818
1,1,1695,1695,10.727070,3.909566
1,1,2434,2434,11.249113,3.909082
1,1,4739,4739,12.210367,3.908274
1,1,10690,10690,13.383974,4.116203
1,1,14019,14019,13.775096,4.240594
1,1,20704,20704,14.337622,4.509374
1,1,21218,21218,14.373001,4.545697
1,1,35734,35734,15.125010,4.955036
1,1,49863,49863,15.605682,5.410890
1,8,10,80,6.321928,1.465897
1,8,16,128,7.000000,1.467082
1,8,19,152,7.247928,1.467198
1,8,27,216,7.754888,1.466815
1,8,28,224,7.807355,1.466778
1,8,36,288,8.169925,1.466886
1,8,39,312,8.285402,1.467518
1,8,42,336,8.392317,1.467852
1,8,71,568,9.149747,1.466125
1,8,81,648,9.339850,1.467349
1,8,85,680,9.409391,1.467383
1,8,90,720,9.491853,1.466762
1,8,116,928,9.857981,1.467179
1,8,126,1008,9.977280,1.466763
1,8,148,1184,10.209453,2.047438
1,8,155,1240,10.276124,2.048348
1,8,165,1320,10.366322,2.033601
1,8,185,1480,10.531381,2.041177
1,8,208,1664,10.700440,2.033746
1,8,250,2000,10.965784,2.042527
1,8,267,2136,11.060696,2.009739
1,8,283,2264,11.144658,2.008184
1,8,300,2400,11.228819,2.007506
1,8,312,2496,11.285402,2.006741
1,8,336,2688,11.392317,2.007467
1,8,490,3920,11.936638,2.058431
1,8,527,4216,12.041659,2.049436
1,8,602,4816,12.233620,2.061178
1,8,705,5640,12.461479,2.040843
1,8,846,6768,12.724514,2.060419
1,8,1235,9880,13.270295,2.123319
1,8,1619,12952,13.660887,2.156989
1,8,2567,20536,14.325868,2.236203
1,8,2582,20656,14.334273,2.234845
1,8,3222,25776,14.653741,2.237893
1,8,3726,29808,14.863412,2.286395
1,8,3811,30488,14.895954,2.287864
1,8,4292,34336,15.067434,2.345315
1,8,7511,60088,15.874789,2.511967
1,8,7749,61992,15.919794,2.516166
1,8,9317,74536,16.185650,2.610223
1,8,10422,83376,16.347345,2.609011
1,8,12212,97696,16.576012,2.709632
1,8,16946,135568,17.048657,2.935987
1,8,30026,240208,17.873925,3.622202
1,8,45294,362352,18.467032,4.352196
1,8,48074,384592,18.552969,4.486740
1,8,48314,386512,18.560154,4.459761
1,16,8,128,7.000000,1.118094
1,16,9,144,7.169925,2.033791
1,16,10,160,7.321928,2.028648
1,16,14,224,7.807355,2.029967
1,16,22,352,8.459432,2.028870
1,16,29,464,8.857981,2.034665
1,16,31,496,8.954196,2.028954
1,16,49,784,9.614710,2.027724
1,16,76,1216,10.247928,2.034883
1,16,112,1792,10.807355,2.030045
1,16,126,2016,10.977280,2.028785
1,16,128,2048,11.000000,2.028431
1,16,159,2544,11.312883,2.045588
1,16,183,2928,11.515700,2.047376
1,16,192,3072,11.584963,2.047079
1,16,219,3504,11.774787,2.046909
1,16,273,4368,12.092757,2.033318
1,16,274,4384,12.098032,2.034868
1,16,298,4768,12.219169,2.033148
1,16,331,5296,12.370687,2.033843
1,16,392,6272,12.614710,2.050371
1,16,693,11088,13.436712,2.134535
1,16,828,13248,13.693487,2.134581
1,16,994,15904,13.957102,2.173306
1,16,1152,18432,14.169925,2.224926
1,16,1347,21552,14.395534,2.235062
1,16,1393,22288,14.443980,2.234041
1,16,1532,24512,14.581201,2.235290
1,16,1567,25072,14.613789,2.235629
1,16,3936,62976,15.942515,2.447492
1,16,4087,65392,15.996827,2.451897
1,16,4167,66672,16.024793,2.452095
1,16,4879,78064,16.252370,2.508182
1,16,5281,84496,16.366595,2.568982
1,16,6413,102608,16.646784,2.635423
1,16,7203,115248,16.814382,2.720795
1,16,7612,121792,16.894060,2.742597
1,16,9046,144736,17.143064,2.864932
1,16,17040,272640,18.056638,3.516284
1,16,17371,277936,18.084393,3.514168
1,16,22221,355536,18.439636,3.905451
1,16,24311,388976,18.569322,4.083778
1,16,25594,409504,18.643518,4.160243
1,16,27190,435040,18.730789,4.267087
1,16,33635,538160,19.037676,4.702214
1,16,35340,565440,19.109014,4.872416
1,16,42689,683024,19.381577,5.470780
1,16,44560,712960,19.443462,5.556500
1,64,11,704,9.459432,1.676861
1,64,15,960,9.906891,1.676598
1,64,34,2176,11.087463,1.738320
1,64,58,3712,11.857981,2.049039
1,64,60,3840,11.906891,2.049425
1,64,98,6272,12.614710,2.047713
1,64,99,6336,12.629357,2.049297
1,64,174,11136,13.442943,2.173676
1,64,385,24640,14.588715,2.255243
1,64,568,36352,15.149747,2.315312
1,64,580,37120,15.179909,2.315061
1,64,632,40448,15.303781,2.312978
1,64,1028,65792,16.005625,2.449146
1,64,1211,77504,16.241983,2.486751
1,64,1371,87744,16.421013,2.528738
1,64,1665,106560,16.701306,2.668631
1,64,1711,109504,16.740624,2.664499
1,64,1986,127104,16.955650,2.733088
1,64,2314,148096,17.176173,2.830552
1,64,5188,332032,18.340963,3.724336
1,64,6135,392640,18.582848,3.937298
1,64,6254,400256,18.610564,3.967548
1,64,8624,551936,19.074141,4.650986
1,64,10045,642880,19.294190,5.033926
1,64,10279,657856,19.327412,5.137429
1,64,10432,667648,19.348728,5.173786
1,64,11325,724800,19.467223,5.433680
1,64,14864,951296,19.859535,6.510870
1,64,16044,1026816,19.969746,6.838856
1,64,16421,1050944,20.003254,6.994454
1,64,17085,1093440,20.060443,7.142808
1,64,19234,1230976,20.231371,7.838973
1,64,24209,1549376,20.563256,9.378128
1,64,29478,1886592,20.847351,11.072374
1,64,30422,1947008,20.892827,11.353813
1,64,31062,1987968,20.922863,11.543767
1,64,35567,2276288,21.118252,13.010320
1,128,8,1024,10.000000,1.118306
1,128,9,1152,10.169925,1.676934
1,128,10,1280,10.321928,1.677502
1,128,12,1536,10.584963,1.677602
1,128,16,2048,11.000000,1.677411
1,128,18,2304,11.169925,1.677982
1,128,19,2432,11.247928,1.677111
1,128,20,2560,11.321928,1.677199
1,128,27,3456,11.754888,1.685213
1,128,47,6016,12.554589,1.678060
1,128,147,18816,14.199672,1.955902
1,128,157,20096,14.294621,1.955842
1,128,181,23168,14.499846,1.957030
1,128,202,25856,14.658211,1.956268
1,128,207,26496,14.693487,1.954587
1,128,271,34688,15.082149,1.956087
1,128,279,35712,15.124121,1.957442
1,128,317,40576,15.308339,2.010901
1,128,991,126848,16.952741,2.562088
1,128,1171,149888,17.193525,2.645104
1,128,1550,198400,17.598053,2.936744
1,128,1728,221184,17.754888,3.044469
1,128,2407,308096,18.233020,3.517851
1,128,2443,312704,18.254438,3.578006
1,128,3069,392832,18.583553,3.912588
1,128,5175,662400,19.337343,5.306833
1,128,5626,720128,19.457894,5.305428
1,128,8463,1083264,20.046953,7.144155
1,128,8964,1147392,20.129927,7.458813
1,128,13624,1743872,20.733863,10.428285
1,128,28105,3597440,21.778539,19.576164
1,128,28196,3609088,21.783203,19.664589
1,128,30968,3963904,21.918491,21.519977
1,128,35196,4505088,22.103124,24.185068
1,128,35968,4603904,22.134426,24.849957
1,128,41615,5326720,22.344816,28.343217
1,128,41633,5329024,22.345440,28.405571
1,128,44731,5725568,22.448987,30.272874
1,256,8,2048,11.000000,1.676941
1,256,9,2304,11.169925,1.689402
1,256,10,2560,11.321928,1.680698
1,256,11,2816,11.459432,1.680014
1,256,20,5120,12.321928,1.677095
1,256,22,5632,12.459432,1.676078
1,256,25,6400,12.643856,1.690552
1,256,31,7936,12.954196,1.701733
1,256,34,8704,13.087463,1.778012
1,256,44,11264,13.459432,1.779770
1,256,50,12800,13.643856,1.779463
1,256,59,15104,13.882643,1.830202
1,256,67,17152,14.066089,1.956309
1,256,135,34560,15.076816,1.956081
1,256,164,41984,15.357552,1.977903
1,256,167,42752,15.383704,1.977930
1,256,247,63232,15.948367,2.136711
1,256,291,74496,16.184875,2.179201
1,256,356,91136,16.475733,2.262691
1,256,432,110592,16.754888,2.409146
1,256,455,116480,16.829723,2.395596
1,256,496,126976,16.954196,2.471794
1,256,685,175360,17.419960,2.668838
1,256,692,177152,17.434628,2.702538
1,256,790,202240,17.625709,2.821669
1,256,1587,406272,18.632086,3.912266
1,256,2719,696064,19.408860,5.011940
