d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.034754
1,1,16,16,4.000000,1.035132
1,1,20,20,4.321928,1.034507
1,1,22,22,4.459432,1.034513
1,1,33,33,5.044394,1.034518
1,1,46,46,5.523562,1.033846
1,1,48,48,5.584963,1.033958
1,1,49,49,5.614710,1.035158
1,1,59,59,5.882643,1.034527
1,1,66,66,6.044394,1.034881
1,1,75,75,6.228819,1.034690
1,1,87,87,6.442943,1.034814
1,1,111,111,6.794416,1.034127
1,1,149,149,7.219169,1.036314
1,1,227,227,7.826548,1.036109
1,1,636,636,9.312883,1.565672
1,1,698,698,9.447083,1.580232
1,1,797,797,9.638436,1.611902
1,1,931,931,9.862637,1.630387
1,1,1006,1006,9.974415,1.630197
1,1,1115,1115,10.122828,1.565193
1,1,1437,1437,10.488844,1.598406
1,1,1446,1446,10.497852,1.590443
1,1,1619,1619,10.660887,1.643354
1,1,1695,1695,10.727070,1.629942
1,1,2434,2434,11.249113,1.676714
1,1,4739,4739,12.210367,1.676205
1,1,10690,10690,13.383974,1.779650
1,1,14019,14019,13.775096,1.805373
1,1,20704,20704,14.337622,1.955918
1,1,21218,21218,14.373001,1.955408
1,1,35734,35734,15.125010,2.111302
1,1,49863,49863,15.605682,2.290416
1,8,10,80,6.321928,1.043455
1,8,16,128,7.000000,1.043138
1,8,19,152,7.247928,1.043117
1,8,27,216,7.754888,1.043791
1,8,28,224,7.807355,1.043593
1,8,36,288,8.169925,1.044768
1,8,39,312,8.285402,1.043385
1,8,42,336,8.392317,1.043550
1,8,71,568,9.149747,1.044506
1,8,81,648,9.339850,1.044049
1,8,85,680,9.409391,1.043946
1,8,90,720,9.491853,1.042667
1,8,116,928,9.857981,1.043365
1,8,126,1008,9.977280,1.044569
1,8,148,1184,10.209453,1.043742
1,8,155,1240,10.276124,1.044051
1,8,165,1320,10.366322,1.044341
1,8,185,1480,10.531381,1.043149
1,8,208,1664,10.700440,1.044222
1,8,250,2000,10.965784,1.043302
1,8,267,2136,11.060696,1.067212
1,8,283,2264,11.144658,1.066517
1,8,300,2400,11.228819,1.067611
1,8,312,2496,11.285402,1.067829
1,8,336,2688,11.392317,1.067633
1,8,490,3920,11.936638,1.044447
1,8,527,4216,12.041659,1.610471
1,8,602,4816,12.233620,1.612051
1,8,705,5640,12.461479,1.602641
1,8,846,6768,12.724514,1.630320
1,8,1235,9880,13.270295,1.631563
1,8,1619,12952,13.660887,1.675839
1,8,2567,20536,14.325868,1.676593
1,8,2582,20656,14.334273,1.676799
1,8,3222,25776,14.653741,1.678015
1,8,3726,29808,14.863412,1.677370
1,8,3811,30488,14.895954,1.678184
1,8,4292,34336,15.067434,1.740487
1,8,7511,60088,15.874789,1.828273
1,8,7749,61992,15.919794,1.827267
1,8,9317,74536,16.185650,1.958043
1,8,10422,83376,16.347345,1.956373
1,8,12212,97696,16.576012,1.845898
1,8,16946,135568,17.048657,2.088478
1,8,30026,240208,17.873925,2.380461
1,8,45294,362352,18.467032,2.795402
1,8,48074,384592,18.552969,2.448216
1,8,48314,386512,18.560154,2.885274
1,16,8,128,7.000000,1.118717
1,16,9,144,7.169925,1.118100
1,16,10,160,7.321928,1.118458
1,16,14,224,7.807355,1.123974
1,16,22,352,8.459432,1.044275
1,16,29,464,8.857981,1.044055
1,16,31,496,8.954196,1.044169
1,16,49,784,9.614710,1.043634
1,16,76,1216,10.247928,1.044107
1,16,112,1792,10.807355,1.043742
1,16,126,2016,10.977280,1.043277
1,16,128,2048,11.000000,1.043854
1,16,159,2544,11.312883,1.042674
1,16,183,2928,11.515700,1.043814
1,16,192,3072,11.584963,1.044154
1,16,219,3504,11.774787,1.043663
1,16,273,4368,12.092757,1.068105
1,16,274,4384,12.098032,1.067379
1,16,298,4768,12.219169,1.067124
1,16,331,5296,12.370687,1.067465
1,16,392,6272,12.614710,1.043813
1,16,693,11088,13.436712,1.610909
1,16,828,13248,13.693487,1.629898
1,16,994,15904,13.957102,1.630696
1,16,1152,18432,14.169925,1.628694
1,16,1347,21552,14.395534,1.630441
1,16,1393,22288,14.443980,1.630594
1,16,1532,24512,14.581201,1.629449
1,16,1567,25072,14.613789,1.678194
1,16,3936,62976,15.942515,1.740867
1,16,4087,65392,15.996827,1.739836
1,16,4167,66672,16.024793,1.736379
1,16,4879,78064,16.252370,1.780062
1,16,5281,84496,16.366595,1.801840
1,16,6413,102608,16.646784,1.954790
1,16,7203,115248,16.814382,1.969903
1,16,7612,121792,16.894060,1.960604
1,16,9046,144736,17.143064,1.961783
1,16,17040,272640,18.056638,2.238030
1,16,17371,277936,18.084393,2.103882
1,16,22221,355536,18.439636,2.438286
1,16,24311,388976,18.569322,2.496187
1,16,25594,409504,18.643518,2.341966
1,16,27190,435040,18.730789,2.612117
1,16,33635,538160,19.037676,2.787601
1,16,35340,565440,19.109014,2.879238
1,16,42689,683024,19.381577,3.134072
1,16,44560,712960,19.443462,3.181564
1,64,11,704,9.459432,1.117965
1,64,15,960,9.906891,1.126129
1,64,34,2176,11.087463,1.150841
1,64,58,3712,11.857981,1.173717
1,64,60,3840,11.906891,1.185810
1,64,98,6272,12.614710,1.054458
1,64,99,6336,12.629357,1.053710
1,64,174,11136,13.442943,1.058253
1,64,385,24640,14.588715,1.068165
1,64,568,36352,15.149747,1.630598
1,64,580,37120,15.179909,1.630531
1,64,632,40448,15.303781,1.631405
1,64,1028,65792,16.005625,1.679056
1,64,1211,77504,16.241983,1.741098
1,64,1371,87744,16.421013,1.696616
1,64,1665,106560,16.701306,1.740770
1,64,1711,109504,16.740624,1.742613
1,64,1986,127104,16.955650,1.777173
1,64,2314,148096,17.176173,1.827993
1,64,5188,332032,18.340963,2.082005
1,64,6135,392640,18.582848,2.113429
1,64,6254,400256,18.610564,2.235709
1,64,8624,551936,19.074141,2.418182
1,64,10045,642880,19.294190,2.532397
1,64,10279,657856,19.327412,2.624827
1,64,10432,667648,19.348728,2.609496
1,64,11325,724800,19.467223,2.573333
1,64,14864,951296,19.859535,2.945259
1,64,16044,1026816,19.969746,3.038402
1,64,16421,1050944,20.003254,3.130365
1,64,17085,1093440,20.060443,3.119384
1,64,19234,1230976,20.231371,3.345137
1,64,24209,1549376,20.563256,3.904543
1,64,29478,1886592,20.847351,4.244932
1,64,30422,1947008,20.892827,4.307192
1,64,31062,1987968,20.922863,4.399543
1,64,35567,2276288,21.118252,4.754543
1,128,8,1024,10.000000,1.119298
1,128,9,1152,10.169925,1.119105
1,128,10,1280,10.321928,1.118077
1,128,12,1536,10.584963,1.118616
1,128,16,2048,11.000000,1.118272
1,128,18,2304,11.169925,1.129290
1,128,19,2432,11.247928,1.130546
1,128,20,2560,11.321928,1.134018
1,128,27,3456,11.754888,1.141633
1,128,47,6016,12.554589,1.173881
1,128,147,18816,14.199672,1.304578
1,128,157,20096,14.294621,1.304819
1,128,181,23168,14.499846,1.332133
1,128,202,25856,14.658211,1.356955
1,128,207,26496,14.693487,1.364508
1,128,271,34688,15.082149,1.467091
1,128,279,35712,15.124121,1.468271
1,128,317,40576,15.308339,1.522259
1,128,991,126848,16.952741,4.838263
1,128,1171,149888,17.193525,5.390435
1,128,1550,198400,17.598053,6.710658
1,128,1728,221184,17.754888,1.956431
1,128,2407,308096,18.233020,9.508866
1,128,2443,312704,18.254438,9.613231
1,128,3069,392832,18.583553,11.744897
1,128,5175,662400,19.337343,18.455591
1,128,5626,720128,19.457894,19.964046
1,128,8463,1083264,20.046953,29.112078
1,128,8964,1147392,20.129927,30.906826
1,128,13624,1743872,20.733863,8.280731
1,128,28105,3597440,21.778539,92.868470
1,128,28196,3609088,21.783203,93.041779
1,128,30968,3963904,21.918491,16.731621
1,128,35196,4505088,22.103124,115.497715
1,128,35968,4603904,22.134426,7.406758
1,128,41615,5326720,22.344816,136.147258
1,128,41633,5329024,22.345440,136.338559
1,128,44731,5725568,22.448987,146.797034
1,256,8,2048,11.000000,1.119261
1,256,9,2304,11.169925,1.128151
1,256,10,2560,11.321928,1.132684
1,256,11,2816,11.459432,1.136393
1,256,20,5120,12.321928,1.159814
1,256,22,5632,12.459432,1.172428
1,256,25,6400,12.643856,1.174471
1,256,31,7936,12.954196,1.178994
1,256,34,8704,13.087463,1.190676
1,256,44,11264,13.459432,1.214733
1,256,50,12800,13.643856,1.232860
1,256,59,15104,13.882643,1.305058
1,256,67,17152,14.066089,1.304017
1,256,135,34560,15.076816,1.429561
1,256,164,41984,15.357552,1.505988
1,256,167,42752,15.383704,1.503114
1,256,247,63232,15.948367,1.698136
1,256,291,74496,16.184875,1.826225
1,256,356,91136,16.475733,1.969689
1,256,432,110592,16.754888,1.232796
1,256,455,116480,16.829723,2.190977
1,256,496,126976,16.954196,1.306218
1,256,685,175360,17.419960,4.519527
1,256,692,177152,17.434628,4.566040
1,256,790,202240,17.625709,4.970023
1,256,1587,406272,18.632086,8.302321
1,256,2719,696064,19.408860,13.106948
1,256,10171,2603776,21.312174,44.222534
1,256,13038,3337728,21.670435,56.373311
1,256,18450,4723200,22.171333,78.889884
1,256,21544,5515264,22.394999,14.864338
1,512,11,5632,12.459432,1.172973
1,512,13,6656,12.700440,1.174043
1,512,14,7168,12.807355,1.174482
1,512,23,11776,13.523562,1.222554
1,512,30,15360,13.906891,1.305049
1,512,36,18432,14.169925,1.303947
1,512,46,23552,14.523562,1.318439
1,512,49,25088,14.614710,1.333986
1,512,50,25600,14.643856,1.339226
1,512,79,40448,15.303781,1.476076
1,512,81,41472,15.339850,1.488545
1,512,84,43008,15.392317,1.505546
1,512,110,56320,15.781360,1.628920
1,512,149,76288,16.219169,1.807423
1,512,153,78336,16.257388,1.824732
1,512,165,84480,16.366322,1.953447
1,512,192,98304,16.584963,1.222231
1,512,211,108032,16.721099,2.099363
1,512,267,136704,17.060696,2.372475
1,512,310,158720,17.276124,2.610649
1,512,648,331776,18.339850,2.058067
1,512,937,479744,18.871905,6.091425
1,512,1306,668672,19.350939,10.267829
1,512,1629,834048,19.669771,12.591295
1,512,2054,1051648,20.004220,15.317737
1,512,2088,1069056,20.027906,2.946164
1,512,2250,1152000,20.135709,16.626507
1,512,2442,1250304,20.253847,17.915685
1,512,4269,2185728,21.059682,30.117420
1,512,4763,2438656,21.217655,33.231689
1,512,8028,4110336,21.970825,54.948767
1,512,8656,4431872,22.079485,9.587032
1,512,12121,6205952,22.565221,82.162146
1,512,14592,7471104,22.832890,10.217922
1,512,25869,13244928,23.658937,173.867441
1,512,33434,17118208,24.029028,227.302304
1,512,33831,17321472,24.046058,228.888034
1,512,34812,17823744,24.087297,231.654381
1,512,35856,18358272,24.129927,34.595342
1,512,38631,19779072,24.237471,258.339998
1,512,43682,22365184,24.414751,295.488032
1,1024,9,9216,13.169925,1.195260
1,1024,10,10240,13.321928,1.203997
1,1024,11,11264,13.459432,1.213932
1,1024,18,18432,14.169925,1.304223
1,1024,21,21504,14.392317,1.304890
1,1024,25,25600,14.643856,1.339287
1,1024,28,28672,14.807355,1.369691
1,1024,71,72704,16.149747,1.773897
1,1024,75,76800,16.228819,1.806602
1,1024,83,84992,16.375039,1.958018
1,1024,110,112640,16.781360,2.137268
1,1024,127,130048,16.988685,2.281278
1,1024,133,136192,17.055282,2.346794
1,1024,169,173056,17.400879,2.676286
1,1024,249,254976,17.960002,3.416997
1,1024,253,259072,17.982994,3.450408
1,1024,265,271360,18.049849,4.117438
1,1024,276,282624,18.108524,4.204922
1,1024,298,305152,18.219169,4.397622
1,1024,346,354304,18.434628,4.836251
1,1024,504,516096,18.977280,1.695561
1,1024,886,907264,19.791163,9.923168
1,1024,1064,1089536,20.055282,2.857237
1,1024,1354,1386496,20.403012,17.423813
1,1024,1951,1997824,20.929998,24.252534
1,1024,2518,2578432,21.298063,30.868311
1,1024,3805,3896320,21.893681,45.800000
