d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.010178
1,1,16,16,4.000000,1.008977
1,1,20,20,4.321928,1.010897
1,1,22,22,4.459432,1.009438
1,1,33,33,5.044394,1.010534
1,1,46,46,5.523562,1.009925
1,1,48,48,5.584963,1.009738
1,1,49,49,5.614710,1.009808
1,1,59,59,5.882643,1.010410
1,1,66,66,6.044394,1.010708
1,1,75,75,6.228819,1.010693
1,1,87,87,6.442943,1.010581
1,1,111,111,6.794416,1.010752
1,1,149,149,7.219169,1.015153
1,1,227,227,7.826548,1.014508
1,1,636,636,9.312883,1.566127
1,1,698,698,9.447083,1.565923
1,1,797,797,9.638436,1.631499
1,1,931,931,9.862637,1.613218
1,1,1006,1006,9.974415,1.609097
1,1,1115,1115,10.122828,1.572578
1,1,1437,1437,10.488844,1.631031
1,1,1446,1446,10.497852,1.631387
1,1,1619,1619,10.660887,1.677889
1,1,1695,1695,10.727070,2.236697
1,1,2434,2434,11.249113,2.235379
1,1,4739,4739,12.210367,1.679364
1,1,10690,10690,13.383974,1.838471
1,1,14019,14019,13.775096,1.955703
1,1,20704,20704,14.337622,1.963893
1,1,21218,21218,14.373001,1.988963
1,1,35734,35734,15.125010,2.233333
1,1,49863,49863,15.605682,2.446568
1,8,10,80,6.321928,1.565765
1,8,16,128,7.000000,1.564659
1,8,19,152,7.247928,1.565477
1,8,27,216,7.754888,1.566594
1,8,28,224,7.807355,1.565750
1,8,36,288,8.169925,1.565416
1,8,39,312,8.285402,1.565885
1,8,42,336,8.392317,1.564422
1,8,71,568,9.149747,1.565763
1,8,81,648,9.339850,1.565024
1,8,85,680,9.409391,1.565501
1,8,90,720,9.491853,1.565839
1,8,116,928,9.857981,1.564957
1,8,126,1008,9.977280,1.565734
1,8,148,1184,10.209453,1.601904
1,8,155,1240,10.276124,1.612059
1,8,165,1320,10.366322,1.612127
1,8,185,1480,10.531381,1.611481
1,8,208,1664,10.700440,1.603039
1,8,250,2000,10.965784,1.604051
1,8,267,2136,11.060696,1.602027
1,8,283,2264,11.144658,1.601217
1,8,300,2400,11.228819,1.601353
1,8,312,2496,11.285402,1.600746
1,8,336,2688,11.392317,1.611998
1,8,490,3920,11.936638,2.235012
1,8,527,4216,12.041659,2.234800
1,8,602,4816,12.233620,2.235272
1,8,705,5640,12.461479,2.235605
