d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.531539
1,1,16,16,4.000000,1.531547
1,1,20,20,4.321928,1.532587
1,1,22,22,4.459432,1.532142
1,1,33,33,5.044394,1.531960
1,1,46,46,5.523562,1.531043
1,1,48,48,5.584963,1.531772
1,1,49,49,5.614710,1.531910
1,1,59,59,5.882643,1.531245
1,1,66,66,6.044394,1.531632
1,1,75,75,6.228819,1.531186
1,1,87,87,6.442943,1.532053
1,1,111,111,6.794416,1.530881
1,1,149,149,7.219169,1.531989
1,1,227,227,7.826548,1.531782
1,1,636,636,9.312883,1.537605
1,1,698,698,9.447083,1.536985
1,1,797,797,9.638436,1.537051
1,1,931,931,9.862637,1.537105
1,1,1006,1006,9.974415,1.537928
1,1,1115,1115,10.122828,1.565802
1,1,1437,1437,10.488844,1.539518
1,1,1446,1446,10.497852,1.565650
1,1,1619,1619,10.660887,1.565645
1,1,1695,1695,10.727070,1.565351
1,1,2434,2434,11.249113,1.565859
1,1,4739,4739,12.210367,1.565305
1,1,10690,10690,13.383974,1.565734
1,1,14019,14019,13.775096,1.589436
1,1,20704,20704,14.337622,1.630749
1,1,21218,21218,14.373001,1.629342
1,1,35734,35734,15.125010,1.678489
1,1,49863,49863,15.605682,1.750696
1,8,10,80,6.321928,1.531534
1,8,16,128,7.000000,1.525723
1,8,19,152,7.247928,1.532297
1,8,27,216,7.754888,1.531451
1,8,28,224,7.807355,1.526433
1,8,36,288,8.169925,1.565588
1,8,39,312,8.285402,1.565072
1,8,42,336,8.392317,1.566082
1,8,71,568,9.149747,1.565168
1,8,81,648,9.339850,1.564794
1,8,85,680,9.409391,1.565292
1,8,90,720,9.491853,1.531643
1,8,116,928,9.857981,1.531594
1,8,126,1008,9.977280,1.530987
1,8,148,1184,10.209453,1.531202
1,8,155,1240,10.276124,1.531789
1,8,165,1320,10.366322,1.530511
1,8,185,1480,10.531381,1.526597
1,8,208,1664,10.700440,1.566247
1,8,250,2000,10.965784,1.531151
1,8,267,2136,11.060696,1.531260
1,8,283,2264,11.144658,1.533446
1,8,300,2400,11.228819,1.534187
1,8,312,2496,11.285402,1.533512
1,8,336,2688,11.392317,1.533995
1,8,490,3920,11.936638,1.533170
1,8,527,4216,12.041659,1.532752
1,8,602,4816,12.233620,1.565738
1,8,705,5640,12.461479,1.565378
1,8,846,6768,12.724514,1.564407
1,8,1235,9880,13.270295,1.564915
1,8,1619,12952,13.660887,1.542278
1,8,2567,20536,14.325868,1.565577
1,8,2582,20656,14.334273,1.564921
1,8,3222,25776,14.653741,1.564654
1,8,3726,29808,14.863412,1.564950
1,8,3811,30488,14.895954,1.566115
1,8,4292,34336,15.067434,1.566103
1,8,7511,60088,15.874789,1.567309
1,8,7749,61992,15.919794,1.567054
1,8,9317,74536,16.185650,1.564461
1,8,10422,83376,16.347345,1.565146
1,8,12212,97696,16.576012,1.579699
1,8,16946,135568,17.048657,1.611654
1,8,30026,240208,17.873925,1.676513
1,8,45294,362352,18.467032,1.740489
1,8,48074,384592,18.552969,1.735492
1,8,48314,386512,18.560154,1.745292
1,16,8,128,7.000000,1.564249
1,16,9,144,7.169925,1.564717
1,16,10,160,7.321928,1.565210
1,16,14,224,7.807355,1.530726
1,16,22,352,8.459432,1.533369
1,16,29,464,8.857981,1.530706
1,16,31,496,8.954196,1.530289
1,16,49,784,9.614710,1.530293
1,16,76,1216,10.247928,1.530760
1,16,112,1792,10.807355,1.530809
1,16,126,2016,10.977280,1.531026
1,16,128,2048,11.000000,1.531141
1,16,159,2544,11.312883,1.531361
1,16,183,2928,11.515700,1.530528
1,16,192,3072,11.584963,1.531175
1,16,219,3504,11.774787,1.530611
1,16,273,4368,12.092757,1.536567
1,16,274,4384,12.098032,1.536895
1,16,298,4768,12.219169,1.536535
1,16,331,5296,12.370687,1.536768
1,16,392,6272,12.614710,1.536526
1,16,693,11088,13.436712,1.537166
1,16,828,13248,13.693487,1.541218
1,16,994,15904,13.957102,1.540985
1,16,1152,18432,14.169925,1.562494
1,16,1347,21552,14.395534,1.564269
1,16,1393,22288,14.443980,1.565075
1,16,1532,24512,14.581201,1.565242
1,16,1567,25072,14.613789,1.564678
1,16,3936,62976,15.942515,1.564864
1,16,4087,65392,15.996827,1.566105
1,16,4167,66672,16.024793,1.565511
1,16,4879,78064,16.252370,1.564120
1,16,5281,84496,16.366595,1.566456
1,16,6413,102608,16.646784,1.585295
1,16,7203,115248,16.814382,1.590124
1,16,7612,121792,16.894060,1.593438
1,16,9046,144736,17.143064,1.613847
1,16,17040,272640,18.056638,1.678473
1,16,17371,277936,18.084393,1.678355
1,16,22221,355536,18.439636,1.744395
1,16,24311,388976,18.569322,1.744818
1,16,25594,409504,18.643518,1.756854
1,16,27190,435040,18.730789,1.788121
1,16,33635,538160,19.037676,1.836199
1,16,35340,565440,19.109014,1.858152
1,16,42689,683024,19.381577,1.948332
1,16,44560,712960,19.443462,1.954121
1,64,11,704,9.459432,1.530431
1,64,15,960,9.906891,1.530721
1,64,34,2176,11.087463,1.537653
1,64,58,3712,11.857981,1.534114
1,64,60,3840,11.906891,1.565456
1,64,98,6272,12.614710,1.564465
1,64,99,6336,12.629357,1.564526
1,64,174,11136,13.442943,1.541562
1,64,385,24640,14.588715,1.565041
1,64,568,36352,15.149747,1.564641
1,64,580,37120,15.179909,1.565726
1,64,632,40448,15.303781,1.564924
1,64,1028,65792,16.005625,1.565230
1,64,1211,77504,16.241983,1.565318
1,64,1371,87744,16.421013,1.576727
1,64,1665,106560,16.701306,1.590209
1,64,1711,109504,16.740624,1.594152
1,64,1986,127104,16.955650,1.596619
1,64,2314,148096,17.176173,1.632366
1,64,5188,332032,18.340963,1.749947
1,64,6135,392640,18.582848,1.744030
1,64,6254,400256,18.610564,1.763705
1,64,8624,551936,19.074141,1.838169
1,64,10045,642880,19.294190,1.970618
1,64,10279,657856,19.327412,1.964060
1,64,10432,667648,19.348728,1.968458
1,64,11325,724800,19.467223,1.942371
1,64,14864,951296,19.859535,2.051522
1,64,16044,1026816,19.969746,2.099292
1,64,16421,1050944,20.003254,2.128288
1,64,17085,1093440,20.060443,2.130594
