d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.029696
1,1,16,16,4.000000,1.029451
1,1,20,20,4.321928,1.029616
1,1,22,22,4.459432,1.030042
1,1,33,33,5.044394,1.029381
1,1,46,46,5.523562,1.029662
1,1,48,48,5.584963,1.029833
1,1,49,49,5.614710,1.029574
1,1,59,59,5.882643,1.030089
1,1,66,66,6.044394,1.029975
1,1,75,75,6.228819,1.029799
1,1,87,87,6.442943,1.029662
1,1,111,111,6.794416,1.029085
1,1,149,149,7.219169,1.029348
1,1,227,227,7.826548,1.029301
1,1,636,636,9.312883,1.565490
1,1,698,698,9.447083,1.564731
1,1,797,797,9.638436,1.610359
1,1,931,931,9.862637,1.616499
1,1,1006,1006,9.974415,1.613815
1,1,1115,1115,10.122828,1.564410
1,1,1437,1437,10.488844,1.576950
1,1,1446,1446,10.497852,1.576281
1,1,1619,1619,10.660887,1.639339
1,1,1695,1695,10.727070,1.629455
1,1,2434,2434,11.249113,1.629256
1,1,4739,4739,12.210367,1.676141
1,1,10690,10690,13.383974,1.779611
1,1,14019,14019,13.775096,1.806326
1,1,20704,20704,14.337622,1.954802
1,1,21218,21218,14.373001,1.955764
1,1,35734,35734,15.125010,2.121312
1,1,49863,49863,15.605682,2.276958
1,8,10,80,6.321928,1.028607
1,8,16,128,7.000000,1.030171
1,8,19,152,7.247928,1.029464
1,8,27,216,7.754888,1.029040
1,8,28,224,7.807355,1.029696
1,8,36,288,8.169925,1.029962
1,8,39,312,8.285402,1.029383
1,8,42,336,8.392317,1.029401
1,8,71,568,9.149747,1.029875
1,8,81,648,9.339850,1.027678
1,8,85,680,9.409391,1.029591
1,8,90,720,9.491853,1.029338
1,8,116,928,9.857981,1.030097
1,8,126,1008,9.977280,1.029464
1,8,148,1184,10.209453,1.610784
1,8,155,1240,10.276124,1.611562
1,8,165,1320,10.366322,1.611364
1,8,185,1480,10.531381,1.609981
1,8,208,1664,10.700440,1.610245
1,8,250,2000,10.965784,1.611162
1,8,267,2136,11.060696,1.565516
1,8,283,2264,11.144658,1.564682
1,8,300,2400,11.228819,1.564374
1,8,312,2496,11.285402,1.565750
1,8,336,2688,11.392317,1.563705
1,8,490,3920,11.936638,1.610257
1,8,527,4216,12.041659,1.611095
1,8,602,4816,12.233620,1.611185
1,8,705,5640,12.461479,1.585758
1,8,846,6768,12.724514,1.603606
1,8,1235,9880,13.270295,1.630146
1,8,1619,12952,13.660887,1.676125
1,8,2567,20536,14.325868,1.677535
1,8,2582,20656,14.334273,1.677365
1,8,3222,25776,14.653741,1.707218
1,8,3726,29808,14.863412,1.738639
1,8,3811,30488,14.895954,1.734909
1,8,4292,34336,15.067434,1.741705
1,8,7511,60088,15.874789,1.836593
1,8,7749,61992,15.919794,1.954984
1,8,9317,74536,16.185650,1.954152
1,8,10422,83376,16.347345,1.956486
1,8,12212,97696,16.576012,1.957858
1,8,16946,135568,17.048657,2.049213
1,8,30026,240208,17.873925,2.349044
1,8,45294,362352,18.467032,2.641036
1,8,48074,384592,18.552969,2.705483
1,8,48314,386512,18.560154,2.719390
1,16,8,128,7.000000,1.028783
1,16,9,144,7.169925,1.610657
1,16,10,160,7.321928,1.600375
1,16,14,224,7.807355,1.600374
1,16,22,352,8.459432,1.599887
1,16,29,464,8.857981,1.600613
1,16,31,496,8.954196,1.600647
1,16,49,784,9.614710,1.599653
1,16,76,1216,10.247928,1.600213
1,16,112,1792,10.807355,1.600863
1,16,126,2016,10.977280,1.600479
1,16,128,2048,11.000000,1.600494
1,16,159,2544,11.312883,1.630067
1,16,183,2928,11.515700,1.630055
1,16,192,3072,11.584963,1.630227
1,16,219,3504,11.774787,1.630165
1,16,273,4368,12.092757,1.603287
1,16,274,4384,12.098032,1.589997
1,16,298,4768,12.219169,1.589567
1,16,331,5296,12.370687,1.585755
1,16,392,6272,12.614710,1.629861
1,16,693,11088,13.436712,1.677025
1,16,828,13248,13.693487,1.666600
1,16,994,15904,13.957102,1.675777
1,16,1152,18432,14.169925,1.677089
1,16,1347,21552,14.395534,1.740177
1,16,1393,22288,14.443980,1.741288
1,16,1532,24512,14.581201,1.677354
1,16,1567,25072,14.613789,1.706548
1,16,3936,62976,15.942515,1.953787
1,16,4087,65392,15.996827,1.955380
1,16,4167,66672,16.024793,1.955462
1,16,4879,78064,16.252370,1.954812
1,16,5281,84496,16.366595,1.954907
1,16,6413,102608,16.646784,1.954710
1,16,7203,115248,16.814382,1.956135
1,16,7612,121792,16.894060,1.997834
1,16,9046,144736,17.143064,2.084744
1,16,17040,272640,18.056638,2.402749
1,16,17371,277936,18.084393,2.415037
1,16,22221,355536,18.439636,2.613322
1,16,24311,388976,18.569322,2.663049
1,16,25594,409504,18.643518,2.690627
1,16,27190,435040,18.730789,2.785586
1,16,33635,538160,19.037676,3.052645
1,16,35340,565440,19.109014,3.144935
1,16,42689,683024,19.381577,3.429314
1,16,44560,712960,19.443462,3.531547
1,64,11,704,9.459432,1.628563
1,64,15,960,9.906891,1.600754
1,64,34,2176,11.087463,1.611544
1,64,58,3712,11.857981,1.676145
1,64,60,3840,11.906891,1.676198
1,64,98,6272,12.614710,1.658927
1,64,99,6336,12.629357,1.661762
1,64,174,11136,13.442943,1.676518
1,64,385,24640,14.588715,1.739618
1,64,568,36352,15.149747,1.761636
1,64,580,37120,15.179909,1.758026
1,64,632,40448,15.303781,1.759895
1,64,1028,65792,16.005625,1.955792
1,64,1211,77504,16.241983,1.956579
1,64,1371,87744,16.421013,1.955132
1,64,1665,106560,16.701306,1.958417
1,64,1711,109504,16.740624,1.960385
1,64,1986,127104,16.955650,2.047467
1,64,2314,148096,17.176173,2.119015
1,64,5188,332032,18.340963,2.579104
1,64,6135,392640,18.582848,2.687819
1,64,6254,400256,18.610564,2.704263
1,64,8624,551936,19.074141,3.101250
1,64,10045,642880,19.294190,3.361794
1,64,10279,657856,19.327412,3.370316
1,64,10432,667648,19.348728,3.396458
1,64,11325,724800,19.467223,3.551459
1,64,14864,951296,19.859535,4.083413
1,64,16044,1026816,19.969746,4.266393
1,64,16421,1050944,20.003254,4.311005
1,64,17085,1093440,20.060443,4.445000
1,64,19234,1230976,20.231371,4.763105
1,64,24209,1549376,20.563256,5.582169
1,64,29478,1886592,20.847351,6.400048
1,64,30422,1947008,20.892827,6.532032
1,64,31062,1987968,20.922863,6.570091
1,64,35567,2276288,21.118252,7.338767
1,128,8,1024,10.000000,1.029697
1,128,9,1152,10.169925,1.601065
1,128,10,1280,10.321928,1.600881
1,128,12,1536,10.584963,1.600572
1,128,16,2048,11.000000,1.594134
1,128,18,2304,11.169925,1.565486
1,128,19,2432,11.247928,1.565466
1,128,20,2560,11.321928,1.566517
1,128,27,3456,11.754888,1.611001
1,128,47,6016,12.554589,1.611117
1,128,147,18816,14.199672,1.678386
1,128,157,20096,14.294621,1.677996
1,128,181,23168,14.499846,1.678855
1,128,202,25856,14.658211,1.685333
1,128,207,26496,14.693487,1.713059
1,128,271,34688,15.082149,1.741733
1,128,279,35712,15.124121,1.741206
1,128,317,40576,15.308339,1.752039
1,128,991,126848,16.952741,2.027243
1,128,1171,149888,17.193525,2.086060
1,128,1550,198400,17.598053,2.215642
1,128,1728,221184,17.754888,2.256785
1,128,2407,308096,18.233020,2.464176
1,128,2443,312704,18.254438,2.490036
1,128,3069,392832,18.583553,2.685004
1,128,5175,662400,19.337343,3.326348
1,128,5626,720128,19.457894,3.447895
1,128,8463,1083264,20.046953,3.882831
1,128,8964,1147392,20.129927,4.074041
1,128,13624,1743872,20.733863,5.125365
1,128,28105,3597440,21.778539,8.366416
1,128,28196,3609088,21.783203,8.412100
1,128,30968,3963904,21.918491,8.938082
1,128,35196,4505088,22.103124,10.227169
1,128,35968,4603904,22.134426,10.572260
1,128,41615,5326720,22.344816,11.528356
1,128,41633,5329024,22.345440,11.580776
1,128,44731,5725568,22.448987,11.918699
1,256,8,2048,11.000000,1.598629
1,256,9,2304,11.169925,1.610082
1,256,10,2560,11.321928,1.598129
1,256,11,2816,11.459432,1.629930
1,256,20,5120,12.321928,1.630419
1,256,22,5632,12.459432,1.616962
1,256,25,6400,12.643856,1.649550
1,256,31,7936,12.954196,1.630752
1,256,34,8704,13.087463,1.649864
1,256,44,11264,13.459432,1.676886
1,256,50,12800,13.643856,1.676921
1,256,59,15104,13.882643,1.677911
1,256,67,17152,14.066089,1.677298
1,256,135,34560,15.076816,1.741152
1,256,164,41984,15.357552,1.891878
1,256,167,42752,15.383704,1.910350
1,256,247,63232,15.948367,1.938550
1,256,291,74496,16.184875,1.952854
1,256,356,91136,16.475733,1.955932
1,256,432,110592,16.754888,1.957308
1,256,455,116480,16.829723,1.999260
1,256,496,126976,16.954196,2.047019
1,256,685,175360,17.419960,2.176818
1,256,692,177152,17.434628,2.178551
1,256,790,202240,17.625709,2.250615
1,256,1587,406272,18.632086,2.717846
1,256,2719,696064,19.408860,3.456854
1,256,10171,2603776,21.312174,6.946210
1,256,13038,3337728,21.670435,8.154110
1,256,18450,4723200,22.171333,10.630594
1,256,21544,5515264,22.394999,12.072968
1,512,11,5632,12.459432,1.612787
1,512,13,6656,12.700440,1.630110
1,512,14,7168,12.807355,1.631317
1,512,23,11776,13.523562,1.643705
1,512,30,15360,13.906891,1.676235
1,512,36,18432,14.169925,1.721818
1,512,46,23552,14.523562,1.737438
1,512,49,25088,14.614710,1.740585
1,512,50,25600,14.643856,1.738996
1,512,79,40448,15.303781,1.787993
1,512,81,41472,15.339850,1.802636
1,512,84,43008,15.392317,1.812827
1,512,110,56320,15.781360,1.827142
1,512,149,76288,16.219169,1.948968
1,512,153,78336,16.257388,1.952150
1,512,165,84480,16.366322,1.958031
1,512,192,98304,16.584963,1.956376
1,512,211,108032,16.721099,1.953079
1,512,267,136704,17.060696,2.062625
1,512,310,158720,17.276124,2.118085
1,512,648,331776,18.339850,2.540296
1,512,937,479744,18.871905,2.901502
1,512,1306,668672,19.350939,3.354557
1,512,1629,834048,19.669771,3.828552
1,512,2054,1051648,20.004220,4.310320
1,512,2088,1069056,20.027906,4.361598
1,512,2250,1152000,20.135709,4.558219
1,512,2442,1250304,20.253847,4.804452
1,512,4269,2185728,21.059682,7.071509
1,512,4763,2438656,21.217655,7.826553
1,512,8028,4110336,21.970825,11.900068
1,512,8656,4431872,22.079485,9.715411
1,512,12121,6205952,22.565221,12.859018
1,512,14592,7471104,22.832890,15.160434
1,512,25869,13244928,23.658937,25.681139
1,512,33434,17118208,24.029028,31.903970
1,512,33831,17321472,24.046058,32.421279
1,512,34812,17823744,24.087297,33.716162
1,512,35856,18358272,24.129927,34.438037
1,512,38631,19779072,24.237471,37.265683
1,512,43682,22365184,24.414751,41.834838
1,1024,9,9216,13.169925,1.676629
1,1024,10,10240,13.321928,1.676639
1,1024,11,11264,13.459432,1.676627
1,1024,18,18432,14.169925,1.711382
1,1024,21,21504,14.392317,1.705463
1,1024,25,25600,14.643856,1.740260
1,1024,28,28672,14.807355,1.740514
1,1024,71,72704,16.149747,1.957817
1,1024,75,76800,16.228819,1.956254
1,1024,83,84992,16.375039,1.954846
1,1024,110,112640,16.781360,1.958223
1,1024,127,130048,16.988685,2.029483
1,1024,133,136192,17.055282,2.063215
1,1024,169,173056,17.400879,2.165601
1,1024,249,254976,17.960002,2.354443
1,1024,253,259072,17.982994,2.348768
1,1024,265,271360,18.049849,2.393548
1,1024,276,282624,18.108524,2.421273
1,1024,298,305152,18.219169,2.480202
1,1024,346,354304,18.434628,2.632858
1,1024,504,516096,18.977280,3.056210
1,1024,886,907264,19.791163,3.990062
1,1024,1064,1089536,20.055282,4.389680
1,1024,1354,1386496,20.403012,5.157420
1,1024,1951,1997824,20.929998,6.667169
1,1024,2518,2578432,21.298063,8.067922
1,1024,3805,3896320,21.893681,11.358973
1,1024,4689,4801536,22.195065,10.720320
1,1024,5224,5349376,22.350939,11.718607
1,1024,5745,5882880,22.488091,12.544427
1,1024,5876,6017024,22.520619,12.669838
1,1024,6787,6949888,22.728558,14.448242
1,1024,7471,7650304,22.867086,16.117694
1,1024,7976,8167424,22.961450,16.790137
1,1024,8890,9103360,23.117968,18.212329
1,1024,9027,9243648,23.140031,18.413174
1,1024,9437,9663488,23.204113,18.993584
1,1024,21746,22267904,24.408462,41.213696
1,1024,22750,23296000,24.473579,45.577692
1,1024,23340,23900160,24.510517,47.055434
1,1024,24010,24586240,24.551348,47.905776
1,1024,28901,29594624,24.818832,57.301005
1,1024,37849,38757376,25.207968,75.578630
1,1024,37999,38910976,25.213674,75.665320
2,1,11,22,4.459432,1.029855
2,1,12,24,4.584963,1.029571
2,1,13,26,4.700440,1.029191
2,1,28,56,5.807355,1.030286
2,1,58,116,6.857981,1.029581
2,1,116,232,7.857981,1.029483
2,1,126,252,7.977280,1.029964
2,1,154,308,8.266787,1.029737
2,1,179,358,8.483816,1.029625
2,1,190,380,8.569856,1.030126
2,1,293,586,9.194757,1.028766
2,1,298,596,9.219169,1.029149
2,1,309,618,9.271463,1.028923
2,1,1958,3916,11.935165,1.628733
2,1,2206,4412,12.107217,1.629711
2,1,2494,4988,12.284246,1.630794
2,1,4226,8452,13.045077,1.676762
2,1,4528,9056,13.144658,1.676899
2,1,7883,15766,13.944529,1.739747
2,1,10111,20222,14.303638,1.805680
2,1,19840,39680,15.276124,1.956235
2,1,40088,80176,16.290883,2.160084
2,8,11,176,7.459432,1.600189
2,8,30,480,8.906891,1.599759
2,8,82,1312,10.357552,1.600401
2,8,107,1712,10.741467,1.600155
2,8,244,3904,11.930737,1.611430
2,8,283,4528,12.144658,1.600657
2,8,308,4928,12.266787,1.600573
2,8,337,5392,12.396605,1.599642
2,8,617,9872,13.269127,1.676047
2,8,741,11856,13.533330,1.630644
2,8,1420,22720,14.471675,1.689989
2,8,2829,45264,15.466076,1.781271
2,8,3159,50544,15.625252,1.784298
2,8,5525,88400,16.431759,1.952546
2,8,5705,91280,16.478011,1.954989
2,8,30060,480960,18.875557,2.906681
2,16,20,640,9.321928,1.610142
2,16,25,800,9.643856,1.610463
2,16,41,1312,10.357552,1.609559
2,16,59,1888,10.882643,1.610460
2,16,69,2208,11.108524,1.610559
2,16,77,2464,11.266787,1.609930
2,16,94,3008,11.554589,1.610758
2,16,208,6656,12.700440,1.632066
2,16,1084,34688,15.082149,1.747526
2,16,2232,71424,16.124121,1.954658
2,16,13117,419744,18.679150,2.762752
2,64,9,1152,10.169925,1.566545
2,64,14,1792,10.807355,1.608670
2,64,15,1920,10.906891,1.630139
2,64,18,2304,11.169925,1.630992
2,64,88,11264,13.459432,1.676677
2,64,620,79360,16.276124,1.956653
2,64,8964,1147392,20.129927,4.566804
2,64,19978,2557184,21.286125,8.066507
2,64,47737,6110336,22.542820,12.503356
2,128,14,3584,11.807355,1.610633
2,128,15,3840,11.906891,1.611439
2,128,40,10240,13.321928,1.631440
2,128,141,36096,15.139551,1.956220
2,128,162,41472,15.339850,1.957886
2,128,441,112896,16.784635,2.353053
2,128,553,141568,17.111136,2.593502
2,128,611,156416,17.255029,2.611838
2,128,717,183552,17.485829,2.790466
2,128,862,220672,17.751544,3.011695
2,128,935,239360,17.868823,3.132841
2,256,26,13312,13.700440,1.679081
2,256,32,16384,14.000000,1.676562
2,256,58,29696,14.857981,1.816132
2,256,82,41984,15.357552,1.956596
2,256,150,76800,16.228819,2.145234
2,256,234,119808,16.870365,2.407390
2,256,289,147968,17.174926,2.560981
2,256,1869,956928,19.868051,6.535405
2,256,3769,1929728,20.879966,11.114087
