d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.079772
1,1,16,16,4.000000,1.079615
1,1,20,20,4.321928,1.079605
1,1,22,22,4.459432,1.079475
1,1,33,33,5.044394,1.079364
1,1,46,46,5.523562,1.079770
1,1,48,48,5.584963,1.079543
1,1,49,49,5.614710,1.079209
1,1,59,59,5.882643,1.079475
1,1,66,66,6.044394,1.078833
1,1,75,75,6.228819,1.079378
1,1,87,87,6.442943,1.079097
1,1,111,111,6.794416,1.080015
1,1,149,149,7.219169,1.087102
1,1,227,227,7.826548,1.086297
1,1,636,636,9.312883,1.675435
1,1,698,698,9.447083,1.676473
1,1,797,797,9.638436,1.712469
1,1,931,931,9.862637,1.738209
1,1,1006,1006,9.974415,1.738892
1,1,1115,1115,10.122828,1.738107
1,1,1437,1437,10.488844,1.777981
1,1,1446,1446,10.497852,1.778229
1,1,1619,1619,10.660887,1.846746
1,1,1695,1695,10.727070,1.805304
1,1,2434,2434,11.249113,1.956654
1,1,4739,4739,12.210367,2.188502
1,1,10690,10690,13.383974,2.933060
1,1,14019,14019,13.775096,3.348551
1,1,20704,20704,14.337622,4.114703
1,1,21218,21218,14.373001,4.188818
1,1,35734,35734,15.125010,5.863957
1,1,49863,49863,15.605682,7.808557
1,8,10,80,6.321928,1.079548
1,8,16,128,7.000000,1.079419
1,8,19,152,7.247928,1.079943
1,8,27,216,7.754888,1.079427
1,8,28,224,7.807355,1.079078
1,8,36,288,8.169925,1.079384
1,8,39,312,8.285402,1.079197
1,8,42,336,8.392317,1.079142
1,8,71,568,9.149747,1.079685
1,8,81,648,9.339850,1.079451
1,8,85,680,9.409391,1.079294
1,8,90,720,9.491853,1.078687
1,8,116,928,9.857981,1.079411
1,8,126,1008,9.977280,1.079210
1,8,148,1184,10.209453,1.676512
1,8,155,1240,10.276124,1.676851
1,8,165,1320,10.366322,1.677013
1,8,185,1480,10.531381,1.676422
1,8,208,1664,10.700440,1.677563
1,8,250,2000,10.965784,1.676336
1,8,267,2136,11.060696,1.680050
1,8,283,2264,11.144658,1.629391
1,8,300,2400,11.228819,1.629802
1,8,312,2496,11.285402,1.630267
1,8,336,2688,11.392317,1.623197
1,8,490,3920,11.936638,1.677506
1,8,527,4216,12.041659,1.683400
1,8,602,4816,12.233620,1.683239
1,8,705,5640,12.461479,1.738672
1,8,846,6768,12.724514,1.739137
1,8,1235,9880,13.270295,1.806114
1,8,1619,12952,13.660887,1.955658
1,8,2567,20536,14.325868,1.966034
1,8,2582,20656,14.334273,1.966210
1,8,3222,25776,14.653741,2.074890
1,8,3726,29808,14.863412,2.144573
1,8,3811,30488,14.895954,2.164495
1,8,4292,34336,15.067434,2.234544
1,8,7511,60088,15.874789,2.611368
1,8,7749,61992,15.919794,2.664379
1,8,9317,74536,16.185650,2.913063
1,8,10422,83376,16.347345,3.026739
1,8,12212,97696,16.576012,3.261543
1,8,16946,135568,17.048657,3.917409
1,8,30026,240208,17.873925,5.453251
1,8,45294,362352,18.467032,7.186007
1,8,48074,384592,18.552969,7.493708
1,8,48314,386512,18.560154,7.546069
1,16,8,128,7.000000,1.079445
1,16,9,144,7.169925,1.676064
1,16,10,160,7.321928,1.676602
1,16,14,224,7.807355,1.676333
1,16,22,352,8.459432,1.674103
1,16,29,464,8.857981,1.675269
1,16,31,496,8.954196,1.676625
1,16,49,784,9.614710,1.676603
1,16,76,1216,10.247928,1.674034
1,16,112,1792,10.807355,1.676962
1,16,126,2016,10.977280,1.675905
1,16,128,2048,11.000000,1.668634
1,16,159,2544,11.312883,1.677038
1,16,183,2928,11.515700,1.676795
1,16,192,3072,11.584963,1.676813
1,16,219,3504,11.774787,1.676226
1,16,273,4368,12.092757,1.711956
1,16,274,4384,12.098032,1.710948
1,16,298,4768,12.219169,1.711082
1,16,331,5296,12.370687,1.711038
1,16,392,6272,12.614710,1.763763
1,16,693,11088,13.436712,1.825949
1,16,828,13248,13.693487,1.851975
1,16,994,15904,13.957102,1.956060
1,16,1152,18432,14.169925,1.955329
1,16,1347,21552,14.395534,2.015001
1,16,1393,22288,14.443980,2.016074
1,16,1532,24512,14.581201,2.042449
1,16,1567,25072,14.613789,2.076900
1,16,3936,62976,15.942515,2.685441
1,16,4087,65392,15.996827,2.725001
1,16,4167,66672,16.024793,2.755440
1,16,4879,78064,16.252370,2.936739
1,16,5281,84496,16.366595,3.051172
1,16,6413,102608,16.646784,3.347499
1,16,7203,115248,16.814382,3.549800
1,16,7612,121792,16.894060,3.598822
1,16,9046,144736,17.143064,3.943255
1,16,17040,272640,18.056638,5.927662
1,16,17371,277936,18.084393,5.930191
1,16,22221,355536,18.439636,7.145232
1,16,24311,388976,18.569322,7.531253
1,16,25594,409504,18.643518,7.834092
1,16,27190,435040,18.730789,8.222963
1,16,33635,538160,19.037676,9.797417
1,16,35340,565440,19.109014,10.337933
1,16,42689,683024,19.381577,11.996583
1,16,44560,712960,19.443462,12.467557
1,64,11,704,9.459432,1.676906
1,64,15,960,9.906891,1.677155
1,64,34,2176,11.087463,1.689688
1,64,58,3712,11.857981,1.739435
1,64,60,3840,11.906891,1.739622
1,64,98,6272,12.614710,1.740074
1,64,99,6336,12.629357,1.739677
1,64,174,11136,13.442943,1.955642
1,64,385,24640,14.588715,2.177158
1,64,568,36352,15.149747,2.347418
1,64,580,37120,15.179909,2.346908
1,64,632,40448,15.303781,2.346671
1,64,1028,65792,16.005625,2.859420
1,64,1211,77504,16.241983,2.954645
1,64,1371,87744,16.421013,3.131404
1,64,1665,106560,16.701306,3.518831
1,64,1711,109504,16.740624,3.521867
1,64,1986,127104,16.955650,3.901859
1,64,2314,148096,17.176173,4.125812
1,64,5188,332032,18.340963,6.757692
1,64,6135,392640,18.582848,7.700943
1,64,6254,400256,18.610564,7.816934
1,64,8624,551936,19.074141,10.033636
1,64,10045,642880,19.294190,11.345824
1,64,10279,657856,19.327412,11.676556
1,64,10432,667648,19.348728,11.740504
1,64,11325,724800,19.467223,12.525589
1,64,14864,951296,19.859535,16.166672
1,64,16044,1026816,19.969746,17.138587
1,64,16421,1050944,20.003254,17.323242
1,64,17085,1093440,20.060443,17.834315
1,64,19234,1230976,20.231371,20.447329
1,64,24209,1549376,20.563256,24.787146
1,64,29478,1886592,20.847351,29.746986
1,64,30422,1947008,20.892827,30.336164
1,64,31062,1987968,20.922863,31.283333
1,64,35567,2276288,21.118252,35.219178
1,128,8,1024,10.000000,1.079641
1,128,9,1152,10.169925,1.675745
1,128,10,1280,10.321928,1.676628
1,128,12,1536,10.584963,1.676346
1,128,16,2048,11.000000,1.676350
1,128,18,2304,11.169925,1.675915
1,128,19,2432,11.247928,1.676510
1,128,20,2560,11.321928,1.676321
1,128,27,3456,11.754888,1.677146
1,128,47,6016,12.554589,1.706784
1,128,147,18816,14.199672,1.955468
1,128,157,20096,14.294621,1.956857
1,128,181,23168,14.499846,2.026487
1,128,202,25856,14.658211,2.075323
1,128,207,26496,14.693487,2.080322
1,128,271,34688,15.082149,2.234723
1,128,279,35712,15.124121,2.234618
1,128,317,40576,15.308339,2.345679
1,128,991,126848,16.952741,3.921853
1,128,1171,149888,17.193525,4.046046
1,128,1550,198400,17.598053,4.802539
1,128,1728,221184,17.754888,5.037437
1,128,2407,308096,18.233020,6.456275
1,128,2443,312704,18.254438,6.526891
1,128,3069,392832,18.583553,7.724897
1,128,5175,662400,19.337343,11.731470
1,128,5626,720128,19.457894,12.419982
1,128,8463,1083264,20.046953,17.752215
1,128,8964,1147392,20.129927,18.706324
1,128,13624,1743872,20.733863,27.761324
1,128,28105,3597440,21.778539,54.846824
1,128,28196,3609088,21.783203,54.985708
1,128,30968,3963904,21.918491,60.214680
1,128,35196,4505088,22.103124,67.727557
1,128,35968,4603904,22.134426,69.789932
1,128,41615,5326720,22.344816,79.898879
1,128,41633,5329024,22.345440,79.714632
1,128,44731,5725568,22.448987,85.613607
1,256,8,2048,11.000000,1.676076
1,256,9,2304,11.169925,1.676778
1,256,10,2560,11.321928,1.676981
1,256,11,2816,11.459432,1.677316
1,256,20,5120,12.321928,1.711009
1,256,22,5632,12.459432,1.692651
1,256,25,6400,12.643856,1.740414
1,256,31,7936,12.954196,1.740037
1,256,34,8704,13.087463,1.806021
1,256,44,11264,13.459432,1.805225
1,256,50,12800,13.643856,1.955858
1,256,59,15104,13.882643,1.954352
1,256,67,17152,14.066089,1.954429
1,256,135,34560,15.076816,2.235410
1,256,164,41984,15.357552,2.347571
1,256,167,42752,15.383704,2.349106
1,256,247,63232,15.948367,2.684005
1,256,291,74496,16.184875,2.932479
1,256,356,91136,16.475733,3.131350
1,256,432,110592,16.754888,3.436587
1,256,455,116480,16.829723,3.547737
1,256,496,126976,16.954196,3.894102
1,256,685,175360,17.419960,4.455667
1,256,692,177152,17.434628,4.477287
1,256,790,202240,17.625709,4.865072
1,256,1587,406272,18.632086,7.851207
1,256,2719,696064,19.408860,12.023482
1,256,10171,2603776,21.312174,40.028354
1,256,13038,3337728,21.670435,51.246005
1,256,18450,4723200,22.171333,71.410731
1,256,21544,5515264,22.394999,82.696986
1,512,11,5632,12.459432,1.741165
1,512,13,6656,12.700440,1.751216
1,512,14,7168,12.807355,1.778118
1,512,23,11776,13.523562,1.806207
1,512,30,15360,13.906891,1.955480
1,512,36,18432,14.169925,1.956927
1,512,46,23552,14.523562,2.057799
1,512,49,25088,14.614710,2.127961
1,512,50,25600,14.643856,2.120771
1,512,79,40448,15.303781,2.347961
1,512,81,41472,15.339850,2.349626
1,512,84,43008,15.392317,2.349645
1,512,110,56320,15.781360,2.608610
1,512,149,76288,16.219169,2.935430
1,512,153,78336,16.257388,2.960870
1,512,165,84480,16.366322,3.053006
1,512,192,98304,16.584963,3.260508
1,512,211,108032,16.721099,3.440664
1,512,267,136704,17.060696,3.914631
1,512,310,158720,17.276124,4.198067
1,512,648,331776,18.339850,6.745042
1,512,937,479744,18.871905,8.959419
1,512,1306,668672,19.350939,11.737907
1,512,1629,834048,19.669771,14.075352
1,512,2054,1051648,20.004220,17.425639
1,512,2088,1069056,20.027906,17.417763
1,512,2250,1152000,20.135709,18.798356
1,512,2442,1250304,20.253847,20.487489
1,512,4269,2185728,21.059682,34.127854
1,512,4763,2438656,21.217655,37.456986
1,512,8028,4110336,21.970825,62.106824
1,512,8656,4431872,22.079485,67.030249
1,512,12121,6205952,22.565221,92.505500
1,512,14592,7471104,22.832890,110.719587
1,512,25869,13244928,23.658937,193.556710
1,512,33434,17118208,24.029028,248.916251
1,512,33831,17321472,24.046058,251.442212
1,512,34812,17823744,24.087297,257.970386
1,512,35856,18358272,24.129927,266.815046
1,512,38631,19779072,24.237471,287.358810
1,512,43682,22365184,24.414751,322.929037
1,1024,9,9216,13.169925,1.956193
1,1024,10,10240,13.321928,1.955566
1,1024,11,11264,13.459432,1.955783
1,1024,18,18432,14.169925,2.059275
1,1024,21,21504,14.392317,2.044906
1,1024,25,25600,14.643856,2.193673
1,1024,28,28672,14.807355,2.189862
1,1024,71,72704,16.149747,2.863707
1,1024,75,76800,16.228819,2.994315
1,1024,83,84992,16.375039,3.130849
1,1024,110,112640,16.781360,3.525677
1,1024,127,130048,16.988685,3.913526
1,1024,133,136192,17.055282,3.919045
1,1024,169,173056,17.400879,4.522884
1,1024,249,254976,17.960002,5.799469
1,1024,253,259072,17.982994,5.810912
1,1024,265,271360,18.049849,5.903766
1,1024,276,282624,18.108524,6.128340
1,1024,298,305152,18.219169,6.414483
1,1024,346,354304,18.434628,7.131579
1,1024,504,516096,18.977280,9.368961
1,1024,886,907264,19.791163,15.240269
1,1024,1064,1089536,20.055282,17.997329
1,1024,1354,1386496,20.403012,22.537925
1,1024,1951,1997824,20.929998,31.254110
1,1024,2518,2578432,21.298063,39.899932
1,1024,3805,3896320,21.893681,58.688240
1,1024,4689,4801536,22.195065,72.623468
1,1024,5224,5349376,22.350939,80.662146
1,1024,5745,5882880,22.488091,88.235822
1,1024,5876,6017024,22.520619,90.112808
1,1024,6787,6949888,22.728558,103.148354
1,1024,7471,7650304,22.867086,112.861370
1,1024,7976,8167424,22.961450,121.638308
1,1024,8890,9103360,23.117968,134.111893
1,1024,9027,9243648,23.140031,137.442694
1,1024,9437,9663488,23.204113,142.734016
1,1024,21746,22267904,24.408462,322.323011
1,1024,22750,23296000,24.473579,336.466573
1,1024,23340,23900160,24.510517,345.954263
1,1024,24010,24586240,24.551348,354.690041
1,1024,28901,29594624,24.818832,427.512347
1,1024,37849,38757376,25.207968,556.064425
1,1024,37999,38910976,25.213674,559.475813
2,1,11,22,4.459432,1.079258
2,1,12,24,4.584963,1.080535
2,1,13,26,4.700440,1.079427
2,1,28,56,5.807355,1.079471
2,1,58,116,6.857981,1.080450
2,1,116,232,7.857981,1.080348
2,1,126,252,7.977280,1.079290
2,1,154,308,8.266787,1.087300
2,1,179,358,8.483816,1.087364
2,1,190,380,8.569856,1.087792
2,1,293,586,9.194757,1.100402
2,1,298,596,9.219169,1.100766
2,1,309,618,9.271463,1.101330
2,1,1958,3916,11.935165,1.956049
2,1,2206,4412,12.107217,1.956424
2,1,2494,4988,12.284246,1.955578
2,1,4226,8452,13.045077,2.135370
2,1,4528,9056,13.144658,2.236142
2,1,7883,15766,13.944529,2.607467
2,1,10111,20222,14.303638,2.846574
2,1,19840,39680,15.276124,4.021654
2,1,40088,80176,16.290883,6.521537
2,8,11,176,7.459432,1.676297
2,8,30,480,8.906891,1.675881
2,8,82,1312,10.357552,1.676298
2,8,107,1712,10.741467,1.675866
2,8,244,3904,11.930737,1.677487
2,8,283,4528,12.144658,1.705311
2,8,308,4928,12.266787,1.689277
2,8,337,5392,12.396605,1.689314
2,8,617,9872,13.269127,1.781122
2,8,741,11856,13.533330,1.825342
2,8,1420,22720,14.471675,2.057017
2,8,2829,45264,15.466076,2.407469
2,8,3159,50544,15.625252,2.489512
2,8,5525,88400,16.431759,3.130604
2,8,5705,91280,16.478011,3.133964
2,8,30060,480960,18.875557,8.947780
2,16,20,640,9.321928,1.677091
2,16,25,800,9.643856,1.677570
2,16,41,1312,10.357552,1.677033
2,16,59,1888,10.882643,1.676567
2,16,69,2208,11.108524,1.677492
2,16,77,2464,11.266787,1.676767
2,16,94,3008,11.554589,1.676527
2,16,208,6656,12.700440,1.742049
2,16,1084,34688,15.082149,2.238450
2,16,2232,71424,16.124121,2.865494
2,16,13117,419744,18.679150,8.043500
2,64,9,1152,10.169925,1.710862
2,64,14,1792,10.807355,1.820613
2,64,15,1920,10.906891,1.955006
2,64,18,2304,11.169925,1.956373
2,64,88,11264,13.459432,1.956694
2,64,620,79360,16.276124,3.001126
2,64,8964,1147392,20.129927,19.098950
2,64,19978,2557184,21.286125,39.298311
