d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.018029
1,1,16,16,4.000000,1.017143
1,1,20,20,4.321928,1.016281
1,1,22,22,4.459432,1.018523
1,1,33,33,5.044394,1.017509
1,1,46,46,5.523562,1.018099
1,1,48,48,5.584963,1.018084
1,1,49,49,5.614710,1.018350
1,1,59,59,5.882643,1.017866
1,1,66,66,6.044394,1.017785
1,1,75,75,6.228819,1.017518
1,1,87,87,6.442943,1.018145
1,1,111,111,6.794416,1.018653
1,1,149,149,7.219169,1.019757
1,1,227,227,7.826548,1.021391
1,1,636,636,9.312883,1.565333
1,1,698,698,9.447083,1.611667
1,1,797,797,9.638436,1.611448
1,1,931,931,9.862637,1.630170
1,1,1006,1006,9.974415,1.630274
1,1,1115,1115,10.122828,1.564913
1,1,1437,1437,10.488844,1.630113
1,1,1446,1446,10.497852,1.629685
1,1,1619,1619,10.660887,1.658214
1,1,1695,1695,10.727070,2.235185
1,1,2434,2434,11.249113,2.235239
1,1,4739,4739,12.210367,1.740848
1,1,10690,10690,13.383974,1.848465
1,1,14019,14019,13.775096,1.955965
1,1,20704,20704,14.337622,1.988845
1,1,21218,21218,14.373001,1.972954
1,1,35734,35734,15.125010,2.238615
1,1,49863,49863,15.605682,2.438660
1,8,10,80,6.321928,1.564852
1,8,16,128,7.000000,1.564813
1,8,19,152,7.247928,1.564717
1,8,27,216,7.754888,1.564833
1,8,28,224,7.807355,1.564773
1,8,36,288,8.169925,1.564578
1,8,39,312,8.285402,1.565569
1,8,42,336,8.392317,1.565009
1,8,71,568,9.149747,1.565491
1,8,81,648,9.339850,1.565469
1,8,85,680,9.409391,1.565981
1,8,90,720,9.491853,1.564939
1,8,116,928,9.857981,1.565602
1,8,126,1008,9.977280,1.565570
1,8,148,1184,10.209453,1.629092
1,8,155,1240,10.276124,1.609250
1,8,165,1320,10.366322,1.611377
1,8,185,1480,10.531381,1.609149
1,8,208,1664,10.700440,1.611597
1,8,250,2000,10.965784,1.611039
1,8,267,2136,11.060696,1.599634
1,8,283,2264,11.144658,1.601085
1,8,300,2400,11.228819,1.600462
1,8,312,2496,11.285402,1.601130
1,8,336,2688,11.392317,1.600467
1,8,490,3920,11.936638,2.235053
1,8,527,4216,12.041659,2.231788
1,8,602,4816,12.233620,2.165893
1,8,705,5640,12.461479,2.234362
1,8,846,6768,12.724514,1.676274
1,8,1235,9880,13.270295,1.713089
1,8,1619,12952,13.660887,1.740584
1,8,2567,20536,14.325868,1.779543
1,8,2582,20656,14.334273,1.778704
1,8,3222,25776,14.653741,1.781423
1,8,3726,29808,14.863412,1.861796
1,8,3811,30488,14.895954,1.862835
1,8,4292,34336,15.067434,1.836917
1,8,7511,60088,15.874789,1.956001
1,8,7749,61992,15.919794,1.969966
1,8,9317,74536,16.185650,2.030729
1,8,10422,83376,16.347345,2.065847
1,8,12212,97696,16.576012,2.142479
1,8,16946,135568,17.048657,2.262835
1,8,30026,240208,17.873925,2.704437
1,8,45294,362352,18.467032,3.131252
1,8,48074,384592,18.552969,3.229490
1,8,48314,386512,18.560154,3.232889
1,16,8,128,7.000000,1.564791
1,16,9,144,7.169925,1.611269
1,16,10,160,7.321928,1.611093
1,16,14,224,7.807355,1.612094
1,16,22,352,8.459432,1.611422
1,16,29,464,8.857981,1.611471
1,16,31,496,8.954196,1.611415
1,16,49,784,9.614710,1.613758
1,16,76,1216,10.247928,1.613326
1,16,112,1792,10.807355,1.611122
1,16,126,2016,10.977280,1.610943
1,16,128,2048,11.000000,1.610985
1,16,159,2544,11.312883,2.241975
1,16,183,2928,11.515700,2.234772
1,16,192,3072,11.584963,2.225487
1,16,219,3504,11.774787,2.202963
1,16,273,4368,12.092757,2.235792
1,16,274,4384,12.098032,2.235772
1,16,298,4768,12.219169,2.235595
1,16,331,5296,12.370687,2.234825
1,16,392,6272,12.614710,1.677845
1,16,693,11088,13.436712,1.739102
1,16,828,13248,13.693487,1.710815
1,16,994,15904,13.957102,1.739904
1,16,1152,18432,14.169925,1.779802
1,16,1347,21552,14.395534,1.795454
1,16,1393,22288,14.443980,1.798057
1,16,1532,24512,14.581201,1.793115
1,16,1567,25072,14.613789,1.805943
1,16,3936,62976,15.942515,1.958179
1,16,4087,65392,15.996827,1.955037
1,16,4167,66672,16.024793,1.955517
1,16,4879,78064,16.252370,2.009026
1,16,5281,84496,16.366595,2.043001
1,16,6413,102608,16.646784,2.125057
1,16,7203,115248,16.814382,2.177819
1,16,7612,121792,16.894060,2.186061
1,16,9046,144736,17.143064,2.309577
1,16,17040,272640,18.056638,2.771514
1,16,17371,277936,18.084393,2.791092
1,16,22221,355536,18.439636,3.094289
1,16,24311,388976,18.569322,3.212924
1,16,25594,409504,18.643518,3.296507
1,16,27190,435040,18.730789,3.413330
1,16,33635,538160,19.037676,3.919102
1,16,35340,565440,19.109014,3.927003
1,16,42689,683024,19.381577,4.332683
1,16,44560,712960,19.443462,4.497394
1,64,11,704,9.459432,1.630391
1,64,15,960,9.906891,1.630224
1,64,34,2176,11.087463,2.234323
1,64,58,3712,11.857981,1.677281
1,64,60,3840,11.906891,1.678324
1,64,98,6272,12.614710,1.677107
1,64,99,6336,12.629357,1.677261
1,64,174,11136,13.442943,1.741988
1,64,385,24640,14.588715,1.821494
1,64,568,36352,15.149747,1.955097
1,64,580,37120,15.179909,1.957993
1,64,632,40448,15.303781,1.955444
1,64,1028,65792,16.005625,2.017541
1,64,1211,77504,16.241983,2.047054
1,64,1371,87744,16.421013,2.084713
1,64,1665,106560,16.701306,2.179778
1,64,1711,109504,16.740624,2.178807
1,64,1986,127104,16.955650,2.238521
1,64,2314,148096,17.176173,2.337901
1,64,5188,332032,18.340963,3.035103
1,64,6135,392640,18.582848,3.263169
1,64,6254,400256,18.610564,3.272022
1,64,8624,551936,19.074141,3.900290
1,64,10045,642880,19.294190,4.198250
1,64,10279,657856,19.327412,4.262211
1,64,10432,667648,19.348728,4.286870
1,64,11325,724800,19.467223,4.530000
1,64,14864,951296,19.859535,5.375761
1,64,16044,1026816,19.969746,5.671986
1,64,16421,1050944,20.003254,5.756187
1,64,17085,1093440,20.060443,5.917694
1,64,19234,1230976,20.231371,6.471210
1,64,24209,1549376,20.563256,7.706164
1,64,29478,1886592,20.847351,9.005137
1,64,30422,1947008,20.892827,9.213881
1,64,31062,1987968,20.922863,9.388174
1,64,35567,2276288,21.118252,10.438833
1,128,8,1024,10.000000,1.564462
