d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.054621
1,1,16,16,4.000000,1.053723
1,1,20,20,4.321928,1.053825
1,1,22,22,4.459432,1.053971
1,1,33,33,5.044394,1.054745
1,1,46,46,5.523562,1.054209
1,1,48,48,5.584963,1.054743
1,1,49,49,5.614710,1.054479
1,1,59,59,5.882643,1.054099
1,1,66,66,6.044394,1.054053
1,1,75,75,6.228819,1.054381
1,1,87,87,6.442943,1.054048
1,1,111,111,6.794416,1.054026
1,1,149,149,7.219169,1.053738
1,1,227,227,7.826548,1.054753
1,1,636,636,9.312883,1.611462
1,1,698,698,9.447083,1.630096
1,1,797,797,9.638436,1.630858
1,1,931,931,9.862637,1.630312
1,1,1006,1006,9.974415,1.630762
1,1,1115,1115,10.122828,1.594902
1,1,1437,1437,10.488844,1.633626
1,1,1446,1446,10.497852,1.631303
1,1,1619,1619,10.660887,1.675703
1,1,1695,1695,10.727070,1.630973
1,1,2434,2434,11.249113,1.677483
1,1,4739,4739,12.210367,1.678369
1,1,10690,10690,13.383974,1.807394
1,1,14019,14019,13.775096,1.826242
1,1,20704,20704,14.337622,1.956152
1,1,21218,21218,14.373001,1.955960
1,1,35734,35734,15.125010,2.118699
1,1,49863,49863,15.605682,2.324072
1,8,10,80,6.321928,1.054101
1,8,16,128,7.000000,1.053365
1,8,19,152,7.247928,1.053964
1,8,27,216,7.754888,1.054051
1,8,28,224,7.807355,1.053232
1,8,36,288,8.169925,1.054066
1,8,39,312,8.285402,1.054793
1,8,42,336,8.392317,1.053805
1,8,71,568,9.149747,1.054335
1,8,81,648,9.339850,1.054683
1,8,85,680,9.409391,1.054087
1,8,90,720,9.491853,1.054305
1,8,116,928,9.857981,1.053249
1,8,126,1008,9.977280,1.053721
1,8,148,1184,10.209453,1.684395
1,8,155,1240,10.276124,1.631005
1,8,165,1320,10.366322,1.629801
1,8,185,1480,10.531381,1.630337
1,8,208,1664,10.700440,1.630055
1,8,250,2000,10.965784,1.630438
1,8,267,2136,11.060696,1.631096
1,8,283,2264,11.144658,1.611589
1,8,300,2400,11.228819,1.612847
1,8,312,2496,11.285402,1.611777
1,8,336,2688,11.392317,1.602355
1,8,490,3920,11.936638,1.637117
1,8,527,4216,12.041659,1.629848
1,8,602,4816,12.233620,1.630742
1,8,705,5640,12.461479,1.630939
1,8,846,6768,12.724514,1.677562
1,8,1235,9880,13.270295,1.676437
1,8,1619,12952,13.660887,1.677267
1,8,2567,20536,14.325868,1.711937
1,8,2582,20656,14.334273,1.714641
1,8,3222,25776,14.653741,1.740840
1,8,3726,29808,14.863412,1.741014
1,8,3811,30488,14.895954,1.740412
1,8,4292,34336,15.067434,1.780295
1,8,7511,60088,15.874789,1.942994
1,8,7749,61992,15.919794,1.876963
1,8,9317,74536,16.185650,1.958061
1,8,10422,83376,16.347345,1.956726
1,8,12212,97696,16.576012,1.958915
1,8,16946,135568,17.048657,2.063173
1,8,30026,240208,17.873925,2.353685
1,8,45294,362352,18.467032,2.685667
1,8,48074,384592,18.552969,2.730773
1,8,48314,386512,18.560154,2.719302
1,16,8,128,7.000000,1.053833
1,16,9,144,7.169925,1.631778
1,16,10,160,7.321928,1.630923
1,16,14,224,7.807355,1.631076
1,16,22,352,8.459432,1.631201
1,16,29,464,8.857981,1.630871
1,16,31,496,8.954196,1.630547
1,16,49,784,9.614710,1.631390
1,16,76,1216,10.247928,1.630974
1,16,112,1792,10.807355,1.633029
1,16,126,2016,10.977280,1.630233
1,16,128,2048,11.000000,1.631051
1,16,159,2544,11.312883,1.630342
1,16,183,2928,11.515700,1.631757
