d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.009654
1,1,16,16,4.000000,1.009778
1,1,20,20,4.321928,1.010452
1,1,22,22,4.459432,1.010211
1,1,33,33,5.044394,1.009347
1,1,46,46,5.523562,1.010336
1,1,48,48,5.584963,1.010466
1,1,49,49,5.614710,1.009529
1,1,59,59,5.882643,1.010419
1,1,66,66,6.044394,1.009671
1,1,75,75,6.228819,1.009877
1,1,87,87,6.442943,1.010463
1,1,111,111,6.794416,1.009915
1,1,149,149,7.219169,1.013191
1,1,227,227,7.826548,1.012952
1,1,636,636,9.312883,1.563551
1,1,698,698,9.447083,1.565759
1,1,797,797,9.638436,1.611357
1,1,931,931,9.862637,1.632625
1,1,1006,1006,9.974415,1.610986
1,1,1115,1115,10.122828,1.570704
1,1,1437,1437,10.488844,1.630107
1,1,1446,1446,10.497852,1.626758
1,1,1619,1619,10.660887,1.675617
1,1,1695,1695,10.727070,2.235018
1,1,2434,2434,11.249113,2.235051
1,1,4739,4739,12.210367,1.679495
1,1,10690,10690,13.383974,1.838244
1,1,14019,14019,13.775096,1.955809
1,1,20704,20704,14.337622,1.963242
1,1,21218,21218,14.373001,1.987446
1,1,35734,35734,15.125010,2.231305
1,1,49863,49863,15.605682,2.445238
1,8,10,80,6.321928,1.565795
1,8,16,128,7.000000,1.564719
1,8,19,152,7.247928,1.564798
1,8,27,216,7.754888,1.565222
1,8,28,224,7.807355,1.564848
1,8,36,288,8.169925,1.564521
1,8,39,312,8.285402,1.564393
1,8,42,336,8.392317,1.565154
1,8,71,568,9.149747,1.563949
1,8,81,648,9.339850,1.564305
1,8,85,680,9.409391,1.564216
1,8,90,720,9.491853,1.564716
1,8,116,928,9.857981,1.564931
1,8,126,1008,9.977280,1.565995
1,8,148,1184,10.209453,1.594583
1,8,155,1240,10.276124,1.593032
1,8,165,1320,10.366322,1.600543
1,8,185,1480,10.531381,1.599913
1,8,208,1664,10.700440,1.594528
1,8,250,2000,10.965784,1.594006
1,8,267,2136,11.060696,1.600934
1,8,283,2264,11.144658,1.600590
1,8,300,2400,11.228819,1.600399
1,8,312,2496,11.285402,1.600623
1,8,336,2688,11.392317,1.601033
1,8,490,3920,11.936638,2.235618
1,8,527,4216,12.041659,2.234388
1,8,602,4816,12.233620,2.235442
1,8,705,5640,12.461479,2.235407
1,8,846,6768,12.724514,1.676879
1,8,1235,9880,13.270295,1.683269
1,8,1619,12952,13.660887,1.682191
1,8,2567,20536,14.325868,1.741967
1,8,2582,20656,14.334273,1.741930
1,8,3222,25776,14.653741,1.785938
1,8,3726,29808,14.863412,1.800145
1,8,3811,30488,14.895954,1.795371
1,8,4292,34336,15.067434,1.823187
1,8,7511,60088,15.874789,1.957169
1,8,7749,61992,15.919794,1.958124
1,8,9317,74536,16.185650,1.961177
1,8,10422,83376,16.347345,2.046261
1,8,12212,97696,16.576012,2.100900
1,8,16946,135568,17.048657,2.274180
1,8,30026,240208,17.873925,2.640395
1,8,45294,362352,18.467032,3.103016
1,8,48074,384592,18.552969,3.186309
1,8,48314,386512,18.560154,3.185486
1,16,8,128,7.000000,1.565167
1,16,9,144,7.169925,1.603571
1,16,10,160,7.321928,1.604353
1,16,14,224,7.807355,1.603470
1,16,22,352,8.459432,1.600986
1,16,29,464,8.857981,1.600550
1,16,31,496,8.954196,1.601342
1,16,49,784,9.614710,1.600697
1,16,76,1216,10.247928,1.601813
