d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.010670
1,1,16,16,4.000000,1.010213
1,1,20,20,4.321928,1.009759
1,1,22,22,4.459432,1.010331
1,1,33,33,5.044394,1.009289
1,1,46,46,5.523562,1.009522
1,1,48,48,5.584963,1.010023
1,1,49,49,5.614710,1.009280
1,1,59,59,5.882643,1.010088
1,1,66,66,6.044394,1.011093
1,1,75,75,6.228819,1.010303
1,1,87,87,6.442943,1.009926
1,1,111,111,6.794416,1.010297
1,1,149,149,7.219169,1.013069
1,1,227,227,7.826548,1.013569
1,1,636,636,9.312883,1.565330
1,1,698,698,9.447083,1.565593
1,1,797,797,9.638436,1.630142
1,1,931,931,9.862637,1.631013
1,1,1006,1006,9.974415,1.629869
1,1,1115,1115,10.122828,1.571839
1,1,1437,1437,10.488844,1.615075
1,1,1446,1446,10.497852,1.632824
1,1,1619,1619,10.660887,1.676360
1,1,1695,1695,10.727070,2.234721
1,1,2434,2434,11.249113,2.235935
1,1,4739,4739,12.210367,1.678650
1,1,10690,10690,13.383974,1.839767
1,1,14019,14019,13.775096,1.955877
1,1,20704,20704,14.337622,1.966774
1,1,21218,21218,14.373001,1.988811
1,1,35734,35734,15.125010,2.233847
1,1,49863,49863,15.605682,2.446361
1,8,10,80,6.321928,1.564973
1,8,16,128,7.000000,1.564915
1,8,19,152,7.247928,1.563888
1,8,27,216,7.754888,1.564522
1,8,28,224,7.807355,1.563934
1,8,36,288,8.169925,1.565313
1,8,39,312,8.285402,1.564896
1,8,42,336,8.392317,1.564726
1,8,71,568,9.149747,1.563796
1,8,81,648,9.339850,1.565349
1,8,85,680,9.409391,1.564703
1,8,90,720,9.491853,1.565577
1,8,116,928,9.857981,1.564466
1,8,126,1008,9.977280,1.564715
1,8,148,1184,10.209453,1.630848
1,8,155,1240,10.276124,1.612015
1,8,165,1320,10.366322,1.611349
1,8,185,1480,10.531381,1.602612
1,8,208,1664,10.700440,1.600779
1,8,250,2000,10.965784,1.601159
1,8,267,2136,11.060696,1.608722
1,8,283,2264,11.144658,1.610846
1,8,300,2400,11.228819,1.600159
1,8,312,2496,11.285402,1.601346
1,8,336,2688,11.392317,1.611621
1,8,490,3920,11.936638,2.234792
1,8,527,4216,12.041659,2.236338
1,8,602,4816,12.233620,2.234581
1,8,705,5640,12.461479,2.235665
1,8,846,6768,12.724514,1.677650
1,8,1235,9880,13.270295,1.678946
1,8,1619,12952,13.660887,1.709206
1,8,2567,20536,14.325868,1.741296
1,8,2582,20656,14.334273,1.742311
1,8,3222,25776,14.653741,1.786235
1,8,3726,29808,14.863412,1.797163
1,8,3811,30488,14.895954,1.787553
1,8,4292,34336,15.067434,1.820739
1,8,7511,60088,15.874789,1.957347
